team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10170,2024-08-09T19:00:00.000Z,8655,Blackburn Rovers,2,4,False,53,1.08,12,4,2,1,356 (84%),10,9,47,2.05,11,7,5,1,346 (87%),9,1,,6,2,1,8,4,,4,0,0,7,4,0.33,0.75,1.08,1.99,2.01,0.04,2.05,3.39,425,211,145,30 (54%),5 (17%),19,22,1,398,252,94,21 (54%),1 (7%),20,16,2,,9,8,0,17,3,,15,4,2,40,2,,41,26 (49%),15 (50%),9 (64%),,42,27 (51%),15 (50%),3 (43%),,3,0,,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10170,2024-08-17T11:30:00.000Z,8549,Middlesbrough,1,0,True,29,1.05,3,2,1,0,160 (69%),13,3,71,1.55,20,4,2,2,500 (88%),5,8,,0,1,0,3,0,,11,5,1,11,9,0.96,0.09,1.05,1.05,0.98,0.57,1.55,0.83,233,81,79,19 (39%),3 (21%),22,12,2,569,157,343,31 (61%),7 (26%),22,37,2,,20,8,5,33,4,,16,4,1,20,1,,48,31 (50%),17 (46%),6 (43%),,51,31 (50%),20 (54%),4 (36%),,3,0,,1,0,3,2.0,4.0,53.0,1.08,12.0,4.0,2.0,47.0,2.05,11.0,7.0,5.0,22.0,16.0,0.0,0.167,0.5,0.364,0.571
10170,2024-08-24T14:00:00.000Z,9817,Watford,1,2,False,35,0.73,8,3,2,2,236 (74%),11,2,65,1.14,12,3,4,3,534 (87%),10,4,,3,2,0,7,1,,6,3,0,6,6,0.25,0.48,0.73,0.97,1.01,0.13,1.14,1.04,318,146,90,13 (25%),5 (28%),22,20,1,616,181,353,20 (38%),2 (11%),19,20,0,,15,9,2,21,1,,9,9,2,17,2,,49,31 (56%),18 (45%),7 (58%),,46,24 (44%),22 (55%),5 (42%),,3,0,,2,0,0,1.5,2.0,41.0,1.065,7.5,3.0,1.5,59.0,1.8,15.5,5.5,3.5,17.0,26.5,1.5,0.2,0.5,0.129,0.364
10170,2024-08-31T14:00:00.000Z,8427,Bristol City,3,0,True,36,1.65,19,7,4,4,218 (76%),15,6,64,1.16,13,5,3,3,441 (85%),11,9,,7,5,2,12,7,,3,5,0,10,3,0.76,0.89,1.65,2.44,1.05,0.11,1.16,0.78,286,113,105,19 (40%),3 (19%),21,27,2,521,232,209,18 (49%),6 (33%),25,27,1,,19,18,5,27,5,,15,3,4,17,4,,43,35 (50%),8 (50%),6 (40%),,43,35 (50%),8 (50%),5 (31%),,1,0,,0,0,3,1.333,2.0,39.0,0.953,7.667,3.0,1.667,61.0,1.58,14.333,4.667,3.667,18.0,24.333,1.0,0.174,0.444,0.14,0.429
10170,2024-09-14T14:00:00.000Z,8344,Cardiff City,1,0,True,36,1.49,12,3,3,2,180 (69%),12,7,64,0.34,9,3,0,0,385 (81%),10,6,,4,5,0,8,4,,5,1,0,6,3,1.32,0.17,1.49,1.38,0.19,0.15,0.34,0.56,262,110,70,20 (33%),5 (25%),23,15,2,476,176,209,30 (51%),3 (14%),27,13,0,,16,11,1,20,5,,13,4,5,23,2,,49,28 (48%),21 (54%),2 (40%),,48,30 (52%),18 (46%),7 (47%),,2,0,,3,0,3,1.75,1.5,38.25,1.127,10.5,4.0,2.25,61.75,1.475,14.0,4.75,3.5,20.25,25.0,1.5,0.167,0.438,0.107,0.316
10170,2024-09-21T14:00:00.000Z,8657,Sheffield United,0,1,False,39,0.05,2,0,0,0,164 (65%),13,2,61,1.10,18,5,1,1,328 (81%),11,11,,2,0,1,2,0,,5,8,1,13,5,0.04,0.01,0.05,0.00,0.60,0.51,1.10,2.18,253,103,61,24 (36%),4 (31%),27,11,0,404,126,202,36 (55%),8 (50%),32,39,3,,29,9,8,23,4,,18,10,0,16,0,,56,46 (50%),10 (38%),6 (46%),,62,46 (50%),16 (62%),15 (52%),,2,0,,3,0,0,1.6,1.2,37.8,1.2,10.8,3.8,2.4,62.2,1.248,13.0,4.4,2.8,19.2,22.6,1.8,0.148,0.421,0.092,0.273
10170,2024-09-28T11:30:00.000Z,9850,Norwich City,2,3,True,41,1.42,16,5,3,2,267 (80%),13,9,59,1.96,10,5,4,3,432 (86%),7,5,,6,5,1,11,5,,3,2,0,8,2,0.49,0.93,1.42,1.24,1.88,0.08,1.96,1.83,335,177,90,25 (44%),9 (38%),19,27,2,503,274,158,12 (30%),1 (8%),16,24,0,,23,15,2,11,2,,14,7,5,19,3,,51,42 (58%),9 (50%),12 (60%),,40,31 (42%),9 (50%),5 (56%),,3,0,,2,0,0,1.2,0.6,35.0,0.994,8.8,3.0,2.0,65.0,1.058,14.4,4.0,2.0,17.0,27.2,1.8,0.136,0.4,0.042,0.15
10170,2024-10-01T18:45:00.000Z,8472,Sunderland,0,2,False,49,0.95,13,5,1,1,252 (76%),19,8,51,1.00,9,3,1,0,301 (83%),7,1,,3,5,0,12,1,,4,2,0,8,1,0.20,0.75,0.95,0.72,0.93,0.07,1.00,1.23,331,127,125,23 (43%),6 (26%),23,21,0,363,160,141,25 (44%),4 (40%),21,18,1,,17,9,2,8,1,,18,8,5,20,5,,43,33 (43%),10 (56%),9 (50%),,52,44 (57%),8 (44%),7 (50%),,2,0,,2,0,0,1.4,1.2,37.4,1.068,11.4,3.6,2.4,62.6,1.14,12.4,4.2,2.4,20.0,24.6,1.2,0.123,0.389,0.097,0.286
10170,2024-10-05T14:00:00.000Z,10172,Queens Park Rangers,2,0,True,53,1.01,10,5,3,2,369 (81%),12,6,47,0.52,11,3,1,1,308 (78%),10,9,,2,3,0,8,2,,3,5,0,7,4,1.00,0.01,1.01,2.28,0.16,0.36,0.52,0.52,457,202,167,34 (49%),5 (25%),23,26,3,397,181,127,25 (44%),3 (13%),29,21,1,,22,13,5,26,3,,16,10,3,19,4,,64,39 (53%),25 (60%),9 (53%),,52,35 (47%),17 (40%),8 (62%),,1,0,,1,0,3,1.2,1.2,40.2,1.112,12.4,4.0,2.2,59.8,1.112,11.8,4.2,1.8,20.2,24.2,1.2,0.097,0.3,0.102,0.286
10170,2024-10-19T14:00:00.000Z,10004,Millwall,1,1,False,46,0.68,5,1,1,0,148 (61%),14,5,54,1.94,16,6,2,1,189 (65%),12,9,,4,0,0,4,1,,4,6,1,6,10,0.20,0.48,0.68,0.97,1.68,0.26,1.94,2.59,244,73,75,13 (24%),4 (22%),19,13,1,292,93,96,13 (23%),4 (17%),32,23,3,,26,13,6,37,5,,14,4,0,20,0,,76,46 (57%),30 (51%),9 (56%),,64,35 (43%),29 (49%),7 (50%),,0,0,,2,0,1,1.0,1.2,43.6,0.984,10.6,3.6,2.0,56.4,0.984,11.4,3.8,1.4,20.0,23.0,1.2,0.094,0.278,0.105,0.316
