team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10194,2024-08-10T11:30:00.000Z,8669,Coventry City,1,0,True,42,0.95,11,2,1,1,241 (78%),7,9,58,0.74,8,1,0,0,375 (84%),9,7,,4,5,1,6,5,,4,3,0,6,2,0.72,0.23,0.95,0.26,0.34,0.40,0.74,0.44,308,143,98,17 (33%),5 (22%),22,15,1,445,201,174,24 (44%),4 (17%),18,22,1,,14,4,3,20,1,,15,8,5,17,1,,39,28 (52%),11 (46%),6 (50%),,39,26 (48%),13 (54%),4 (36%),,2,0,,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10194,2024-08-17T14:00:00.000Z,9817,Watford,0,3,False,45,0.85,7,3,2,2,304 (79%),15,4,55,2.27,24,8,3,1,387 (82%),12,2,,3,1,0,6,1,,9,7,3,14,10,0.82,0.03,0.85,0.56,2.10,0.17,2.27,1.64,383,183,121,19 (32%),1 (5%),24,21,3,471,230,157,27 (49%),2 (14%),12,31,2,,14,13,8,18,4,,20,9,1,30,3,,47,35 (45%),12 (43%),9 (43%),,58,42 (55%),16 (57%),9 (64%),,2,0,,2,0,0,1.0,0.0,42.0,0.95,11.0,2.0,1.0,58.0,0.74,8.0,1.0,0.0,15.0,22.0,3.0,0.091,0.5,0.0,0.0
10194,2024-08-24T14:00:00.000Z,8659,West Bromwich Albion,1,2,True,49,1.79,7,2,3,2,383 (84%),12,2,51,1.52,8,5,3,2,395 (81%),11,5,,5,0,2,4,3,,3,0,0,7,1,1.79,0.00,1.79,0.65,1.48,0.04,1.52,2.38,454,201,182,12 (34%),1 (6%),16,14,2,487,260,135,24 (36%),4 (27%),19,18,3,,20,11,2,12,1,,18,13,0,16,1,,46,36 (50%),10 (45%),6 (46%),,48,36 (50%),12 (55%),6 (50%),,2,0,,3,0,0,0.5,1.5,43.5,0.9,9.0,2.5,1.5,56.5,1.505,16.0,4.5,1.5,18.0,26.5,1.5,0.056,0.2,0.094,0.333
10194,2024-08-31T14:00:00.000Z,8401,Plymouth Argyle,1,0,False,44,1.65,15,7,2,2,248 (77%),17,4,56,0.77,15,7,0,0,330 (81%),14,10,,2,6,0,13,2,,5,3,0,9,6,1.40,0.25,1.65,1.29,0.30,0.47,0.77,1.23,321,180,68,24 (38%),2 (15%),18,27,3,405,206,124,29 (56%),8 (31%),23,23,0,,16,8,3,27,7,,18,9,6,16,6,,43,41 (52%),2 (22%),11 (50%),,45,38 (48%),7 (78%),3 (43%),,3,0,,1,0,3,0.667,1.667,45.333,1.197,8.333,2.333,2.0,54.667,1.51,13.333,4.667,2.0,16.667,23.667,1.0,0.08,0.286,0.125,0.357
10194,2024-09-14T11:30:00.000Z,8653,Oxford United,0,1,False,44,0.53,9,1,0,0,257 (74%),6,6,56,1.21,14,8,3,2,365 (81%),5,4,,3,5,0,5,4,,2,4,0,9,5,0.38,0.14,0.53,0.04,0.68,0.53,1.21,1.04,345,156,101,19 (39%),0 (0%),31,20,1,450,216,149,29 (41%),5 (33%),33,24,4,,16,6,4,20,7,,18,10,5,21,1,,33,23 (44%),10 (59%),3 (25%),,36,29 (56%),7 (41%),5 (42%),,1,0,,0,0,0,0.75,1.25,45.0,1.31,10.0,3.5,2.0,55.0,1.325,13.75,5.25,1.5,19.25,23.5,1.5,0.075,0.214,0.091,0.238
10194,2024-09-20T19:00:00.000Z,8667,Hull City,1,3,True,43,1.02,14,2,0,0,329 (84%),12,2,57,1.93,13,3,2,1,452 (88%),10,5,,8,4,0,8,6,,8,2,0,7,6,0.85,0.17,1.02,0.53,0.75,0.39,1.14,2.32,394,174,155,11 (24%),2 (18%),19,15,1,516,241,211,20 (45%),3 (14%),19,24,1,,9,5,2,31,1,,18,7,4,13,1,,36,26 (41%),10 (42%),8 (40%),,51,37 (59%),14 (58%),7 (70%),,3,0,,2,0,0,0.6,1.2,44.8,1.154,9.8,3.0,1.6,55.2,1.302,13.8,5.8,1.8,19.4,23.6,1.2,0.061,0.2,0.087,0.207
10194,2024-09-28T14:00:00.000Z,8549,Middlesbrough,0,2,False,50,0.72,7,1,1,1,440 (87%),17,2,50,2.46,26,9,1,0,432 (86%),10,7,,4,2,0,5,2,,9,8,1,19,7,0.39,0.33,0.72,0.60,1.54,0.92,2.46,3.84,506,360,80,17 (40%),3 (38%),15,10,2,500,193,239,27 (57%),7 (35%),14,40,2,,17,7,8,19,7,,5,5,2,10,1,,43,36 (55%),7 (41%),10 (91%),,40,30 (45%),10 (59%),8 (53%),,7,0,,4,0,0,0.6,1.8,45.0,1.168,10.4,3.0,1.4,55.0,1.54,14.8,6.2,2.2,19.4,24.0,0.6,0.058,0.2,0.122,0.29
10194,2024-10-02T18:45:00.000Z,8462,Portsmouth,6,1,True,55,2.52,20,8,3,1,390 (82%),9,3,45,1.29,9,2,2,1,286 (74%),13,5,,6,6,1,8,12,,3,4,0,7,2,1.53,0.20,1.73,3.34,1.02,0.27,1.29,1.26,478,248,142,18 (35%),4 (33%),25,29,1,386,160,126,16 (30%),5 (42%),26,14,2,,16,10,4,9,1,,16,10,6,13,2,,56,38 (54%),18 (46%),10 (56%),,54,33 (46%),21 (54%),8 (47%),,2,0,,1,0,3,0.6,1.6,46.0,1.142,10.4,2.6,1.2,54.0,1.578,15.2,6.4,1.8,17.2,25.8,0.6,0.058,0.231,0.105,0.25
10194,2024-10-05T14:00:00.000Z,10003,Swansea City,0,0,False,36,0.88,10,4,1,1,194 (70%),14,9,64,2.04,19,5,3,3,415 (83%),8,5,,2,4,1,5,5,,8,6,1,16,3,0.83,0.05,0.88,0.42,1.49,0.55,2.04,1.92,279,104,90,23 (37%),0 (0%),23,21,2,499,235,180,25 (39%),12 (40%),28,33,2,,12,6,5,27,5,,18,7,5,26,3,,42,24 (39%),18 (56%),4 (25%),,51,37 (61%),14 (44%),5 (42%),,4,0,,0,0,1,1.6,1.4,47.2,1.288,13.0,3.8,1.2,52.8,1.532,15.4,5.8,1.6,20.2,25.0,1.2,0.123,0.421,0.091,0.241
10194,2024-10-19T14:00:00.000Z,9850,Norwich City,1,1,True,39,1.00,14,5,0,0,261 (78%),7,8,61,1.52,12,4,2,2,469 (86%),9,7,,5,4,0,12,2,,3,5,1,9,3,0.52,0.48,1.00,1.07,1.32,0.19,1.52,1.69,335,132,129,16 (31%),6 (27%),23,28,2,548,264,205,15 (38%),1 (5%),16,25,2,,16,12,5,21,3,,22,10,4,21,4,,37,32 (49%),5 (26%),8 (36%),,47,33 (51%),14 (74%),5 (38%),,0,0,,1,0,1,1.4,1.4,45.6,1.134,12.0,3.2,1.0,54.4,1.786,16.2,5.4,2.2,19.0,27.0,0.8,0.117,0.437,0.086,0.259
