team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8121,2024-08-18T15:00:00.000Z,8588,Lens,0,1,True,41,0.39,8,3,0,0,245 (73%),12,7,59,1.23,10,4,1,0,410 (82%),14,3,,2,3,0,3,5,,6,0,2,7,3,0.21,0.18,0.39,0.47,1.18,0.05,1.23,1.23,334,102,143,25 (40%),5 (22%),31,14,4,501,196,214,26 (43%),4 (27%),25,14,3,,21,10,0,12,3,,30,11,3,26,3,,57,42 (47%),15 (54%),8 (35%),,61,48 (53%),13 (46%),8 (47%),,1,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8121,2024-08-24T17:00:00.000Z,8639,Lille,0,2,False,36,0.58,6,2,3,3,261 (81%),18,2,64,0.88,11,6,2,1,515 (85%),9,3,,3,1,0,4,2,,2,3,1,8,3,0.58,0.00,0.58,0.54,0.80,0.08,0.88,1.56,322,170,91,15 (33%),3 (38%),18,7,4,603,225,290,30 (58%),3 (25%),21,36,1,,23,9,2,28,4,,20,6,1,8,2,,43,35 (41%),8 (47%),5 (31%),,59,50 (59%),9 (53%),13 (59%),,2,0,,1,0,0,0.0,1.0,41.0,0.39,8.0,3.0,0.0,59.0,1.23,10.0,4.0,1.0,14.0,14.0,0.0,0.0,0.0,0.1,0.25
8121,2024-09-01T15:00:00.000Z,9831,Nice,1,4,True,54,1.42,14,7,1,0,390 (86%),14,4,46,2.24,14,9,5,3,315 (83%),13,7,,5,2,0,7,7,,2,3,0,11,3,0.54,0.10,0.63,1.62,2.06,0.18,2.24,3.30,453,178,212,14 (39%),1 (6%),15,27,0,381,200,115,17 (46%),5 (36%),12,24,0,,25,12,3,17,4,,19,7,2,19,6,,63,49 (56%),14 (56%),11 (65%),,50,39 (44%),11 (44%),9 (43%),,6,0,,2,1,0,0.0,1.5,38.5,0.485,7.0,2.5,1.5,61.5,1.055,10.5,5.0,1.5,10.5,25.0,0.0,0.0,0.0,0.143,0.3
8121,2024-09-15T15:00:00.000Z,9848,Strasbourg,1,1,False,49,0.92,12,2,1,0,353 (82%),14,9,51,2.26,10,5,6,5,401 (86%),11,6,,5,5,0,7,5,,4,1,2,7,3,0.70,0.22,0.92,0.99,2.11,0.15,2.26,2.51,432,216,137,10 (29%),5 (22%),16,25,1,469,297,104,22 (55%),2 (15%),23,18,0,,25,9,1,17,4,,21,8,5,30,1,,50,40 (49%),10 (53%),5 (26%),,50,41 (51%),9 (47%),7 (30%),,1,0,,4,0,1,0.333,2.333,43.667,0.797,9.333,4.0,1.333,56.333,1.45,11.667,6.333,2.667,16.0,24.667,0.0,0.036,0.083,0.2,0.368
8121,2024-09-22T15:00:00.000Z,9830,Nantes,1,1,True,50,0.85,4,1,1,0,402 (84%),13,3,50,0.62,9,3,2,1,390 (82%),16,6,,2,1,0,1,3,,2,4,0,7,2,0.06,0.02,0.06,0.60,0.37,0.25,0.62,1.29,480,226,176,19 (42%),3 (25%),24,10,0,473,177,213,26 (47%),3 (19%),31,25,0,,23,10,4,18,2,,20,5,1,21,0,,60,48 (54%),12 (36%),9 (38%),,62,41 (46%),21 (64%),9 (45%),,1,0,,4,0,1,0.5,2.0,45.0,0.828,10.0,3.5,1.25,55.0,1.653,11.25,6.0,3.5,18.25,23.0,0.25,0.05,0.143,0.178,0.333
8121,2024-09-29T15:00:00.000Z,9837,Reims,1,3,True,53,1.12,14,3,2,2,418 (85%),7,5,47,2.91,21,10,8,6,369 (82%),11,4,,6,5,0,7,7,,9,2,0,16,5,0.96,0.16,1.12,0.77,2.83,0.08,2.91,2.35,491,241,177,16 (46%),2 (8%),19,17,2,449,251,118,25 (52%),4 (24%),13,30,1,,17,14,2,18,7,,18,7,5,24,2,,55,42 (53%),13 (48%),14 (74%),,52,38 (48%),14 (52%),13 (72%),,0,0,,3,0,0,0.6,1.8,46.0,0.832,8.8,3.0,1.2,54.0,1.446,10.8,5.4,3.2,16.6,23.4,0.4,0.068,0.2,0.167,0.333
8121,2024-10-04T18:45:00.000Z,8592,Marseille,1,1,False,24,0.83,10,3,2,2,185 (83%),9,3,76,0.89,16,4,0,0,681 (93%),15,9,,4,3,0,5,5,,6,6,0,9,7,0.65,0.18,0.83,0.33,0.53,0.36,0.89,1.32,222,96,89,15 (41%),3 (25%),9,11,4,733,209,472,15 (68%),3 (13%),14,31,0,,8,7,6,22,3,,17,4,3,5,2,,35,28 (44%),7 (30%),7 (33%),,52,36 (56%),16 (70%),10 (67%),,0,1,,2,1,1,0.8,2.2,48.4,0.978,10.0,3.0,1.6,51.6,1.782,13.0,6.6,4.6,17.2,26.6,0.4,0.08,0.267,0.169,0.333
8121,2024-10-20T15:00:00.000Z,9941,Toulouse,1,1,False,34,1.38,8,4,2,1,195 (70%),9,2,66,1.97,18,6,3,2,447 (84%),11,8,,2,2,0,6,2,,7,5,0,12,6,0.46,0.13,0.59,1.20,1.83,0.14,1.97,1.85,278,98,97,15 (28%),3 (25%),18,16,1,535,192,255,12 (34%),3 (10%),23,36,0,,22,11,6,31,4,,9,3,2,20,3,,51,38 (54%),13 (36%),7 (64%),,55,32 (46%),23 (64%),15 (58%),,4,0,,2,0,1,1.0,2.0,46.0,1.028,10.8,3.2,1.4,54.0,1.784,14.0,6.2,4.2,18.0,25.6,0.6,0.093,0.312,0.143,0.323
8121,2024-10-26T15:00:00.000Z,9853,Saint-Etienne,4,2,True,42,2.96,13,8,4,1,320 (81%),10,2,58,1.47,19,7,1,0,485 (86%),13,3,,4,1,0,9,4,,5,7,0,4,15,1.46,0.71,2.17,3.22,0.43,0.25,0.68,1.69,397,207,113,14 (35%),4 (27%),16,20,0,567,268,217,25 (50%),4 (25%),22,31,0,,27,6,7,23,5,,14,12,1,10,4,,57,43 (51%),14 (58%),3 (23%),,51,41 (49%),10 (42%),17 (59%),,1,0,,3,0,3,1.0,1.4,42.0,1.02,9.6,2.6,1.6,58.0,1.73,14.8,5.6,3.8,15.8,28.0,0.8,0.104,0.385,0.095,0.25
8121,2024-11-01T18:00:00.000Z,9829,Monaco,1,0,False,36,0.46,10,3,0,0,235 (76%),12,4,64,1.39,11,3,2,2,473 (85%),16,4,,3,4,0,5,5,,4,4,0,6,5,0.46,0.00,0.46,0.50,1.33,0.06,1.39,0.51,311,128,107,13 (33%),1 (13%),25,15,2,559,187,286,27 (60%),3 (14%),19,36,0,,13,17,4,32,3,,14,11,4,12,2,,51,40 (56%),11 (58%),13 (68%),,39,31 (44%),8 (42%),6 (60%),,1,0,,1,0,3,1.6,1.6,40.6,1.428,9.8,3.8,2.2,59.4,1.572,16.6,6.0,2.8,14.8,30.6,1.2,0.163,0.421,0.096,0.267
