team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9746,2024-08-16T18:45:00.000Z,9847,Paris Saint-Germain,1,4,True,24,0.21,5,2,0,0,189 (75%),11,2,76,2.87,15,10,7,5,770 (93%),9,8,,1,2,0,3,2,,4,1,2,13,2,0.17,0.04,0.21,0.18,1.92,0.16,2.08,4.47,252,101,88,18 (42%),2 (20%),13,10,1,824,370,400,35 (76%),4 (27%),21,32,1,,25,9,2,11,5,,17,4,2,7,1,,43,38 (56%),5 (33%),4 (33%),,40,30 (44%),10 (67%),4 (29%),,3,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9746,2024-08-24T19:00:00.000Z,9853,Saint-Etienne,2,0,False,41,2.38,14,5,3,2,235 (78%),10,4,59,1.11,19,5,2,2,382 (84%),12,2,,7,2,0,9,5,,9,5,1,9,10,0.91,0.68,1.59,1.44,0.58,0.54,1.11,0.83,303,122,113,19 (43%),6 (32%),18,17,3,457,178,204,22 (49%),3 (27%),22,20,2,,17,10,5,20,5,,7,6,2,19,3,,51,40 (60%),11 (42%),11 (65%),,42,27 (40%),15 (58%),11 (55%),,3,0,,3,0,3,1.0,4.0,24.0,0.21,5.0,2.0,0.0,76.0,2.87,15.0,10.0,7.0,10.0,32.0,0.0,0.2,0.5,0.267,0.4
9746,2024-09-01T15:00:00.000Z,8583,Auxerre,3,1,True,49,2.76,22,8,4,3,369 (84%),10,2,51,0.58,7,3,1,1,385 (85%),16,2,,9,5,0,13,9,,1,3,0,1,6,1.75,0.22,1.97,2.46,0.55,0.03,0.58,0.65,439,187,182,16 (43%),6 (33%),16,31,4,453,234,151,20 (38%),1 (7%),13,6,0,,14,6,3,19,2,,13,4,5,25,6,,55,38 (60%),17 (68%),8 (62%),,33,25 (40%),8 (32%),3 (43%),,1,0,,3,1,3,1.5,2.0,32.5,1.295,9.5,3.5,1.5,67.5,1.99,17.0,7.5,4.5,13.5,26.0,1.5,0.158,0.429,0.118,0.267
9746,2024-09-15T15:00:00.000Z,9941,Toulouse,0,2,False,46,0.21,5,3,0,0,352 (80%),11,5,54,1.32,15,7,3,2,427 (82%),10,6,,1,1,1,1,4,,4,4,0,12,3,0.21,0.00,0.21,0.75,0.89,0.43,1.32,2.05,438,217,135,15 (35%),1 (7%),16,10,0,520,254,173,17 (33%),3 (17%),30,25,0,,20,13,4,26,4,,19,8,1,14,3,,52,37 (47%),15 (50%),7 (54%),,56,41 (53%),15 (50%),11 (69%),,1,0,,1,0,0,2.0,1.667,38.0,1.783,13.667,5.0,2.333,62.0,1.52,13.667,6.0,3.333,19.333,19.333,2.0,0.146,0.4,0.122,0.278
9746,2024-09-22T13:00:00.000Z,9829,Monaco,1,3,False,38,0.57,8,2,0,0,223 (74%),17,4,62,1.98,12,4,2,0,420 (85%),10,6,,3,3,0,4,4,,4,4,0,8,4,0.52,0.05,0.57,0.91,1.82,0.16,1.98,2.31,302,128,95,24 (46%),3 (23%),21,17,3,493,189,231,20 (49%),3 (18%),19,18,5,,11,14,4,28,1,,21,8,3,15,0,,36,26 (37%),10 (36%),7 (50%),,62,44 (63%),18 (64%),8 (53%),,3,0,,1,0,0,1.5,1.75,40.0,1.39,11.5,4.5,1.75,60.0,1.47,14.0,6.25,3.25,17.0,20.75,1.5,0.13,0.333,0.125,0.28
9746,2024-09-28T17:00:00.000Z,8639,Lille,0,3,True,38,0.41,7,4,1,1,313 (82%),11,1,62,3.61,18,10,7,4,574 (90%),9,5,,3,0,0,3,4,,3,5,0,13,5,0.36,0.06,0.41,0.51,2.65,0.17,2.82,5.16,383,186,127,16 (41%),2 (18%),12,10,1,639,279,295,19 (42%),4 (31%),12,44,3,,17,11,4,20,8,,18,13,0,11,4,,49,35 (46%),14 (56%),10 (53%),,52,41 (54%),11 (44%),13 (62%),,2,0,,1,0,0,1.4,2.0,39.6,1.226,10.8,4.0,1.4,60.4,1.572,13.6,5.8,3.0,17.0,20.2,1.2,0.13,0.35,0.147,0.345
9746,2024-10-06T15:00:00.000Z,8521,Brest,0,2,False,46,1.06,14,1,3,3,258 (74%),11,9,54,0.75,8,3,1,0,343 (79%),19,1,,9,4,0,9,5,,2,3,1,6,2,0.52,0.54,1.06,0.00,0.65,0.10,0.75,1.16,350,132,126,21 (44%),9 (26%),23,29,2,435,201,142,19 (34%),4 (29%),21,16,2,,21,9,3,11,1,,15,12,5,36,0,,57,39 (53%),18 (50%),4 (44%),,52,34 (47%),18 (50%),8 (36%),,0,1,,2,1,0,1.2,1.8,42.4,1.266,11.2,4.4,1.6,57.6,1.72,14.2,5.8,3.0,17.0,22.6,1.2,0.107,0.273,0.127,0.31
9746,2024-10-20T13:00:00.000Z,9748,Lyon,0,4,True,38,0.49,7,1,0,0,241 (80%),17,4,62,2.72,16,8,4,1,436 (86%),11,6,,3,3,0,3,4,,4,4,0,9,7,0.23,0.27,0.49,0.23,2.67,0.05,2.72,2.92,303,118,123,29 (60%),4 (20%),15,10,3,508,228,208,18 (49%),2 (18%),19,24,1,,17,7,4,28,4,,11,8,3,21,1,,42,34 (48%),8 (40%),6 (46%),,49,37 (52%),12 (60%),10 (67%),,3,0,,4,0,0,0.8,2.2,43.4,1.002,11.2,3.6,1.6,56.6,1.648,12.0,5.4,2.8,19.4,21.8,0.6,0.071,0.222,0.183,0.407
9746,2024-10-25T18:45:00.000Z,9851,Rennes,0,1,False,40,0.43,5,1,1,1,284 (79%),7,0,60,1.59,20,4,1,1,464 (87%),10,14,,2,2,0,4,1,,8,8,0,15,5,0.34,0.09,0.43,0.26,1.04,0.55,1.59,2.05,361,187,97,21 (43%),3 (30%),21,12,2,535,198,266,16 (52%),7 (22%),28,40,0,,19,13,8,41,3,,14,12,2,12,1,,49,36 (56%),13 (54%),7 (54%),,39,28 (44%),11 (46%),7 (32%),,2,1,,2,0,0,0.2,2.8,41.2,0.548,8.2,2.2,0.8,58.8,2.076,13.8,6.4,3.4,15.2,25.4,0.0,0.024,0.091,0.203,0.437
9746,2024-11-03T16:00:00.000Z,10249,Montpellier,1,0,True,48,2.18,12,4,3,2,355 (82%),11,2,52,1.01,15,1,1,1,384 (83%),13,10,,4,4,0,8,4,,7,7,0,9,6,1.29,0.10,1.39,1.97,0.80,0.21,1.01,0.60,432,165,190,21 (50%),6 (40%),18,21,3,462,198,186,32 (59%),7 (22%),12,23,0,,15,8,6,26,1,,15,10,4,15,3,,53,29 (47%),24 (63%),3 (43%),,47,33 (53%),14 (37%),8 (47%),,2,0,,1,0,3,0.2,2.6,40.0,0.592,8.2,1.8,1.0,60.0,2.13,14.8,5.8,3.0,15.6,28.4,0.0,0.024,0.111,0.176,0.448
