team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9748,2024-08-18T18:45:00.000Z,9851,Rennes,0,3,False,52,2.06,16,2,3,3,377 (83%),12,7,48,2.05,22,8,2,1,354 (84%),13,7,,8,6,0,13,3,,10,4,2,17,5,0.58,0.70,1.28,0.73,1.63,0.41,2.05,2.62,455,190,187,15 (42%),8 (38%),26,40,2,420,133,221,21 (55%),3 (25%),10,41,1,,22,13,4,20,5,,22,11,6,22,2,,48,40 (51%),8 (40%),5 (25%),,51,39 (49%),12 (60%),6 (46%),,1,0,,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9748,2024-08-24T15:00:00.000Z,9829,Monaco,0,2,True,39,0.03,1,0,0,0,246 (78%),19,0,61,2.26,21,6,4,3,422 (86%),9,6,,1,0,0,0,1,,10,5,1,14,7,0.03,0.00,0.03,0.00,1.81,0.45,2.26,2.51,317,136,110,22 (50%),2 (29%),26,14,4,489,193,229,23 (56%),5 (20%),24,28,1,,25,12,5,24,4,,25,8,0,14,0,,46,42 (46%),4 (31%),8 (35%),,59,50 (54%),9 (69%),7 (37%),,2,0,,1,1,0,0.0,3.0,52.0,2.06,16.0,2.0,3.0,48.0,2.05,22.0,8.0,2.0,40.0,41.0,0.0,0.0,0.0,0.136,0.375
9748,2024-08-30T18:45:00.000Z,9848,Strasbourg,4,3,True,48,2.92,20,12,6,2,339 (82%),11,9,52,2.72,15,8,5,2,384 (84%),6,2,,2,6,2,15,5,,2,5,0,12,3,2.82,0.10,2.92,3.79,2.41,0.30,2.72,3.47,412,151,188,19 (56%),6 (30%),12,35,4,455,256,128,19 (45%),2 (22%),14,26,2,,20,8,5,8,5,,18,7,6,23,8,,45,33 (48%),12 (48%),7 (44%),,49,36 (52%),13 (52%),9 (56%),,3,0,,2,0,3,0.0,2.5,45.5,1.045,8.5,1.0,1.5,54.5,2.155,21.5,7.0,3.0,27.0,34.5,0.0,0.0,0.0,0.116,0.357
9748,2024-09-15T18:45:00.000Z,8588,Lens,0,0,False,46,0.56,8,3,0,0,321 (76%),11,8,54,1.05,12,5,0,0,404 (82%),12,5,,1,4,0,4,4,,6,1,0,8,4,0.53,0.03,0.56,0.29,0.90,0.15,1.05,0.96,421,145,176,27 (43%),2 (14%),21,28,3,492,169,235,14 (36%),6 (26%),25,21,4,,19,12,2,21,4,,12,12,4,28,3,,45,35 (55%),10 (40%),5 (42%),,44,29 (45%),15 (60%),7 (41%),,0,0,,0,0,1,1.333,2.667,46.333,1.67,12.333,4.667,3.0,53.667,2.343,19.333,7.333,3.667,29.667,31.667,1.0,0.108,0.286,0.138,0.364
9748,2024-09-22T18:45:00.000Z,8592,Marseille,2,3,True,63,3.01,22,9,7,6,444 (88%),17,10,37,0.79,9,5,1,0,242 (78%),8,3,,9,4,2,16,6,,2,2,0,5,4,1.89,0.33,2.22,2.78,0.59,0.20,0.79,1.80,503,122,322,20 (65%),11 (26%),17,44,3,311,189,53,14 (35%),4 (67%),12,8,4,,13,6,3,4,1,,16,8,5,35,6,,42,30 (46%),12 (43%),11 (55%),,51,35 (54%),16 (57%),5 (36%),,4,0,,1,1,0,1.0,2.0,46.25,1.393,11.25,4.25,2.25,53.75,2.02,17.5,6.75,2.75,29.25,29.0,1.0,0.089,0.235,0.114,0.296
9748,2024-09-29T13:00:00.000Z,9941,Toulouse,2,1,False,55,0.42,4,1,2,1,407 (85%),15,4,45,0.94,10,4,0,0,318 (79%),12,3,,1,2,0,4,0,,3,3,0,7,3,0.23,0.19,0.42,0.26,0.58,0.35,0.94,0.94,479,214,193,18 (37%),2 (13%),13,12,1,401,189,129,17 (49%),2 (13%),19,23,4,,17,7,2,20,3,,25,8,2,15,0,,41,34 (40%),7 (35%),8 (50%),,64,51 (60%),13 (65%),11 (52%),,2,0,,2,0,3,1.2,2.2,49.6,1.716,13.4,5.2,3.2,50.4,1.774,15.8,6.4,2.4,32.2,24.8,0.8,0.09,0.231,0.139,0.344
9748,2024-10-06T13:00:00.000Z,9830,Nantes,2,0,True,62,3.28,17,6,7,6,550 (88%),10,6,38,0.88,11,6,1,1,292 (79%),5,9,,7,4,2,14,3,,3,2,0,9,2,1.75,1.53,3.28,1.33,0.78,0.10,0.88,1.01,622,261,289,26 (54%),3 (14%),17,45,1,368,175,117,21 (44%),5 (25%),25,23,1,,21,8,2,26,6,,17,8,4,33,5,,40,34 (47%),6 (50%),8 (44%),,44,38 (53%),6 (50%),11 (42%),,1,0,,2,0,3,1.6,1.8,50.2,1.388,11.0,5.0,3.0,49.8,1.552,13.4,5.6,2.0,26.6,21.2,1.4,0.145,0.32,0.134,0.321
9748,2024-10-20T13:00:00.000Z,9746,Le Havre,4,0,False,62,2.72,16,8,4,1,436 (86%),11,6,38,0.49,7,1,0,0,241 (80%),17,4,,4,4,0,9,7,,3,3,0,3,4,2.67,0.05,2.72,2.92,0.23,0.27,0.49,0.23,508,228,208,18 (49%),2 (18%),19,24,1,303,118,123,29 (60%),4 (20%),15,10,3,,11,8,3,21,1,,17,7,4,28,4,,49,37 (52%),12 (60%),10 (67%),,42,34 (48%),8 (40%),6 (46%),,4,0,,3,0,3,2.0,1.4,54.8,2.038,14.2,6.2,4.4,45.2,1.276,11.4,5.6,1.4,32.8,20.2,2.0,0.141,0.323,0.123,0.25
9748,2024-10-27T14:00:00.000Z,8583,Auxerre,2,2,True,63,2.05,12,8,4,2,460 (85%),7,5,37,1.54,19,6,2,1,235 (77%),15,5,,2,2,1,12,0,,7,6,0,12,7,1.19,0.07,1.26,2.37,1.06,0.48,1.54,2.19,542,212,248,18 (42%),5 (23%),21,35,2,306,126,109,32 (50%),9 (41%),22,22,4,,20,8,7,23,3,,21,14,2,26,7,,50,40 (56%),10 (50%),6 (32%),,42,32 (44%),10 (50%),5 (28%),,0,0,,4,0,1,2.0,0.8,57.6,1.998,13.4,5.4,4.0,42.4,0.83,9.8,4.2,0.4,30.6,17.0,2.0,0.149,0.37,0.082,0.19
9748,2024-11-01T20:00:00.000Z,8639,Lille,1,1,False,53,1.24,14,3,2,1,354 (80%),10,9,47,1.67,14,2,2,1,332 (83%),12,4,,6,5,1,12,2,,8,4,2,10,4,1.04,0.20,1.24,0.54,1.41,0.26,1.67,1.69,444,192,162,29 (57%),6 (27%),18,49,3,399,185,147,19 (45%),2 (14%),12,29,1,,25,4,4,7,1,,13,10,5,30,2,,58,45 (58%),13 (48%),10 (59%),,46,32 (42%),14 (52%),10 (43%),,1,0,,3,0,1,2.4,1.2,61.0,2.296,14.2,6.4,4.8,39.0,0.928,11.2,4.4,0.8,32.0,17.2,2.0,0.169,0.375,0.107,0.273
