team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9847,2024-08-16T18:45:00.000Z,9746,Le Havre,4,1,False,76,2.87,15,10,7,5,770 (93%),9,8,24,0.21,5,2,0,0,189 (75%),11,2,,4,1,2,13,2,,1,2,0,3,2,1.92,0.16,2.08,4.47,0.17,0.04,0.21,0.18,824,370,400,35 (76%),4 (27%),21,32,1,252,101,88,18 (42%),2 (20%),13,10,1,,17,4,2,7,1,,25,9,2,11,5,,40,30 (44%),10 (67%),4 (29%),,43,38 (56%),5 (33%),4 (33%),,0,0,,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9847,2024-08-23T18:45:00.000Z,10249,Montpellier,6,0,True,69,3.82,27,11,10,6,694 (93%),11,10,31,0.63,8,3,1,1,282 (83%),17,2,,12,4,0,17,10,,3,2,0,6,2,3.34,0.49,3.82,3.78,0.22,0.41,0.63,0.34,744,290,404,18 (58%),6 (35%),11,39,0,338,193,89,39 (60%),5 (56%),9,11,2,,21,10,2,8,3,,19,12,3,13,5,,50,45 (58%),5 (45%),10 (37%),,38,32 (42%),6 (55%),3 (27%),,1,0,,4,0,3,4.0,1.0,76.0,2.87,15.0,10.0,7.0,24.0,0.21,5.0,2.0,0.0,32.0,10.0,3.0,0.267,0.4,0.2,0.5
9847,2024-09-01T18:45:00.000Z,8639,Lille,3,1,False,58,2.60,11,7,5,2,542 (89%),9,1,42,1.40,8,4,4,4,359 (85%),9,3,,2,2,0,11,0,,4,0,1,6,2,1.81,0.00,1.81,2.91,1.36,0.04,1.40,1.53,611,312,230,28 (50%),2 (40%),19,26,2,422,160,199,12 (52%),2 (13%),15,32,5,,22,7,0,15,3,,19,8,2,5,4,,51,43 (54%),8 (67%),12 (55%),,40,36 (46%),4 (33%),8 (47%),,2,0,,3,0,3,5.0,0.5,72.5,3.345,21.0,10.5,8.5,27.5,0.42,6.5,2.5,0.5,35.5,10.5,3.0,0.238,0.476,0.077,0.2
9847,2024-09-14T19:00:00.000Z,8521,Brest,3,1,True,67,2.88,22,9,5,3,623 (92%),7,9,33,0.97,5,3,2,1,253 (76%),13,1,,7,6,0,13,9,,0,2,0,2,3,2.80,0.08,2.88,2.86,0.07,0.12,0.19,1.13,679,296,327,19 (73%),3 (14%),25,42,3,333,152,101,25 (47%),3 (30%),11,10,1,,14,5,2,7,2,,28,8,6,28,6,,40,35 (46%),5 (36%),8 (27%),,50,41 (54%),9 (64%),6 (50%),,2,0,,3,0,3,4.333,0.667,67.667,3.097,17.667,9.333,7.333,32.333,0.747,7.0,3.0,1.667,32.333,17.667,3.0,0.245,0.464,0.095,0.222
9847,2024-09-21T19:00:00.000Z,9837,Reims,1,1,False,78,1.59,11,4,4,3,757 (94%),6,5,22,0.31,8,1,1,0,159 (73%),11,3,,5,2,0,9,2,,3,4,0,5,3,1.54,0.04,1.59,0.92,0.28,0.02,0.31,0.10,808,258,499,33 (79%),6 (30%),17,38,1,219,117,42,10 (26%),3 (21%),7,9,1,,14,6,4,10,0,,26,10,2,22,3,,43,36 (47%),7 (58%),11 (42%),,45,40 (53%),5 (42%),8 (67%),,1,0,,2,0,1,4.0,0.75,67.5,3.042,18.75,9.25,6.75,32.5,0.802,6.5,3.0,1.75,34.75,15.75,3.0,0.213,0.432,0.115,0.25
9847,2024-09-27T19:00:00.000Z,9851,Rennes,3,1,True,62,3.05,23,8,6,4,565 (89%),12,6,38,1.50,12,5,1,0,319 (82%),13,4,,8,7,2,14,9,,3,4,0,5,7,2.95,0.11,3.05,2.82,0.55,0.17,0.71,1.21,638,368,197,22 (50%),4 (44%),12,38,5,389,166,153,21 (50%),3 (23%),18,27,1,,21,6,4,19,4,,24,7,7,13,4,,50,43 (47%),7 (50%),11 (42%),,55,48 (53%),7 (50%),13 (54%),,2,0,,3,0,3,3.4,0.8,69.6,2.752,17.2,8.2,6.2,30.4,0.704,6.8,2.6,1.6,35.4,14.4,2.6,0.198,0.415,0.118,0.308
9847,2024-10-06T18:45:00.000Z,9831,Nice,1,1,False,71,1.30,19,8,1,1,642 (92%),9,15,29,0.45,9,3,0,0,230 (81%),7,5,,6,5,1,11,8,,3,3,0,5,4,0.77,0.52,1.30,0.72,0.31,0.14,0.45,1.14,701,238,404,19 (61%),7 (22%),11,40,1,284,142,88,15 (38%),5 (45%),11,14,2,,22,8,3,6,2,,24,7,6,36,7,,48,38 (48%),10 (45%),9 (45%),,53,41 (52%),12 (55%),8 (42%),,2,0,,1,0,1,3.2,0.8,66.8,2.788,18.8,7.8,6.0,33.2,0.962,8.2,3.2,1.8,36.6,17.8,2.6,0.17,0.41,0.098,0.25
9847,2024-10-19T19:00:00.000Z,9848,Strasbourg,4,2,True,56,3.49,18,10,8,4,493 (88%),10,5,44,1.96,16,8,2,0,378 (85%),12,5,,5,3,1,16,2,,1,7,0,10,6,3.43,0.06,3.49,4.89,0.89,1.07,1.96,2.49,560,340,153,23 (52%),4 (33%),10,27,2,445,232,146,26 (58%),3 (21%),20,25,1,,28,8,7,15,5,,23,7,3,10,6,,55,48 (49%),7 (39%),9 (43%),,60,49 (51%),11 (61%),16 (48%),,2,0,,2,0,3,2.2,1.0,67.2,2.284,17.2,7.2,4.2,32.8,0.926,8.4,3.2,1.6,36.8,18.4,2.2,0.128,0.306,0.119,0.312
9847,2024-10-27T19:45:00.000Z,8592,Marseille,3,0,False,75,3.10,19,8,7,5,862 (94%),7,2,25,0.22,5,1,1,1,241 (79%),4,1,,9,2,0,15,4,,2,2,0,4,1,3.06,0.04,3.10,2.13,0.12,0.10,0.22,0.09,916,224,638,31 (79%),4 (44%),8,38,8,307,181,60,21 (46%),2 (40%),15,9,2,,21,11,2,1,1,,16,9,2,10,6,,35,29 (48%),6 (55%),5 (38%),,36,31 (52%),5 (45%),9 (50%),,0,0,,1,1,3,2.4,1.2,66.8,2.462,18.6,7.8,4.8,33.2,1.038,10.0,4.0,1.2,37.0,17.0,2.2,0.129,0.308,0.12,0.3
9847,2024-11-02T16:00:00.000Z,8588,Lens,1,0,True,69,2.88,18,8,4,3,640 (89%),3,7,31,0.83,13,2,0,0,252 (78%),20,4,,5,5,1,13,5,,6,5,0,11,2,2.86,0.02,2.88,2.90,0.65,0.18,0.83,0.57,720,308,332,28 (52%),4 (36%),13,47,2,322,105,147,22 (61%),4 (36%),7,22,3,,20,7,5,13,2,,20,8,5,19,7,,57,50 (60%),7 (50%),10 (48%),,40,33 (40%),7 (50%),10 (43%),,1,0,,4,1,3,2.4,1.0,68.4,2.506,18.0,7.6,5.2,31.6,0.888,10.0,3.6,1.0,36.2,16.8,2.2,0.133,0.316,0.1,0.278
9847,2024-11-09T20:00:00.000Z,8121,Angers,4,2,False,70,3.50,26,12,7,3,740 (92%),16,8,30,1.03,10,3,2,1,269 (83%),5,6,,9,5,1,19,7,,5,2,0,6,4,3.43,0.08,3.50,5.51,0.28,0.75,1.03,0.98,801,296,444,22 (69%),8 (38%),13,44,0,323,162,107,21 (60%),8 (38%),6,22,3,,15,7,2,11,1,,11,9,5,19,8,,41,33 (46%),8 (42%),13 (68%),,49,38 (54%),11 (58%),14 (61%),,3,0,,0,0,3,2.4,0.8,66.6,2.764,19.4,8.4,5.2,33.4,0.992,11.0,3.8,0.8,38.0,19.4,2.6,0.124,0.286,0.073,0.211
9847,2024-11-22T20:00:00.000Z,9941,Toulouse,3,0,True,73,1.16,17,8,3,1,683 (89%),11,7,27,1.39,11,2,4,4,212 (77%),14,5,,4,5,0,10,7,,6,3,0,8,3,0.73,0.43,1.16,2.99,1.25,0.14,1.39,0.25,765,328,355,22 (65%),7 (33%),14,34,2,276,103,109,21 (53%),1 (7%),20,23,0,,17,11,3,23,2,,19,13,5,20,5,,50,42 (53%),8 (73%),12 (46%),,41,38 (48%),3 (27%),9 (53%),,1,0,,2,0,3,2.6,1.0,68.2,2.854,20.0,9.2,5.4,31.8,0.898,10.6,3.4,1.0,39.2,18.4,2.6,0.13,0.283,0.094,0.294
9847,2024-11-30T20:00:00.000Z,9830,Nantes,1,1,True,84,2.73,24,10,6,5,935 (93%),3,9,16,0.65,5,2,1,0,122 (66%),6,3,,8,6,1,17,7,,2,1,0,5,0,2.69,0.04,2.73,3.04,0.59,0.05,0.65,0.46,1009,257,678,25 (78%),8 (19%),27,66,1,184,73,49,15 (39%),2 (29%),10,13,2,,14,9,1,7,1,,24,10,6,53,9,,41,31 (48%),10 (50%),12 (67%),,44,34 (52%),10 (50%),7 (47%),,0,0,,0,0,1,3.0,0.8,68.6,2.826,19.6,9.2,5.8,31.4,1.086,11.0,3.2,1.8,38.0,20.2,3.0,0.153,0.326,0.073,0.25
