team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9851,2024-08-18T18:45:00.000Z,9748,Lyon,3,0,True,48,2.05,22,8,2,1,354 (84%),13,7,52,2.06,16,2,3,3,377 (83%),12,7,,10,4,2,17,5,,8,6,0,13,3,1.63,0.41,2.05,2.62,0.58,0.70,1.28,0.73,420,133,221,21 (55%),3 (25%),10,41,1,455,190,187,15 (42%),8 (38%),26,40,2,,22,11,6,22,2,,22,13,4,20,5,,51,39 (49%),12 (60%),6 (46%),,48,40 (51%),8 (40%),5 (25%),,2,0,,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9851,2024-08-25T15:00:00.000Z,9848,Strasbourg,1,3,False,40,1.09,14,5,3,2,285 (80%),19,5,60,0.72,11,5,2,0,463 (85%),9,2,,6,3,1,6,8,,3,3,0,7,4,0.99,0.09,1.09,1.06,0.44,0.28,0.72,1.41,358,121,164,27 (55%),4 (25%),19,27,1,544,339,124,18 (35%),4 (44%),17,11,3,,19,11,3,10,3,,21,7,3,27,4,,46,34 (44%),12 (52%),6 (30%),,54,43 (56%),11 (48%),3 (27%),,4,0,,2,0,0,3.0,0.0,48.0,2.05,22.0,8.0,2.0,52.0,2.06,16.0,2.0,3.0,41.0,40.0,3.0,0.136,0.375,0.0,0.0
9851,2024-09-01T15:00:00.000Z,9837,Reims,1,2,False,47,0.79,13,5,1,1,281 (80%),13,5,53,1.39,11,7,4,2,330 (83%),9,3,,3,5,0,10,3,,3,1,0,7,4,0.52,0.27,0.79,1.08,1.12,0.27,1.39,1.56,350,130,151,22 (49%),5 (33%),18,24,2,400,206,124,23 (37%),4 (27%),19,14,0,,21,5,1,21,5,,16,8,5,15,4,,51,36 (49%),15 (68%),7 (54%),,44,37 (51%),7 (32%),10 (45%),,2,0,,2,0,0,2.0,1.5,44.0,1.57,18.0,6.5,2.5,56.0,1.39,13.5,3.5,2.5,34.0,25.5,1.5,0.111,0.308,0.111,0.429
9851,2024-09-15T13:00:00.000Z,10249,Montpellier,3,0,True,51,1.29,11,6,1,1,403 (89%),10,3,49,0.33,12,4,0,0,387 (87%),7,4,,5,0,0,7,4,,4,4,0,3,9,1.22,0.07,1.29,1.97,0.23,0.10,0.33,0.16,452,186,217,27 (61%),3 (15%),20,34,1,444,184,203,41 (64%),2 (13%),11,9,3,,15,5,4,19,4,,23,15,0,20,3,,46,36 (47%),10 (53%),14 (52%),,50,41 (53%),9 (47%),9 (56%),,1,0,,3,0,3,1.667,1.667,45.0,1.31,16.333,6.0,2.0,55.0,1.39,12.667,4.667,3.0,30.667,21.667,1.0,0.102,0.278,0.132,0.357
9851,2024-09-21T17:00:00.000Z,8588,Lens,1,1,True,40,1.37,11,6,1,0,231 (69%),16,4,60,0.56,10,2,1,0,383 (78%),20,3,,3,2,0,7,4,,3,5,0,5,5,0.51,0.07,0.58,1.36,0.31,0.26,0.56,0.66,336,122,109,17 (29%),2 (22%),22,18,1,492,205,178,18 (35%),4 (21%),27,21,3,,20,15,5,29,1,,12,7,1,17,5,,56,43 (57%),13 (34%),3 (33%),,58,33 (43%),25 (66%),5 (33%),,2,0,,4,0,1,2.0,1.25,46.5,1.305,15.0,6.0,1.75,53.5,1.125,12.5,4.5,2.25,31.5,18.5,1.5,0.133,0.333,0.1,0.278
9851,2024-09-27T19:00:00.000Z,9847,Paris Saint-Germain,1,3,False,38,1.50,12,5,1,0,319 (82%),13,4,62,3.05,23,8,6,4,565 (89%),12,6,,3,4,0,5,7,,8,7,2,14,9,0.55,0.17,0.71,1.21,2.95,0.11,3.05,2.82,389,166,153,21 (50%),3 (23%),18,27,1,638,368,197,22 (50%),4 (44%),12,38,5,,24,7,7,13,4,,21,6,4,19,4,,55,48 (53%),7 (50%),13 (54%),,50,43 (47%),7 (50%),11 (42%),,3,0,,2,0,0,1.8,1.2,45.2,1.318,14.2,6.0,1.6,54.8,1.012,12.0,4.0,2.0,28.8,19.0,1.4,0.127,0.3,0.1,0.3
9851,2024-10-05T19:00:00.000Z,9829,Monaco,1,2,True,58,0.75,14,3,0,0,422 (82%),9,10,42,0.58,5,2,1,0,280 (74%),16,4,,5,6,1,6,8,,2,1,1,4,1,0.62,0.13,0.75,0.46,0.35,0.23,0.58,0.84,514,208,214,27 (57%),1 (4%),26,26,1,379,152,128,27 (42%),3 (43%),22,15,1,,31,11,1,15,0,,24,16,6,32,2,,72,56 (60%),16 (50%),10 (40%),,54,38 (40%),16 (50%),6 (23%),,2,0,,4,0,0,1.4,1.8,43.2,1.208,12.2,5.4,1.4,56.8,1.21,13.4,5.2,2.6,26.0,18.6,0.8,0.115,0.259,0.134,0.346
9851,2024-10-19T15:00:00.000Z,8521,Brest,1,1,False,44,1.17,6,4,1,0,292 (81%),15,4,56,1.47,12,2,3,2,356 (77%),18,2,,2,0,0,5,1,,7,3,1,6,6,1.14,0.03,1.17,1.66,0.46,0.22,0.68,1.12,361,160,132,25 (43%),0 (0%),17,15,2,461,210,146,39 (48%),4 (27%),23,15,2,,11,13,3,13,1,,23,7,0,8,3,,47,33 (46%),14 (37%),7 (39%),,62,38 (54%),24 (63%),5 (50%),,2,0,,2,0,1,1.4,1.6,46.8,1.14,12.2,5.0,0.8,53.2,1.182,12.2,4.6,2.4,25.8,19.4,0.8,0.115,0.28,0.131,0.348
9851,2024-10-25T18:45:00.000Z,9746,Le Havre,1,0,True,60,1.59,20,4,1,1,464 (87%),10,14,40,0.43,5,1,1,1,284 (79%),7,0,,8,8,0,15,5,,2,2,0,4,1,1.04,0.55,1.59,2.05,0.34,0.09,0.43,0.26,535,198,266,16 (52%),7 (22%),28,40,0,361,187,97,21 (43%),3 (30%),21,12,2,,14,12,2,12,1,,19,13,8,41,3,,39,28 (44%),11 (46%),7 (32%),,49,36 (56%),13 (54%),7 (54%),,2,0,,2,1,3,1.4,1.4,46.2,1.216,10.8,4.8,0.8,53.8,1.198,12.4,3.6,2.2,24.0,19.6,1.0,0.13,0.292,0.113,0.389
9851,2024-11-03T16:00:00.000Z,8583,Auxerre,0,4,False,61,0.80,7,4,2,2,440 (86%),15,8,39,2.79,16,8,5,2,255 (78%),11,3,,1,2,0,5,2,,7,1,1,10,6,0.61,0.19,0.80,1.27,1.70,0.30,2.00,3.04,509,242,198,27 (63%),4 (17%),22,16,2,325,156,99,38 (51%),5 (38%),13,27,3,,19,5,1,20,4,,22,10,2,20,4,,63,39 (46%),24 (53%),12 (55%),,66,45 (54%),21 (47%),12 (55%),,2,0,,0,0,0,1.0,1.4,48.0,1.276,12.6,4.4,0.8,52.0,1.218,11.0,3.0,2.4,25.2,20.2,1.0,0.079,0.227,0.127,0.467
