team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9853,2024-08-17T19:00:00.000Z,9829,Monaco,0,1,False,38,0.45,11,4,0,0,207 (72%),14,4,62,1.96,17,6,4,3,407 (84%),13,5,,5,2,0,5,6,,4,7,0,14,3,0.31,0.14,0.45,0.49,1.11,0.85,1.96,0.84,288,141,66,22 (42%),2 (20%),21,11,3,483,169,238,16 (50%),4 (33%),24,40,2,,22,13,7,19,5,,19,6,2,12,4,,55,44 (54%),11 (41%),9 (50%),,54,38 (46%),16 (59%),7 (33%),,1,0,,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9853,2024-08-24T19:00:00.000Z,9746,Le Havre,0,2,True,59,1.11,19,5,2,2,382 (84%),12,2,41,2.38,14,5,3,2,235 (78%),10,4,,9,5,1,9,10,,7,2,0,9,5,0.58,0.54,1.11,0.83,0.91,0.68,1.59,1.44,457,178,204,22 (49%),3 (27%),22,20,2,303,122,113,19 (43%),6 (32%),18,17,3,,7,6,2,19,3,,17,10,5,20,5,,42,27 (40%),15 (58%),11 (55%),,51,40 (60%),11 (42%),11 (65%),,3,0,,3,0,0,0.0,1.0,38.0,0.45,11.0,4.0,0.0,62.0,1.96,17.0,6.0,4.0,11.0,40.0,0.0,0.0,0.0,0.059,0.167
9853,2024-08-31T15:00:00.000Z,8521,Brest,0,4,False,53,0.17,6,0,0,0,311 (83%),28,2,47,3.12,22,9,4,0,240 (75%),12,7,,4,2,0,2,4,,8,5,0,18,4,0.17,0.00,0.17,0.00,0.55,0.99,1.54,3.61,373,191,120,31 (54%),5 (31%),17,9,4,322,114,126,30 (47%),14 (58%),21,38,2,,18,5,6,26,4,,23,8,2,19,0,,51,35 (42%),16 (39%),6 (32%),,74,49 (58%),25 (61%),3 (23%),,5,0,,0,0,0,0.0,1.5,48.5,0.78,15.0,4.5,1.0,51.5,2.17,15.5,5.5,3.5,15.5,28.5,0.0,0.0,0.0,0.097,0.273
9853,2024-09-13T18:45:00.000Z,8639,Lille,1,0,True,29,1.25,10,5,2,2,206 (73%),12,2,71,1.24,17,4,6,6,608 (88%),10,7,,5,0,1,5,5,,8,5,1,11,6,1.19,0.05,1.25,1.12,0.99,0.25,1.24,0.70,282,128,78,21 (36%),3 (38%),20,10,3,691,257,351,25 (60%),7 (24%),19,35,1,,15,9,5,35,4,,20,2,0,10,4,,35,31 (43%),4 (22%),6 (35%),,55,41 (57%),14 (78%),10 (59%),,1,0,,1,0,3,0.0,2.333,50.0,0.577,12.0,3.0,0.667,50.0,2.487,17.667,6.667,3.667,13.333,31.667,0.0,0.0,0.0,0.132,0.35
9853,2024-09-20T18:45:00.000Z,9831,Nice,0,8,False,41,0.32,8,2,0,0,389 (85%),13,2,59,4.73,18,12,7,1,618 (92%),7,3,,4,2,1,5,3,,3,3,0,14,4,0.30,0.02,0.32,0.35,3.88,0.05,3.94,5.82,456,211,178,21 (48%),1 (10%),12,18,0,673,438,180,21 (60%),3 (33%),13,23,3,,14,13,3,12,5,,15,11,2,11,2,,26,22 (37%),4 (50%),4 (40%),,42,38 (63%),4 (50%),10 (53%),,1,0,,0,0,0,0.25,1.75,44.75,0.745,11.5,3.5,1.0,55.25,2.175,17.5,6.0,4.25,12.5,32.5,0.75,0.022,0.071,0.1,0.292
9853,2024-09-29T15:00:00.000Z,9830,Nantes,2,2,False,39,1.02,5,3,1,0,287 (80%),12,4,61,1.80,16,3,5,3,467 (87%),11,8,,2,0,0,4,1,,6,7,1,14,2,0.14,0.09,0.23,1.07,1.50,0.30,1.80,1.90,357,160,127,16 (31%),3 (27%),11,13,1,537,217,250,30 (58%),10 (29%),27,34,2,,17,5,7,37,1,,16,6,0,9,1,,42,27 (41%),15 (48%),3 (23%),,55,39 (59%),16 (52%),13 (59%),,2,0,,2,1,1,0.2,3.0,44.0,0.66,10.8,3.2,0.8,56.0,2.686,17.6,7.2,4.8,13.6,30.6,0.6,0.019,0.062,0.17,0.417
9853,2024-10-05T15:00:00.000Z,8583,Auxerre,3,1,True,42,2.73,13,5,5,4,273 (76%),13,5,58,0.79,11,3,1,0,391 (80%),10,4,,5,3,1,11,2,,5,3,0,7,4,2.45,0.28,2.73,1.33,0.76,0.03,0.79,0.88,358,166,107,20 (33%),3 (25%),20,17,3,490,227,164,20 (38%),6 (22%),23,24,4,,26,20,5,31,0,,24,10,3,12,2,,59,44 (48%),15 (42%),8 (44%),,68,47 (52%),21 (58%),11 (50%),,3,0,,1,0,3,0.6,3.2,44.2,0.774,9.6,3.0,1.0,55.8,2.654,17.4,6.6,5.0,14.0,29.4,0.8,0.062,0.2,0.184,0.485
9853,2024-10-19T17:00:00.000Z,8588,Lens,0,2,True,37,0.78,15,1,0,0,250 (75%),12,2,63,1.22,13,5,3,2,499 (88%),16,7,,7,7,0,8,7,,7,1,0,5,8,0.32,0.46,0.78,0.39,1.15,0.07,1.22,1.17,335,130,120,26 (36%),2 (33%),18,19,1,568,272,227,29 (56%),5 (20%),28,35,3,,29,12,1,17,3,,5,3,7,10,1,,63,50 (61%),13 (45%),6 (67%),,48,32 (39%),16 (55%),16 (62%),,2,0,,2,0,0,1.2,3.0,40.8,1.098,8.4,3.0,1.6,59.2,2.336,16.8,6.2,4.6,13.4,30.8,1.4,0.143,0.4,0.179,0.484
9853,2024-10-26T15:00:00.000Z,8121,Angers,2,4,False,58,1.47,19,7,1,0,485 (86%),13,3,42,2.96,13,8,4,1,320 (81%),10,2,,5,7,0,4,15,,4,1,0,9,4,0.43,0.25,0.68,1.69,1.46,0.71,2.17,3.22,567,268,217,25 (50%),4 (25%),22,31,0,397,207,113,14 (35%),4 (27%),16,20,0,,14,12,1,10,4,,27,6,7,23,5,,51,41 (49%),10 (42%),17 (59%),,57,43 (51%),14 (58%),3 (23%),,3,0,,1,0,0,1.2,2.6,37.6,1.22,10.2,3.2,1.6,62.4,1.956,15.0,5.4,4.4,15.4,30.2,1.4,0.118,0.375,0.173,0.481
9853,2024-11-02T20:00:00.000Z,9848,Strasbourg,2,0,True,35,2.65,13,3,4,2,322 (83%),9,2,65,0.53,9,3,0,0,669 (92%),4,3,,8,2,0,9,4,,4,2,0,7,2,2.15,0.50,2.65,2.03,0.39,0.14,0.53,0.28,387,212,110,20 (40%),3 (30%),16,16,3,726,411,258,17 (59%),5 (26%),11,17,0,,14,14,2,19,3,,16,11,2,9,1,,29,21 (36%),8 (57%),3 (33%),,43,37 (64%),6 (43%),12 (67%),,2,0,,1,0,3,1.4,3.4,43.4,1.264,12.0,3.6,1.4,56.6,2.3,14.2,6.2,4.0,19.6,27.2,0.8,0.117,0.389,0.239,0.548
