team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9848,2024-08-18T15:00:00.000Z,10249,Montpellier,1,1,False,58,0.91,11,4,2,2,369 (82%),18,4,42,1.41,8,5,2,1,250 (78%),19,6,,6,1,0,9,2,,1,2,0,6,2,0.11,0.81,0.91,1.55,0.60,0.02,0.62,1.87,452,218,151,18 (40%),4 (44%),24,16,0,319,152,98,29 (47%),3 (16%),17,17,0,,24,8,2,16,4,,22,3,1,12,3,,68,51 (55%),17 (71%),9 (47%),,48,41 (45%),7 (29%),3 (23%),,3,0,,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9848,2024-08-25T15:00:00.000Z,9851,Rennes,3,1,True,60,0.72,11,5,2,0,463 (85%),9,2,40,1.09,14,5,3,2,285 (80%),19,5,,3,3,0,7,4,,6,3,1,6,8,0.44,0.28,0.72,1.41,0.99,0.09,1.09,1.06,544,339,124,18 (35%),4 (44%),17,11,3,358,121,164,27 (55%),4 (25%),19,27,1,,21,7,3,27,4,,19,11,3,10,3,,54,43 (56%),11 (48%),3 (27%),,46,34 (44%),12 (52%),6 (30%),,2,0,,4,0,3,1.0,1.0,58.0,0.91,11.0,4.0,2.0,42.0,1.41,8.0,5.0,2.0,16.0,17.0,1.0,0.091,0.25,0.125,0.2
9848,2024-08-30T18:45:00.000Z,9748,Lyon,3,4,False,52,2.72,15,8,5,2,384 (84%),6,2,48,2.92,20,12,6,2,339 (82%),11,9,,2,5,0,12,3,,2,6,2,15,5,2.41,0.30,2.72,3.47,2.82,0.10,2.92,3.79,455,256,128,19 (45%),2 (22%),14,26,2,412,151,188,19 (56%),6 (30%),12,35,4,,18,7,6,23,8,,20,8,5,8,5,,49,36 (52%),13 (52%),9 (56%),,45,33 (48%),12 (48%),7 (44%),,2,0,,3,0,0,2.0,1.0,59.0,0.815,11.0,4.5,2.0,41.0,1.25,11.0,5.0,2.5,13.5,22.0,2.0,0.182,0.444,0.091,0.2
9848,2024-09-15T15:00:00.000Z,8121,Angers,1,1,True,51,2.26,10,5,6,5,401 (86%),11,6,49,0.92,12,2,1,0,353 (82%),14,9,,4,1,2,7,3,,5,5,0,7,5,2.11,0.15,2.26,2.51,0.70,0.22,0.92,0.99,469,297,104,22 (55%),2 (15%),23,18,0,432,216,137,10 (29%),5 (22%),16,25,1,,21,8,5,30,1,,25,9,1,17,4,,50,41 (51%),9 (47%),7 (30%),,50,40 (49%),10 (53%),5 (26%),,4,0,,1,0,1,2.333,2.0,56.667,1.45,12.333,5.667,3.0,43.333,1.807,14.0,7.333,3.667,17.667,26.333,1.333,0.189,0.412,0.143,0.273
9848,2024-09-21T15:00:00.000Z,8639,Lille,3,3,False,36,3.23,12,9,6,3,261 (80%),12,5,64,2.75,15,7,4,2,499 (88%),16,9,,0,3,0,11,1,,6,2,0,10,5,3.09,0.14,3.23,3.34,1.27,0.69,1.96,2.53,326,201,60,18 (38%),4 (40%),13,20,2,565,227,272,43 (75%),5 (19%),15,29,4,,9,14,2,24,4,,17,4,2,9,7,,41,32 (46%),9 (47%),7 (39%),,47,37 (54%),10 (53%),10 (67%),,2,0,,2,0,1,2.0,1.75,55.25,1.653,11.75,5.5,3.75,44.75,1.585,13.5,6.0,3.0,17.75,26.0,1.25,0.17,0.364,0.13,0.292
9848,2024-09-29T18:45:00.000Z,8592,Marseille,1,0,True,41,1.31,14,6,4,4,316 (83%),17,8,59,0.50,10,3,1,1,485 (87%),7,3,,6,2,0,8,6,,5,2,0,5,5,1.07,0.24,1.31,0.43,0.48,0.02,0.50,0.34,381,164,152,22 (45%),3 (15%),11,22,1,557,326,159,16 (43%),2 (14%),13,16,4,,16,10,2,21,3,,14,9,2,20,5,,38,27 (42%),11 (61%),4 (36%),,45,38 (58%),7 (39%),7 (54%),,2,0,,1,0,3,2.2,2.0,51.4,1.968,11.8,6.2,4.2,48.6,1.818,13.8,6.2,3.2,18.2,26.6,1.2,0.186,0.355,0.145,0.323
9848,2024-10-06T15:00:00.000Z,8588,Lens,2,2,True,37,1.24,8,5,3,1,244 (78%),15,3,63,0.99,12,5,2,2,458 (86%),18,5,,3,0,0,4,4,,3,4,0,8,4,0.36,0.10,0.45,2.50,0.88,0.10,0.99,1.27,314,158,86,17 (35%),1 (13%),17,15,2,532,256,202,32 (57%),5 (23%),17,27,3,,7,8,4,29,3,,16,11,0,13,3,,38,26 (45%),12 (55%),3 (25%),,42,32 (55%),10 (45%),4 (57%),,2,0,,4,0,1,2.2,1.8,48.0,2.048,12.4,6.6,4.6,52.0,1.636,14.2,5.8,3.0,19.4,26.4,1.6,0.177,0.333,0.127,0.31
9848,2024-10-19T19:00:00.000Z,9847,Paris Saint-Germain,2,4,False,44,1.96,16,8,2,0,378 (85%),12,5,56,3.49,18,10,8,4,493 (88%),10,5,,1,7,0,10,6,,5,3,1,16,2,0.89,1.07,1.96,2.49,3.43,0.06,3.49,4.89,445,232,146,26 (58%),3 (21%),20,25,1,560,340,153,23 (52%),4 (33%),10,27,2,,23,7,3,10,6,,28,8,7,15,5,,60,49 (51%),11 (61%),16 (48%),,55,48 (49%),7 (39%),9 (43%),,2,0,,2,0,0,2.0,2.0,43.4,2.152,11.8,6.6,4.8,56.6,1.616,13.8,5.8,2.8,20.2,26.4,1.2,0.169,0.303,0.145,0.345
9848,2024-10-27T16:00:00.000Z,9830,Nantes,3,1,True,50,1.73,9,5,3,0,410 (84%),15,5,50,0.76,8,6,1,1,400 (84%),17,4,,1,3,0,9,0,,1,1,0,7,1,1.37,0.36,1.73,2.91,0.67,0.09,0.76,1.41,486,292,118,18 (39%),3 (23%),22,20,0,478,247,153,25 (49%),9 (60%),22,24,2,,11,6,1,17,5,,21,6,3,14,2,,53,38 (54%),15 (56%),11 (48%),,44,32 (46%),12 (44%),1 (14%),,2,0,,3,0,3,1.8,2.0,41.8,2.0,12.0,6.6,4.2,58.2,1.73,13.4,5.4,3.2,20.0,24.8,1.2,0.15,0.273,0.149,0.37
9848,2024-11-02T20:00:00.000Z,9853,Saint-Etienne,0,2,False,65,0.53,9,3,0,0,669 (92%),4,3,35,2.65,13,3,4,2,322 (83%),9,2,,4,2,0,7,2,,8,2,0,9,4,0.39,0.14,0.53,0.28,2.15,0.50,2.65,2.03,726,411,258,17 (59%),5 (26%),11,17,0,387,212,110,20 (40%),3 (30%),16,16,3,,16,11,2,9,1,,14,14,2,19,3,,43,37 (64%),6 (43%),12 (67%),,29,21 (36%),8 (57%),3 (33%),,1,0,,2,0,0,2.2,2.0,41.6,1.894,11.8,6.6,3.6,58.4,1.698,12.6,6.2,3.2,20.4,24.6,1.6,0.186,0.333,0.159,0.323
