team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8636,2024-08-17T16:30:00.000Z,10233,Genoa,2,2,False,67,1.96,17,8,3,2,429 (88%),16,4,33,2.11,13,7,4,2,174 (75%),16,1,,6,3,0,13,4,,5,1,0,9,4,1.73,0.23,1.96,2.89,0.41,0.91,1.32,2.71,489,191,238,11 (38%),6 (30%),22,26,6,233,97,77,22 (39%),3 (25%),12,14,0,,11,3,1,18,5,,10,12,3,22,5,,51,26 (44%),25 (68%),4 (40%),,45,33 (56%),12 (32%),9 (69%),,2,0,,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8636,2024-08-24T18:45:00.000Z,9888,Lecce,2,0,True,61,2.42,11,3,5,3,522 (90%),9,10,39,0.27,10,4,0,0,316 (86%),12,6,,5,3,0,9,2,,4,2,0,6,4,1.23,0.41,1.64,1.78,0.19,0.09,0.27,0.43,582,267,255,24 (60%),4 (18%),17,27,4,366,167,149,15 (39%),3 (17%),12,13,0,,14,6,2,16,4,,11,3,3,23,1,,41,26 (54%),15 (68%),0 (0%),,29,22 (46%),7 (32%),2 (25%),,0,0,,2,0,3,2.0,2.0,67.0,1.96,17.0,8.0,3.0,33.0,2.11,13.0,7.0,4.0,26.0,14.0,1.0,0.118,0.25,0.154,0.286
8636,2024-08-30T18:45:00.000Z,8524,Atalanta,4,0,True,55,1.31,13,4,3,1,461 (90%),6,3,45,1.36,11,1,1,1,369 (89%),15,4,,5,4,1,8,5,,6,4,0,6,5,0.38,0.92,1.31,1.95,1.36,0.00,1.36,0.12,510,326,135,17 (49%),6 (55%),17,25,5,413,137,232,9 (38%),4 (21%),17,19,1,,17,3,4,20,1,,13,5,4,10,1,,43,35 (59%),8 (50%),4 (36%),,32,24 (41%),8 (50%),5 (42%),,0,0,,2,0,3,2.0,1.0,64.0,2.19,14.0,5.5,4.0,36.0,1.19,11.5,5.5,2.0,26.5,13.5,2.0,0.143,0.364,0.087,0.182
8636,2024-09-15T18:45:00.000Z,6504,Monza,1,1,False,60,1.66,16,2,3,2,531 (89%),19,8,40,0.24,5,2,0,0,338 (84%),11,1,,10,4,0,11,5,,2,1,0,2,3,1.26,0.39,1.66,0.88,0.16,0.08,0.24,0.63,594,172,359,12 (50%),8 (29%),18,28,2,402,209,129,25 (52%),3 (23%),10,4,1,,15,4,1,8,1,,13,12,4,28,1,,41,25 (38%),16 (39%),1 (17%),,66,41 (62%),25 (61%),11 (69%),,2,0,,1,0,1,2.667,0.667,61.0,1.897,13.667,5.0,3.667,39.0,1.247,11.333,4.0,1.667,26.0,15.333,2.333,0.195,0.533,0.059,0.167
8636,2024-09-22T18:45:00.000Z,8564,Milan,1,2,True,56,0.73,13,4,2,2,448 (89%),13,6,44,1.70,16,8,6,4,338 (85%),4,2,,4,5,0,9,4,,5,3,0,13,3,0.55,0.17,0.73,1.04,1.59,0.11,1.70,2.39,504,240,208,20 (51%),10 (42%),25,27,2,398,234,104,19 (45%),5 (36%),12,28,0,,11,7,3,16,6,,10,10,5,17,3,,31,17 (35%),14 (56%),3 (50%),,42,31 (65%),11 (44%),9 (60%),,4,0,,1,0,0,2.25,0.75,60.75,1.837,14.25,4.25,3.5,39.25,0.995,9.75,3.5,1.25,26.5,12.5,2.0,0.158,0.529,0.077,0.214
8636,2024-09-28T13:00:00.000Z,8600,Udinese,3,2,False,60,2.22,16,7,4,2,538 (90%),6,3,40,0.77,9,3,2,1,327 (85%),13,7,,6,3,0,12,4,,1,5,0,7,2,2.16,0.06,2.22,2.15,0.48,0.29,0.77,1.16,600,349,189,45 (67%),11 (55%),11,22,3,383,183,144,30 (60%),7 (30%),15,24,0,,15,6,5,24,1,,10,4,3,14,4,,41,28 (53%),13 (57%),2 (20%),,35,25 (47%),10 (43%),10 (53%),,0,0,,1,0,3,2.0,1.0,59.8,1.616,14.0,4.2,3.2,40.2,1.136,11.0,4.4,2.2,26.6,15.6,1.6,0.143,0.476,0.091,0.227
8636,2024-10-05T18:45:00.000Z,9804,Torino,3,2,True,80,2.44,29,8,8,5,687 (93%),6,14,20,1.61,7,5,2,0,127 (68%),9,0,,13,8,0,16,13,,1,1,0,4,3,1.99,0.44,2.44,3.26,0.82,0.00,0.82,1.88,737,199,488,28 (72%),10 (23%),17,48,2,188,83,44,16 (40%),1 (17%),9,7,1,,15,8,1,9,3,,8,6,8,44,5,,42,29 (63%),13 (46%),5 (50%),,32,17 (37%),15 (54%),3 (27%),,1,0,,2,1,3,2.2,1.0,58.4,1.668,13.8,4.0,3.4,41.6,0.868,10.2,3.6,1.8,25.8,17.6,2.0,0.159,0.55,0.098,0.278
8636,2024-10-20T18:45:00.000Z,8686,Roma,1,0,False,45,1.04,11,6,1,1,334 (84%),13,3,55,1.04,14,3,0,0,422 (87%),12,3,,4,1,1,6,5,,5,6,1,9,5,1.00,0.04,1.04,1.11,0.53,0.51,1.04,0.69,400,217,117,31 (60%),3 (30%),12,16,1,487,208,214,21 (48%),9 (45%),18,27,0,,14,8,5,15,3,,14,5,1,10,5,,42,26 (48%),16 (62%),1 (14%),,38,28 (52%),10 (38%),2 (33%),,3,0,,2,0,3,2.4,1.4,62.2,1.672,17.4,5.0,4.0,37.8,1.136,9.6,3.8,2.2,30.0,16.4,2.0,0.138,0.48,0.146,0.368
8636,2024-10-27T17:00:00.000Z,9885,Juventus,4,4,True,47,2.99,18,9,3,1,328 (85%),11,13,53,2.17,10,5,3,1,391 (88%),16,5,,4,5,0,16,2,,3,2,0,8,2,0.68,0.74,1.42,3.55,2.15,0.02,2.17,2.45,384,182,146,18 (49%),5 (24%),8,28,0,444,219,172,47 (76%),2 (17%),12,21,0,,7,6,2,13,1,,6,5,5,17,5,,42,26 (58%),16 (62%),3 (60%),,29,19 (42%),10 (38%),4 (50%),,2,0,,2,0,1,1.8,1.4,60.2,1.618,17.0,5.4,3.6,39.8,1.072,10.2,4.2,2.0,28.2,18.0,2.0,0.106,0.333,0.137,0.333
8636,2024-10-30T17:30:00.000Z,8534,Empoli,3,0,False,78,1.10,15,5,4,3,686 (91%),13,4,22,0.26,6,1,0,0,162 (76%),12,1,,6,4,0,10,5,,1,4,0,4,2,0.45,0.65,1.10,2.08,0.15,0.12,0.26,0.08,758,235,451,29 (69%),7 (27%),18,37,1,213,107,55,16 (33%),4 (57%),16,10,3,,14,3,4,5,1,,10,9,4,33,3,,43,27 (52%),16 (62%),3 (38%),,35,25 (48%),10 (38%),3 (30%),,1,0,,1,1,3,2.4,2.0,57.6,1.884,17.4,6.8,3.6,42.4,1.458,11.2,4.8,2.6,28.2,21.4,2.0,0.138,0.353,0.179,0.417
