team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9885,2024-08-19T18:45:00.000Z,10171,Como,3,0,True,58,1.20,13,7,3,3,484 (92%),11,3,42,0.17,3,0,0,0,338 (88%),12,0,,6,0,2,9,4,,1,2,0,1,2,1.11,0.09,1.20,2.29,0.17,0.00,0.17,0.00,525,311,173,39 (75%),5 (36%),10,18,4,382,207,131,12 (43%),1 (8%),17,6,1,,15,4,2,10,0,,7,4,1,9,3,,46,33 (62%),13 (81%),7 (70%),,23,20 (38%),3 (19%),2 (25%),,2,0,,4,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9885,2024-08-26T18:45:00.000Z,9876,Hellas Verona,3,0,False,60,1.23,8,5,1,0,546 (88%),8,1,40,0.52,7,1,1,1,331 (86%),8,4,,1,2,0,7,1,,1,5,0,5,2,0.44,0.01,0.44,1.55,0.37,0.15,0.52,0.20,618,389,157,27 (64%),2 (50%),20,17,1,387,127,204,20 (56%),0 (0%),23,15,1,,22,6,4,16,1,,14,8,2,9,2,,45,36 (54%),9 (82%),6 (46%),,33,31 (46%),2 (18%),9 (47%),,0,0,,1,0,3,3.0,0.0,58.0,1.2,13.0,7.0,3.0,42.0,0.17,3.0,0.0,0.0,18.0,6.0,3.0,0.231,0.429,0.0,0.0
9885,2024-09-01T18:45:00.000Z,8686,Roma,0,0,True,50,0.50,8,1,0,0,426 (90%),11,6,50,0.33,7,1,0,0,429 (88%),12,4,,4,3,0,7,1,,2,4,0,3,4,0.34,0.16,0.50,0.55,0.26,0.06,0.33,0.21,475,228,198,12 (41%),4 (22%),11,18,3,487,202,227,13 (43%),2 (12%),18,11,0,,12,6,4,20,1,,14,5,3,20,1,,36,30 (53%),6 (38%),7 (50%),,37,27 (47%),10 (63%),3 (25%),,1,0,,2,0,1,3.0,0.0,59.0,1.215,10.5,6.0,2.0,41.0,0.345,5.0,0.5,0.5,17.5,10.5,3.0,0.286,0.5,0.0,0.0
9885,2024-09-14T16:00:00.000Z,8534,Empoli,0,0,False,66,0.89,15,3,1,1,593 (91%),10,8,34,0.49,8,3,1,1,265 (78%),11,4,,6,6,0,9,6,,3,2,0,4,4,0.54,0.35,0.89,0.86,0.40,0.10,0.49,0.77,653,336,257,20 (51%),5 (25%),21,16,0,340,158,107,14 (31%),3 (33%),19,15,0,,16,4,2,5,3,,24,5,6,21,3,,49,36 (50%),13 (68%),9 (36%),,42,36 (50%),6 (32%),3 (27%),,2,0,,1,0,1,2.0,0.0,56.0,0.977,9.667,4.333,1.333,44.0,0.34,5.667,0.667,0.333,17.667,10.667,2.333,0.207,0.462,0.0,0.0
9885,2024-09-21T16:00:00.000Z,9875,Napoli,0,0,True,65,0.31,9,1,0,0,621 (93%),10,4,35,0.31,8,1,0,0,313 (87%),13,3,,4,4,0,6,3,,2,5,0,3,5,0.31,0.00,0.31,0.01,0.27,0.04,0.31,0.06,667,357,264,20 (57%),3 (16%),14,12,0,361,161,152,20 (69%),4 (33%),13,8,2,,14,8,5,4,2,,17,7,4,16,1,,42,35 (51%),7 (41%),8 (44%),,43,33 (49%),10 (59%),6 (55%),,1,0,,0,0,1,1.5,0.0,58.5,0.955,11.0,4.0,1.25,41.5,0.378,6.25,1.25,0.5,17.25,11.75,2.0,0.136,0.375,0.0,0.0
9885,2024-09-28T16:00:00.000Z,10233,Genoa,3,0,False,66,2.60,12,3,5,3,575 (91%),14,3,34,0.44,7,2,0,0,264 (81%),8,5,,7,2,1,8,4,,1,4,0,2,5,1.66,0.16,1.82,1.70,0.23,0.20,0.44,0.51,633,278,297,14 (56%),5 (28%),15,21,0,326,176,88,23 (52%),4 (31%),15,11,0,,16,3,4,11,2,,12,13,2,19,1,,42,34 (57%),8 (38%),11 (65%),,39,26 (43%),13 (62%),0 (0%),,1,0,,2,0,3,1.2,0.0,59.8,0.826,10.6,3.4,1.0,40.2,0.364,6.6,1.2,0.4,16.2,11.0,1.8,0.113,0.353,0.0,0.0
9885,2024-10-06T10:30:00.000Z,8529,Cagliari,1,1,True,73,2.46,21,9,5,4,654 (93%),13,8,27,1.12,9,2,1,0,190 (79%),10,3,,7,5,1,16,5,,4,3,1,5,4,1.56,0.12,1.67,1.82,0.33,0.00,0.33,0.99,704,362,292,19 (61%),4 (16%),14,36,1,240,105,85,13 (45%),4 (18%),12,17,1,,18,4,3,8,1,,8,8,4,27,8,,50,37 (62%),13 (54%),11 (73%),,34,23 (38%),11 (46%),4 (40%),,3,1,,2,0,1,1.2,0.0,61.4,1.106,10.4,2.6,1.4,38.6,0.418,7.4,1.6,0.4,16.8,12.0,1.8,0.115,0.462,0.0,0.0
9885,2024-10-19T18:45:00.000Z,8543,Lazio,1,0,True,69,1.35,16,3,2,2,546 (90%),16,7,31,0.07,2,1,0,0,209 (78%),9,1,,10,3,1,9,7,,0,1,0,1,1,0.82,0.54,1.35,0.39,0.07,0.00,0.07,0.05,604,253,293,39 (75%),11 (35%),15,30,2,268,123,86,20 (40%),2 (22%),11,6,0,,16,4,1,9,1,,7,6,2,25,3,,43,33 (55%),10 (37%),9 (75%),,44,27 (45%),17 (63%),5 (42%),,4,0,,2,1,3,0.8,0.2,64.0,1.352,13.0,3.4,2.2,36.0,0.538,7.8,1.8,0.4,20.6,12.4,1.4,0.062,0.235,0.026,0.111
9885,2024-10-27T17:00:00.000Z,8636,Inter,4,4,False,53,2.17,10,5,3,1,391 (88%),16,5,47,2.99,18,9,3,1,328 (85%),11,13,,3,2,0,8,2,,4,5,0,16,2,2.15,0.02,2.17,2.45,0.68,0.74,1.42,3.55,444,219,172,47 (76%),2 (17%),12,21,0,384,182,146,18 (49%),5 (24%),8,28,0,,6,5,5,17,5,,7,6,2,13,1,,29,19 (42%),10 (38%),4 (50%),,42,26 (58%),16 (62%),3 (60%),,2,0,,2,0,1,1.0,0.2,67.8,1.522,14.6,3.8,2.6,32.2,0.486,6.8,1.8,0.4,23.0,11.4,1.8,0.068,0.263,0.029,0.111
9885,2024-10-30T19:45:00.000Z,10167,Parma,2,2,True,61,2.43,24,6,5,3,538 (90%),7,10,39,1.17,13,5,3,2,317 (83%),5,6,,10,8,0,17,7,,3,5,0,7,6,1.99,0.44,2.43,2.23,0.95,0.22,1.17,0.87,596,233,305,15 (65%),8 (33%),16,39,3,380,207,110,26 (51%),4 (44%),12,24,2,,17,7,4,11,3,,11,10,9,26,2,,48,36 (60%),12 (52%),15 (83%),,35,24 (40%),11 (48%),6 (38%),,2,0,,0,0,1,1.8,1.0,65.2,1.778,13.6,4.2,3.0,34.8,0.986,8.8,3.0,0.8,24.0,14.0,1.8,0.132,0.429,0.114,0.333
