team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8564,2024-08-17T18:45:00.000Z,9804,Torino,2,2,True,56,2.13,26,6,4,3,453 (92%),10,9,44,0.99,7,3,2,1,358 (87%),7,2,,10,10,0,15,11,,3,1,1,3,4,1.53,0.60,2.13,0.85,0.93,0.06,0.99,1.32,493,155,298,21 (78%),12 (31%),12,41,2,411,247,111,30 (53%),2 (20%),13,8,1,,8,4,1,8,2,,8,2,11,30,3,,43,22 (51%),21 (70%),8 (73%),,30,21 (49%),9 (30%),4 (80%),,3,0,,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8564,2024-08-24T16:30:00.000Z,10167,Parma,1,2,False,61,1.95,17,5,3,2,487 (88%),13,9,39,1.73,9,5,4,2,310 (84%),9,3,,9,3,1,10,7,,3,1,0,7,2,1.56,0.39,1.95,1.62,1.59,0.14,1.73,1.40,551,185,302,11 (42%),5 (19%),14,41,0,371,196,114,23 (44%),0 (0%),12,15,2,,19,11,1,6,3,,17,8,3,29,4,,41,38 (49%),3 (25%),10 (50%),,48,39 (51%),9 (75%),10 (48%),,3,0,,0,0,0,2.0,2.0,56.0,2.13,26.0,6.0,4.0,44.0,0.99,7.0,3.0,2.0,41.0,8.0,1.0,0.077,0.333,0.286,0.667
8564,2024-08-31T18:45:00.000Z,8543,Lazio,2,2,False,58,1.29,10,4,2,1,458 (89%),9,7,42,2.07,7,5,5,3,314 (88%),12,5,,3,3,0,7,3,,0,2,0,7,0,0.51,0.79,1.29,2.09,2.07,0.00,2.07,1.89,517,332,126,9 (29%),3 (23%),14,21,0,357,201,113,18 (50%),3 (13%),22,17,5,,13,8,3,19,2,,15,9,2,11,2,,36,31 (50%),5 (42%),6 (43%),,38,31 (50%),7 (58%),7 (58%),,2,0,,4,0,1,1.5,2.0,58.5,2.04,21.5,5.5,3.5,41.5,1.36,8.0,4.0,3.0,41.0,11.5,0.5,0.07,0.273,0.25,0.5
8564,2024-09-14T18:45:00.000Z,7881,Venezia,4,0,True,62,2.25,12,8,3,1,523 (92%),12,6,38,0.25,6,1,0,0,285 (84%),12,1,,2,2,0,7,5,,4,1,0,0,6,0.54,0.13,0.67,2.86,0.24,0.01,0.25,0.03,571,307,216,28 (74%),3 (20%),13,30,0,338,213,72,15 (38%),2 (20%),14,11,2,,16,6,1,18,1,,16,5,2,18,4,,41,32 (48%),9 (56%),5 (38%),,41,34 (52%),7 (44%),8 (67%),,1,0,,1,1,3,1.667,2.0,58.333,1.79,17.667,5.0,3.0,41.667,1.597,7.667,4.333,3.667,34.333,13.333,0.667,0.094,0.333,0.261,0.462
8564,2024-09-22T18:45:00.000Z,8636,Inter,2,1,False,44,1.70,16,8,6,4,338 (85%),4,2,56,0.73,13,4,2,2,448 (89%),13,6,,5,3,0,13,3,,4,5,0,9,4,1.59,0.11,1.70,2.39,0.55,0.17,0.73,1.04,398,234,104,19 (45%),5 (36%),12,28,0,504,240,208,20 (51%),10 (42%),25,27,2,,10,10,5,17,3,,11,7,3,16,6,,42,31 (65%),11 (44%),9 (60%),,31,17 (35%),14 (56%),3 (50%),,1,0,,4,0,3,2.25,1.5,59.25,1.905,16.25,5.75,3.0,40.75,1.26,7.25,3.5,2.75,33.25,12.75,1.25,0.138,0.391,0.207,0.429
8564,2024-09-27T18:45:00.000Z,9888,Lecce,3,0,True,57,1.65,15,6,6,4,457 (92%),5,4,43,0.49,16,7,0,0,331 (89%),8,7,,7,2,2,11,4,,6,3,0,7,9,1.50,0.15,1.65,1.87,0.23,0.26,0.49,0.46,498,187,270,24 (73%),3 (18%),13,20,0,372,207,124,25 (61%),7 (39%),9,16,4,,16,3,3,10,7,,14,2,2,11,3,,47,37 (63%),10 (59%),13 (68%),,29,22 (37%),7 (41%),5 (56%),,1,1,,1,0,3,2.2,1.4,56.2,1.864,16.2,6.2,3.6,43.8,1.154,8.4,3.6,2.6,32.2,15.6,1.6,0.136,0.355,0.167,0.389
8564,2024-10-06T18:45:00.000Z,8535,Fiorentina,1,2,False,60,2.67,16,8,3,3,379 (86%),21,7,40,1.47,12,3,2,2,236 (79%),11,0,,5,3,0,12,4,,8,1,1,7,5,0.65,0.44,1.09,3.24,0.58,0.10,0.68,1.40,440,181,198,18 (60%),9 (35%),16,34,0,297,124,112,15 (32%),1 (7%),21,16,4,,10,10,0,13,1,,16,8,3,28,7,,48,31 (44%),17 (59%),10 (56%),,52,40 (56%),12 (41%),4 (44%),,3,1,,2,0,0,2.4,1.0,56.4,1.768,14.0,6.2,4.0,43.6,1.054,10.2,4.4,2.2,28.0,17.2,2.0,0.171,0.387,0.098,0.227
8564,2024-10-19T16:00:00.000Z,8600,Udinese,1,0,True,44,1.18,10,5,1,1,278 (83%),3,8,56,0.44,13,1,1,1,362 (89%),14,4,,1,4,0,10,0,,11,1,0,7,6,1.12,0.07,1.18,1.75,0.27,0.18,0.44,0.12,335,187,91,19 (40%),3 (23%),14,22,3,406,153,209,20 (51%),11 (31%),13,20,3,,8,3,0,30,1,,12,5,4,18,4,,46,31 (57%),15 (48%),9 (56%),,39,23 (43%),16 (52%),8 (73%),,2,1,,3,0,3,2.4,1.0,56.2,1.912,13.8,6.8,4.0,43.8,1.002,10.8,4.0,1.8,26.6,17.4,2.0,0.174,0.353,0.093,0.25
8564,2024-10-29T19:45:00.000Z,9875,Napoli,0,2,True,61,0.69,13,5,1,1,501 (89%),14,5,39,1.13,9,4,1,0,308 (86%),6,1,,6,2,0,9,4,,4,1,0,7,2,0.61,0.08,0.69,0.83,0.81,0.32,1.13,1.38,560,213,288,24 (73%),5 (26%),17,30,3,359,200,108,24 (59%),0 (0%),17,16,2,,25,6,0,8,2,,19,10,2,31,5,,48,40 (51%),8 (40%),9 (38%),,50,38 (49%),12 (60%),5 (33%),,0,0,,1,0,0,2.2,0.6,53.4,1.89,13.8,7.0,3.8,46.6,0.676,12.0,3.2,1.0,26.8,18.0,2.4,0.159,0.314,0.05,0.187
8564,2024-11-02T19:45:00.000Z,6504,Monza,1,0,False,56,2.56,18,7,6,5,425 (90%),15,5,44,1.18,12,2,2,2,309 (86%),18,3,,6,5,0,14,4,,7,3,0,5,7,2.04,0.52,2.56,2.11,0.93,0.25,1.18,0.20,472,270,155,19 (51%),6 (32%),15,34,1,359,198,111,30 (65%),5 (31%),9,10,2,,7,9,3,11,2,,15,4,4,15,6,,48,35 (51%),13 (57%),11 (61%),,43,33 (49%),10 (43%),5 (56%),,1,0,,2,0,3,1.4,1.0,53.2,1.578,14.0,6.4,3.4,46.8,0.852,12.6,3.8,1.2,26.8,19.0,1.8,0.1,0.219,0.079,0.263
