team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10167,2024-08-17T16:30:00.000Z,8535,Fiorentina,1,1,True,39,1.82,14,6,3,3,199 (75%),15,4,61,0.75,15,7,1,1,353 (85%),9,9,,4,4,1,12,2,,3,5,0,6,9,1.54,0.29,1.82,1.57,0.65,0.11,0.75,1.49,265,103,96,19 (40%),1 (9%),14,23,1,416,176,177,21 (48%),2 (10%),15,19,5,,16,8,5,28,6,,7,5,4,25,5,,39,30 (53%),9 (45%),6 (75%),,38,27 (47%),11 (55%),9 (56%),,3,0,,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10167,2024-08-24T16:30:00.000Z,8564,Milan,2,1,True,39,1.73,9,5,4,2,310 (84%),9,3,61,1.95,17,5,3,2,487 (88%),13,9,,3,1,0,7,2,,9,3,1,10,7,1.59,0.14,1.73,1.40,1.56,0.39,1.95,1.62,371,196,114,23 (44%),0 (0%),12,15,2,551,185,302,11 (42%),5 (19%),14,41,0,,17,8,3,29,4,,19,11,1,6,3,,48,39 (51%),9 (75%),10 (48%),,41,38 (49%),3 (25%),10 (50%),,0,0,,3,0,3,1.0,1.0,39.0,1.82,14.0,6.0,3.0,61.0,0.75,15.0,7.0,1.0,23.0,19.0,1.0,0.071,0.167,0.067,0.143
10167,2024-08-31T18:45:00.000Z,9875,Napoli,1,2,False,46,1.76,13,2,2,1,334 (84%),6,4,54,2.19,29,7,3,1,396 (86%),12,6,,6,5,2,7,6,,10,12,1,18,11,0.94,0.03,0.97,1.15,1.62,0.57,2.19,1.28,398,213,121,22 (42%),2 (25%),15,22,0,460,93,303,23 (74%),7 (22%),23,58,4,,19,8,12,37,5,,14,5,5,10,1,,40,34 (57%),6 (29%),3 (43%),,41,26 (43%),15 (71%),6 (46%),,2,1,,2,0,0,1.5,1.0,39.0,1.775,11.5,5.5,3.5,61.0,1.35,16.0,6.0,2.0,19.0,30.0,2.0,0.13,0.273,0.062,0.167
10167,2024-09-16T16:30:00.000Z,8600,Udinese,2,3,True,47,0.80,9,3,1,0,345 (82%),8,5,53,2.66,18,6,4,1,394 (87%),18,6,,5,1,0,7,2,,8,4,1,13,5,0.68,0.13,0.80,1.11,2.63,0.03,2.66,2.61,423,217,128,22 (48%),2 (50%),15,19,2,453,220,174,36 (62%),8 (32%),16,27,4,,8,4,3,24,4,,14,15,1,12,1,,39,30 (53%),9 (43%),7 (58%),,39,27 (47%),12 (57%),6 (60%),,0,1,,3,0,0,1.333,1.333,41.333,1.77,12.0,4.333,3.0,58.667,1.63,20.333,6.333,2.333,20.0,39.333,1.333,0.111,0.308,0.066,0.21
10167,2024-09-21T18:45:00.000Z,9888,Lecce,2,2,False,62,2.11,25,10,2,1,457 (86%),11,12,38,1.51,14,3,1,0,259 (80%),12,2,,3,12,0,16,9,,6,5,0,7,7,1.43,0.68,2.11,2.26,1.44,0.06,1.51,1.18,533,168,289,18 (53%),3 (21%),13,40,1,323,128,131,21 (48%),0 (0%),17,16,4,,18,10,5,7,1,,23,11,12,21,8,,46,39 (52%),7 (33%),11 (50%),,50,36 (48%),14 (67%),3 (21%),,0,1,,4,1,1,1.5,1.75,42.75,1.528,11.25,4.0,2.5,57.25,1.887,19.75,6.25,2.75,19.75,36.25,1.0,0.133,0.375,0.089,0.28
10167,2024-09-30T18:45:00.000Z,8529,Cagliari,2,3,True,61,2.38,18,4,6,4,483 (85%),10,5,39,2.38,12,4,7,5,266 (76%),16,3,,10,4,0,10,8,,7,1,2,7,5,1.29,0.30,1.59,2.45,1.93,0.45,2.38,2.96,566,261,222,19 (40%),5 (33%),14,33,1,351,157,109,18 (35%),4 (29%),18,16,4,,10,4,1,16,1,,13,11,3,18,2,,38,26 (46%),12 (57%),3 (43%),,39,30 (54%),9 (43%),8 (53%),,3,0,,2,0,0,1.6,1.8,46.6,1.644,14.0,5.2,2.4,53.4,1.812,18.6,5.6,2.4,23.8,32.2,1.0,0.114,0.308,0.097,0.321
10167,2024-10-06T13:00:00.000Z,9857,Bologna,0,0,False,29,0.77,13,2,1,1,161 (69%),16,6,71,0.80,19,3,0,0,493 (86%),15,13,,5,6,0,9,4,,9,7,0,14,5,0.70,0.07,0.77,0.24,0.60,0.19,0.80,0.31,235,89,72,13 (24%),4 (40%),11,19,0,570,205,288,22 (50%),9 (28%),17,29,3,,13,10,7,26,3,,18,4,6,8,2,,49,32 (44%),17 (52%),6 (40%),,56,40 (56%),16 (48%),6 (50%),,0,1,,1,0,1,1.8,2.2,51.0,1.756,14.8,4.8,3.0,49.0,2.138,18.0,5.0,3.6,25.8,31.6,0.8,0.122,0.375,0.122,0.44
10167,2024-10-19T13:00:00.000Z,10171,Como,1,1,False,39,0.51,9,3,1,0,300 (82%),10,4,61,1.28,12,3,2,1,510 (87%),14,7,,6,0,2,2,7,,4,5,1,10,2,0.42,0.08,0.51,0.91,1.12,0.16,1.28,1.02,367,150,150,25 (48%),0 (0%),20,15,2,585,274,236,24 (56%),4 (20%),15,26,7,,9,10,5,15,2,,18,10,0,17,2,,36,32 (51%),4 (40%),9 (50%),,37,31 (49%),6 (60%),4 (44%),,2,0,,1,0,1,1.4,2.0,49.0,1.564,15.6,4.2,2.4,51.0,1.908,18.4,4.6,3.0,26.6,29.2,0.4,0.09,0.333,0.109,0.435
10167,2024-10-27T11:30:00.000Z,8534,Empoli,1,1,True,60,1.74,17,4,1,1,455 (86%),12,9,40,0.13,5,1,1,1,279 (80%),17,3,,8,5,2,9,8,,4,0,0,3,2,0.67,0.27,0.95,0.96,0.09,0.04,0.13,0.01,528,227,228,22 (52%),4 (21%),23,22,1,350,197,82,19 (40%),1 (8%),14,14,2,,15,8,0,13,1,,15,8,5,27,3,,51,37 (54%),14 (78%),6 (46%),,36,32 (46%),4 (22%),6 (60%),,4,0,,5,0,1,1.4,1.8,47.6,1.314,14.8,4.4,2.2,52.4,1.726,15.0,3.8,2.8,25.2,22.8,0.6,0.095,0.318,0.12,0.474
10167,2024-10-30T19:45:00.000Z,9885,Juventus,2,2,False,39,1.17,13,5,3,2,317 (83%),5,6,61,2.43,24,6,5,3,538 (90%),7,10,,3,5,0,7,6,,10,8,0,17,7,0.95,0.22,1.17,0.87,1.99,0.44,2.43,2.23,380,207,110,26 (51%),4 (44%),12,24,2,596,233,305,15 (65%),8 (33%),16,39,3,,11,10,9,26,2,,17,7,4,11,3,,35,24 (40%),11 (48%),6 (38%),,48,36 (60%),12 (52%),15 (83%),,0,0,,2,0,1,1.2,1.4,50.2,1.502,16.4,4.6,2.2,49.8,1.22,12.4,2.8,2.2,25.8,20.2,0.8,0.073,0.261,0.113,0.5
10167,2024-11-04T17:30:00.000Z,10233,Genoa,0,1,True,55,1.11,13,0,0,0,355 (78%),5,3,45,1.39,15,7,2,1,271 (77%),18,7,,9,4,0,8,5,,7,1,1,12,3,0.80,0.32,1.11,0.00,1.22,0.17,1.39,1.46,456,172,183,20 (37%),2 (15%),25,22,0,354,124,147,25 (40%),10 (33%),16,22,2,,21,2,2,22,6,,17,10,4,20,0,,59,35 (60%),24 (52%),1 (25%),,45,23 (40%),22 (48%),1 (8%),,2,0,,5,0,0,1.2,1.4,45.6,1.314,14.0,3.6,2.4,54.4,1.404,14.4,3.4,3.0,22.6,24.8,0.8,0.086,0.333,0.097,0.412
10167,2024-11-09T14:00:00.000Z,7881,Venezia,2,1,False,33,0.98,10,3,1,0,207 (72%),10,6,67,0.93,12,6,2,2,496 (86%),9,6,,4,3,0,5,5,,4,2,0,7,5,0.95,0.03,0.98,1.25,0.66,0.26,0.93,1.54,288,97,110,17 (30%),1 (8%),10,11,1,577,224,272,22 (50%),8 (23%),21,26,5,,14,10,2,25,5,,17,12,3,13,1,,38,28 (48%),10 (42%),5 (33%),,44,30 (52%),14 (58%),4 (50%),,2,0,,1,0,3,0.8,1.0,44.4,1.06,13.0,2.8,1.2,55.6,1.206,15.0,4.0,2.0,20.4,26.0,0.8,0.062,0.286,0.067,0.25
