team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8600,2024-08-18T16:30:00.000Z,9857,Bologna,1,1,False,26,0.99,4,2,1,1,131 (66%),17,5,74,3.25,22,7,5,4,493 (88%),17,9,,0,2,0,3,1,,8,7,0,17,5,0.01,0.18,0.20,1.37,2.18,0.28,2.46,2.16,200,79,52,18 (35%),2 (14%),17,11,1,562,266,227,37 (73%),8 (26%),17,40,1,,15,10,8,24,5,,16,3,2,15,1,,48,38 (51%),10 (36%),7 (41%),,54,36 (49%),18 (64%),6 (60%),,4,0,,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8600,2024-08-24T16:30:00.000Z,8543,Lazio,2,1,True,34,0.85,8,3,2,0,190 (73%),15,4,66,1.31,17,5,2,1,401 (86%),10,13,,4,1,0,5,3,,10,2,1,14,3,0.85,0.00,0.85,1.61,0.98,0.33,1.31,1.82,260,102,88,26 (51%),2 (17%),13,10,2,469,210,191,23 (55%),11 (24%),29,29,2,,18,9,3,35,3,,11,6,1,8,1,,51,34 (49%),17 (55%),7 (50%),,49,35 (51%),14 (45%),9 (60%),,2,1,,1,0,3,1.0,1.0,26.0,0.99,4.0,2.0,1.0,74.0,3.25,22.0,7.0,5.0,11.0,40.0,1.0,0.25,0.5,0.045,0.143
8600,2024-09-01T18:45:00.000Z,10171,Como,1,0,True,44,0.98,10,3,1,1,321 (82%),16,4,56,1.68,21,4,1,1,417 (85%),9,6,,5,2,0,7,3,,10,7,0,15,6,0.78,0.19,0.98,0.62,0.50,0.39,0.89,0.31,390,211,110,23 (47%),6 (50%),15,20,2,491,202,215,20 (48%),8 (32%),21,30,1,,22,11,6,21,4,,26,11,3,20,1,,61,43 (47%),18 (51%),14 (54%),,65,48 (53%),17 (49%),11 (73%),,3,0,,0,0,3,1.5,1.0,30.0,0.92,6.0,2.5,1.5,70.0,2.28,19.5,6.0,3.5,10.5,34.5,2.0,0.25,0.6,0.051,0.167
8600,2024-09-16T16:30:00.000Z,10167,Parma,3,2,False,53,2.66,18,6,4,1,394 (87%),18,6,47,0.80,9,3,1,0,345 (82%),8,5,,8,4,1,13,5,,5,1,0,7,2,2.63,0.03,2.66,2.61,0.68,0.13,0.80,1.11,453,220,174,36 (62%),8 (32%),16,27,4,423,217,128,22 (48%),2 (50%),15,19,2,,14,15,1,12,1,,8,4,3,24,4,,39,27 (47%),12 (57%),6 (60%),,39,30 (53%),9 (43%),7 (58%),,3,0,,0,1,3,1.333,0.667,34.667,0.94,7.333,2.667,1.333,65.333,2.08,20.0,5.333,2.667,13.667,33.0,2.333,0.182,0.5,0.033,0.125
8600,2024-09-22T16:00:00.000Z,8686,Roma,0,3,False,38,0.73,9,2,0,0,277 (79%),11,1,62,1.90,16,8,3,1,495 (87%),15,2,,4,3,1,5,4,,4,4,0,12,4,0.71,0.02,0.73,0.88,0.91,0.20,1.11,2.60,349,183,94,19 (41%),2 (33%),11,22,1,570,231,264,16 (37%),5 (42%),12,37,4,,13,11,4,15,5,,10,7,3,11,2,,44,29 (54%),15 (65%),1 (25%),,33,25 (46%),8 (35%),5 (38%),,2,0,,2,0,0,1.75,1.0,39.25,1.37,10.0,3.5,2.0,60.75,1.76,17.25,4.75,2.25,17.0,29.5,2.5,0.175,0.5,0.058,0.211
8600,2024-09-28T13:00:00.000Z,8636,Inter,2,3,True,40,0.77,9,3,2,1,327 (85%),13,7,60,2.22,16,7,4,2,538 (90%),6,3,,1,5,0,7,2,,6,3,0,12,4,0.48,0.29,0.77,1.16,2.16,0.06,2.22,2.15,383,183,144,30 (60%),7 (30%),15,24,0,600,349,189,45 (67%),11 (55%),11,22,3,,10,4,3,14,4,,15,6,5,24,1,,35,25 (47%),10 (43%),10 (53%),,41,28 (53%),13 (57%),2 (20%),,1,0,,0,0,0,1.4,1.4,39.0,1.242,9.8,3.2,1.6,61.0,1.788,17.0,5.4,2.4,18.0,31.0,2.0,0.143,0.437,0.082,0.259
8600,2024-10-05T13:00:00.000Z,9888,Lecce,1,0,True,56,0.87,12,4,2,2,351 (80%),12,5,44,0.51,9,3,1,1,270 (77%),16,0,,4,4,2,9,3,,5,1,0,5,4,0.23,0.64,0.87,0.90,0.47,0.03,0.51,0.21,439,183,168,18 (35%),9 (33%),17,22,0,349,167,103,36 (60%),0 (0%),25,17,3,,19,12,1,9,3,,22,14,3,19,3,,54,41 (48%),13 (48%),7 (44%),,58,44 (52%),14 (52%),10 (45%),,2,0,,2,0,3,1.6,1.8,41.8,1.198,10.8,3.4,1.8,58.2,1.582,15.8,5.4,2.2,20.6,27.4,1.8,0.148,0.471,0.114,0.333
8600,2024-10-19T16:00:00.000Z,8564,Milan,0,1,False,56,0.44,13,1,1,1,362 (89%),14,4,44,1.18,10,5,1,1,278 (83%),3,8,,11,1,0,7,6,,1,4,0,10,0,0.27,0.18,0.44,0.12,1.12,0.07,1.18,1.75,406,153,209,20 (51%),11 (31%),13,20,3,335,187,91,19 (40%),3 (23%),14,22,3,,12,5,4,18,4,,8,3,0,30,1,,39,23 (43%),16 (52%),8 (73%),,46,31 (57%),15 (48%),9 (56%),,3,0,,2,1,0,1.4,1.6,46.2,1.202,11.6,3.6,1.8,53.8,1.422,14.2,5.0,2.0,23.0,25.0,1.8,0.121,0.389,0.113,0.32
8600,2024-10-25T16:30:00.000Z,8529,Cagliari,2,0,True,64,1.03,13,4,1,0,484 (91%),14,2,36,0.43,3,0,0,0,235 (80%),9,4,,7,2,0,6,7,,3,0,0,2,1,0.54,0.49,1.03,1.79,0.01,0.42,0.43,0.00,531,230,254,30 (67%),5 (29%),19,29,2,294,179,56,14 (35%),2 (18%),14,3,1,,15,8,0,13,0,,15,3,2,21,2,,40,30 (48%),10 (50%),6 (43%),,43,33 (52%),10 (50%),5 (29%),,2,0,,1,1,3,1.2,1.8,48.6,1.094,12.2,3.2,1.8,51.4,1.322,12.0,5.2,2.0,23.0,23.4,1.2,0.098,0.375,0.15,0.346
8600,2024-10-30T17:30:00.000Z,7881,Venezia,2,3,False,43,0.86,15,5,1,1,263 (77%),13,6,57,2.39,18,7,2,0,384 (82%),9,2,,8,2,0,10,5,,5,6,0,9,9,0.58,0.28,0.86,1.08,0.62,0.19,0.81,3.65,342,180,83,23 (40%),5 (29%),18,22,0,466,171,213,9 (31%),2 (14%),25,22,3,,17,6,4,26,4,,17,9,2,18,3,,49,36 (50%),13 (46%),10 (53%),,51,36 (50%),15 (54%),9 (60%),,4,1,,3,0,0,1.0,1.4,50.8,0.768,11.2,2.8,1.2,49.2,1.248,10.8,4.6,1.8,23.4,20.2,1.2,0.089,0.357,0.13,0.304
8600,2024-11-02T17:00:00.000Z,9885,Juventus,0,2,True,38,0.60,11,2,0,0,264 (83%),12,10,62,1.29,11,5,2,2,472 (88%),14,3,,3,6,1,8,3,,3,3,2,9,2,0.41,0.19,0.60,0.44,1.22,0.06,1.29,2.40,318,132,132,24 (63%),4 (18%),12,17,1,537,335,137,21 (44%),2 (15%),8,16,3,,9,5,3,12,4,,21,9,6,22,2,,41,28 (41%),13 (57%),5 (29%),,50,40 (59%),10 (43%),7 (70%),,2,0,,2,0,0,1.4,1.4,51.8,0.794,12.4,3.4,1.4,48.2,1.346,11.2,4.4,1.6,23.4,17.2,1.2,0.113,0.412,0.125,0.318
8600,2024-11-10T11:30:00.000Z,8524,Atalanta,1,2,False,46,0.84,11,6,1,1,271 (74%),13,5,54,0.91,10,3,3,2,327 (77%),10,4,,3,2,1,7,4,,4,3,0,9,1,0.80,0.03,0.84,2.49,0.64,0.27,0.91,1.07,365,146,125,23 (38%),3 (18%),31,20,0,425,198,129,22 (42%),5 (24%),36,23,2,,17,12,2,23,2,,14,7,1,22,5,,45,34 (57%),11 (35%),7 (50%),,46,26 (43%),20 (65%),2 (17%),,1,0,,1,0,0,1.0,1.2,51.4,0.76,12.8,3.2,1.0,48.6,1.16,10.2,4.0,1.2,22.0,16.0,1.2,0.078,0.312,0.118,0.3
8600,2024-11-25T17:30:00.000Z,8534,Empoli,1,1,False,70,0.83,16,3,1,0,549 (86%),13,8,30,0.13,4,2,0,0,194 (69%),8,1,,7,6,0,13,3,,1,1,1,0,4,0.43,0.40,0.83,1.16,0.11,0.02,0.13,0.09,640,293,256,42 (61%),7 (18%),23,36,0,280,136,58,20 (33%),0 (0%),13,2,1,,12,5,1,5,1,,20,9,5,48,2,,52,28 (45%),24 (57%),8 (50%),,52,34 (55%),18 (43%),3 (33%),,2,0,,3,0,1,1.0,1.6,49.4,0.754,12.6,3.6,0.8,50.6,1.24,10.4,4.0,1.6,21.6,17.2,0.6,0.079,0.278,0.154,0.4
8600,2024-12-01T11:30:00.000Z,10233,Genoa,0,2,True,46,0.17,4,2,0,0,337 (84%),13,6,54,1.64,14,4,2,1,414 (88%),11,4,,0,2,0,1,3,,5,5,0,8,6,0.17,0.00,0.17,0.12,1.38,0.26,1.64,1.43,402,200,137,28 (54%),0 (0%),17,7,0,469,236,178,38 (63%),5 (29%),22,30,4,,16,9,5,17,2,,27,8,2,21,2,,49,35 (44%),14 (61%),9 (45%),,54,45 (56%),9 (39%),5 (33%),,2,1,,3,0,0,1.2,1.6,52.2,0.832,13.2,4.0,0.8,47.8,1.03,9.2,3.4,1.4,24.8,13.2,0.8,0.091,0.3,0.174,0.471
