team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8634,2024-08-17T19:30:00.000Z,10267,Valencia,2,1,False,64,3.22,18,6,5,3,499 (86%),13,8,36,1.01,6,2,3,2,243 (77%),11,3,,6,6,0,12,6,,3,1,0,4,2,2.28,0.16,2.43,2.53,0.86,0.15,1.01,0.91,578,232,267,30 (60%),6 (38%),16,32,1,315,156,87,20 (38%),5 (36%),23,13,7,,14,4,2,12,1,,19,6,6,19,4,,42,33 (47%),9 (41%),9 (53%),,50,37 (53%),13 (59%),6 (40%),,3,0,,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8634,2024-08-24T17:00:00.000Z,8315,Athletic Club,2,1,True,65,1.83,13,5,5,4,497 (88%),11,5,35,1.03,8,2,1,0,232 (79%),16,6,,5,3,2,9,4,,3,3,0,6,2,1.53,0.30,1.83,1.66,0.14,0.10,0.24,0.81,568,270,227,26 (72%),5 (36%),15,28,2,293,120,112,25 (47%),2 (13%),18,21,5,,17,5,3,11,1,,16,11,3,15,3,,57,46 (58%),11 (58%),13 (50%),,41,33 (42%),8 (42%),6 (43%),,4,0,,5,0,3,2.0,1.0,64.0,3.22,18.0,6.0,5.0,36.0,1.01,6.0,2.0,3.0,32.0,13.0,3.0,0.111,0.333,0.167,0.5
8634,2024-08-27T19:30:00.000Z,8370,Rayo Vallecano,2,1,False,65,1.41,22,5,1,1,444 (84%),11,6,35,0.37,8,4,0,0,201 (75%),17,6,,6,11,1,11,11,,3,1,0,6,2,1.18,0.23,1.41,1.70,0.27,0.10,0.37,0.36,529,195,249,20 (53%),6 (38%),25,39,1,269,98,103,26 (45%),5 (21%),17,19,4,,8,3,1,23,3,,21,17,11,24,3,,51,40 (53%),11 (52%),16 (59%),,45,35 (47%),10 (48%),3 (33%),,1,0,,3,0,3,2.0,1.0,64.5,2.525,15.5,5.5,5.0,35.5,1.02,7.0,2.0,2.0,30.0,17.0,3.0,0.129,0.364,0.143,0.5
8634,2024-08-31T15:00:00.000Z,10281,Real Valladolid,7,0,True,70,4.77,23,11,10,4,545 (92%),6,10,30,0.52,4,1,1,1,197 (79%),12,1,,7,5,3,17,6,,2,1,0,2,2,4.20,0.57,4.77,4.00,0.52,0.00,0.52,0.34,594,240,305,16 (67%),5 (29%),15,44,4,248,144,53,29 (54%),0 (0%),5,13,4,,16,4,1,7,1,,16,6,5,27,4,,46,39 (57%),7 (50%),12 (55%),,36,29 (43%),7 (50%),7 (70%),,0,0,,3,0,3,2.0,1.0,64.667,2.153,17.667,5.333,3.667,35.333,0.803,7.333,2.667,1.333,33.0,17.667,3.0,0.113,0.375,0.136,0.375
8634,2024-09-15T14:15:00.000Z,7732,Girona,4,1,False,55,1.88,20,9,4,2,414 (87%),4,6,45,1.29,9,4,2,1,343 (88%),13,1,,9,2,0,13,7,,3,2,0,7,2,1.75,0.13,1.88,3.48,1.29,0.00,1.29,1.26,475,237,177,27 (71%),2 (11%),23,34,0,392,228,115,22 (61%),5 (42%),13,16,7,,19,1,1,9,3,,17,6,2,22,5,,47,42 (59%),5 (83%),10 (53%),,30,29 (41%),1 (17%),9 (53%),,2,1,,3,0,3,3.25,0.75,66.0,2.808,19.0,6.75,5.25,34.0,0.733,6.5,2.25,1.25,35.75,16.5,3.0,0.171,0.481,0.115,0.333
8634,2024-09-22T16:30:00.000Z,10205,Villarreal,5,1,False,65,3.97,17,10,8,5,556 (91%),12,3,35,2.17,13,4,5,4,265 (81%),11,7,,4,3,2,14,3,,7,2,1,12,1,2.19,1.00,3.18,3.51,2.04,0.13,2.17,1.12,613,279,277,27 (75%),5 (29%),11,33,0,326,165,100,25 (50%),4 (25%),17,24,7,,15,9,2,23,3,,18,11,4,15,4,,40,33 (46%),7 (58%),9 (64%),,43,38 (54%),5 (42%),8 (50%),,1,0,,6,0,3,3.4,0.8,63.8,2.622,19.2,7.2,5.0,36.2,0.844,7.0,2.6,1.4,35.4,16.4,3.0,0.177,0.472,0.114,0.308
8634,2024-09-25T19:00:00.000Z,8305,Getafe,1,0,True,78,1.93,15,4,4,3,555 (89%),4,7,22,0.69,7,1,2,2,90 (54%),15,5,,6,5,1,6,9,,3,3,0,5,2,1.40,0.53,1.93,1.42,0.68,0.02,0.69,0.06,625,206,349,26 (65%),2 (11%),22,29,5,167,38,52,12 (27%),4 (22%),17,14,7,,13,4,3,17,1,,24,3,5,30,3,,54,39 (56%),15 (65%),12 (44%),,39,31 (44%),8 (35%),3 (27%),,1,0,,1,0,3,4.0,0.8,64.0,2.772,19.0,8.0,5.6,36.0,1.076,8.4,3.0,1.8,35.6,18.6,3.0,0.211,0.5,0.095,0.267
8634,2024-09-28T19:00:00.000Z,8371,Osasuna,2,4,False,75,0.83,12,6,1,1,588 (87%),3,8,25,2.23,11,5,3,0,140 (64%),13,5,,4,2,1,6,6,,5,1,0,9,2,0.58,0.25,0.83,1.41,1.34,0.10,1.44,2.89,674,232,356,21 (49%),5 (31%),18,26,0,218,60,80,26 (43%),5 (29%),24,26,10,,15,7,0,18,1,,18,9,2,29,4,,47,40 (61%),7 (32%),12 (55%),,41,26 (39%),15 (68%),5 (45%),,2,0,,2,0,0,3.8,0.6,66.6,2.792,19.4,7.8,5.4,33.4,1.008,8.2,2.8,2.0,35.8,17.2,3.0,0.196,0.487,0.073,0.214
8634,2024-10-06T14:15:00.000Z,9866,Deportivo Alaves,3,0,False,72,2.67,15,9,5,2,598 (90%),8,3,28,0.74,11,2,1,1,166 (72%),13,11,,1,5,1,11,4,,5,4,1,7,4,2.26,0.41,2.67,4.12,0.59,0.15,0.74,0.37,661,371,227,28 (54%),3 (43%),16,25,3,232,85,81,29 (57%),5 (25%),20,25,11,,19,6,3,23,2,,12,6,5,16,6,,50,42 (63%),8 (44%),11 (61%),,35,25 (37%),10 (56%),5 (38%),,2,0,,2,0,3,3.8,1.2,68.6,2.676,17.4,8.0,5.4,31.4,1.38,8.8,3.0,2.6,33.2,18.6,2.4,0.218,0.475,0.136,0.4
8634,2024-10-20T19:00:00.000Z,8302,Sevilla,5,1,True,67,3.89,21,9,7,5,558 (91%),6,5,33,0.92,7,1,1,0,235 (79%),14,5,,8,4,0,14,7,,2,4,0,5,2,2.42,0.68,3.10,4.54,0.84,0.08,0.92,0.77,613,252,306,27 (71%),1 (7%),20,40,3,297,177,58,16 (40%),2 (29%),12,13,3,,17,7,4,5,0,,22,12,4,23,4,,51,45 (56%),6 (46%),14 (58%),,43,36 (44%),7 (54%),10 (53%),,1,0,,2,0,3,3.0,1.2,69.0,2.256,15.8,7.6,4.4,31.0,1.424,10.2,3.2,2.6,29.4,21.0,2.4,0.19,0.395,0.118,0.375
