team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9866,2024-08-16T17:00:00.000Z,9910,Celta Vigo,1,2,False,36,1.60,10,2,4,3,218 (73%),23,3,64,0.83,6,4,2,1,471 (85%),8,3,,5,3,0,8,2,,2,0,0,3,3,1.56,0.04,1.60,0.98,0.80,0.04,0.83,1.74,299,90,128,26 (36%),6 (32%),22,22,3,551,246,225,23 (52%),3 (23%),25,16,4,,17,8,0,11,2,,18,11,3,21,1,,33,27 (37%),6 (33%),4 (29%),,58,46 (63%),12 (67%),6 (40%),,2,0,,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9866,2024-08-25T17:15:00.000Z,8603,Real Betis,0,0,True,37,0.21,5,1,0,0,201 (67%),17,3,63,1.49,15,3,3,3,438 (83%),16,8,,1,3,0,3,2,,9,3,0,10,5,0.21,0.00,0.21,0.09,1.23,0.26,1.49,0.39,301,92,109,25 (47%),6 (24%),23,15,1,530,258,180,24 (39%),7 (41%),24,23,1,,19,14,2,16,3,,15,10,3,18,1,,49,40 (51%),9 (39%),6 (38%),,52,38 (49%),14 (61%),8 (47%),,1,1,,4,0,1,1.0,2.0,36.0,1.6,10.0,2.0,4.0,64.0,0.83,6.0,4.0,2.0,22.0,16.0,0.0,0.1,0.5,0.333,0.5
9866,2024-08-28T19:30:00.000Z,8560,Real Sociedad,2,1,False,47,1.59,14,5,4,2,226 (74%),13,6,53,1.03,10,1,2,1,269 (77%),16,8,,8,1,1,11,3,,6,3,0,6,4,0.64,0.17,0.81,2.20,0.85,0.18,1.03,0.50,305,111,115,24 (41%),8 (36%),20,25,3,350,143,126,18 (38%),9 (43%),21,20,3,,13,6,3,25,0,,12,4,1,21,3,,48,33 (51%),15 (39%),6 (55%),,55,32 (49%),23 (61%),7 (44%),,4,0,,4,1,3,0.5,1.0,36.5,0.905,7.5,1.5,2.0,63.5,1.16,10.5,3.5,2.5,18.5,19.5,0.5,0.067,0.333,0.095,0.286
9866,2024-09-01T15:00:00.000Z,8306,Las Palmas,2,0,True,29,2.04,15,5,2,1,167 (70%),13,6,71,0.68,12,6,1,1,524 (87%),9,5,,6,4,0,9,6,,5,1,0,7,5,1.16,0.10,1.25,1.80,0.60,0.07,0.68,1.06,239,74,93,16 (30%),8 (50%),18,25,1,603,301,223,22 (50%),3 (17%),20,14,0,,16,8,1,21,6,,10,4,4,18,3,,44,31 (49%),13 (42%),7 (58%),,50,32 (51%),18 (58%),9 (69%),,3,0,,0,0,3,1.0,1.0,40.0,1.133,9.667,2.667,2.667,60.0,1.117,10.333,2.667,2.333,20.667,19.667,1.333,0.103,0.375,0.097,0.375
9866,2024-09-14T14:15:00.000Z,8558,Espanyol,2,3,False,62,1.91,19,6,4,2,333 (78%),14,5,38,1.58,9,4,3,1,199 (75%),17,0,,7,6,0,16,3,,4,1,0,7,2,1.11,0.81,1.91,3.07,0.68,0.10,0.79,2.79,425,135,198,40 (61%),12 (32%),21,39,0,265,136,63,23 (43%),2 (18%),20,18,3,,16,11,1,7,1,,17,4,6,45,4,,51,36 (52%),15 (43%),5 (42%),,53,33 (48%),20 (57%),4 (36%),,3,0,,2,0,0,1.25,0.75,37.25,1.36,11.0,3.25,2.5,62.75,1.008,10.75,3.5,2.0,21.75,18.25,1.75,0.114,0.385,0.07,0.214
9866,2024-09-20T19:00:00.000Z,8302,Sevilla,2,1,True,34,1.10,10,4,1,0,162 (62%),11,3,66,0.52,8,2,1,1,421 (84%),16,5,,3,3,1,7,3,,3,3,0,4,4,0.94,0.16,1.10,0.77,0.52,0.00,0.52,1.49,263,74,88,27 (40%),2 (17%),18,18,1,501,258,163,24 (50%),2 (12%),26,13,2,,22,6,2,18,1,,12,11,3,13,2,,54,40 (53%),14 (41%),2 (20%),,55,35 (47%),20 (59%),12 (57%),,1,0,,4,0,3,1.4,1.2,42.2,1.47,12.6,3.8,2.8,57.8,1.122,10.4,3.6,2.2,25.2,18.2,1.4,0.111,0.368,0.115,0.333
9866,2024-09-24T19:00:00.000Z,8633,Real Madrid,2,3,False,31,0.88,12,3,1,0,249 (76%),10,4,69,1.32,10,4,4,1,673 (92%),7,4,,5,4,1,6,6,,3,3,1,9,1,0.86,0.01,0.88,1.59,1.23,0.09,1.32,1.54,326,111,138,17 (41%),2 (12%),18,15,1,735,378,295,27 (61%),2 (29%),16,34,2,,24,11,3,10,1,,11,10,4,14,1,,43,33 (48%),10 (56%),2 (40%),,44,36 (52%),8 (44%),15 (52%),,0,0,,4,0,0,1.6,1.0,41.8,1.37,12.6,4.2,2.2,58.2,1.06,10.8,3.2,2.0,24.4,17.6,2.0,0.127,0.381,0.093,0.312
9866,2024-09-28T12:00:00.000Z,8305,Getafe,0,2,False,55,0.51,9,1,0,0,146 (57%),24,2,45,2.21,14,8,5,4,111 (55%),17,2,,5,3,0,5,4,,3,3,0,9,5,0.32,0.19,0.51,0.18,0.89,0.53,1.42,2.36,257,65,81,26 (31%),3 (23%),28,15,2,203,55,56,21 (33%),8 (50%),30,22,4,,24,8,2,30,6,,11,9,3,29,1,,72,42 (52%),30 (44%),4 (36%),,77,39 (48%),38 (56%),7 (37%),,6,0,,3,0,0,2.0,1.6,40.6,1.504,14.0,4.6,2.4,59.4,1.026,9.8,3.4,2.2,24.4,19.8,1.8,0.143,0.435,0.163,0.471
9866,2024-10-06T14:15:00.000Z,8634,Barcelona,0,3,True,28,0.74,11,2,1,1,166 (72%),13,11,72,2.67,15,9,5,2,598 (90%),8,3,,5,4,1,7,4,,1,5,1,11,4,0.59,0.15,0.74,0.37,2.26,0.41,2.67,4.12,232,85,81,29 (57%),5 (25%),20,25,11,661,371,227,28 (54%),3 (43%),16,25,3,,12,6,5,16,6,,19,6,3,23,2,,35,25 (37%),10 (56%),5 (38%),,50,42 (63%),8 (44%),11 (61%),,2,0,,2,0,0,1.6,1.8,42.2,1.288,13.0,3.8,1.6,57.8,1.262,10.6,4.8,2.8,22.4,20.2,1.2,0.123,0.421,0.17,0.375
9866,2024-10-18T19:00:00.000Z,10281,Real Valladolid,2,3,True,63,0.49,10,4,1,1,324 (78%),15,5,37,2.45,12,4,4,1,161 (67%),14,6,,3,3,0,5,5,,5,3,0,9,3,0.19,0.30,0.49,1.54,0.77,0.11,0.88,2.62,418,140,184,29 (43%),7 (37%),16,18,3,242,111,50,25 (38%),7 (58%),22,14,1,,8,6,2,11,1,,12,12,2,21,2,,51,26 (47%),25 (47%),6 (60%),,57,29 (53%),28 (53%),7 (64%),,4,1,,2,0,0,1.2,2.4,42.0,1.028,12.2,3.2,1.4,58.0,1.66,11.2,5.4,3.6,22.4,22.4,0.6,0.098,0.375,0.214,0.444
