team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
7854,2024-08-17T17:00:00.000Z,8371,Osasuna,1,1,False,39,0.98,10,4,3,2,193 (64%),12,4,61,1.74,16,6,1,1,347 (76%),14,6,,2,4,0,6,4,,5,5,2,13,3,0.70,0.28,0.98,1.54,1.25,0.50,1.74,1.26,303,110,83,13 (19%),3 (20%),20,8,2,456,126,221,19 (36%),11 (30%),31,28,1,,20,9,5,38,6,,15,5,4,22,3,,56,37 (52%),19 (41%),5 (50%),,61,34 (48%),27 (59%),8 (42%),,2,0,,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7854,2024-08-25T17:00:00.000Z,8306,Las Palmas,2,1,True,40,1.48,10,5,4,3,255 (75%),11,3,60,0.88,10,5,3,2,417 (80%),10,7,,4,1,1,6,4,,3,2,0,7,3,0.57,0.13,0.69,1.82,0.76,0.13,0.88,2.33,342,154,101,25 (35%),4 (25%),15,27,1,519,265,152,16 (31%),10 (43%),35,23,0,,13,14,1,30,4,,13,7,1,9,3,,40,25 (46%),15 (56%),3 (27%),,41,29 (54%),12 (44%),5 (56%),,1,0,,1,0,3,1.0,1.0,39.0,0.98,10.0,4.0,3.0,61.0,1.74,16.0,6.0,1.0,8.0,28.0,1.0,0.1,0.25,0.062,0.167
7854,2024-08-28T17:00:00.000Z,10281,Real Valladolid,0,0,False,41,0.18,7,1,0,0,293 (82%),19,4,59,1.13,12,2,0,0,433 (88%),13,4,,4,2,0,2,5,,9,1,1,11,1,0.08,0.10,0.18,0.02,1.05,0.08,1.13,0.44,358,162,131,19 (35%),2 (17%),14,7,2,494,276,157,29 (71%),9 (28%),19,34,0,,12,8,1,23,2,,19,4,2,9,1,,40,34 (43%),6 (30%),10 (63%),,60,46 (58%),14 (70%),10 (59%),,4,0,,1,0,1,1.5,1.0,39.5,1.23,10.0,4.5,3.5,60.5,1.31,13.0,5.5,2.0,17.5,25.5,2.0,0.15,0.333,0.077,0.182
7854,2024-08-31T19:30:00.000Z,8661,Mallorca,0,1,True,54,0.32,9,2,1,1,388 (82%),11,1,46,1.02,12,3,3,2,314 (80%),17,3,,6,1,0,5,4,,5,4,1,9,3,0.26,0.06,0.32,0.02,0.89,0.13,1.02,1.18,471,227,161,32 (49%),3 (18%),13,16,3,392,168,146,28 (48%),10 (42%),22,26,0,,15,14,4,23,2,,13,15,1,30,2,,59,42 (63%),17 (39%),10 (56%),,52,25 (37%),27 (61%),3 (33%),,1,0,,3,0,0,1.0,0.667,40.0,0.88,9.0,3.333,2.333,60.0,1.25,12.667,4.333,1.333,14.0,28.333,1.667,0.111,0.3,0.053,0.154
7854,2024-09-13T19:00:00.000Z,8603,Real Betis,0,2,False,36,0.10,3,0,0,0,263 (75%),18,1,64,2.12,14,5,2,1,533 (87%),11,11,,2,1,0,1,2,,6,3,0,10,4,0.10,0.00,0.10,0.00,2.02,0.09,2.12,2.37,352,160,103,24 (38%),0 (0%),7,5,1,611,239,294,20 (53%),6 (24%),16,30,2,,17,12,2,22,3,,11,6,1,7,0,,51,36 (51%),15 (50%),8 (57%),,50,35 (49%),15 (50%),7 (44%),,2,0,,1,0,0,0.75,0.75,43.5,0.74,9.0,3.0,2.0,56.5,1.192,12.5,4.0,1.75,14.5,27.75,1.25,0.083,0.25,0.06,0.188
7854,2024-09-19T17:00:00.000Z,8315,Athletic Club,0,2,True,48,0.94,14,3,0,0,327 (77%),12,4,52,1.32,10,4,2,1,381 (84%),11,7,,10,1,1,7,7,,4,2,3,7,3,0.82,0.11,0.94,0.63,0.73,0.59,1.32,1.38,423,222,105,21 (34%),5 (29%),28,16,4,456,177,204,36 (61%),3 (13%),25,14,3,,24,5,2,24,2,,4,14,1,22,3,,57,36 (60%),21 (70%),4 (80%),,33,24 (40%),9 (30%),8 (50%),,3,0,,0,0,0,0.6,1.0,42.0,0.612,7.8,2.4,1.6,58.0,1.378,12.8,4.2,1.8,12.6,28.2,1.0,0.077,0.25,0.078,0.238
7854,2024-09-22T12:00:00.000Z,8305,Getafe,1,1,False,41,0.59,6,2,2,1,186 (62%),17,2,59,1.54,13,4,1,0,310 (74%),16,6,,2,2,1,4,2,,2,7,1,6,7,0.20,0.39,0.59,1.12,0.54,0.22,0.76,1.41,300,118,68,21 (24%),2 (18%),27,10,1,420,134,176,32 (50%),6 (23%),36,26,0,,29,7,7,41,3,,19,5,2,20,1,,70,50 (53%),20 (44%),7 (44%),,69,44 (47%),25 (56%),9 (50%),,2,0,,3,0,1,0.4,1.2,43.8,0.604,8.6,2.2,1.0,56.2,1.294,11.6,3.8,2.0,14.2,25.4,0.8,0.047,0.182,0.103,0.316
7854,2024-09-28T14:15:00.000Z,8370,Rayo Vallecano,1,1,False,47,0.87,13,3,1,1,322 (80%),7,5,53,0.91,15,6,1,0,385 (83%),12,5,,6,4,0,7,6,,4,5,0,10,5,0.45,0.42,0.87,1.09,0.76,0.15,0.91,1.38,401,151,171,29 (43%),2 (8%),16,14,2,466,237,148,23 (40%),4 (21%),28,25,2,,21,11,5,27,5,,15,10,4,26,2,,52,43 (57%),9 (41%),11 (61%),,45,32 (43%),13 (59%),11 (50%),,1,0,,2,0,1,0.2,1.2,44.0,0.426,7.8,1.6,0.6,56.0,1.426,12.2,3.6,1.6,10.8,26.0,0.4,0.026,0.125,0.098,0.333
7854,2024-10-04T19:00:00.000Z,10267,Valencia,0,0,True,59,0.79,8,0,1,1,435 (83%),15,1,41,0.54,6,1,1,1,262 (74%),14,2,,4,4,1,6,2,,4,1,0,4,2,0.73,0.06,0.79,0.00,0.46,0.08,0.54,0.18,523,252,183,32 (47%),2 (17%),15,12,9,355,172,90,26 (35%),4 (21%),21,14,1,,15,5,1,17,1,,17,9,4,15,0,,49,33 (47%),16 (50%),5 (45%),,53,37 (53%),16 (50%),5 (36%),,2,0,,2,0,1,0.4,1.4,45.2,0.564,9.0,2.0,0.8,54.8,1.382,12.8,4.4,1.8,12.2,24.2,0.4,0.044,0.2,0.109,0.318
7854,2024-10-20T14:15:00.000Z,9906,Atletico Madrid,1,3,False,37,0.24,5,2,0,0,260 (76%),8,2,63,4.51,24,9,7,4,484 (85%),14,8,,1,2,0,2,3,,8,7,0,15,9,0.22,0.03,0.24,0.35,4.44,0.07,4.51,3.60,341,169,91,28 (39%),0 (0%),19,8,1,568,199,285,12 (46%),4 (13%),26,44,0,,12,16,8,50,5,,19,12,1,7,1,,44,35 (45%),9 (41%),11 (52%),,56,43 (55%),13 (59%),16 (70%),,1,0,,5,0,0,0.4,1.2,46.2,0.658,8.8,1.6,0.8,53.8,1.286,11.6,4.0,1.4,11.4,21.8,0.6,0.045,0.25,0.103,0.3
