team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8661,2024-08-18T19:30:00.000Z,8633,Real Madrid,1,1,True,34,1.03,12,5,2,1,267 (83%),11,8,66,0.60,13,5,0,0,598 (90%),6,7,,6,1,0,8,4,,5,3,0,6,7,0.89,0.14,1.03,0.61,0.54,0.07,0.60,1.23,322,136,131,24 (50%),5 (21%),16,18,0,667,275,323,21 (58%),1 (8%),18,38,0,,18,14,3,28,5,,15,4,1,23,4,,40,30 (45%),10 (48%),6 (40%),,47,36 (55%),11 (52%),11 (58%),,1,0,,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8661,2024-08-24T15:00:00.000Z,8371,Osasuna,0,1,False,55,0.57,10,1,1,1,306 (81%),8,4,45,0.57,15,5,1,0,233 (74%),10,5,,4,5,0,6,4,,7,3,1,5,10,0.38,0.19,0.57,0.06,0.32,0.25,0.57,0.60,379,152,154,35 (53%),7 (27%),21,16,0,314,103,130,24 (39%),3 (13%),29,17,1,,23,6,3,42,4,,23,10,5,19,1,,67,42 (55%),25 (58%),9 (39%),,53,35 (45%),18 (42%),4 (33%),,1,0,,2,0,0,1.0,1.0,34.0,1.03,12.0,5.0,2.0,66.0,0.6,13.0,5.0,0.0,18.0,38.0,1.0,0.083,0.2,0.077,0.2
8661,2024-08-27T17:00:00.000Z,8302,Sevilla,0,0,True,45,0.90,12,4,1,1,313 (81%),15,5,55,0.74,16,7,0,0,414 (85%),10,9,,6,2,0,8,4,,6,3,0,6,10,0.72,0.18,0.90,0.88,0.65,0.10,0.74,0.98,385,144,169,29 (58%),9 (36%),22,16,3,485,246,168,18 (39%),1 (5%),17,16,1,,13,8,3,25,7,,13,8,2,28,4,,42,28 (47%),14 (52%),6 (67%),,44,31 (53%),13 (48%),5 (50%),,0,0,,1,1,1,0.5,1.0,44.5,0.8,11.0,3.0,1.5,55.5,0.585,14.0,5.0,0.5,17.0,27.5,0.5,0.045,0.167,0.071,0.2
8661,2024-08-31T19:30:00.000Z,7854,Leganes,1,0,False,46,1.02,12,3,3,2,314 (80%),17,3,54,0.32,9,2,1,1,388 (82%),11,1,,5,4,1,9,3,,6,1,0,5,4,0.89,0.13,1.02,1.18,0.26,0.06,0.32,0.02,392,168,146,28 (48%),10 (42%),22,26,0,471,227,161,32 (49%),3 (18%),13,16,3,,13,15,1,30,2,,15,14,4,23,2,,52,25 (37%),27 (61%),3 (33%),,59,42 (63%),17 (39%),10 (56%),,3,0,,1,0,3,0.333,0.667,44.667,0.833,11.333,3.333,1.333,55.333,0.637,14.667,5.667,0.333,16.667,23.667,0.667,0.029,0.1,0.045,0.118
8661,2024-09-14T12:00:00.000Z,10205,Villarreal,1,2,True,54,0.35,9,4,0,0,355 (81%),11,7,46,1.77,21,4,2,0,313 (81%),10,6,,3,2,0,7,2,,9,8,0,12,9,0.14,0.21,0.35,0.34,1.43,0.34,1.77,2.03,440,175,180,22 (43%),7 (23%),13,24,2,387,156,157,26 (51%),8 (47%),22,36,1,,15,4,7,12,2,,10,6,2,24,4,,40,28 (56%),12 (36%),4 (40%),,43,22 (44%),21 (64%),2 (25%),,3,1,,3,0,0,0.5,0.5,45.0,0.88,11.5,3.25,1.75,55.0,0.557,13.25,4.75,0.5,19.0,21.75,1.25,0.043,0.154,0.038,0.105
8661,2024-09-17T17:00:00.000Z,8560,Real Sociedad,1,0,True,40,1.19,10,4,2,1,280 (77%),5,5,60,0.59,13,5,0,0,448 (83%),10,5,,5,1,0,8,2,,6,2,0,6,7,0.27,0.13,0.40,0.95,0.52,0.07,0.59,0.23,364,156,124,35 (47%),6 (43%),11,14,3,537,213,235,32 (56%),2 (13%),18,17,1,,17,11,2,28,5,,15,7,0,12,3,,58,35 (57%),23 (56%),10 (83%),,44,26 (43%),18 (44%),6 (43%),,1,0,,1,0,3,0.6,0.8,46.8,0.774,11.0,3.4,1.4,53.2,0.8,14.8,4.6,0.8,20.0,24.6,1.0,0.055,0.176,0.054,0.174
8661,2024-09-23T19:00:00.000Z,8603,Real Betis,2,1,False,38,1.02,7,6,4,3,293 (80%),14,3,62,1.03,16,6,3,3,520 (89%),12,6,,1,0,0,6,1,,5,5,1,8,8,0.59,0.43,1.02,1.25,0.85,0.18,1.03,1.01,367,169,124,17 (41%),7 (64%),21,17,3,582,295,225,18 (49%),6 (23%),27,25,1,,15,4,5,29,5,,22,7,0,16,4,,45,31 (44%),14 (50%),6 (43%),,53,39 (56%),14 (50%),6 (60%),,3,0,,3,0,3,0.6,0.6,48.0,0.806,10.6,3.2,1.4,52.0,0.798,14.8,4.6,0.8,19.2,20.4,1.4,0.057,0.187,0.041,0.13
8661,2024-09-27T19:00:00.000Z,10281,Real Valladolid,2,1,False,50,2.26,17,6,4,2,326 (79%),11,4,50,1.24,13,1,1,1,331 (81%),16,7,,8,3,0,11,6,,8,4,0,7,6,1.96,0.30,2.26,2.79,1.02,0.22,1.24,0.88,413,168,158,32 (47%),6 (29%),14,17,1,410,191,140,29 (50%),3 (12%),21,20,2,,20,9,4,24,0,,16,7,3,16,4,,63,46 (59%),17 (47%),11 (55%),,51,32 (41%),19 (53%),5 (29%),,2,0,,3,0,3,1.0,0.6,44.6,0.896,10.0,4.2,2.0,55.4,0.89,15.0,4.8,1.2,19.4,22.0,2.0,0.1,0.238,0.04,0.125
8661,2024-10-05T12:00:00.000Z,8558,Espanyol,1,2,False,60,1.81,11,5,3,2,351 (84%),19,6,40,0.93,8,3,2,1,203 (73%),14,4,,2,4,0,9,2,,5,0,0,4,4,0.17,1.64,1.81,2.58,0.28,0.65,0.93,1.14,416,198,153,32 (62%),10 (30%),32,26,0,279,114,89,17 (33%),5 (33%),20,16,0,,12,10,0,19,1,,29,10,4,41,4,,52,33 (38%),19 (44%),12 (63%),,77,53 (62%),24 (56%),7 (58%),,5,0,,1,0,0,1.4,0.8,45.6,1.168,11.0,4.6,2.6,54.4,0.99,14.4,3.6,1.4,19.6,22.8,2.4,0.127,0.304,0.056,0.222
8661,2024-10-20T12:00:00.000Z,8370,Rayo Vallecano,1,0,True,50,2.03,19,5,4,3,279 (76%),9,9,50,0.59,10,2,0,0,279 (76%),13,2,,10,4,1,16,3,,7,1,0,7,3,0.88,1.15,2.03,1.56,0.48,0.12,0.59,0.17,367,122,157,32 (51%),7 (26%),21,24,2,369,171,108,20 (31%),5 (31%),18,12,0,,11,12,1,15,2,,12,8,4,23,4,,48,28 (55%),20 (63%),5 (56%),,35,23 (45%),12 (38%),4 (57%),,1,0,,1,0,3,1.4,1.2,48.4,1.326,10.8,5.0,2.6,51.6,1.112,14.2,3.8,1.6,19.6,22.8,1.8,0.13,0.28,0.085,0.316
