team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10281,2024-08-19T17:00:00.000Z,8558,Espanyol,1,0,True,45,0.80,12,1,2,2,319 (82%),15,3,55,0.66,10,2,0,0,390 (81%),8,2,,6,5,1,7,5,,5,3,0,5,5,0.46,0.34,0.80,0.14,0.29,0.37,0.66,0.81,387,174,145,21 (43%),7 (32%),22,22,6,479,253,137,16 (38%),7 (41%),17,13,1,,9,8,3,18,2,,12,6,5,15,0,,38,29 (51%),9 (32%),13 (72%),,47,28 (49%),19 (68%),2 (50%),,2,0,,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10281,2024-08-25T15:00:00.000Z,8633,Real Madrid,0,3,False,36,0.42,8,0,0,0,293 (82%),15,5,64,2.14,17,9,3,2,594 (92%),10,5,,5,3,0,6,2,,3,5,0,13,4,0.36,0.06,0.42,0.00,1.85,0.29,2.14,1.86,359,210,83,16 (36%),2 (17%),18,21,0,648,176,418,26 (72%),3 (18%),14,29,4,,19,9,5,16,6,,17,9,3,12,0,,48,34 (40%),14 (64%),7 (50%),,58,50 (60%),8 (36%),19 (63%),,1,0,,1,0,0,1.0,0.0,45.0,0.8,12.0,1.0,2.0,55.0,0.66,10.0,2.0,0.0,22.0,13.0,3.0,0.083,1.0,0.0,0.0
10281,2024-08-28T17:00:00.000Z,7854,Leganes,0,0,True,59,1.13,12,2,0,0,433 (88%),13,4,41,0.18,7,1,0,0,293 (82%),19,4,,9,1,1,11,1,,4,2,0,2,5,1.05,0.08,1.13,0.44,0.08,0.10,0.18,0.02,494,276,157,29 (71%),9 (28%),19,34,0,358,162,131,19 (35%),2 (17%),14,7,2,,19,4,2,9,1,,12,8,1,23,2,,60,46 (58%),14 (70%),10 (59%),,40,34 (43%),6 (30%),10 (63%),,1,0,,4,0,1,0.5,1.5,40.5,0.61,10.0,0.5,1.0,59.5,1.4,13.5,5.5,1.5,21.5,21.0,1.5,0.05,1.0,0.111,0.273
10281,2024-08-31T15:00:00.000Z,8634,Barcelona,0,7,False,30,0.52,4,1,1,1,197 (79%),12,1,70,4.77,23,11,10,4,545 (92%),6,10,,2,1,0,2,2,,7,5,3,17,6,0.52,0.00,0.52,0.34,4.20,0.57,4.77,4.00,248,144,53,29 (54%),0 (0%),5,13,4,594,240,305,16 (67%),5 (29%),15,44,4,,16,6,5,27,4,,16,4,1,7,1,,36,29 (43%),7 (50%),7 (70%),,46,39 (57%),7 (50%),12 (55%),,3,0,,0,0,0,0.333,1.0,46.667,0.783,10.667,1.0,0.667,53.333,0.993,11.333,4.0,1.0,25.667,16.333,1.333,0.031,0.333,0.088,0.25
10281,2024-09-15T12:00:00.000Z,9910,Celta Vigo,1,3,False,46,0.51,6,2,0,0,344 (85%),15,3,54,1.84,14,9,3,1,419 (87%),14,5,,2,2,0,5,1,,1,4,0,12,2,0.37,0.14,0.51,0.53,1.59,0.25,1.84,2.81,406,249,95,21 (47%),3 (19%),17,12,1,484,209,210,24 (51%),3 (38%),26,34,3,,19,14,4,15,6,,12,6,2,7,1,,46,41 (55%),5 (28%),8 (57%),,46,33 (45%),13 (72%),8 (47%),,5,1,,3,0,0,0.25,2.5,42.5,0.718,9.0,1.0,0.75,57.5,1.938,14.25,5.75,3.25,22.5,23.25,1.0,0.028,0.25,0.175,0.435
10281,2024-09-21T12:00:00.000Z,8560,Real Sociedad,0,0,True,35,1.02,15,2,1,1,193 (72%),15,5,65,1.47,14,4,3,3,446 (85%),12,7,,6,7,0,8,7,,5,5,1,11,3,0.55,0.47,1.02,0.24,1.46,0.01,1.47,0.52,269,102,91,23 (46%),7 (28%),25,19,0,526,217,229,19 (41%),5 (22%),21,34,3,,17,12,5,20,3,,22,5,7,23,2,,63,32 (42%),31 (69%),8 (44%),,59,45 (58%),14 (31%),8 (57%),,4,0,,4,0,1,0.4,2.6,43.2,0.676,8.4,1.2,0.6,56.8,1.918,14.2,6.4,3.2,20.4,25.4,0.8,0.048,0.333,0.183,0.406
10281,2024-09-24T17:00:00.000Z,8302,Sevilla,1,2,False,46,0.68,8,2,0,0,237 (77%),12,4,54,2.26,22,5,1,1,299 (82%),14,6,,3,3,0,4,4,,6,11,0,14,8,0.32,0.36,0.68,0.93,2.20,0.05,2.26,1.48,306,100,137,30 (52%),3 (19%),24,12,4,366,143,156,23 (53%),6 (29%),27,32,2,,25,8,10,24,4,,16,6,3,13,1,,60,42 (55%),18 (64%),6 (50%),,45,35 (45%),10 (36%),7 (37%),,4,0,,3,1,0,0.2,2.6,41.2,0.72,9.0,1.4,0.4,58.8,2.08,15.0,6.8,3.8,19.8,29.6,0.4,0.022,0.143,0.173,0.382
10281,2024-09-27T19:00:00.000Z,8661,Mallorca,1,2,True,50,1.24,13,1,1,1,331 (81%),16,7,50,2.26,17,6,4,2,326 (79%),11,4,,8,4,0,7,6,,8,3,0,11,6,1.02,0.22,1.24,0.88,1.96,0.30,2.26,2.79,410,191,140,29 (50%),3 (12%),21,20,2,413,168,158,32 (47%),6 (29%),14,17,1,,16,7,3,16,4,,20,9,4,24,0,,51,32 (41%),19 (53%),5 (29%),,63,46 (59%),17 (47%),11 (55%),,3,0,,2,0,0,0.4,2.4,43.2,0.772,9.0,1.8,0.4,56.8,2.104,16.0,6.0,3.4,18.0,30.2,0.4,0.044,0.222,0.15,0.4
10281,2024-10-05T16:30:00.000Z,8370,Rayo Vallecano,1,2,True,39,1.99,13,6,3,2,245 (81%),13,5,61,1.50,17,3,2,0,398 (85%),18,13,,5,2,0,10,3,,8,6,1,8,9,1.56,0.43,1.99,1.24,1.35,0.15,1.50,1.33,302,150,95,24 (52%),7 (35%),20,23,1,469,196,202,31 (57%),9 (30%),13,31,2,,15,9,6,18,1,,11,3,3,25,4,,50,41 (55%),9 (45%),9 (64%),,44,33 (45%),11 (55%),11 (58%),,4,0,,2,0,0,0.6,2.8,41.4,0.794,9.2,1.6,0.6,58.6,2.52,18.0,7.0,4.2,15.2,32.2,0.2,0.065,0.375,0.156,0.4
10281,2024-10-18T19:00:00.000Z,9866,Deportivo Alaves,3,2,False,37,2.45,12,4,4,1,161 (67%),14,6,63,0.49,10,4,1,1,324 (78%),15,5,,5,3,0,9,3,,3,3,0,5,5,0.77,0.11,0.88,2.62,0.19,0.30,0.49,1.54,242,111,50,25 (38%),7 (58%),22,14,1,418,140,184,29 (43%),7 (37%),16,18,3,,12,12,2,21,2,,8,6,2,11,1,,57,29 (53%),28 (53%),7 (64%),,51,26 (47%),25 (47%),6 (60%),,2,0,,4,1,3,0.8,1.8,43.2,1.088,11.0,2.6,1.0,56.8,1.866,16.8,5.4,2.6,17.2,29.6,0.2,0.073,0.308,0.107,0.333
