team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
357259,2025-08-15T19:30:00.000Z,10281,Real Valladolid,0,3,False,58.0,0.65,5.0,0.0,1.0,1.0,291 (73%),11.0,4.0,42.0,3.29,16.0,9.0,6.0,3.0,187 (67%),18.0,6.0,,4.0,1.0,0.0,2.0,3.0,,5.0,2.0,0.0,14.0,2.0,0.65,0.01,0.65,0.00,3.14,0.15,3.29,3.50,401.0,174.0,117.0,15 (30%),5 (29%),25.0,9.0,2.0,278.0,76.0,111.0,19 (37%),7 (29%),33.0,34.0,7.0,,17.0,10.0,3.0,27.0,5.0,,29.0,11.0,1.0,24.0,0.0,,54.0,40 (47%),14 (42%),7 (37%),,65.0,46 (53%),19 (58%),7 (44%),,2.0,0.0,,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357259,2025-08-23T17:00:00.000Z,9869,Sporting Gijon,0,1,True,63.0,0.93,12.0,7.0,1.0,1.0,405 (80%),11.0,3.0,37.0,0.86,7.0,4.0,2.0,2.0,203 (67%),15.0,3.0,,2.0,3.0,1.0,10.0,2.0,,1.0,2.0,0.0,6.0,1.0,0.45,0.48,0.93,1.43,0.73,0.13,0.86,1.68,504.0,233.0,172.0,27 (42%),5 (19%),24.0,21.0,0.0,302.0,70.0,133.0,26 (37%),3 (38%),25.0,19.0,4.0,,14.0,12.0,2.0,20.0,3.0,,17.0,8.0,3.0,41.0,7.0,,51.0,31 (50%),20 (51%),2 (20%),,50.0,31 (50%),19 (49%),3 (43%),,1.0,0.0,,2.0,0.0,0,0.0,3.0,58.0,0.65,5.0,0.0,1.0,42.0,3.29,16.0,9.0,6.0,9.0,34.0,0.0,0.0,0.0,0.188,0.333
357259,2025-08-30T15:00:00.000Z,8696,Racing Santander,1,4,False,35.0,1.26,11.0,1.0,1.0,0.0,249 (77%),7.0,1.0,65.0,3.60,17.0,9.0,5.0,1.0,514 (86%),19.0,5.0,,7.0,3.0,1.0,7.0,4.0,,5.0,3.0,1.0,12.0,5.0,0.37,0.11,0.48,0.76,3.22,0.38,3.60,4.59,324.0,137.0,112.0,14 (27%),1 (17%),12.0,14.0,1.0,596.0,220.0,294.0,18 (50%),3 (30%),12.0,33.0,3.0,,14.0,13.0,3.0,20.0,5.0,,20.0,5.0,3.0,13.0,0.0,,41.0,38 (54%),3 (21%),5 (36%),,43.0,32 (46%),11 (79%),5 (50%),,1.0,1.0,,0.0,0.0,0,0.0,2.0,60.5,0.79,8.5,3.5,1.0,39.5,2.075,11.5,6.5,4.0,15.0,26.5,0.0,0.0,0.0,0.174,0.308
357259,2025-09-07T12:00:00.000Z,96925,SD Huesca,2,1,True,53.0,1.69,14.0,4.0,3.0,2.0,349 (83%),13.0,8.0,47.0,0.55,6.0,1.0,1.0,1.0,290 (77%),11.0,0.0,,7.0,3.0,1.0,11.0,3.0,,3.0,2.0,0.0,4.0,2.0,1.61,0.08,1.69,1.91,0.45,0.10,0.55,0.46,418.0,175.0,174.0,40 (56%),9 (38%),23.0,30.0,4.0,376.0,197.0,93.0,22 (49%),0 (0%),22.0,11.0,1.0,,11.0,14.0,2.0,17.0,0.0,,19.0,8.0,3.0,20.0,2.0,,38.0,27 (41%),11 (50%),5 (38%),,50.0,39 (59%),11 (50%),7 (78%),,1.0,0.0,,3.0,1.0,3,0.333,2.667,52.0,0.947,9.333,2.667,1.0,48.0,2.583,13.333,7.333,4.333,14.667,28.667,0.0,0.036,0.125,0.2,0.364
357259,2025-09-14T16:30:00.000Z,10279,Castellon,3,3,False,39.0,0.75,10.0,5.0,1.0,1.0,187 (71%),12.0,6.0,61.0,1.89,15.0,7.0,3.0,2.0,319 (81%),11.0,10.0,,2.0,3.0,0.0,6.0,4.0,,5.0,3.0,1.0,12.0,3.0,0.54,0.21,0.75,1.16,0.83,0.27,1.10,3.01,263.0,112.0,75.0,17 (31%),6 (33%),17.0,15.0,3.0,396.0,114.0,205.0,26 (55%),9 (26%),17.0,38.0,1.0,,20.0,9.0,2.0,46.0,4.0,,19.0,10.0,3.0,17.0,1.0,,52.0,36 (49%),16 (47%),6 (40%),,56.0,38 (51%),18 (53%),8 (38%),,3.0,1.0,,3.0,0.0,1,0.75,2.25,52.25,1.133,10.5,3.0,1.5,47.75,2.075,11.5,5.75,3.5,18.5,24.25,0.75,0.071,0.25,0.196,0.391
357259,2025-09-21T12:00:00.000Z,8394,Real Zaragoza,1,0,True,54.0,0.41,7.0,3.0,1.0,1.0,261 (76%),18.0,6.0,46.0,1.25,12.0,3.0,3.0,3.0,226 (76%),10.0,5.0,,3.0,1.0,1.0,4.0,3.0,,6.0,3.0,0.0,6.0,6.0,0.40,0.01,0.41,0.50,0.97,0.28,1.25,0.40,345.0,137.0,124.0,23 (41%),2 (9%),20.0,18.0,2.0,296.0,100.0,126.0,22 (48%),4 (25%),20.0,13.0,4.0,,13.0,15.0,3.0,18.0,3.0,,20.0,6.0,1.0,19.0,2.0,,42.0,32 (41%),10 (53%),9 (50%),,56.0,47 (59%),9 (47%),9 (60%),,5.0,0.0,,2.0,0.0,3,1.2,2.4,49.6,1.056,10.4,3.4,1.4,50.4,2.038,12.2,6.0,3.4,17.8,27.0,0.8,0.115,0.353,0.197,0.4
357259,2025-09-28T14:15:00.000Z,8385,Cadiz,0,0,False,58.0,0.96,11.0,3.0,1.0,1.0,424 (84%),16.0,1.0,42.0,0.97,8.0,3.0,2.0,2.0,283 (78%),10.0,1.0,,7.0,1.0,0.0,9.0,2.0,,5.0,0.0,0.0,3.0,5.0,0.57,0.39,0.96,0.65,0.97,0.00,0.97,0.63,505.0,263.0,161.0,24 (46%),8 (33%),20.0,19.0,1.0,363.0,165.0,118.0,10 (31%),2 (18%),17.0,11.0,4.0,,12.0,13.0,0.0,19.0,3.0,,12.0,8.0,1.0,23.0,3.0,,42.0,26 (40%),16 (55%),5 (45%),,52.0,39 (60%),13 (45%),13 (81%),,2.0,0.0,,2.0,0.0,1,1.4,1.8,48.8,1.008,10.8,4.0,1.4,51.2,1.63,11.4,4.8,2.8,19.6,22.8,1.4,0.13,0.35,0.158,0.375
357259,2025-10-03T18:30:00.000Z,8372,Eibar,1,0,True,62.0,0.72,12.0,3.0,2.0,1.0,418 (81%),13.0,7.0,38.0,0.81,5.0,1.0,1.0,1.0,216 (70%),10.0,3.0,,4.0,5.0,0.0,8.0,4.0,,3.0,1.0,0.0,5.0,0.0,0.30,0.42,0.72,1.29,0.77,0.04,0.81,0.74,514.0,172.0,246.0,13 (29%),7 (28%),20.0,33.0,2.0,308.0,137.0,79.0,25 (45%),4 (29%),22.0,14.0,0.0,,16.0,13.0,1.0,18.0,1.0,,16.0,13.0,5.0,40.0,2.0,,62.0,35 (51%),27 (47%),12 (52%),,64.0,34 (49%),30 (53%),5 (31%),,4.0,0.0,,1.0,1.0,3,1.4,1.6,47.8,1.014,10.6,3.2,1.4,52.2,1.652,11.6,4.6,2.8,19.2,21.2,1.6,0.132,0.437,0.138,0.348
357259,2025-10-12T12:00:00.000Z,8393,Albacete,0,0,False,60.0,0.21,3.0,1.0,1.0,1.0,354 (79%),17.0,3.0,40.0,1.61,13.0,4.0,4.0,4.0,212 (74%),8.0,6.0,,1.0,1.0,0.0,2.0,1.0,,4.0,5.0,0.0,8.0,5.0,0.03,0.19,0.21,0.43,1.57,0.04,1.61,0.79,449.0,240.0,114.0,20 (34%),3 (20%),24.0,13.0,2.0,285.0,83.0,129.0,21 (45%),6 (23%),21.0,22.0,3.0,,13.0,7.0,5.0,28.0,4.0,,17.0,15.0,1.0,33.0,1.0,,44.0,28 (44%),16 (48%),7 (37%),,53.0,36 (56%),17 (52%),5 (63%),,3.0,0.0,,1.0,0.0,1,1.4,0.8,53.2,0.906,10.8,3.6,1.6,46.8,1.094,9.2,3.0,2.0,23.0,17.4,2.2,0.13,0.389,0.087,0.267
357259,2025-10-18T14:15:00.000Z,4032,CD Mirandes,2,0,True,54.0,2.27,12.0,5.0,2.0,1.0,344 (81%),15.0,5.0,46.0,0.34,6.0,0.0,1.0,1.0,272 (75%),17.0,5.0,,4.0,3.0,0.0,10.0,2.0,,2.0,4.0,0.0,4.0,2.0,2.12,0.15,2.27,2.16,0.11,0.23,0.34,0.00,426.0,209.0,135.0,29 (45%),6 (35%),21.0,22.0,2.0,363.0,131.0,141.0,29 (55%),2 (10%),21.0,12.0,1.0,,17.0,7.0,4.0,22.0,0.0,,19.0,10.0,3.0,12.0,3.0,,52.0,41 (53%),11 (52%),8 (50%),,46.0,36 (47%),10 (48%),2 (22%),,2.0,0.0,,1.0,0.0,3,1.0,0.6,54.6,0.61,8.6,3.0,1.2,45.4,1.306,10.6,3.6,2.6,19.6,19.6,1.8,0.116,0.333,0.057,0.167
357259,2025-10-25T12:00:00.000Z,1753,Cultural Leonesa,1,0,False,33.0,1.06,5.0,1.0,3.0,2.0,230 (78%),11.0,2.0,67.0,1.03,15.0,2.0,2.0,2.0,507 (85%),15.0,8.0,,3.0,1.0,0.0,5.0,0.0,,7.0,6.0,1.0,8.0,7.0,0.28,0.00,0.28,0.79,0.70,0.33,1.03,0.39,296.0,136.0,94.0,22 (39%),2 (22%),14.0,17.0,3.0,593.0,194.0,313.0,20 (53%),4 (15%),14.0,34.0,1.0,,10.0,13.0,6.0,48.0,2.0,,17.0,5.0,1.0,16.0,0.0,,40.0,30 (49%),10 (43%),6 (43%),,44.0,31 (51%),13 (57%),5 (42%),,1.0,0.0,,3.0,0.0,3,0.8,0.0,57.6,0.914,9.0,3.0,1.4,42.4,0.996,8.8,2.2,2.2,21.0,14.4,2.2,0.089,0.267,0.0,0.0
357259,2025-11-02T15:15:00.000Z,7869,Cordoba,0,2,False,47.0,0.88,12.0,2.0,1.0,1.0,214 (73%),17.0,5.0,53.0,1.20,12.0,4.0,4.0,3.0,264 (79%),18.0,4.0,,7.0,3.0,2.0,9.0,3.0,,5.0,3.0,0.0,7.0,5.0,0.61,0.28,0.88,0.15,1.19,0.02,1.20,0.54,292.0,113.0,101.0,23 (44%),5 (33%),25.0,25.0,2.0,335.0,119.0,145.0,12 (34%),2 (18%),15.0,29.0,5.0,,20.0,10.0,3.0,29.0,2.0,,28.0,10.0,3.0,25.0,2.0,,61.0,45 (47%),16 (50%),7 (41%),,67.0,51 (53%),16 (50%),7 (44%),,4.0,0.0,,2.0,0.0,0,0.8,0.0,53.4,1.044,8.6,2.6,1.8,46.6,0.952,9.4,2.0,2.0,20.8,18.6,2.2,0.093,0.308,0.0,0.0
357259,2025-11-16T13:00:00.000Z,7854,Leganes,1,2,True,62.0,0.99,13.0,1.0,2.0,2.0,393 (84%),15.0,6.0,38.0,1.26,12.0,5.0,3.0,1.0,219 (74%),17.0,3.0,,6.0,6.0,1.0,7.0,6.0,,3.0,4.0,1.0,6.0,6.0,0.82,0.17,0.99,0.19,1.19,0.07,1.26,1.04,469.0,174.0,219.0,16 (44%),3 (10%),20.0,22.0,2.0,295.0,112.0,107.0,24 (37%),3 (20%),16.0,10.0,0.0,,10.0,5.0,4.0,16.0,3.0,,7.0,5.0,6.0,37.0,1.0,,43.0,31 (54%),12 (44%),4 (57%),,41.0,26 (46%),15 (56%),5 (56%),,2.0,0.0,,2.0,0.0,0,0.8,0.4,51.2,1.028,8.8,2.4,1.8,48.8,0.998,10.2,2.2,2.4,22.0,22.2,2.0,0.091,0.333,0.039,0.182
