team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
7876,2025-08-15T19:30:00.000Z,1753,Cultural Leonesa,5,1,True,65.0,4.08,15.0,7.0,5.0,1.0,498 (91%),13.0,3.0,35.0,0.25,8.0,1.0,0.0,0.0,237 (79%),10.0,3.0,,6.0,2.0,0.0,13.0,2.0,,3.0,4.0,0.0,1.0,7.0,1.97,0.53,2.50,3.38,0.16,0.09,0.25,0.19,550.0,159.0,339.0,28 (72%),6 (40%),18.0,26.0,3.0,300.0,154.0,83.0,14 (36%),1 (10%),15.0,4.0,0.0,,10.0,11.0,4.0,20.0,1.0,,15.0,6.0,2.0,18.0,2.0,,41.0,24 (37%),17 (63%),4 (36%),,51.0,41 (63%),10 (37%),13 (72%),,1.0,0.0,,1.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7876,2025-08-24T15:00:00.000Z,9783,Deportivo La Coruna,0,0,False,44.0,0.79,11.0,1.0,1.0,1.0,309 (80%),14.0,6.0,56.0,0.63,10.0,2.0,1.0,1.0,419 (84%),13.0,2.0,,4.0,6.0,0.0,7.0,4.0,,3.0,5.0,1.0,5.0,5.0,0.57,0.22,0.79,0.47,0.59,0.05,0.63,0.29,386.0,161.0,148.0,26 (46%),6 (32%),18.0,28.0,2.0,498.0,191.0,228.0,27 (54%),4 (36%),23.0,20.0,2.0,,25.0,6.0,4.0,21.0,2.0,,16.0,4.0,6.0,29.0,1.0,,70.0,47 (53%),23 (61%),9 (53%),,56.0,41 (47%),15 (39%),11 (44%),,1.0,0.0,,2.0,0.0,1,5.0,1.0,65.0,4.08,15.0,7.0,5.0,35.0,0.25,8.0,1.0,0.0,26.0,4.0,3.0,0.333,0.714,0.125,1.0
7876,2025-08-31T15:00:00.000Z,494050,FC Andorra,1,2,False,48.0,0.95,12.0,4.0,2.0,2.0,372 (83%),11.0,4.0,52.0,1.59,14.0,5.0,3.0,2.0,415 (85%),11.0,5.0,,4.0,4.0,0.0,9.0,3.0,,5.0,4.0,0.0,7.0,7.0,0.91,0.04,0.95,0.98,1.49,0.10,1.59,2.82,449.0,231.0,141.0,31 (60%),5 (38%),26.0,31.0,4.0,488.0,218.0,197.0,28 (56%),3 (20%),15.0,13.0,0.0,,15.0,12.0,4.0,17.0,3.0,,14.0,13.0,4.0,31.0,3.0,,44.0,31 (48%),13 (50%),5 (42%),,46.0,33 (52%),13 (50%),10 (45%),,2.0,0.0,,1.0,0.0,0,2.5,0.5,54.5,2.435,13.0,4.0,3.0,45.5,0.44,9.0,1.5,0.5,27.0,12.0,2.0,0.192,0.625,0.056,0.333
7876,2025-09-07T14:15:00.000Z,8306,Las Palmas,0,0,True,39.0,0.42,6.0,2.0,2.0,2.0,251 (75%),16.0,2.0,61.0,1.41,15.0,7.0,2.0,2.0,461 (87%),13.0,6.0,,3.0,1.0,0.0,4.0,2.0,,6.0,2.0,0.0,8.0,7.0,0.38,0.03,0.42,0.27,1.19,0.23,1.41,1.00,335.0,157.0,94.0,29 (37%),5 (42%),24.0,18.0,0.0,528.0,210.0,251.0,27 (55%),4 (21%),14.0,17.0,1.0,,15.0,7.0,2.0,22.0,7.0,,15.0,8.0,1.0,30.0,2.0,,43.0,31 (46%),12 (50%),4 (40%),,48.0,36 (54%),12 (50%),6 (55%),,2.0,0.0,,2.0,0.0,1,2.0,1.0,52.333,1.94,12.667,4.0,2.667,47.667,0.823,10.667,2.667,1.333,28.333,12.333,1.333,0.158,0.5,0.094,0.375
7876,2025-09-14T16:30:00.000Z,9869,Sporting Gijon,3,2,False,46.0,1.37,11.0,5.0,4.0,1.0,315 (76%),10.0,4.0,54.0,2.76,29.0,9.0,3.0,3.0,368 (80%),8.0,8.0,,6.0,0.0,0.0,5.0,6.0,,10.0,10.0,0.0,22.0,7.0,1.12,0.25,1.37,1.65,2.00,0.76,2.76,2.31,416.0,163.0,152.0,28 (44%),4 (40%),27.0,15.0,1.0,458.0,152.0,216.0,20 (42%),11 (34%),25.0,42.0,0.0,,21.0,13.0,10.0,43.0,6.0,,17.0,10.0,0.0,12.0,2.0,,70.0,44 (52%),26 (57%),15 (63%),,61.0,41 (48%),20 (43%),14 (56%),,2.0,0.0,,1.0,0.0,3,1.5,0.75,49.0,1.56,11.0,3.5,2.5,51.0,0.97,11.75,3.75,1.5,25.75,13.5,1.25,0.136,0.429,0.064,0.2
7876,2025-09-22T18:30:00.000Z,7878,Granada,1,1,True,54.0,0.86,16.0,3.0,1.0,0.0,316 (77%),9.0,6.0,46.0,0.31,7.0,2.0,0.0,0.0,256 (74%),13.0,1.0,,7.0,6.0,0.0,9.0,7.0,,4.0,1.0,0.0,4.0,3.0,0.27,0.59,0.86,1.08,0.31,0.00,0.31,1.11,412.0,197.0,119.0,35 (49%),7 (30%),25.0,21.0,0.0,348.0,129.0,127.0,23 (35%),3 (23%),32.0,17.0,0.0,,26.0,14.0,1.0,23.0,1.0,,17.0,11.0,6.0,15.0,2.0,,60.0,41 (56%),19 (56%),6 (46%),,47.0,32 (44%),15 (44%),6 (27%),,1.0,0.0,,3.0,0.0,1,1.8,1.0,48.4,1.522,11.0,3.8,2.8,51.6,1.328,15.2,4.8,1.8,23.6,19.2,1.6,0.164,0.474,0.066,0.208
7876,2025-09-28T14:15:00.000Z,9864,Malaga,2,1,True,50.0,0.68,7.0,3.0,2.0,0.0,292 (77%),13.0,0.0,50.0,0.34,6.0,2.0,0.0,0.0,287 (74%),17.0,3.0,,3.0,1.0,0.0,4.0,3.0,,1.0,3.0,0.0,3.0,3.0,0.28,0.40,0.68,1.28,0.34,0.00,0.34,0.70,379.0,208.0,84.0,30 (43%),7 (50%),32.0,11.0,1.0,386.0,149.0,138.0,15 (31%),1 (7%),30.0,12.0,0.0,,16.0,18.0,3.0,36.0,1.0,,11.0,11.0,1.0,15.0,1.0,,58.0,39 (56%),19 (61%),6 (40%),,43.0,31 (44%),12 (39%),8 (50%),,5.0,0.0,,2.0,1.0,3,1.0,1.0,46.2,0.878,11.2,3.0,2.0,53.8,1.34,15.0,5.0,1.8,22.6,21.8,1.2,0.089,0.333,0.067,0.2
7876,2025-10-04T16:30:00.000Z,96925,SD Huesca,1,2,False,56.0,0.88,4.0,2.0,1.0,0.0,352 (80%),13.0,1.0,44.0,1.07,9.0,4.0,2.0,1.0,261 (75%),14.0,1.0,,1.0,1.0,0.0,4.0,0.0,,3.0,2.0,0.0,5.0,4.0,0.06,0.04,0.09,0.77,0.44,0.64,1.07,1.77,440.0,204.0,148.0,21 (38%),1 (8%),25.0,21.0,2.0,350.0,143.0,118.0,20 (38%),4 (33%),28.0,14.0,2.0,,14.0,12.0,2.0,27.0,2.0,,20.0,6.0,1.0,36.0,1.0,,50.0,36 (48%),14 (37%),8 (40%),,63.0,39 (52%),24 (63%),8 (53%),,3.0,0.0,,2.0,0.0,0,1.4,1.2,47.4,0.856,10.4,3.4,2.2,52.6,1.282,14.2,5.0,1.6,19.2,20.2,1.6,0.135,0.412,0.085,0.24
7876,2025-10-12T16:30:00.000Z,10281,Real Valladolid,0,1,True,48.0,0.33,7.0,1.0,0.0,0.0,206 (67%),16.0,2.0,52.0,0.43,11.0,3.0,1.0,1.0,241 (70%),28.0,2.0,,6.0,0.0,1.0,6.0,1.0,,5.0,3.0,1.0,6.0,5.0,0.26,0.07,0.33,0.20,0.29,0.14,0.43,0.22,308.0,107.0,99.0,25 (36%),4 (19%),30.0,15.0,4.0,342.0,134.0,107.0,18 (34%),4 (36%),27.0,12.0,2.0,,14.0,10.0,3.0,15.0,2.0,,18.0,6.0,0.0,30.0,1.0,,74.0,53 (55%),21 (40%),11 (50%),,76.0,44 (45%),32 (60%),11 (69%),,8.0,0.0,,7.0,0.0,0,1.4,1.2,49.0,0.842,8.8,3.0,2.0,51.0,1.178,13.2,4.8,1.4,17.2,20.4,1.6,0.159,0.467,0.091,0.25
7876,2025-10-20T18:30:00.000Z,8385,Cadiz,3,1,False,40.0,2.51,13.0,4.0,5.0,2.0,230 (77%),19.0,4.0,60.0,1.18,9.0,3.0,2.0,2.0,366 (82%),14.0,1.0,,7.0,2.0,1.0,11.0,2.0,,5.0,1.0,0.0,7.0,2.0,1.22,0.50,1.72,2.72,0.42,0.76,1.18,0.54,300.0,122.0,108.0,31 (50%),4 (27%),26.0,20.0,1.0,445.0,188.0,178.0,17 (33%),3 (17%),31.0,16.0,3.0,,15.0,7.0,1.0,30.0,2.0,,18.0,5.0,1.0,26.0,1.0,,50.0,35 (45%),15 (48%),6 (46%),,59.0,43 (55%),16 (52%),6 (50%),,4.0,0.0,,3.0,0.0,3,1.4,1.4,50.8,0.824,9.0,2.8,1.6,49.2,0.982,12.4,4.0,1.2,16.6,19.4,1.4,0.156,0.5,0.113,0.35
