team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
4032,2025-08-17T17:30:00.000Z,8385,Cadiz,0,1,False,28.0,0.01,1.0,0.0,0.0,0.0,145 (64%),9.0,0.0,72.0,1.63,24.0,3.0,2.0,1.0,472 (87%),14.0,7.0,,1.0,0.0,0.0,0.0,1.0,,12.0,9.0,1.0,13.0,11.0,0.00,0.01,0.01,0.00,1.49,0.14,1.63,0.33,226.0,73.0,72.0,22 (33%),1 (20%),12.0,1.0,0.0,542.0,216.0,256.0,34 (67%),9 (20%),20.0,38.0,2.0,,13.0,8.0,9.0,43.0,2.0,,12.0,6.0,0.0,6.0,0.0,,36.0,28 (51%),8 (24%),1 (20%),,53.0,27 (49%),26 (76%),7 (50%),,2.0,1.0,,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4032,2025-08-23T15:00:00.000Z,96925,SD Huesca,0,1,True,52.0,0.34,5.0,2.0,1.0,1.0,302 (75%),16.0,1.0,48.0,0.45,6.0,2.0,1.0,0.0,269 (73%),13.0,4.0,,2.0,1.0,0.0,2.0,3.0,,3.0,1.0,0.0,4.0,2.0,0.05,0.29,0.34,0.27,0.34,0.11,0.45,0.47,401.0,128.0,174.0,29 (48%),5 (42%),22.0,10.0,4.0,371.0,159.0,110.0,25 (32%),2 (15%),17.0,15.0,2.0,,6.0,6.0,1.0,22.0,1.0,,14.0,9.0,1.0,24.0,2.0,,52.0,25 (44%),27 (59%),6 (46%),,51.0,32 (56%),19 (41%),3 (43%),,5.0,0.0,,2.0,0.0,0,0.0,1.0,28.0,0.01,1.0,0.0,0.0,72.0,1.63,24.0,3.0,2.0,1.0,38.0,0.0,0.0,0.0,0.042,0.333
4032,2025-08-31T19:30:00.000Z,7878,Granada,2,1,False,39.0,1.39,11.0,4.0,1.0,0.0,230 (78%),20.0,1.0,61.0,0.80,15.0,4.0,1.0,0.0,388 (88%),15.0,6.0,,5.0,2.0,0.0,7.0,4.0,,5.0,6.0,0.0,9.0,6.0,0.42,0.18,0.60,1.48,0.53,0.27,0.80,1.28,295.0,131.0,99.0,25 (48%),3 (30%),23.0,10.0,1.0,442.0,210.0,178.0,33 (69%),7 (24%),23.0,21.0,1.0,,15.0,9.0,6.0,26.0,3.0,,11.0,3.0,1.0,15.0,2.0,,43.0,32 (45%),11 (48%),2 (22%),,51.0,39 (55%),12 (52%),10 (59%),,2.0,0.0,,2.0,1.0,3,0.0,1.0,40.0,0.175,3.0,1.0,0.5,60.0,1.04,15.0,2.5,1.5,5.5,26.5,0.0,0.0,0.0,0.067,0.4
4032,2025-09-05T17:30:00.000Z,8393,Albacete,4,1,False,38.0,1.57,13.0,6.0,4.0,2.0,207 (72%),7.0,2.0,62.0,0.73,18.0,5.0,2.0,1.0,374 (84%),10.0,5.0,,6.0,1.0,0.0,8.0,5.0,,10.0,3.0,1.0,15.0,3.0,1.47,0.10,1.57,2.54,0.60,0.13,0.73,1.30,289.0,110.0,97.0,24 (38%),5 (42%),18.0,15.0,1.0,443.0,135.0,239.0,20 (57%),10 (22%),24.0,42.0,0.0,,11.0,8.0,3.0,49.0,4.0,,15.0,6.0,1.0,18.0,2.0,,37.0,25 (46%),12 (46%),4 (29%),,43.0,29 (54%),14 (54%),7 (54%),,1.0,0.0,,2.0,1.0,3,0.667,1.0,39.667,0.58,5.667,2.0,0.667,60.333,0.96,15.0,3.0,1.333,7.0,24.667,1.0,0.118,0.334,0.067,0.333
4032,2025-09-13T14:15:00.000Z,9783,Deportivo La Coruna,1,5,True,48.0,0.43,9.0,6.0,0.0,0.0,349 (83%),13.0,1.0,52.0,3.06,22.0,9.0,5.0,1.0,368 (82%),10.0,6.0,,2.0,1.0,0.0,3.0,6.0,,7.0,6.0,1.0,15.0,7.0,0.36,0.06,0.43,0.97,2.83,0.23,3.06,4.03,419.0,163.0,186.0,38 (60%),3 (18%),9.0,14.0,3.0,447.0,245.0,123.0,39 (57%),5 (42%),15.0,27.0,1.0,,12.0,6.0,6.0,13.0,4.0,,13.0,11.0,1.0,19.0,5.0,,41.0,33 (48%),8 (47%),10 (83%),,45.0,36 (52%),9 (53%),10 (53%),,2.0,0.0,,3.0,0.0,0,1.5,1.0,39.25,0.828,7.5,3.0,1.5,60.75,0.902,15.75,3.5,1.5,9.0,29.0,1.5,0.2,0.5,0.063,0.286
4032,2025-09-20T16:30:00.000Z,494050,FC Andorra,1,1,False,23.0,1.10,7.0,2.0,1.0,0.0,103 (60%),22.0,4.0,77.0,0.76,18.0,6.0,1.0,1.0,538 (91%),15.0,8.0,,2.0,3.0,0.0,5.0,2.0,,9.0,3.0,1.0,7.0,11.0,0.04,0.26,0.31,1.02,0.61,0.14,0.76,1.78,171.0,52.0,51.0,21 (40%),4 (40%),12.0,15.0,0.0,591.0,228.0,310.0,22 (63%),2 (9%),9.0,25.0,0.0,,20.0,8.0,3.0,26.0,5.0,,11.0,6.0,2.0,24.0,1.0,,54.0,39 (48%),15 (50%),5 (36%),,58.0,43 (52%),15 (50%),11 (50%),,5.0,0.0,,2.0,0.0,1,1.4,1.8,41.0,0.748,7.8,3.6,1.2,59.0,1.334,17.0,4.6,2.2,10.0,28.6,1.2,0.179,0.389,0.106,0.391
4032,2025-09-26T18:30:00.000Z,8394,Real Zaragoza,0,1,True,50.0,0.93,14.0,2.0,1.0,1.0,374 (84%),19.0,4.0,50.0,0.87,10.0,2.0,3.0,3.0,395 (84%),18.0,2.0,,5.0,7.0,1.0,11.0,3.0,,4.0,4.0,0.0,7.0,3.0,0.32,0.61,0.93,0.11,0.80,0.06,0.87,1.02,444.0,185.0,189.0,37 (54%),10 (40%),17.0,20.0,2.0,468.0,253.0,142.0,35 (52%),1 (9%),17.0,15.0,0.0,,10.0,8.0,4.0,18.0,1.0,,10.0,8.0,7.0,19.0,2.0,,48.0,38 (48%),10 (45%),10 (67%),,54.0,42 (53%),12 (55%),14 (88%),,4.0,0.0,,4.0,0.0,0,1.6,1.8,40.0,0.966,9.0,4.0,1.4,60.0,1.16,15.8,5.2,2.0,12.8,26.0,1.4,0.178,0.4,0.114,0.346
4032,2025-10-05T16:30:00.000Z,10281,Real Valladolid,1,1,False,31.0,0.66,10.0,2.0,1.0,1.0,156 (66%),11.0,2.0,69.0,1.91,22.0,5.0,1.0,0.0,402 (81%),9.0,14.0,,4.0,4.0,0.0,5.0,5.0,,13.0,4.0,0.0,15.0,7.0,0.23,0.42,0.66,0.71,1.45,0.45,1.91,1.36,235.0,76.0,80.0,25 (40%),3 (38%),17.0,14.0,2.0,496.0,206.0,196.0,35 (63%),13 (23%),28.0,40.0,4.0,,16.0,11.0,4.0,59.0,4.0,,15.0,8.0,4.0,22.0,1.0,,54.0,36 (49%),18 (46%),11 (65%),,59.0,38 (51%),21 (54%),12 (57%),,2.0,0.0,,0.0,0.0,1,1.6,1.8,39.6,1.084,10.8,4.0,1.4,60.4,1.244,16.6,5.2,2.4,14.8,26.0,1.4,0.148,0.4,0.108,0.346
4032,2025-10-11T14:15:00.000Z,7854,Leganes,0,0,True,31.0,1.54,13.0,4.0,2.0,2.0,160 (74%),16.0,3.0,69.0,1.26,17.0,7.0,3.0,3.0,431 (89%),7.0,10.0,,3.0,6.0,1.0,8.0,5.0,,8.0,2.0,0.0,10.0,7.0,1.29,0.25,1.54,0.13,0.63,0.64,1.26,2.06,217.0,80.0,80.0,14 (32%),3 (23%),12.0,16.0,2.0,487.0,243.0,188.0,24 (62%),6 (22%),17.0,24.0,1.0,,10.0,10.0,2.0,28.0,7.0,,11.0,5.0,5.0,22.0,4.0,,34.0,20 (33%),14 (58%),3 (33%),,50.0,40 (67%),10 (42%),13 (76%),,6.0,0.0,,1.0,0.0,1,1.4,1.8,38.0,0.938,10.6,3.6,1.4,62.0,1.466,18.0,5.4,2.4,15.6,29.8,1.0,0.132,0.389,0.1,0.333
4032,2025-10-18T14:15:00.000Z,357259,AD Ceuta FC,0,2,False,46.0,0.34,6.0,0.0,1.0,1.0,272 (75%),17.0,5.0,54.0,2.27,12.0,5.0,2.0,1.0,344 (81%),15.0,5.0,,2.0,4.0,0.0,4.0,2.0,,4.0,3.0,0.0,10.0,2.0,0.11,0.23,0.34,0.00,2.12,0.15,2.27,2.16,363.0,131.0,141.0,29 (55%),2 (10%),21.0,12.0,1.0,426.0,209.0,135.0,29 (45%),6 (35%),21.0,22.0,2.0,,19.0,10.0,3.0,12.0,3.0,,17.0,7.0,4.0,22.0,0.0,,46.0,36 (47%),10 (48%),2 (22%),,52.0,41 (53%),11 (52%),8 (50%),,1.0,0.0,,2.0,0.0,0,0.6,1.6,36.6,0.932,10.6,3.2,1.0,63.4,1.572,17.8,5.8,2.6,15.8,26.2,0.6,0.057,0.187,0.09,0.276
