team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8385,2025-08-17T17:30:00.000Z,4032,CD Mirandes,1,0,True,72.0,1.63,24.0,3.0,2.0,1.0,472 (87%),14.0,7.0,28.0,0.01,1.0,0.0,0.0,0.0,145 (64%),9.0,0.0,,12.0,9.0,1.0,13.0,11.0,,1.0,0.0,0.0,0.0,1.0,1.49,0.14,1.63,0.33,0.00,0.01,0.01,0.00,542.0,216.0,256.0,34 (67%),9 (20%),20.0,38.0,2.0,226.0,73.0,72.0,22 (33%),1 (20%),12.0,1.0,0.0,,12.0,6.0,0.0,6.0,0.0,,13.0,8.0,9.0,43.0,2.0,,53.0,27 (49%),26 (76%),7 (50%),,36.0,28 (51%),8 (24%),1 (20%),,3.0,0.0,,2.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8385,2025-08-22T19:30:00.000Z,7854,Leganes,1,1,False,49.0,0.88,10.0,3.0,2.0,2.0,290 (78%),17.0,5.0,51.0,1.31,9.0,4.0,4.0,3.0,329 (83%),13.0,7.0,,6.0,1.0,0.0,8.0,2.0,,3.0,2.0,0.0,5.0,4.0,0.68,0.20,0.88,1.14,1.04,0.27,1.31,1.61,373.0,171.0,119.0,14 (28%),5 (33%),24.0,25.0,2.0,397.0,188.0,141.0,35 (56%),5 (28%),23.0,18.0,2.0,,16.0,9.0,2.0,24.0,3.0,,13.0,6.0,1.0,17.0,2.0,,39.0,34 (49%),5 (36%),4 (31%),,45.0,36 (51%),9 (64%),7 (39%),,1.0,0.0,,2.0,0.0,1,1.0,0.0,72.0,1.63,24.0,3.0,2.0,28.0,0.01,1.0,0.0,0.0,38.0,1.0,3.0,0.042,0.333,0.0,0.0
8385,2025-08-31T15:00:00.000Z,8393,Albacete,2,1,True,52.0,0.69,6.0,2.0,1.0,0.0,314 (79%),15.0,7.0,48.0,1.22,12.0,4.0,2.0,1.0,289 (81%),13.0,4.0,,1.0,3.0,0.0,4.0,2.0,,6.0,2.0,0.0,7.0,5.0,0.69,0.00,0.69,1.08,0.94,0.27,1.22,1.82,399.0,158.0,156.0,29 (40%),3 (14%),19.0,22.0,2.0,356.0,132.0,157.0,24 (39%),5 (16%),22.0,18.0,3.0,,14.0,4.0,2.0,44.0,3.0,,13.0,11.0,3.0,18.0,0.0,,46.0,32 (47%),14 (74%),6 (50%),,41.0,36 (53%),5 (26%),8 (53%),,4.0,0.0,,3.0,1.0,3,1.0,0.5,60.5,1.255,17.0,3.0,2.0,39.5,0.66,5.0,2.0,2.0,31.5,9.5,2.0,0.059,0.333,0.1,0.25
8385,2025-09-07T14:15:00.000Z,161744,Real Sociedad B,3,3,False,48.0,0.23,9.0,2.0,0.0,0.0,334 (80%),13.0,5.0,52.0,2.38,17.0,5.0,5.0,3.0,380 (84%),20.0,1.0,,6.0,1.0,0.0,4.0,5.0,,8.0,4.0,0.0,11.0,6.0,0.07,0.16,0.23,0.47,1.64,0.74,2.38,2.50,420.0,203.0,131.0,22 (41%),6 (46%),19.0,12.0,2.0,453.0,220.0,160.0,38 (63%),4 (27%),28.0,21.0,0.0,,17.0,5.0,4.0,19.0,2.0,,18.0,6.0,1.0,14.0,0.0,,65.0,50 (56%),15 (60%),15 (58%),,50.0,40 (44%),10 (40%),10 (45%),,3.0,0.0,,4.0,0.0,1,1.333,0.667,57.667,1.067,13.333,2.667,1.667,42.333,0.847,7.333,2.667,2.0,28.333,12.333,2.333,0.1,0.5,0.091,0.25
8385,2025-09-13T14:15:00.000Z,8372,Eibar,1,0,True,42.0,0.66,12.0,4.0,1.0,1.0,291 (80%),15.0,5.0,58.0,1.57,17.0,4.0,6.0,6.0,425 (84%),12.0,4.0,,4.0,4.0,0.0,6.0,6.0,,9.0,4.0,0.0,12.0,5.0,0.56,0.10,0.66,0.76,1.02,0.55,1.57,1.18,363.0,174.0,117.0,23 (50%),4 (24%),27.0,21.0,0.0,503.0,269.0,156.0,23 (43%),4 (24%),24.0,24.0,0.0,,21.0,8.0,4.0,30.0,4.0,,15.0,8.0,4.0,25.0,3.0,,56.0,38 (54%),18 (69%),6 (46%),,40.0,32 (46%),8 (31%),3 (25%),,2.0,0.0,,3.0,0.0,3,1.75,1.25,55.25,0.857,12.25,2.5,1.25,44.75,1.23,9.75,3.25,2.75,24.25,14.5,2.0,0.143,0.7,0.128,0.385
8385,2025-09-21T16:30:00.000Z,9864,Malaga,1,0,False,39.0,0.99,7.0,3.0,2.0,1.0,223 (71%),11.0,2.0,61.0,1.32,17.0,5.0,3.0,3.0,399 (85%),10.0,5.0,,3.0,1.0,1.0,3.0,4.0,,4.0,8.0,0.0,9.0,8.0,0.90,0.09,0.99,1.04,1.25,0.07,1.32,0.49,314.0,121.0,102.0,25 (42%),1 (13%),25.0,11.0,0.0,472.0,192.0,207.0,23 (49%),3 (11%),25.0,37.0,5.0,,23.0,6.0,8.0,44.0,5.0,,30.0,9.0,1.0,19.0,2.0,,54.0,41 (46%),13 (57%),9 (38%),,59.0,49 (54%),10 (43%),11 (50%),,2.0,0.0,,1.0,0.0,3,1.6,1.0,52.6,0.818,12.2,2.8,1.2,47.4,1.298,11.2,3.4,3.4,23.6,16.4,2.2,0.131,0.571,0.089,0.294
8385,2025-09-28T14:15:00.000Z,357259,AD Ceuta FC,0,0,True,42.0,0.97,8.0,3.0,2.0,2.0,283 (78%),10.0,1.0,58.0,0.96,11.0,3.0,1.0,1.0,424 (84%),16.0,1.0,,5.0,0.0,0.0,3.0,5.0,,7.0,1.0,0.0,9.0,2.0,0.97,0.00,0.97,0.63,0.57,0.39,0.96,0.65,363.0,165.0,118.0,10 (31%),2 (18%),17.0,11.0,4.0,505.0,263.0,161.0,24 (46%),8 (33%),20.0,19.0,1.0,,12.0,8.0,1.0,23.0,3.0,,12.0,13.0,0.0,19.0,3.0,,52.0,39 (60%),13 (45%),13 (81%),,42.0,26 (40%),16 (55%),5 (45%),,2.0,0.0,,2.0,0.0,1,1.6,1.0,46.0,0.69,8.8,2.8,1.2,54.0,1.56,14.4,4.4,4.0,18.2,23.6,2.2,0.182,0.571,0.069,0.227
8385,2025-10-05T19:00:00.000Z,8306,Las Palmas,0,1,False,39.0,0.38,8.0,3.0,0.0,0.0,257 (75%),18.0,5.0,61.0,0.99,14.0,1.0,2.0,2.0,467 (87%),11.0,6.0,,3.0,2.0,0.0,5.0,3.0,,12.0,1.0,0.0,7.0,7.0,0.33,0.05,0.38,0.33,0.58,0.41,0.99,0.52,342.0,148.0,109.0,28 (43%),6 (38%),9.0,17.0,2.0,539.0,254.0,213.0,18 (45%),3 (15%),20.0,15.0,2.0,,14.0,11.0,1.0,25.0,0.0,,3.0,11.0,2.0,27.0,3.0,,40.0,29 (53%),11 (46%),4 (80%),,39.0,26 (47%),13 (54%),7 (50%),,4.0,0.0,,1.0,0.0,0,1.4,0.8,44.6,0.708,8.4,2.8,1.2,55.4,1.49,14.8,4.2,3.4,15.4,23.8,2.2,0.167,0.5,0.054,0.19
8385,2025-10-12T16:30:00.000Z,96925,SD Huesca,1,0,True,59.0,0.93,11.0,2.0,1.0,0.0,427 (89%),12.0,13.0,41.0,1.09,10.0,1.0,1.0,1.0,285 (84%),12.0,2.0,,6.0,3.0,0.0,6.0,5.0,,6.0,3.0,0.0,5.0,5.0,0.90,0.03,0.93,0.77,1.06,0.03,1.09,0.01,482.0,184.0,243.0,35 (63%),3 (12%),10.0,20.0,1.0,340.0,151.0,134.0,22 (55%),4 (36%),14.0,21.0,3.0,,14.0,11.0,3.0,22.0,1.0,,15.0,6.0,3.0,33.0,1.0,,35.0,29 (48%),6 (33%),5 (45%),,43.0,31 (52%),12 (67%),4 (50%),,2.0,0.0,,3.0,0.0,3,1.0,0.8,42.0,0.646,8.8,3.0,1.0,58.0,1.444,15.2,3.6,3.4,14.4,23.2,1.6,0.114,0.333,0.053,0.222
8385,2025-10-20T18:30:00.000Z,7876,Burgos CF,1,3,True,60.0,1.18,9.0,3.0,2.0,2.0,366 (82%),14.0,1.0,40.0,2.51,13.0,4.0,5.0,2.0,230 (77%),19.0,4.0,,5.0,1.0,0.0,7.0,2.0,,7.0,2.0,1.0,11.0,2.0,0.42,0.76,1.18,0.54,1.22,0.50,1.72,2.72,445.0,188.0,178.0,17 (33%),3 (17%),31.0,16.0,3.0,300.0,122.0,108.0,31 (50%),4 (27%),26.0,20.0,1.0,,18.0,5.0,1.0,26.0,1.0,,15.0,7.0,1.0,30.0,2.0,,59.0,43 (55%),16 (52%),6 (50%),,50.0,35 (45%),15 (48%),6 (46%),,3.0,0.0,,4.0,0.0,0,0.6,0.2,44.2,0.786,9.2,3.0,1.2,55.8,1.186,13.8,2.8,2.6,16.0,23.2,2.0,0.065,0.2,0.014,0.071
