team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
7869,2025-08-18T17:00:00.000Z,9869,Sporting Gijon,1,2,False,65.0,0.80,15.0,5.0,0.0,0.0,395 (82%),7.0,4.0,35.0,1.53,9.0,4.0,5.0,3.0,186 (69%),13.0,2.0,,6.0,4.0,3.0,8.0,7.0,,2.0,3.0,0.0,6.0,3.0,0.72,0.08,0.80,1.08,1.06,0.47,1.53,1.24,479.0,174.0,221.0,26 (52%),5 (21%),31.0,16.0,1.0,270.0,98.0,88.0,22 (38%),1 (14%),27.0,12.0,7.0,,14.0,7.0,3.0,23.0,2.0,,23.0,13.0,4.0,32.0,4.0,,48.0,31 (47%),17 (55%),4 (25%),,49.0,35 (53%),14 (45%),6 (46%),,2.0,0.0,,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7869,2025-08-25T19:30:00.000Z,8306,Las Palmas,1,3,True,58.0,1.45,13.0,5.0,3.0,2.0,295 (83%),20.0,3.0,42.0,1.57,13.0,5.0,3.0,2.0,215 (79%),16.0,2.0,,6.0,2.0,0.0,8.0,5.0,,6.0,2.0,1.0,8.0,5.0,1.31,0.13,1.45,0.87,1.18,0.39,1.57,2.37,357.0,155.0,140.0,25 (51%),4 (19%),23.0,24.0,2.0,272.0,137.0,78.0,26 (54%),4 (67%),21.0,24.0,3.0,,23.0,6.0,1.0,16.0,2.0,,15.0,10.0,3.0,29.0,3.0,,68.0,53 (55%),15 (60%),16 (59%),,53.0,43 (45%),10 (40%),8 (44%),,4.0,0.0,,1.0,0.0,0,1.0,2.0,65.0,0.8,15.0,5.0,0.0,35.0,1.53,9.0,4.0,5.0,16.0,12.0,0.0,0.067,0.2,0.222,0.5
7869,2025-08-30T17:00:00.000Z,10281,Real Valladolid,0,0,False,46.0,0.34,5.0,1.0,1.0,1.0,185 (64%),16.0,0.0,54.0,1.11,12.0,6.0,5.0,5.0,237 (72%),17.0,7.0,,3.0,1.0,1.0,2.0,3.0,,6.0,0.0,0.0,10.0,2.0,0.22,0.12,0.34,0.12,0.73,0.38,1.11,1.73,287.0,105.0,80.0,20 (34%),2 (22%),29.0,9.0,3.0,327.0,121.0,116.0,25 (41%),8 (38%),34.0,25.0,4.0,,30.0,10.0,0.0,23.0,6.0,,27.0,7.0,1.0,13.0,1.0,,75.0,54 (53%),21 (55%),7 (41%),,64.0,47 (47%),17 (45%),5 (33%),,2.0,0.0,,2.0,0.0,1,1.0,2.5,61.5,1.125,14.0,5.0,1.5,38.5,1.55,11.0,4.5,4.0,20.0,18.0,0.0,0.071,0.2,0.227,0.556
7869,2025-09-05T19:30:00.000Z,10279,Castellon,2,1,True,51.0,2.85,10.0,5.0,3.0,1.0,255 (76%),15.0,4.0,49.0,1.44,6.0,2.0,2.0,1.0,234 (70%),17.0,4.0,,4.0,1.0,1.0,7.0,3.0,,2.0,2.0,0.0,4.0,2.0,1.95,0.11,2.06,2.83,1.43,0.01,1.44,1.01,337.0,133.0,122.0,22 (41%),4 (27%),20.0,20.0,1.0,334.0,118.0,116.0,22 (40%),2 (29%),21.0,30.0,3.0,,25.0,4.0,2.0,28.0,1.0,,19.0,4.0,1.0,30.0,3.0,,59.0,45 (51%),14 (50%),5 (28%),,57.0,43 (49%),14 (50%),10 (50%),,2.0,0.0,,0.0,0.0,3,0.667,1.667,56.333,0.863,11.0,3.667,1.333,43.667,1.403,11.333,5.0,4.333,16.333,20.333,0.333,0.061,0.182,0.147,0.333
7869,2025-09-14T12:00:00.000Z,494050,FC Andorra,1,3,False,60.0,1.60,19.0,6.0,4.0,4.0,353 (84%),23.0,7.0,40.0,1.77,14.0,8.0,3.0,1.0,230 (80%),16.0,3.0,,8.0,5.0,0.0,11.0,8.0,,5.0,1.0,0.0,10.0,4.0,0.62,0.98,1.60,1.38,1.49,0.28,1.77,3.01,421.0,183.0,170.0,22 (59%),4 (20%),28.0,25.0,3.0,289.0,149.0,81.0,22 (42%),1 (13%),19.0,13.0,5.0,,15.0,9.0,1.0,9.0,5.0,,20.0,10.0,6.0,33.0,5.0,,53.0,43 (47%),10 (50%),12 (55%),,58.0,48 (53%),10 (50%),8 (47%),,4.0,0.0,,2.0,0.0,0,1.0,1.5,55.0,1.36,10.75,4.0,1.75,45.0,1.413,10.0,4.25,3.75,17.25,22.75,1.0,0.093,0.25,0.15,0.353
7869,2025-09-21T19:00:00.000Z,8696,Racing Santander,2,2,True,67.0,2.36,25.0,5.0,3.0,1.0,377 (83%),8.0,12.0,33.0,1.85,9.0,6.0,3.0,1.0,156 (66%),15.0,1.0,,13.0,7.0,1.0,17.0,8.0,,2.0,1.0,1.0,7.0,2.0,1.12,0.45,1.57,1.76,1.85,0.00,1.85,2.06,452.0,183.0,194.0,43 (68%),4 (14%),31.0,37.0,9.0,235.0,62.0,94.0,17 (29%),1 (33%),18.0,18.0,4.0,,25.0,11.0,2.0,13.0,3.0,,11.0,14.0,7.0,42.0,3.0,,60.0,50 (68%),10 (40%),11 (52%),,38.0,23 (32%),15 (60%),5 (31%),,0.0,1.0,,3.0,0.0,1,1.0,1.8,56.0,1.408,12.4,4.4,2.2,44.0,1.484,10.8,5.0,3.6,18.8,20.8,0.8,0.081,0.227,0.167,0.36
7869,2025-09-28T12:00:00.000Z,161744,Real Sociedad B,1,1,False,57.0,0.87,13.0,3.0,2.0,1.0,299 (80%),19.0,5.0,43.0,1.30,10.0,5.0,2.0,2.0,178 (67%),23.0,8.0,,5.0,5.0,0.0,7.0,6.0,,3.0,2.0,0.0,6.0,4.0,0.56,0.31,0.87,0.59,0.31,0.20,0.51,1.35,376.0,148.0,151.0,23 (45%),4 (33%),17.0,24.0,3.0,265.0,110.0,68.0,18 (31%),2 (12%),23.0,25.0,2.0,,15.0,7.0,2.0,42.0,5.0,,22.0,10.0,5.0,29.0,2.0,,69.0,43 (48%),26 (68%),8 (47%),,59.0,47 (52%),12 (32%),7 (70%),,5.0,0.0,,4.0,0.0,1,1.2,1.8,56.4,1.72,14.4,4.4,2.8,43.6,1.548,10.8,5.4,3.2,23.0,22.0,1.0,0.083,0.273,0.167,0.333
7869,2025-10-05T12:00:00.000Z,8394,Real Zaragoza,1,0,False,48.0,0.54,11.0,2.0,0.0,0.0,209 (77%),18.0,4.0,52.0,1.06,10.0,4.0,3.0,3.0,220 (75%),12.0,7.0,,4.0,5.0,0.0,5.0,6.0,,5.0,1.0,0.0,9.0,1.0,0.41,0.13,0.54,0.27,0.52,0.53,1.06,1.21,270.0,89.0,120.0,16 (39%),3 (21%),26.0,11.0,1.0,294.0,131.0,89.0,22 (42%),3 (17%),27.0,29.0,4.0,,15.0,6.0,1.0,30.0,4.0,,19.0,5.0,5.0,16.0,2.0,,47.0,38 (50%),9 (75%),12 (71%),,41.0,38 (50%),3 (25%),3 (33%),,5.0,0.0,,4.0,1.0,3,1.2,1.4,56.2,1.604,14.4,4.0,2.6,43.8,1.494,10.2,5.4,3.0,23.0,22.2,1.2,0.083,0.3,0.137,0.259
7869,2025-10-13T18:30:00.000Z,1753,Cultural Leonesa,1,0,True,55.0,2.10,19.0,5.0,4.0,3.0,322 (81%),19.0,4.0,45.0,0.80,15.0,5.0,0.0,0.0,245 (78%),13.0,6.0,,10.0,4.0,0.0,12.0,7.0,,6.0,4.0,0.0,9.0,6.0,1.73,0.37,2.10,0.99,0.52,0.28,0.80,0.94,396.0,152.0,170.0,21 (53%),5 (36%),16.0,25.0,2.0,314.0,104.0,141.0,20 (38%),4 (21%),17.0,23.0,4.0,,29.0,6.0,4.0,30.0,5.0,,23.0,8.0,5.0,32.0,3.0,,68.0,52 (48%),16 (62%),11 (46%),,66.0,56 (52%),10 (38%),14 (47%),,4.0,0.0,,2.0,0.0,3,1.4,1.4,56.6,1.644,15.6,4.2,2.4,43.4,1.484,9.8,5.0,2.6,23.4,23.0,1.6,0.09,0.333,0.143,0.28
7869,2025-10-19T16:30:00.000Z,9865,Almeria,1,1,True,47.0,2.14,14.0,5.0,3.0,2.0,212 (73%),17.0,3.0,53.0,0.96,13.0,4.0,0.0,0.0,236 (72%),11.0,2.0,,7.0,2.0,0.0,7.0,7.0,,8.0,1.0,1.0,6.0,7.0,0.86,0.49,1.35,1.76,0.77,0.18,0.96,0.86,289.0,126.0,86.0,18 (35%),3 (19%),18.0,17.0,2.0,329.0,146.0,90.0,32 (41%),3 (21%),27.0,11.0,5.0,,17.0,9.0,1.0,23.0,3.0,,11.0,7.0,2.0,30.0,4.0,,48.0,34 (49%),14 (52%),7 (64%),,48.0,35 (51%),13 (48%),7 (41%),,2.0,0.0,,2.0,0.0,1,1.2,1.2,57.4,1.494,17.4,4.2,2.6,42.6,1.356,11.6,5.6,2.2,24.4,21.6,1.6,0.069,0.286,0.103,0.214
