team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9783,2025-08-16T19:30:00.000Z,7878,Granada,3,1,False,54.0,2.00,15.0,7.0,3.0,1.0,380 (84%),11.0,1.0,46.0,0.58,14.0,2.0,0.0,0.0,293 (80%),9.0,7.0,,6.0,2.0,1.0,12.0,3.0,,6.0,6.0,0.0,5.0,9.0,1.83,0.18,2.00,2.08,0.38,0.20,0.58,0.23,454.0,237.0,143.0,23 (40%),1 (33%),20.0,22.0,3.0,368.0,181.0,112.0,29 (51%),6 (30%),29.0,12.0,1.0,,17.0,11.0,5.0,26.0,1.0,,17.0,6.0,2.0,9.0,4.0,,50.0,33 (49%),17 (63%),8 (40%),,44.0,34 (51%),10 (37%),7 (64%),,2.0,0.0,,1.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9783,2025-08-24T15:00:00.000Z,7876,Burgos CF,0,0,True,56.0,0.63,10.0,2.0,1.0,1.0,419 (84%),13.0,2.0,44.0,0.79,11.0,1.0,1.0,1.0,309 (80%),14.0,6.0,,3.0,5.0,1.0,5.0,5.0,,4.0,6.0,0.0,7.0,4.0,0.59,0.05,0.63,0.29,0.57,0.22,0.79,0.47,498.0,191.0,228.0,27 (54%),4 (36%),23.0,20.0,2.0,386.0,161.0,148.0,26 (46%),6 (32%),18.0,28.0,2.0,,16.0,4.0,6.0,29.0,1.0,,25.0,6.0,4.0,21.0,2.0,,56.0,41 (47%),15 (39%),11 (44%),,70.0,47 (53%),23 (61%),9 (53%),,2.0,0.0,,1.0,0.0,1,3.0,1.0,54.0,2.0,15.0,7.0,3.0,46.0,0.58,14.0,2.0,0.0,22.0,12.0,3.0,0.2,0.429,0.071,0.5
9783,2025-09-01T19:30:00.000Z,7854,Leganes,2,2,False,49.0,2.30,13.0,6.0,3.0,1.0,319 (80%),21.0,3.0,51.0,1.45,19.0,7.0,2.0,1.0,330 (81%),8.0,4.0,,6.0,1.0,0.0,11.0,2.0,,8.0,4.0,0.0,13.0,6.0,1.32,0.19,1.52,1.81,1.05,0.39,1.45,2.12,401.0,183.0,136.0,14 (25%),3 (33%),17.0,18.0,1.0,406.0,178.0,152.0,32 (49%),4 (24%),26.0,25.0,2.0,,18.0,10.0,4.0,30.0,5.0,,17.0,7.0,1.0,12.0,4.0,,38.0,30 (41%),8 (36%),4 (31%),,57.0,43 (59%),14 (64%),5 (26%),,3.0,0.0,,4.0,0.0,1,1.5,0.5,55.0,1.315,12.5,4.5,2.0,45.0,0.685,12.5,1.5,0.5,21.0,20.0,2.0,0.12,0.333,0.04,0.333
9783,2025-09-06T14:15:00.000Z,9869,Sporting Gijon,1,0,True,61.0,0.65,14.0,6.0,1.0,1.0,479 (89%),9.0,6.0,39.0,0.32,8.0,3.0,0.0,0.0,271 (78%),14.0,3.0,,6.0,2.0,1.0,10.0,4.0,,3.0,2.0,1.0,4.0,4.0,0.51,0.15,0.65,0.90,0.19,0.13,0.32,0.35,541.0,266.0,213.0,24 (49%),7 (33%),20.0,31.0,0.0,346.0,133.0,138.0,13 (32%),1 (6%),16.0,10.0,0.0,,14.0,10.0,2.0,40.0,3.0,,13.0,5.0,2.0,27.0,5.0,,46.0,32 (54%),14 (50%),6 (60%),,41.0,27 (46%),14 (50%),5 (50%),,3.0,0.0,,1.0,0.0,3,1.667,1.0,53.0,1.643,12.667,5.0,2.333,47.0,0.94,14.667,3.333,1.0,20.0,21.667,1.667,0.132,0.333,0.068,0.3
9783,2025-09-13T14:15:00.000Z,4032,CD Mirandes,5,1,False,52.0,3.06,22.0,9.0,5.0,1.0,368 (82%),10.0,6.0,48.0,0.43,9.0,6.0,0.0,0.0,349 (83%),13.0,1.0,,7.0,6.0,1.0,15.0,7.0,,2.0,1.0,0.0,3.0,6.0,2.83,0.23,3.06,4.03,0.36,0.06,0.43,0.97,447.0,245.0,123.0,39 (57%),5 (42%),15.0,27.0,1.0,419.0,163.0,186.0,38 (60%),3 (18%),9.0,14.0,3.0,,13.0,11.0,1.0,19.0,5.0,,12.0,6.0,6.0,13.0,4.0,,45.0,36 (52%),9 (53%),10 (53%),,41.0,33 (48%),8 (47%),10 (83%),,3.0,0.0,,2.0,0.0,3,1.5,0.75,55.0,1.395,13.0,5.25,2.0,45.0,0.785,13.0,3.25,0.75,22.75,18.75,2.0,0.115,0.286,0.058,0.231
9783,2025-09-19T18:30:00.000Z,96925,SD Huesca,4,0,True,44.0,2.53,16.0,6.0,4.0,1.0,331 (90%),14.0,6.0,56.0,0.31,6.0,0.0,0.0,0.0,425 (89%),9.0,3.0,,6.0,4.0,0.0,11.0,5.0,,5.0,1.0,0.0,4.0,2.0,1.63,0.90,2.53,2.29,0.28,0.03,0.31,0.00,369.0,183.0,148.0,26 (65%),5 (26%),15.0,23.0,5.0,480.0,257.0,168.0,17 (44%),5 (36%),12.0,13.0,0.0,,12.0,7.0,1.0,21.0,0.0,,11.0,4.0,4.0,20.0,3.0,,33.0,22 (39%),11 (48%),2 (25%),,46.0,34 (61%),12 (52%),10 (71%),,1.0,0.0,,2.0,0.0,3,2.2,0.8,54.4,1.728,14.8,6.0,2.6,45.6,0.714,12.2,3.8,0.6,23.6,17.8,2.2,0.149,0.367,0.066,0.211
9783,2025-09-27T16:30:00.000Z,8372,Eibar,1,1,False,34.0,1.91,9.0,3.0,3.0,2.0,233 (74%),13.0,2.0,66.0,1.24,23.0,10.0,2.0,2.0,519 (88%),13.0,6.0,,5.0,1.0,0.0,6.0,3.0,,9.0,4.0,0.0,17.0,6.0,1.05,0.07,1.12,1.25,0.91,0.33,1.24,1.75,313.0,138.0,95.0,13 (27%),1 (13%),19.0,11.0,1.0,591.0,285.0,234.0,12 (38%),12 (33%),19.0,34.0,0.0,,18.0,9.0,3.0,26.0,9.0,,14.0,6.0,1.0,15.0,2.0,,53.0,40 (55%),13 (41%),9 (64%),,52.0,33 (45%),19 (59%),7 (41%),,5.0,0.0,,4.0,0.0,1,2.4,0.6,52.4,1.834,15.0,5.8,2.8,47.6,0.66,10.6,3.4,0.6,23.8,18.0,2.2,0.16,0.414,0.057,0.176
9783,2025-10-04T14:15:00.000Z,9865,Almeria,1,1,True,47.0,0.93,15.0,4.0,1.0,1.0,384 (88%),11.0,4.0,53.0,0.73,10.0,3.0,1.0,0.0,461 (89%),13.0,2.0,,9.0,2.0,0.0,12.0,3.0,,1.0,6.0,0.0,6.0,4.0,0.75,0.19,0.93,1.29,0.45,0.28,0.73,0.75,438.0,209.0,175.0,40 (78%),10 (42%),19.0,29.0,8.0,518.0,266.0,195.0,30 (53%),2 (29%),17.0,19.0,1.0,,11.0,9.0,5.0,10.0,2.0,,12.0,19.0,2.0,17.0,3.0,,41.0,32 (54%),9 (60%),9 (82%),,33.0,27 (46%),6 (40%),4 (67%),,3.0,0.0,,3.0,0.0,1,2.6,0.8,48.0,2.09,14.8,6.0,3.2,52.0,0.75,13.0,5.2,0.8,22.0,19.2,2.2,0.176,0.433,0.062,0.154
9783,2025-10-12T19:00:00.000Z,9864,Malaga,0,3,False,57.0,1.23,10.0,4.0,3.0,3.0,448 (88%),11.0,9.0,43.0,1.85,15.0,5.0,3.0,1.0,325 (83%),15.0,1.0,,5.0,1.0,1.0,6.0,4.0,,8.0,2.0,0.0,9.0,6.0,1.11,0.12,1.23,1.11,1.80,0.05,1.85,2.33,509.0,292.0,156.0,23 (55%),6 (27%),16.0,19.0,4.0,391.0,194.0,131.0,23 (51%),1 (17%),16.0,24.0,3.0,,21.0,11.0,2.0,7.0,2.0,,15.0,11.0,1.0,24.0,4.0,,51.0,40 (54%),11 (42%),5 (36%),,49.0,34 (46%),15 (58%),9 (47%),,3.0,0.0,,1.0,0.0,0,2.4,0.6,47.6,1.816,15.2,5.6,2.8,52.4,0.606,11.2,4.4,0.6,24.2,18.0,2.2,0.158,0.429,0.054,0.136
9783,2025-10-19T16:30:00.000Z,8696,Racing Santander,1,2,False,46.0,1.02,12.0,5.0,2.0,2.0,354 (83%),11.0,6.0,54.0,2.11,21.0,6.0,3.0,2.0,417 (83%),9.0,6.0,,4.0,3.0,0.0,10.0,2.0,,12.0,3.0,1.0,9.0,12.0,0.93,0.09,1.02,1.95,1.83,0.28,2.11,2.49,424.0,214.0,140.0,27 (46%),6 (32%),9.0,15.0,1.0,502.0,116.0,301.0,8 (28%),5 (28%),19.0,29.0,0.0,,13.0,16.0,2.0,36.0,4.0,,9.0,5.0,3.0,18.0,5.0,,50.0,33 (53%),17 (77%),12 (71%),,34.0,29 (47%),5 (23%),10 (53%),,1.0,0.0,,3.0,0.0,0,2.2,1.2,46.8,1.932,14.4,5.2,3.2,53.2,0.912,12.6,4.8,1.2,21.8,20.8,1.6,0.153,0.423,0.095,0.25
