team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
161744,2025-08-17T15:00:00.000Z,8394,Real Zaragoza,1,0,True,40.0,0.47,3.0,2.0,1.0,0.0,226 (75%),24.0,2.0,60.0,1.94,18.0,5.0,3.0,3.0,347 (82%),12.0,9.0,,1.0,0.0,0.0,0.0,3.0,,8.0,5.0,0.0,11.0,7.0,0.47,0.00,0.47,0.69,1.48,0.46,1.94,1.48,301.0,149.0,77.0,29 (46%),2 (33%),18.0,6.0,0.0,423.0,149.0,198.0,27 (54%),7 (21%),28.0,33.0,1.0,,14.0,10.0,5.0,51.0,5.0,,21.0,4.0,0.0,19.0,1.0,,34.0,25 (29%),9 (33%),1 (7%),,78.0,60 (71%),18 (67%),16 (62%),,4.0,0.0,,2.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161744,2025-08-24T19:30:00.000Z,9864,Malaga,0,1,False,41.0,0.42,10.0,4.0,1.0,1.0,277 (77%),15.0,2.0,59.0,1.26,21.0,5.0,1.0,1.0,423 (84%),12.0,6.0,,3.0,3.0,0.0,6.0,4.0,,13.0,3.0,1.0,13.0,8.0,0.41,0.01,0.42,0.26,1.05,0.21,1.26,1.06,358.0,176.0,101.0,36 (59%),0 (0%),13.0,12.0,1.0,502.0,207.0,216.0,44 (66%),4 (17%),38.0,37.0,0.0,,25.0,12.0,3.0,32.0,4.0,,16.0,7.0,3.0,16.0,4.0,,61.0,43 (51%),18 (67%),6 (55%),,51.0,42 (49%),9 (33%),12 (43%),,2.0,0.0,,2.0,0.0,0,1.0,0.0,40.0,0.47,3.0,2.0,1.0,60.0,1.94,18.0,5.0,3.0,6.0,33.0,3.0,0.333,0.5,0.0,0.0
161744,2025-08-29T17:30:00.000Z,9865,Almeria,2,2,True,43.0,1.31,9.0,3.0,2.0,0.0,299 (78%),19.0,2.0,57.0,1.23,16.0,5.0,1.0,1.0,418 (84%),14.0,8.0,,4.0,2.0,0.0,6.0,3.0,,6.0,5.0,0.0,12.0,4.0,0.47,0.06,0.53,1.58,0.95,0.29,1.23,1.80,383.0,205.0,94.0,27 (42%),4 (31%),22.0,15.0,0.0,499.0,185.0,233.0,22 (48%),10 (40%),20.0,34.0,0.0,,21.0,7.0,5.0,26.0,3.0,,17.0,4.0,2.0,17.0,1.0,,46.0,37 (47%),9 (27%),3 (38%),,65.0,41 (53%),24 (73%),7 (44%),,3.0,0.0,,4.0,0.0,1,0.5,0.5,40.5,0.445,6.5,3.0,1.0,59.5,1.6,19.5,5.0,2.0,9.0,35.0,1.5,0.077,0.167,0.026,0.1
161744,2025-09-07T14:15:00.000Z,8385,Cadiz,3,3,True,52.0,2.38,17.0,5.0,5.0,3.0,380 (84%),20.0,1.0,48.0,0.23,9.0,2.0,0.0,0.0,334 (80%),13.0,5.0,,8.0,4.0,0.0,11.0,6.0,,6.0,1.0,0.0,4.0,5.0,1.64,0.74,2.38,2.50,0.07,0.16,0.23,0.47,453.0,220.0,160.0,38 (63%),4 (27%),28.0,21.0,0.0,420.0,203.0,131.0,22 (41%),6 (46%),19.0,12.0,2.0,,18.0,6.0,1.0,14.0,0.0,,17.0,5.0,4.0,19.0,2.0,,50.0,40 (44%),10 (40%),10 (45%),,65.0,50 (56%),15 (60%),15 (58%),,4.0,0.0,,3.0,0.0,1,1.0,1.0,41.333,0.733,7.333,3.0,1.333,58.667,1.477,18.333,5.0,1.667,11.0,34.667,1.333,0.136,0.333,0.055,0.2
161744,2025-09-12T18:30:00.000Z,8306,Las Palmas,1,2,False,36.0,0.11,3.0,1.0,0.0,0.0,218 (71%),20.0,2.0,64.0,1.99,16.0,5.0,2.0,1.0,463 (85%),14.0,4.0,,2.0,0.0,1.0,1.0,2.0,,7.0,4.0,0.0,8.0,8.0,0.11,0.00,0.11,0.02,1.52,0.47,1.99,1.93,306.0,146.0,72.0,34 (53%),2 (20%),26.0,6.0,0.0,542.0,271.0,192.0,28 (47%),2 (12%),23.0,23.0,2.0,,14.0,1.0,3.0,39.0,3.0,,17.0,9.0,0.0,14.0,1.0,,42.0,31 (41%),11 (69%),4 (36%),,50.0,45 (59%),5 (31%),9 (64%),,6.0,0.0,,1.0,0.0,0,1.5,1.5,44.0,1.145,9.75,3.5,2.25,56.0,1.165,16.0,4.25,1.25,13.5,29.0,1.25,0.154,0.429,0.094,0.353
161744,2025-09-21T16:30:00.000Z,8372,Eibar,1,2,False,49.0,1.24,16.0,4.0,1.0,1.0,331 (77%),18.0,3.0,51.0,1.33,12.0,6.0,4.0,4.0,360 (79%),14.0,2.0,,6.0,6.0,0.0,7.0,9.0,,4.0,2.0,1.0,9.0,3.0,1.16,0.07,1.24,1.18,1.30,0.03,1.33,1.35,431.0,198.0,133.0,25 (40%),5 (25%),31.0,27.0,2.0,455.0,213.0,147.0,20 (34%),4 (22%),19.0,35.0,1.0,,13.0,5.0,4.0,25.0,3.0,,23.0,9.0,6.0,20.0,3.0,,60.0,39 (44%),21 (55%),13 (54%),,67.0,50 (56%),17 (45%),11 (58%),,2.0,0.0,,2.0,0.0,0,1.4,1.6,42.4,0.938,8.4,3.0,1.8,57.6,1.33,16.0,4.4,1.4,12.0,27.8,1.0,0.167,0.467,0.1,0.364
161744,2025-09-28T12:00:00.000Z,7869,Cordoba,1,1,True,43.0,1.30,10.0,5.0,2.0,2.0,178 (67%),23.0,8.0,57.0,0.87,13.0,3.0,2.0,1.0,299 (80%),19.0,5.0,,3.0,2.0,0.0,6.0,4.0,,5.0,5.0,0.0,7.0,6.0,0.31,0.20,0.51,1.35,0.56,0.31,0.87,0.59,265.0,110.0,68.0,18 (31%),2 (12%),23.0,25.0,2.0,376.0,148.0,151.0,23 (45%),4 (33%),17.0,24.0,3.0,,22.0,10.0,5.0,29.0,2.0,,15.0,7.0,2.0,42.0,5.0,,59.0,47 (52%),12 (32%),7 (70%),,69.0,43 (48%),26 (68%),8 (47%),,4.0,0.0,,5.0,0.0,1,1.4,2.0,44.2,1.092,11.0,3.4,1.8,55.8,1.208,14.8,4.6,1.6,16.2,28.2,0.4,0.127,0.412,0.135,0.435
161744,2025-10-04T19:00:00.000Z,7878,Granada,2,5,False,56.0,1.51,14.0,8.0,3.0,1.0,349 (83%),18.0,5.0,44.0,1.02,13.0,5.0,2.0,0.0,253 (77%),18.0,2.0,,3.0,3.0,0.0,9.0,5.0,,5.0,3.0,0.0,7.0,6.0,1.11,0.40,1.51,1.33,0.88,0.14,1.02,2.20,422.0,198.0,151.0,43 (60%),4 (21%),28.0,19.0,2.0,330.0,152.0,101.0,24 (47%),3 (23%),22.0,13.0,1.0,,21.0,7.0,3.0,31.0,0.0,,21.0,7.0,2.0,20.0,6.0,,60.0,46 (47%),14 (45%),8 (47%),,68.0,51 (53%),17 (55%),12 (57%),,4.0,0.0,,2.0,0.0,0,1.6,2.0,44.6,1.268,11.0,3.6,2.0,55.4,1.13,13.2,4.2,1.8,18.8,25.6,0.6,0.145,0.444,0.152,0.476
161744,2025-10-11T16:30:00.000Z,494050,FC Andorra,3,0,True,38.0,1.43,8.0,4.0,4.0,2.0,271 (82%),18.0,2.0,62.0,0.48,10.0,3.0,1.0,1.0,472 (88%),13.0,4.0,,4.0,0.0,0.0,5.0,3.0,,3.0,4.0,0.0,6.0,4.0,1.27,0.16,1.43,1.90,0.43,0.05,0.48,0.19,330.0,182.0,89.0,33 (56%),6 (50%),18.0,16.0,5.0,535.0,266.0,206.0,14 (52%),0 (0%),16.0,22.0,1.0,,20.0,11.0,4.0,25.0,3.0,,18.0,6.0,0.0,15.0,1.0,,48.0,40 (42%),8 (35%),9 (53%),,71.0,56 (58%),15 (65%),20 (59%),,4.0,0.0,,2.0,1.0,3,1.6,2.6,47.2,1.308,12.0,4.6,2.2,52.8,1.088,12.6,4.2,2.0,19.6,21.4,0.4,0.133,0.348,0.206,0.619
161744,2025-10-25T16:30:00.000Z,7876,Burgos CF,0,1,False,51.0,0.30,5.0,1.0,1.0,1.0,329 (79%),13.0,3.0,49.0,2.05,14.0,3.0,2.0,1.0,323 (81%),13.0,6.0,,3.0,1.0,0.0,1.0,4.0,,7.0,4.0,1.0,13.0,1.0,0.30,0.00,0.30,0.16,0.66,0.60,1.26,0.82,416.0,222.0,107.0,44 (57%),5 (26%),26.0,8.0,0.0,398.0,174.0,149.0,37 (60%),7 (26%),24.0,30.0,0.0,,20.0,8.0,5.0,30.0,1.0,,20.0,5.0,1.0,17.0,1.0,,54.0,39 (50%),15 (50%),7 (33%),,54.0,39 (50%),15 (50%),7 (29%),,2.0,0.0,,4.0,0.0,0,1.6,2.0,44.4,1.118,10.2,4.4,2.0,55.6,1.138,12.8,4.4,2.2,18.6,23.4,0.8,0.157,0.364,0.156,0.455
