team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8394,2025-08-17T15:00:00.000Z,161744,Real Sociedad B,0,1,False,60.0,1.94,18.0,5.0,3.0,3.0,347 (82%),12.0,9.0,40.0,0.47,3.0,2.0,1.0,0.0,226 (75%),24.0,2.0,,8.0,5.0,0.0,11.0,7.0,,1.0,0.0,0.0,0.0,3.0,1.48,0.46,1.94,1.48,0.47,0.00,0.47,0.69,423.0,149.0,198.0,27 (54%),7 (21%),28.0,33.0,1.0,301.0,149.0,77.0,29 (46%),2 (33%),18.0,6.0,0.0,,21.0,4.0,0.0,19.0,1.0,,14.0,10.0,5.0,51.0,5.0,,78.0,60 (71%),18 (67%),16 (62%),,34.0,25 (29%),9 (33%),1 (7%),,2.0,0.0,,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8394,2025-08-23T19:30:00.000Z,494050,FC Andorra,1,3,True,45.0,1.50,13.0,6.0,1.0,0.0,273 (75%),14.0,6.0,55.0,1.88,17.0,10.0,5.0,2.0,381 (84%),17.0,5.0,,3.0,4.0,1.0,8.0,5.0,,5.0,2.0,1.0,7.0,10.0,1.25,0.25,1.50,1.74,1.07,0.81,1.88,2.68,366.0,120.0,153.0,24 (43%),3 (17%),25.0,25.0,2.0,451.0,215.0,166.0,29 (54%),4 (27%),12.0,28.0,0.0,,21.0,10.0,2.0,21.0,7.0,,19.0,13.0,4.0,27.0,5.0,,53.0,41 (46%),12 (43%),5 (29%),,64.0,48 (54%),16 (57%),15 (71%),,1.0,1.0,,2.0,0.0,0,0.0,1.0,60.0,1.94,18.0,5.0,3.0,40.0,0.47,3.0,2.0,1.0,33.0,6.0,0.0,0.0,0.0,0.333,0.5
8394,2025-08-30T19:30:00.000Z,10279,Castellon,1,1,False,42.0,1.23,12.0,2.0,2.0,1.0,242 (74%),16.0,3.0,58.0,2.00,14.0,5.0,3.0,2.0,351 (81%),14.0,7.0,,5.0,5.0,1.0,4.0,8.0,,4.0,5.0,1.0,10.0,4.0,1.05,0.17,1.23,1.06,1.89,0.11,2.00,2.26,327.0,149.0,93.0,22 (38%),2 (25%),21.0,10.0,2.0,435.0,143.0,208.0,20 (40%),3 (13%),13.0,35.0,7.0,,17.0,11.0,5.0,38.0,4.0,,9.0,11.0,5.0,13.0,1.0,,52.0,42 (56%),10 (45%),12 (80%),,45.0,33 (44%),12 (55%),8 (50%),,3.0,0.0,,2.0,0.0,1,0.5,2.0,52.5,1.72,15.5,5.5,2.0,47.5,1.175,10.0,6.0,3.0,29.0,17.0,0.0,0.032,0.091,0.2,0.333
8394,2025-09-06T16:30:00.000Z,10281,Real Valladolid,1,1,True,46.0,0.41,8.0,2.0,1.0,0.0,214 (68%),16.0,1.0,54.0,0.87,10.0,4.0,2.0,1.0,253 (72%),21.0,7.0,,2.0,4.0,0.0,6.0,2.0,,4.0,2.0,0.0,6.0,4.0,0.16,0.24,0.41,0.60,0.53,0.35,0.87,1.53,313.0,119.0,95.0,15 (28%),2 (20%),25.0,17.0,0.0,350.0,146.0,107.0,29 (54%),4 (18%),30.0,16.0,1.0,,21.0,8.0,2.0,37.0,3.0,,22.0,3.0,4.0,23.0,2.0,,69.0,46 (53%),23 (43%),7 (33%),,71.0,40 (47%),31 (57%),7 (37%),,5.0,0.0,,4.0,0.0,1,0.667,1.667,49.0,1.557,14.333,4.333,2.0,51.0,1.45,11.333,5.667,3.0,22.667,23.0,0.333,0.047,0.154,0.147,0.294
8394,2025-09-15T18:30:00.000Z,8393,Albacete,0,0,True,61.0,0.62,10.0,1.0,1.0,1.0,412 (85%),7.0,3.0,39.0,0.78,6.0,1.0,1.0,1.0,232 (75%),16.0,6.0,,5.0,4.0,0.0,5.0,5.0,,2.0,3.0,0.0,4.0,2.0,0.48,0.14,0.62,0.03,0.58,0.20,0.78,0.12,483.0,201.0,211.0,34 (52%),4 (25%),20.0,17.0,4.0,310.0,124.0,108.0,23 (43%),2 (13%),24.0,12.0,1.0,,8.0,4.0,3.0,22.0,1.0,,12.0,6.0,4.0,25.0,1.0,,47.0,29 (55%),18 (58%),7 (47%),,37.0,24 (45%),13 (42%),5 (71%),,1.0,0.0,,3.0,0.0,1,0.75,1.5,48.25,1.27,12.75,3.75,1.75,51.75,1.305,11.0,5.25,2.75,21.25,21.25,0.5,0.059,0.2,0.136,0.286
8394,2025-09-21T12:00:00.000Z,357259,AD Ceuta FC,0,1,False,46.0,1.25,12.0,3.0,3.0,3.0,226 (76%),10.0,5.0,54.0,0.41,7.0,3.0,1.0,1.0,261 (76%),18.0,6.0,,6.0,3.0,0.0,6.0,6.0,,3.0,1.0,1.0,4.0,3.0,0.97,0.28,1.25,0.40,0.40,0.01,0.41,0.50,296.0,100.0,126.0,22 (48%),4 (25%),20.0,13.0,4.0,345.0,137.0,124.0,23 (41%),2 (9%),20.0,18.0,2.0,,20.0,6.0,1.0,19.0,2.0,,13.0,15.0,3.0,18.0,3.0,,56.0,47 (59%),9 (47%),9 (60%),,42.0,32 (41%),10 (53%),9 (50%),,2.0,0.0,,5.0,0.0,0,0.6,1.2,50.8,1.14,12.2,3.2,1.6,49.2,1.2,10.0,4.4,2.4,20.4,19.4,0.6,0.049,0.187,0.12,0.273
8394,2025-09-26T18:30:00.000Z,4032,CD Mirandes,1,0,False,50.0,0.87,10.0,2.0,3.0,3.0,395 (84%),18.0,2.0,50.0,0.93,14.0,2.0,1.0,1.0,374 (84%),19.0,4.0,,4.0,4.0,0.0,7.0,3.0,,5.0,7.0,1.0,11.0,3.0,0.80,0.06,0.87,1.02,0.32,0.61,0.93,0.11,468.0,253.0,142.0,35 (52%),1 (9%),17.0,15.0,0.0,444.0,185.0,189.0,37 (54%),10 (40%),17.0,20.0,2.0,,10.0,8.0,7.0,19.0,2.0,,10.0,8.0,4.0,18.0,1.0,,54.0,42 (53%),12 (55%),14 (88%),,48.0,38 (48%),10 (45%),10 (67%),,4.0,0.0,,4.0,0.0,3,0.6,1.2,48.0,1.002,11.0,2.8,1.6,52.0,1.188,10.8,4.6,2.4,16.4,21.8,0.6,0.055,0.214,0.111,0.261
8394,2025-10-05T12:00:00.000Z,7869,Cordoba,0,1,True,52.0,1.06,10.0,4.0,3.0,3.0,220 (75%),12.0,7.0,48.0,0.54,11.0,2.0,0.0,0.0,209 (77%),18.0,4.0,,5.0,1.0,0.0,9.0,1.0,,4.0,5.0,0.0,5.0,6.0,0.52,0.53,1.06,1.21,0.41,0.13,0.54,0.27,294.0,131.0,89.0,22 (42%),3 (17%),27.0,29.0,4.0,270.0,89.0,120.0,16 (39%),3 (21%),26.0,11.0,1.0,,19.0,5.0,5.0,16.0,2.0,,15.0,6.0,1.0,30.0,4.0,,41.0,38 (50%),3 (25%),3 (33%),,47.0,38 (50%),9 (75%),12 (71%),,4.0,1.0,,5.0,0.0,0,0.6,0.6,49.0,0.876,10.4,2.0,2.0,51.0,0.998,10.2,3.0,1.6,14.4,20.2,1.2,0.058,0.3,0.059,0.2
8394,2025-10-11T16:30:00.000Z,9865,Almeria,2,4,False,42.0,2.61,14.0,5.0,5.0,3.0,312 (83%),12.0,5.0,58.0,2.67,22.0,14.0,5.0,3.0,451 (86%),18.0,7.0,,6.0,3.0,0.0,10.0,4.0,,5.0,3.0,1.0,15.0,7.0,1.39,1.22,2.61,2.82,2.51,0.16,2.67,4.51,375.0,171.0,141.0,26 (59%),6 (33%),11.0,17.0,2.0,526.0,254.0,197.0,23 (49%),4 (22%),19.0,30.0,0.0,,15.0,12.0,4.0,21.0,9.0,,15.0,9.0,3.0,16.0,3.0,,43.0,39 (47%),4 (36%),7 (47%),,51.0,44 (53%),7 (64%),17 (65%),,2.0,0.0,,2.0,0.0,0,0.4,0.6,51.0,0.842,10.0,2.4,2.2,49.0,0.706,9.6,2.4,1.0,18.2,15.4,1.0,0.04,0.167,0.062,0.25
8394,2025-10-18T16:30:00.000Z,1753,Cultural Leonesa,0,5,True,42.0,0.35,9.0,2.0,0.0,0.0,287 (81%),10.0,3.0,58.0,2.95,19.0,13.0,5.0,3.0,435 (90%),10.0,5.0,,4.0,3.0,0.0,2.0,7.0,,6.0,0.0,0.0,11.0,8.0,0.26,0.09,0.35,0.41,1.83,0.33,2.16,3.13,355.0,181.0,106.0,20 (37%),2 (15%),20.0,10.0,1.0,485.0,171.0,264.0,29 (66%),3 (19%),18.0,28.0,1.0,,11.0,9.0,1.0,16.0,7.0,,18.0,7.0,3.0,20.0,2.0,,37.0,25 (42%),12 (55%),5 (33%),,44.0,34 (58%),10 (45%),7 (54%),,5.0,2.0,,2.0,0.0,0,0.6,1.2,50.2,1.282,11.2,3.0,3.0,49.8,1.066,12.0,4.4,1.6,18.2,18.2,0.8,0.054,0.2,0.1,0.273
