team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
96925,2025-08-17T19:30:00.000Z,7854,Leganes,1,1,True,56.0,1.37,15.0,3.0,3.0,3.0,296 (75%),11.0,5.0,44.0,0.74,7.0,3.0,2.0,1.0,221 (70%),12.0,3.0,,9.0,3.0,1.0,9.0,6.0,,2.0,2.0,0.0,6.0,1.0,1.08,0.29,1.37,0.83,0.41,0.33,0.74,0.95,395.0,173.0,123.0,29 (41%),5 (28%),21.0,17.0,1.0,314.0,117.0,104.0,29 (38%),3 (21%),19.0,15.0,3.0,,14.0,10.0,2.0,24.0,2.0,,10.0,13.0,2.0,35.0,2.0,,47.0,31 (53%),16 (41%),6 (67%),,50.0,27 (47%),23 (59%),7 (64%),,2.0,0.0,,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96925,2025-08-23T15:00:00.000Z,4032,CD Mirandes,1,0,False,48.0,0.45,6.0,2.0,1.0,0.0,269 (73%),13.0,4.0,52.0,0.34,5.0,2.0,1.0,1.0,302 (75%),16.0,1.0,,3.0,1.0,0.0,4.0,2.0,,2.0,1.0,0.0,2.0,3.0,0.34,0.11,0.45,0.47,0.05,0.29,0.34,0.27,371.0,159.0,110.0,25 (32%),2 (15%),17.0,15.0,2.0,401.0,128.0,174.0,29 (48%),5 (42%),22.0,10.0,4.0,,14.0,9.0,1.0,24.0,2.0,,6.0,6.0,1.0,22.0,1.0,,51.0,32 (56%),19 (41%),3 (43%),,52.0,25 (44%),27 (59%),6 (46%),,2.0,0.0,,5.0,0.0,3,1.0,1.0,56.0,1.37,15.0,3.0,3.0,44.0,0.74,7.0,3.0,2.0,17.0,15.0,1.0,0.067,0.333,0.143,0.333
96925,2025-09-01T17:30:00.000Z,8372,Eibar,2,1,True,46.0,1.35,11.0,4.0,3.0,1.0,264 (71%),14.0,5.0,54.0,0.90,14.0,3.0,2.0,1.0,361 (81%),15.0,6.0,,6.0,1.0,0.0,7.0,4.0,,8.0,3.0,0.0,11.0,3.0,0.24,1.11,1.35,1.84,0.74,0.16,0.90,1.19,372.0,149.0,115.0,20 (36%),7 (41%),23.0,20.0,1.0,446.0,239.0,122.0,25 (45%),5 (24%),23.0,17.0,2.0,,11.0,11.0,3.0,35.0,2.0,,15.0,6.0,1.0,43.0,2.0,,55.0,30 (45%),25 (53%),5 (50%),,58.0,36 (55%),22 (47%),7 (70%),,2.0,0.0,,1.0,1.0,3,1.0,0.5,52.0,0.91,10.5,2.5,2.0,48.0,0.54,6.0,2.5,1.5,16.0,12.5,2.0,0.095,0.4,0.083,0.2
96925,2025-09-07T12:00:00.000Z,357259,AD Ceuta FC,1,2,False,47.0,0.55,6.0,1.0,1.0,1.0,290 (77%),11.0,0.0,53.0,1.69,14.0,4.0,3.0,2.0,349 (83%),13.0,8.0,,3.0,2.0,0.0,4.0,2.0,,7.0,3.0,1.0,11.0,3.0,0.45,0.10,0.55,0.46,1.61,0.08,1.69,1.91,376.0,197.0,93.0,22 (49%),0 (0%),22.0,11.0,1.0,418.0,175.0,174.0,40 (56%),9 (38%),23.0,30.0,4.0,,19.0,8.0,3.0,20.0,2.0,,11.0,14.0,2.0,17.0,0.0,,50.0,39 (59%),11 (50%),7 (78%),,38.0,27 (41%),11 (50%),5 (38%),,3.0,1.0,,1.0,0.0,0,1.333,0.667,50.0,1.057,10.667,3.0,2.333,50.0,0.66,8.667,2.667,1.667,17.333,14.0,2.333,0.125,0.444,0.077,0.25
96925,2025-09-13T16:30:00.000Z,9864,Malaga,1,0,True,48.0,0.90,12.0,3.0,2.0,1.0,263 (75%),17.0,4.0,52.0,0.31,7.0,3.0,0.0,0.0,285 (75%),11.0,3.0,,6.0,3.0,0.0,4.0,8.0,,4.0,0.0,1.0,4.0,3.0,0.61,0.29,0.90,1.34,0.31,0.01,0.31,0.07,350.0,114.0,149.0,28 (49%),5 (33%),28.0,22.0,3.0,379.0,183.0,102.0,26 (41%),1 (8%),34.0,9.0,1.0,,17.0,9.0,0.0,34.0,3.0,,19.0,9.0,3.0,31.0,2.0,,57.0,38 (48%),19 (66%),10 (56%),,52.0,42 (53%),10 (34%),6 (50%),,4.0,0.0,,2.0,0.0,3,1.25,1.0,49.25,0.93,9.5,2.5,2.0,50.75,0.917,10.0,3.0,2.0,15.75,18.0,1.75,0.132,0.5,0.1,0.333
96925,2025-09-19T18:30:00.000Z,9783,Deportivo La Coruna,0,4,False,56.0,0.31,6.0,0.0,0.0,0.0,425 (89%),9.0,3.0,44.0,2.53,16.0,6.0,4.0,1.0,331 (90%),14.0,6.0,,5.0,1.0,0.0,4.0,2.0,,6.0,4.0,0.0,11.0,5.0,0.28,0.03,0.31,0.00,1.63,0.90,2.53,2.29,480.0,257.0,168.0,17 (44%),5 (36%),12.0,13.0,0.0,369.0,183.0,148.0,26 (65%),5 (26%),15.0,23.0,5.0,,11.0,4.0,4.0,20.0,3.0,,12.0,7.0,1.0,21.0,0.0,,46.0,34 (61%),12 (52%),10 (71%),,33.0,22 (39%),11 (48%),2 (25%),,2.0,0.0,,1.0,0.0,0,1.2,0.8,49.0,0.924,10.0,2.6,2.0,51.0,0.796,9.4,3.0,1.6,17.0,16.2,2.0,0.12,0.462,0.085,0.267
96925,2025-09-28T19:00:00.000Z,7878,Granada,0,1,True,61.0,1.76,15.0,2.0,3.0,3.0,380 (83%),12.0,13.0,39.0,0.61,9.0,3.0,2.0,1.0,241 (79%),12.0,2.0,,5.0,8.0,0.0,8.0,7.0,,3.0,3.0,0.0,5.0,4.0,1.41,0.36,1.76,0.70,0.52,0.09,0.61,1.14,459.0,239.0,141.0,30 (43%),6 (16%),28.0,24.0,6.0,304.0,122.0,119.0,33 (52%),3 (20%),21.0,11.0,3.0,,8.0,11.0,3.0,21.0,2.0,,12.0,6.0,8.0,42.0,2.0,,42.0,28 (50%),14 (52%),9 (56%),,41.0,28 (50%),13 (48%),5 (56%),,1.0,0.0,,1.0,0.0,0,1.0,1.4,49.0,0.712,8.2,2.0,1.4,51.0,1.154,11.2,3.6,2.0,16.2,17.8,1.8,0.122,0.5,0.125,0.389
96925,2025-10-04T16:30:00.000Z,7876,Burgos CF,2,1,True,44.0,1.07,9.0,4.0,2.0,1.0,261 (75%),14.0,1.0,56.0,0.88,4.0,2.0,1.0,0.0,352 (80%),13.0,1.0,,3.0,2.0,0.0,5.0,4.0,,1.0,1.0,0.0,4.0,0.0,0.44,0.64,1.07,1.77,0.06,0.04,0.09,0.77,350.0,143.0,118.0,20 (38%),4 (33%),28.0,14.0,2.0,440.0,204.0,148.0,21 (38%),1 (8%),25.0,21.0,2.0,,20.0,6.0,1.0,36.0,1.0,,14.0,12.0,2.0,27.0,2.0,,63.0,39 (52%),24 (63%),8 (53%),,50.0,36 (48%),14 (37%),8 (40%),,2.0,0.0,,3.0,0.0,3,0.8,1.6,51.6,0.974,10.0,2.0,1.8,48.4,1.208,12.0,3.8,2.2,18.0,18.0,1.2,0.08,0.4,0.133,0.421
96925,2025-10-12T16:30:00.000Z,8385,Cadiz,0,1,False,41.0,1.09,10.0,1.0,1.0,1.0,285 (84%),12.0,2.0,59.0,0.93,11.0,2.0,1.0,0.0,427 (89%),12.0,13.0,,6.0,3.0,0.0,5.0,5.0,,6.0,3.0,0.0,6.0,5.0,1.06,0.03,1.09,0.01,0.90,0.03,0.93,0.77,340.0,151.0,134.0,22 (55%),4 (36%),14.0,21.0,3.0,482.0,184.0,243.0,35 (63%),3 (12%),10.0,20.0,1.0,,15.0,6.0,3.0,33.0,1.0,,14.0,11.0,3.0,22.0,1.0,,43.0,31 (52%),12 (67%),4 (50%),,35.0,29 (48%),6 (33%),5 (45%),,3.0,0.0,,2.0,0.0,0,0.8,1.6,51.2,0.918,9.6,2.0,1.6,48.8,1.204,10.0,3.6,2.0,16.8,18.8,1.2,0.083,0.4,0.16,0.444
96925,2025-10-24T18:30:00.000Z,8306,Las Palmas,1,1,True,30.0,0.76,13.0,3.0,0.0,0.0,176 (69%),19.0,5.0,70.0,0.68,12.0,1.0,0.0,0.0,542 (88%),7.0,4.0,,6.0,4.0,0.0,5.0,8.0,,6.0,5.0,0.0,8.0,4.0,0.43,0.33,0.76,1.12,0.44,0.24,0.68,0.54,255.0,94.0,82.0,21 (32%),4 (29%),22.0,10.0,1.0,614.0,304.0,238.0,18 (41%),3 (15%),16.0,22.0,2.0,,12.0,7.0,5.0,16.0,0.0,,11.0,5.0,3.0,10.0,2.0,,34.0,22 (39%),12 (39%),4 (33%),,53.0,34 (61%),19 (61%),6 (46%),,3.0,0.0,,1.0,0.0,1,0.6,1.4,50.0,1.026,10.4,2.0,1.6,50.0,1.052,9.4,3.2,1.6,18.8,16.8,1.2,0.058,0.3,0.149,0.437
