team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9869,2025-08-18T17:00:00.000Z,7869,Cordoba,2,1,True,35.0,1.53,9.0,4.0,5.0,3.0,186 (69%),13.0,2.0,65.0,0.80,15.0,5.0,0.0,0.0,395 (82%),7.0,4.0,,2.0,3.0,0.0,6.0,3.0,,6.0,4.0,3.0,8.0,7.0,1.06,0.47,1.53,1.24,0.72,0.08,0.80,1.08,270.0,98.0,88.0,22 (38%),1 (14%),27.0,12.0,7.0,479.0,174.0,221.0,26 (52%),5 (21%),31.0,16.0,1.0,,23.0,13.0,4.0,32.0,4.0,,14.0,7.0,3.0,23.0,2.0,,49.0,35 (53%),14 (45%),6 (46%),,48.0,31 (47%),17 (55%),4 (25%),,2.0,0.0,,2.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9869,2025-08-23T17:00:00.000Z,357259,AD Ceuta FC,1,0,False,37.0,0.86,7.0,4.0,2.0,2.0,203 (67%),15.0,3.0,63.0,0.93,12.0,7.0,1.0,1.0,405 (80%),11.0,3.0,,1.0,2.0,0.0,6.0,1.0,,2.0,3.0,1.0,10.0,2.0,0.73,0.13,0.86,1.68,0.45,0.48,0.93,1.43,302.0,70.0,133.0,26 (37%),3 (38%),25.0,19.0,4.0,504.0,233.0,172.0,27 (42%),5 (19%),24.0,21.0,0.0,,17.0,8.0,3.0,41.0,7.0,,14.0,12.0,2.0,20.0,3.0,,50.0,31 (50%),19 (49%),3 (43%),,51.0,31 (50%),20 (51%),2 (20%),,2.0,0.0,,1.0,0.0,3,2.0,1.0,35.0,1.53,9.0,4.0,5.0,65.0,0.8,15.0,5.0,0.0,12.0,16.0,3.0,0.222,0.5,0.067,0.2
9869,2025-08-29T19:30:00.000Z,1753,Cultural Leonesa,1,0,True,58.0,1.50,17.0,6.0,3.0,2.0,456 (88%),12.0,10.0,42.0,0.31,9.0,2.0,0.0,0.0,329 (86%),12.0,3.0,,5.0,6.0,0.0,11.0,6.0,,5.0,2.0,0.0,3.0,6.0,0.81,0.69,1.50,1.69,0.27,0.04,0.31,0.24,518.0,153.0,303.0,19 (51%),8 (29%),19.0,28.0,0.0,383.0,195.0,134.0,18 (40%),1 (9%),13.0,6.0,0.0,,12.0,3.0,2.0,14.0,2.0,,14.0,2.0,5.0,36.0,5.0,,43.0,26 (49%),17 (63%),3 (38%),,37.0,27 (51%),10 (37%),2 (40%),,4.0,0.0,,1.0,0.0,3,1.5,0.5,36.0,1.195,8.0,4.0,3.5,64.0,0.865,13.5,6.0,0.5,15.5,18.5,3.0,0.188,0.375,0.037,0.083
9869,2025-09-06T14:15:00.000Z,9783,Deportivo La Coruna,0,1,False,39.0,0.32,8.0,3.0,0.0,0.0,271 (78%),14.0,3.0,61.0,0.65,14.0,6.0,1.0,1.0,479 (89%),9.0,6.0,,3.0,2.0,1.0,4.0,4.0,,6.0,2.0,1.0,10.0,4.0,0.19,0.13,0.32,0.35,0.51,0.15,0.65,0.90,346.0,133.0,138.0,13 (32%),1 (6%),16.0,10.0,0.0,541.0,266.0,213.0,24 (49%),7 (33%),20.0,31.0,0.0,,13.0,5.0,2.0,27.0,5.0,,14.0,10.0,2.0,40.0,3.0,,41.0,27 (46%),14 (50%),5 (50%),,46.0,32 (54%),14 (50%),6 (60%),,1.0,0.0,,3.0,0.0,0,1.333,0.333,43.333,1.297,11.0,4.667,3.333,56.667,0.68,12.0,4.667,0.333,19.667,14.333,3.0,0.121,0.286,0.028,0.071
9869,2025-09-14T16:30:00.000Z,7876,Burgos CF,2,3,True,54.0,2.76,29.0,9.0,3.0,3.0,368 (80%),8.0,8.0,46.0,1.37,11.0,5.0,4.0,1.0,315 (76%),10.0,4.0,,10.0,10.0,0.0,22.0,7.0,,6.0,0.0,0.0,5.0,6.0,2.00,0.76,2.76,2.31,1.12,0.25,1.37,1.65,458.0,152.0,216.0,20 (42%),11 (34%),25.0,42.0,0.0,416.0,163.0,152.0,28 (44%),4 (40%),27.0,15.0,1.0,,17.0,10.0,0.0,12.0,2.0,,21.0,13.0,10.0,43.0,6.0,,61.0,41 (48%),20 (43%),14 (56%),,70.0,44 (52%),26 (57%),15 (63%),,1.0,0.0,,2.0,0.0,0,1.0,0.5,42.25,1.052,10.25,4.25,2.5,57.75,0.672,12.5,5.0,0.5,17.25,18.5,2.25,0.098,0.235,0.04,0.1
9869,2025-09-20T19:00:00.000Z,9865,Almeria,1,2,False,32.0,1.17,9.0,5.0,1.0,0.0,230 (77%),7.0,1.0,68.0,1.63,24.0,9.0,1.0,0.0,558 (90%),15.0,6.0,,2.0,2.0,0.0,6.0,3.0,,8.0,7.0,1.0,11.0,13.0,1.08,0.08,1.17,1.07,1.39,0.24,1.63,2.36,298.0,105.0,125.0,20 (33%),4 (50%),11.0,20.0,4.0,623.0,221.0,337.0,20 (48%),6 (19%),16.0,40.0,1.0,,10.0,3.0,7.0,21.0,7.0,,11.0,5.0,2.0,10.0,4.0,,48.0,29 (57%),19 (50%),7 (70%),,41.0,22 (43%),19 (50%),6 (60%),,4.0,2.0,,3.0,0.0,0,1.2,1.0,44.6,1.394,14.0,5.2,2.6,55.4,0.812,12.2,5.0,1.2,22.2,17.8,1.8,0.086,0.231,0.082,0.2
9869,2025-09-28T16:30:00.000Z,8393,Albacete,3,4,True,47.0,2.48,11.0,6.0,4.0,1.0,358 (80%),12.0,2.0,53.0,1.99,11.0,7.0,3.0,1.0,389 (81%),9.0,8.0,,4.0,1.0,1.0,10.0,1.0,,3.0,1.0,0.0,9.0,2.0,2.35,0.13,2.48,2.58,0.99,0.21,1.20,3.04,448.0,148.0,210.0,23 (40%),4 (40%),20.0,24.0,5.0,483.0,253.0,136.0,37 (53%),2 (9%),24.0,18.0,0.0,,14.0,14.0,1.0,33.0,3.0,,20.0,11.0,1.0,20.0,3.0,,41.0,23 (38%),18 (56%),1 (10%),,52.0,38 (62%),14 (44%),6 (35%),,1.0,0.0,,2.0,0.0,0,1.0,1.2,44.0,1.322,14.0,5.4,1.8,56.0,0.978,14.0,5.8,1.4,23.8,22.6,1.2,0.071,0.185,0.086,0.207
9869,2025-10-05T14:15:00.000Z,10279,Castellon,1,3,False,37.0,1.89,5.0,4.0,3.0,2.0,205 (72%),18.0,1.0,63.0,1.68,12.0,5.0,2.0,0.0,411 (85%),13.0,3.0,,0.0,1.0,0.0,5.0,0.0,,3.0,4.0,1.0,6.0,6.0,1.89,0.00,1.89,1.84,0.85,0.05,0.89,1.79,286.0,123.0,82.0,18 (34%),4 (31%),22.0,15.0,0.0,486.0,153.0,258.0,25 (53%),2 (11%),23.0,37.0,0.0,,26.0,7.0,4.0,36.0,2.0,,14.0,8.0,1.0,22.0,3.0,,61.0,45 (50%),16 (57%),6 (46%),,57.0,45 (50%),12 (43%),14 (52%),,6.0,0.0,,3.0,0.0,0,1.4,2.0,46.0,1.646,14.8,5.8,2.2,54.0,1.19,13.8,5.8,1.8,24.8,22.0,0.6,0.095,0.241,0.145,0.345
9869,2025-10-12T14:15:00.000Z,8696,Racing Santander,2,1,True,41.0,1.49,9.0,4.0,3.0,1.0,258 (75%),16.0,4.0,59.0,1.10,13.0,3.0,2.0,1.0,415 (84%),13.0,6.0,,3.0,2.0,0.0,8.0,1.0,,8.0,2.0,0.0,7.0,6.0,1.01,0.48,1.49,2.00,0.62,0.48,1.10,1.98,343.0,127.0,131.0,24 (36%),3 (27%),14.0,17.0,4.0,495.0,170.0,245.0,6 (21%),5 (24%),20.0,17.0,1.0,,25.0,12.0,2.0,29.0,2.0,,19.0,7.0,2.0,17.0,2.0,,66.0,47 (51%),19 (59%),11 (58%),,59.0,46 (49%),13 (41%),11 (52%),,1.0,1.0,,6.0,2.0,3,1.4,2.6,41.8,1.724,12.4,5.4,2.2,58.2,1.464,14.4,6.4,2.2,22.2,28.2,0.0,0.113,0.259,0.181,0.406
9869,2025-10-19T14:15:00.000Z,10281,Real Valladolid,3,2,False,36.0,2.50,7.0,5.0,4.0,1.0,266 (75%),9.0,1.0,64.0,1.40,17.0,5.0,5.0,3.0,525 (86%),12.0,5.0,,1.0,1.0,0.0,6.0,1.0,,6.0,6.0,0.0,12.0,5.0,1.65,0.06,1.71,2.99,1.29,0.12,1.40,1.71,357.0,158.0,108.0,14 (23%),1 (11%),22.0,13.0,0.0,610.0,243.0,282.0,29 (60%),5 (19%),27.0,33.0,0.0,,33.0,12.0,6.0,39.0,3.0,,21.0,8.0,1.0,12.0,2.0,,61.0,49 (55%),12 (41%),6 (40%),,57.0,40 (45%),17 (59%),11 (44%),,3.0,0.0,,0.0,0.0,3,1.8,2.6,42.2,1.958,12.6,5.6,2.8,57.8,1.554,14.2,5.8,2.4,23.6,25.4,0.6,0.143,0.321,0.183,0.448
