team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10260,2025-08-17T15:30:00.000Z,9825,Arsenal,0,1,True,61.0,1.52,22.0,7.0,0.0,0.0,393 (83%),10.0,3.0,39.0,1.31,9.0,3.0,1.0,0.0,219 (74%),19.0,4.0,,7.0,8.0,1.0,15.0,7.0,,3.0,3.0,0.0,5.0,4.0,1.29,0.23,1.52,0.75,0.28,1.02,1.31,1.21,475.0,196.0,197.0,41 (61%),3 (20%),20.0,36.0,1.0,294.0,109.0,110.0,20 (41%),2 (18%),15.0,20.0,2.0,,22.0,4.0,3.0,23.0,2.0,,18.0,4.0,8.0,30.0,7.0,,70.0,47 (56%),23 (59%),9 (69%),,53.0,37 (44%),16 (41%),9 (36%),,1.0,0.0,,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10260,2025-08-24T15:30:00.000Z,9879,Fulham,1,1,False,48.0,1.63,10.0,3.0,2.0,2.0,328 (83%),10.0,6.0,52.0,1.76,13.0,4.0,3.0,2.0,353 (84%),12.0,9.0,,6.0,1.0,1.0,8.0,2.0,,4.0,5.0,0.0,10.0,3.0,0.52,0.31,0.84,0.54,1.01,0.74,1.76,1.37,397.0,178.0,150.0,22 (39%),4 (29%),17.0,25.0,1.0,419.0,172.0,181.0,21 (49%),10 (30%),21.0,38.0,2.0,,17.0,5.0,5.0,27.0,2.0,,10.0,8.0,1.0,24.0,3.0,,53.0,30 (59%),23 (53%),2 (29%),,41.0,21 (41%),20 (47%),2 (15%),,1.0,0.0,,1.0,0.0,1,0.0,1.0,61.0,1.52,22.0,7.0,0.0,39.0,1.31,9.0,3.0,1.0,36.0,20.0,0.0,0.0,0.0,0.111,0.333
10260,2025-08-30T14:00:00.000Z,8191,Burnley,3,2,True,62.0,3.63,26.0,6.0,4.0,2.0,418 (82%),9.0,7.0,38.0,1.20,6.0,3.0,2.0,0.0,225 (71%),9.0,1.0,,13.0,7.0,2.0,19.0,7.0,,1.0,2.0,0.0,5.0,1.0,2.23,0.61,2.84,2.18,0.62,0.59,1.20,1.66,508.0,212.0,206.0,32 (58%),13 (50%),21.0,38.0,1.0,318.0,124.0,101.0,24 (36%),1 (11%),13.0,18.0,1.0,,16.0,3.0,2.0,17.0,1.0,,20.0,9.0,6.0,39.0,5.0,,50.0,29 (48%),21 (49%),5 (45%),,53.0,31 (52%),22 (51%),3 (60%),,1.0,0.0,,5.0,0.0,3,0.5,1.0,54.5,1.575,16.0,5.0,1.0,45.5,1.535,11.0,3.5,2.0,30.5,29.0,0.5,0.031,0.1,0.091,0.286
10260,2025-09-14T15:30:00.000Z,8456,Manchester City,0,3,False,55.0,1.52,12.0,2.0,2.0,2.0,420 (84%),8.0,4.0,45.0,2.63,13.0,6.0,4.0,2.0,352 (82%),8.0,2.0,,8.0,2.0,0.0,7.0,5.0,,7.0,0.0,1.0,12.0,1.0,1.01,0.50,1.52,0.14,2.63,0.00,2.63,2.30,501.0,189.0,231.0,36 (62%),6 (26%),21.0,29.0,3.0,430.0,202.0,150.0,22 (40%),1 (50%),26.0,26.0,2.0,,23.0,13.0,0.0,10.0,3.0,,13.0,10.0,2.0,33.0,2.0,,48.0,37 (58%),11 (38%),6 (43%),,45.0,27 (42%),18 (62%),7 (32%),,0.0,0.0,,0.0,0.0,0,1.333,1.333,57.0,2.26,19.333,5.333,2.0,43.0,1.423,9.333,3.333,2.0,33.0,25.333,1.333,0.069,0.25,0.143,0.4
10260,2025-09-20T16:30:00.000Z,8455,Chelsea,2,1,True,41.0,1.84,11.0,4.0,3.0,1.0,292 (79%),13.0,5.0,59.0,0.43,5.0,1.0,1.0,0.0,466 (85%),14.0,5.0,,3.0,4.0,0.0,6.0,5.0,,2.0,2.0,0.0,4.0,1.0,0.75,1.08,1.84,1.87,0.10,0.32,0.43,0.59,371.0,137.0,155.0,13 (24%),8 (31%),23.0,21.0,3.0,550.0,259.0,207.0,21 (47%),2 (13%),20.0,16.0,2.0,,21.0,10.0,2.0,19.0,0.0,,16.0,8.0,3.0,29.0,2.0,,51.0,39 (51%),12 (43%),5 (38%),,53.0,37 (49%),16 (57%),8 (44%),,0.0,1.0,,5.0,1.0,3,1.0,1.75,56.5,2.075,17.5,4.5,2.0,43.5,1.725,10.25,4.0,2.5,32.0,25.5,1.0,0.057,0.222,0.171,0.438
10260,2025-09-27T11:30:00.000Z,9937,Brentford,1,3,False,56.0,2.08,14.0,6.0,4.0,3.0,370 (81%),10.0,2.0,44.0,2.02,10.0,8.0,6.0,4.0,274 (76%),14.0,4.0,,4.0,4.0,0.0,9.0,5.0,,1.0,1.0,0.0,7.0,3.0,0.95,0.35,1.29,2.43,1.29,0.74,2.02,3.03,458.0,217.0,153.0,18 (44%),4 (29%),17.0,17.0,1.0,359.0,136.0,138.0,21 (42%),7 (50%),22.0,23.0,2.0,,16.0,4.0,1.0,29.0,5.0,,14.0,7.0,4.0,24.0,5.0,,51.0,32 (52%),19 (46%),2 (20%),,52.0,30 (48%),22 (54%),6 (43%),,2.0,0.0,,2.0,0.0,0,1.2,1.6,53.4,2.028,16.2,4.4,2.2,46.6,1.466,9.2,3.4,2.2,29.8,23.6,1.4,0.074,0.273,0.174,0.471
10260,2025-10-04T14:00:00.000Z,8472,Sunderland,2,0,True,50.0,1.84,15.0,6.0,2.0,1.0,351 (78%),10.0,2.0,50.0,0.71,8.0,3.0,2.0,2.0,341 (80%),12.0,3.0,,7.0,2.0,1.0,11.0,4.0,,4.0,1.0,0.0,5.0,3.0,1.17,0.67,1.84,2.07,0.47,0.24,0.71,0.94,448.0,197.0,154.0,19 (32%),5 (71%),23.0,32.0,1.0,428.0,171.0,170.0,16 (31%),4 (20%),20.0,14.0,2.0,,17.0,10.0,1.0,24.0,3.0,,21.0,10.0,2.0,31.0,4.0,,48.0,34 (45%),14 (41%),7 (30%),,61.0,41 (55%),20 (59%),11 (55%),,1.0,0.0,,4.0,0.0,3,1.4,2.0,52.4,2.14,14.6,4.2,3.0,47.6,1.608,9.4,4.4,3.2,26.0,24.2,1.4,0.096,0.333,0.213,0.455
10260,2025-10-19T15:30:00.000Z,8650,Liverpool,2,1,False,36.0,1.34,12.0,4.0,5.0,3.0,200 (68%),14.0,4.0,64.0,2.75,19.0,6.0,5.0,4.0,408 (85%),8.0,9.0,,5.0,3.0,1.0,10.0,2.0,,11.0,2.0,3.0,16.0,3.0,0.79,0.54,1.34,1.06,2.30,0.45,2.75,2.33,294.0,79.0,121.0,18 (24%),4 (33%),17.0,16.0,1.0,480.0,152.0,256.0,27 (57%),9 (19%),31.0,52.0,1.0,,15.0,6.0,2.0,46.0,5.0,,13.0,5.0,3.0,28.0,2.0,,45.0,27 (47%),18 (46%),4 (50%),,51.0,30 (53%),21 (54%),4 (36%),,2.0,0.0,,0.0,0.0,3,1.6,1.8,52.8,2.182,15.6,4.8,3.0,47.2,1.398,8.4,4.2,3.0,27.4,19.4,1.8,0.103,0.333,0.214,0.429
10260,2025-10-25T16:30:00.000Z,10204,Brighton & Hove Albion,4,2,True,44.0,1.29,13.0,9.0,4.0,3.0,361 (82%),4.0,1.0,56.0,1.12,17.0,5.0,1.0,0.0,485 (85%),13.0,6.0,,3.0,1.0,1.0,7.0,6.0,,8.0,4.0,0.0,10.0,7.0,1.21,0.08,1.29,3.04,0.47,0.64,1.12,1.70,442.0,164.0,197.0,27 (48%),1 (11%),16.0,21.0,2.0,568.0,301.0,184.0,20 (45%),5 (29%),14.0,20.0,2.0,,21.0,14.0,4.0,15.0,3.0,,18.0,12.0,1.0,18.0,5.0,,61.0,46 (54%),15 (45%),13 (59%),,57.0,39 (46%),18 (55%),17 (74%),,2.0,0.0,,2.0,0.0,3,1.4,1.6,47.6,1.724,12.8,4.4,3.2,52.4,1.708,11.0,4.8,3.6,23.0,26.2,1.8,0.109,0.318,0.145,0.333
10260,2025-11-01T15:00:00.000Z,10203,Nottingham Forest,2,2,False,59.0,1.12,18.0,7.0,0.0,0.0,442 (84%),7.0,5.0,41.0,1.93,17.0,3.0,1.0,0.0,263 (75%),10.0,8.0,,6.0,5.0,1.0,8.0,10.0,,8.0,6.0,0.0,11.0,6.0,0.57,0.55,1.12,1.42,1.62,0.30,1.93,1.56,525.0,264.0,178.0,31 (50%),5 (38%),12.0,17.0,1.0,350.0,119.0,144.0,23 (37%),5 (20%),15.0,24.0,2.0,,12.0,10.0,6.0,22.0,1.0,,17.0,11.0,6.0,17.0,4.0,,59.0,30 (52%),29 (63%),8 (42%),,45.0,28 (48%),17 (37%),5 (45%),,1.0,0.0,,1.0,0.0,1,2.2,1.4,45.4,1.678,13.0,5.8,3.6,54.6,1.406,11.8,4.6,3.0,21.4,25.0,2.4,0.169,0.379,0.119,0.304
