team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8586,2025-08-16T14:00:00.000Z,8191,Burnley,3,0,True,67.0,2.32,16.0,6.0,2.0,1.0,451 (88%),14.0,6.0,33.0,0.94,14.0,4.0,0.0,0.0,181 (74%),8.0,5.0,,9.0,1.0,0.0,12.0,4.0,,7.0,3.0,0.0,7.0,7.0,1.66,0.67,2.32,2.61,0.75,0.19,0.94,1.07,511.0,250.0,201.0,20 (48%),8 (30%),17.0,26.0,0.0,246.0,70.0,111.0,18 (40%),3 (21%),15.0,25.0,4.0,,12.0,1.0,2.0,26.0,4.0,,6.0,7.0,1.0,25.0,3.0,,47.0,30 (53%),17 (49%),11 (79%),,45.0,27 (47%),18 (51%),7 (70%),,0.0,0.0,,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8586,2025-08-23T11:30:00.000Z,8456,Manchester City,2,0,False,39.0,1.11,12.0,5.0,3.0,1.0,259 (78%),12.0,2.0,61.0,1.55,10.0,4.0,2.0,2.0,456 (87%),7.0,7.0,,5.0,2.0,0.0,10.0,2.0,,3.0,3.0,0.0,6.0,4.0,0.97,0.14,1.11,2.08,1.01,0.54,1.55,0.64,331.0,174.0,85.0,20 (34%),4 (36%),21.0,26.0,1.0,525.0,247.0,209.0,15 (38%),5 (26%),23.0,34.0,0.0,,24.0,7.0,3.0,25.0,4.0,,20.0,6.0,2.0,23.0,3.0,,47.0,39 (50%),8 (40%),8 (35%),,51.0,39 (50%),12 (60%),7 (47%),,4.0,0.0,,1.0,0.0,3,3.0,0.0,67.0,2.32,16.0,6.0,2.0,33.0,0.94,14.0,4.0,0.0,26.0,25.0,3.0,0.188,0.5,0.0,0.0
8586,2025-08-30T14:00:00.000Z,8678,AFC Bournemouth,0,1,True,61.0,0.19,5.0,1.0,0.0,0.0,394 (83%),17.0,0.0,39.0,1.59,20.0,6.0,3.0,3.0,208 (70%),13.0,8.0,,3.0,1.0,0.0,3.0,2.0,,9.0,5.0,1.0,15.0,5.0,0.15,0.03,0.19,0.22,1.01,0.58,1.59,1.48,477.0,228.0,166.0,19 (37%),5 (25%),25.0,18.0,2.0,296.0,104.0,104.0,19 (33%),5 (28%),15.0,29.0,3.0,,16.0,4.0,5.0,33.0,5.0,,28.0,9.0,1.0,31.0,1.0,,56.0,39 (42%),17 (52%),10 (37%),,69.0,53 (58%),16 (48%),8 (50%),,2.0,0.0,,4.0,0.0,0,2.5,0.0,53.0,1.715,14.0,5.5,2.5,47.0,1.245,12.0,4.0,1.0,26.0,29.5,3.0,0.179,0.455,0.0,0.0
8586,2025-09-13T16:30:00.000Z,8654,West Ham United,3,0,False,64.0,1.29,14.0,5.0,2.0,1.0,465 (87%),7.0,13.0,36.0,0.60,7.0,4.0,1.0,1.0,239 (77%),8.0,2.0,,4.0,5.0,0.0,10.0,4.0,,3.0,0.0,0.0,6.0,1.0,0.60,0.69,1.29,2.23,0.37,0.23,0.60,0.29,534.0,236.0,229.0,23 (55%),5 (16%),21.0,37.0,4.0,310.0,127.0,112.0,17 (29%),3 (33%),19.0,10.0,0.0,,16.0,3.0,0.0,10.0,4.0,,13.0,5.0,5.0,41.0,2.0,,48.0,35 (58%),13 (37%),11 (65%),,47.0,25 (42%),22 (63%),6 (40%),,1.0,0.0,,0.0,1.0,3,1.667,0.333,55.667,1.207,11.0,4.0,1.667,44.333,1.36,14.667,4.667,1.667,23.333,29.333,2.0,0.152,0.417,0.023,0.071
8586,2025-09-20T14:00:00.000Z,10204,Brighton & Hove Albion,2,2,False,64.0,1.22,11.0,3.0,1.0,0.0,464 (89%),13.0,10.0,36.0,1.32,12.0,4.0,1.0,0.0,236 (77%),10.0,2.0,,6.0,2.0,0.0,9.0,2.0,,7.0,1.0,0.0,5.0,7.0,1.18,0.05,1.22,1.55,1.19,0.13,1.32,1.27,523.0,211.0,253.0,27 (59%),3 (9%),17.0,44.0,1.0,307.0,129.0,107.0,22 (39%),2 (25%),11.0,17.0,0.0,,26.0,9.0,1.0,17.0,2.0,,25.0,5.0,2.0,40.0,2.0,,61.0,49 (53%),12 (48%),13 (45%),,57.0,44 (47%),13 (52%),6 (38%),,2.0,0.0,,1.0,0.0,1,2.0,0.25,57.75,1.228,11.75,4.25,1.75,42.25,1.17,12.75,4.5,1.5,26.75,24.5,2.25,0.17,0.471,0.02,0.056
8586,2025-09-27T19:00:00.000Z,8602,Wolverhampton Wanderers,1,1,True,51.0,0.87,10.0,3.0,1.0,1.0,325 (82%),9.0,10.0,49.0,1.15,9.0,3.0,1.0,0.0,321 (81%),11.0,9.0,,5.0,2.0,1.0,7.0,3.0,,5.0,1.0,1.0,6.0,3.0,0.68,0.19,0.87,1.50,0.30,0.85,1.15,1.43,398.0,133.0,192.0,26 (54%),9 (28%),24.0,24.0,2.0,394.0,182.0,139.0,22 (37%),4 (27%),25.0,16.0,0.0,,17.0,10.0,1.0,19.0,2.0,,31.0,10.0,2.0,41.0,2.0,,56.0,38 (44%),18 (53%),11 (44%),,64.0,48 (56%),16 (47%),8 (50%),,3.0,0.0,,2.0,0.0,1,2.0,0.6,59.0,1.226,11.6,4.0,1.6,41.0,1.2,12.6,4.4,1.4,30.2,23.0,2.0,0.172,0.5,0.048,0.136
8586,2025-10-04T11:30:00.000Z,8463,Leeds United,2,1,False,44.0,0.53,9.0,3.0,1.0,1.0,298 (80%),12.0,1.0,56.0,1.68,16.0,4.0,4.0,3.0,401 (84%),10.0,4.0,,4.0,2.0,1.0,4.0,5.0,,10.0,2.0,1.0,11.0,5.0,0.44,0.09,0.53,0.60,1.25,0.43,1.68,1.66,374.0,157.0,141.0,11 (23%),1 (10%),14.0,18.0,2.0,478.0,227.0,174.0,16 (40%),10 (48%),15.0,22.0,1.0,,15.0,6.0,2.0,34.0,3.0,,19.0,6.0,2.0,25.0,1.0,,44.0,34 (50%),10 (42%),10 (59%),,48.0,34 (50%),14 (58%),3 (30%),,3.0,0.0,,2.0,0.0,3,1.6,0.8,55.8,0.936,10.4,3.4,1.4,44.2,1.242,11.6,4.2,1.6,29.8,21.2,1.6,0.154,0.471,0.069,0.19
8586,2025-10-19T13:00:00.000Z,10252,Aston Villa,1,2,True,53.0,0.75,10.0,3.0,3.0,2.0,336 (88%),11.0,6.0,47.0,0.32,8.0,2.0,0.0,0.0,292 (84%),7.0,6.0,,5.0,2.0,0.0,7.0,3.0,,4.0,2.0,0.0,2.0,6.0,0.16,0.59,0.75,1.00,0.26,0.05,0.32,0.97,382.0,181.0,155.0,25 (61%),5 (23%),23.0,28.0,6.0,348.0,170.0,122.0,15 (36%),0 (0%),21.0,7.0,1.0,,25.0,6.0,2.0,29.0,0.0,,24.0,2.0,1.0,29.0,2.0,,48.0,37 (47%),11 (44%),5 (28%),,55.0,41 (53%),14 (56%),7 (39%),,2.0,0.0,,0.0,0.0,0,1.6,1.0,56.8,0.82,9.8,3.0,1.0,43.2,1.268,12.8,4.2,2.0,28.2,18.8,1.6,0.163,0.533,0.078,0.238
8586,2025-10-26T16:30:00.000Z,8668,Everton,3,0,False,46.0,1.72,7.0,4.0,4.0,1.0,329 (83%),8.0,8.0,54.0,1.74,12.0,2.0,3.0,3.0,374 (85%),9.0,9.0,,2.0,1.0,0.0,5.0,2.0,,5.0,5.0,0.0,8.0,4.0,0.69,1.04,1.72,3.23,1.24,0.50,1.74,1.20,395.0,220.0,109.0,14 (31%),4 (27%),15.0,16.0,2.0,442.0,171.0,203.0,16 (43%),3 (9%),17.0,31.0,2.0,,20.0,6.0,5.0,54.0,2.0,,19.0,6.0,1.0,27.0,1.0,,48.0,37 (51%),11 (37%),8 (50%),,54.0,35 (49%),19 (63%),8 (38%),,0.0,0.0,,2.0,0.0,3,1.8,1.2,55.2,0.932,10.8,3.4,1.6,44.8,1.014,10.4,3.4,1.4,30.2,14.4,1.6,0.167,0.529,0.115,0.353
8586,2025-11-01T17:30:00.000Z,8455,Chelsea,0,1,True,48.0,0.10,3.0,1.0,0.0,0.0,294 (76%),14.0,6.0,52.0,3.68,15.0,9.0,6.0,5.0,343 (81%),12.0,5.0,,1.0,1.0,0.0,2.0,1.0,,5.0,1.0,0.0,12.0,3.0,0.10,0.00,0.10,0.16,3.65,0.03,3.68,3.17,387.0,183.0,111.0,13 (28%),0 (0%),25.0,15.0,1.0,425.0,159.0,184.0,26 (49%),3 (23%),22.0,36.0,1.0,,30.0,4.0,1.0,20.0,8.0,,20.0,17.0,1.0,19.0,1.0,,69.0,50 (54%),19 (46%),9 (50%),,64.0,42 (46%),22 (54%),8 (30%),,4.0,0.0,,2.0,0.0,0,1.8,1.2,51.6,1.018,9.4,3.2,2.0,48.4,1.242,11.4,3.0,1.8,26.0,18.6,1.6,0.191,0.562,0.105,0.4
