team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8583,2025-08-17T15:15:00.000Z,8689,Lorient,1,0,True,44.0,1.44,7.0,3.0,2.0,2.0,291 (81%),18.0,4.0,56.0,1.37,14.0,3.0,3.0,3.0,392 (84%),14.0,4.0,,3.0,1.0,1.0,4.0,3.0,,6.0,5.0,0.0,11.0,3.0,0.27,0.38,0.65,0.49,1.14,0.23,1.37,0.57,361.0,193.0,98.0,17 (34%),0 (0%),14.0,10.0,0.0,465.0,241.0,151.0,24 (52%),2 (17%),23.0,23.0,2.0,,27.0,7.0,5.0,23.0,3.0,,16.0,6.0,1.0,20.0,2.0,,65.0,49 (54%),16 (59%),9 (47%),,53.0,42 (46%),11 (41%),9 (41%),,3.0,0.0,,2.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8583,2025-08-23T17:00:00.000Z,9831,Nice,1,3,False,45.0,1.51,12.0,8.0,5.0,5.0,309 (79%),15.0,4.0,55.0,1.94,16.0,6.0,5.0,3.0,417 (87%),10.0,5.0,,2.0,2.0,1.0,8.0,4.0,,9.0,1.0,1.0,9.0,7.0,1.51,0.00,1.51,2.01,1.75,0.20,1.94,2.15,389.0,177.0,132.0,16 (31%),2 (14%),15.0,13.0,0.0,478.0,203.0,214.0,16 (55%),5 (26%),15.0,22.0,1.0,,19.0,5.0,1.0,21.0,4.0,,12.0,10.0,2.0,21.0,7.0,,50.0,36 (51%),14 (38%),8 (89%),,58.0,35 (49%),23 (62%),8 (73%),,2.0,1.0,,2.0,0.0,0,1.0,0.0,44.0,1.44,7.0,3.0,2.0,56.0,1.37,14.0,3.0,3.0,10.0,23.0,3.0,0.143,0.333,0.0,0.0
8583,2025-08-30T17:00:00.000Z,9830,Nantes,0,1,False,57.0,0.68,14.0,4.0,2.0,2.0,365 (83%),11.0,9.0,43.0,0.48,4.0,3.0,1.0,0.0,270 (78%),13.0,3.0,,3.0,7.0,0.0,8.0,6.0,,0.0,1.0,1.0,1.0,3.0,0.62,0.06,0.68,0.53,0.46,0.02,0.48,0.54,439.0,181.0,184.0,31 (53%),7 (25%),28.0,24.0,6.0,345.0,212.0,58.0,14 (33%),0 (0%),11.0,6.0,1.0,,9.0,9.0,1.0,24.0,2.0,,14.0,8.0,7.0,41.0,4.0,,41.0,26 (43%),15 (52%),6 (50%),,49.0,35 (57%),14 (48%),12 (80%),,3.0,0.0,,1.0,0.0,0,1.0,1.5,44.5,1.475,9.5,5.5,3.5,55.5,1.655,15.0,4.5,4.0,11.5,22.5,1.5,0.105,0.182,0.1,0.333
8583,2025-09-13T19:05:00.000Z,9829,Monaco,1,2,True,33.0,0.67,9.0,2.0,1.0,1.0,203 (72%),12.0,5.0,67.0,1.42,13.0,3.0,3.0,2.0,486 (85%),19.0,8.0,,4.0,3.0,0.0,4.0,5.0,,6.0,4.0,1.0,12.0,1.0,0.29,0.37,0.67,0.44,0.75,0.67,1.42,1.32,282.0,81.0,122.0,23 (43%),1 (9%),10.0,11.0,0.0,574.0,219.0,267.0,20 (51%),11 (42%),33.0,34.0,1.0,,25.0,20.0,4.0,31.0,1.0,,17.0,8.0,3.0,26.0,2.0,,63.0,48 (60%),15 (42%),5 (56%),,53.0,32 (40%),21 (58%),3 (20%),,1.0,1.0,,6.0,0.0,0,0.667,1.333,48.667,1.21,11.0,5.0,3.0,51.333,1.263,11.333,4.0,3.0,15.667,17.0,1.0,0.061,0.133,0.118,0.333
8583,2025-09-21T15:15:00.000Z,9941,Toulouse,1,0,True,40.0,0.75,6.0,1.0,1.0,0.0,231 (77%),12.0,3.0,60.0,2.33,13.0,3.0,3.0,3.0,392 (87%),20.0,4.0,,3.0,2.0,0.0,5.0,1.0,,6.0,4.0,0.0,12.0,1.0,0.70,0.04,0.75,0.52,1.08,0.47,1.54,1.17,300.0,132.0,99.0,28 (42%),3 (23%),21.0,15.0,0.0,450.0,206.0,186.0,18 (49%),6 (33%),12.0,32.0,0.0,,26.0,7.0,4.0,31.0,3.0,,25.0,5.0,2.0,27.0,0.0,,69.0,50 (58%),19 (53%),6 (33%),,53.0,36 (42%),17 (47%),3 (21%),,1.0,1.0,,6.0,0.0,3,0.75,1.5,44.75,1.075,10.5,4.25,2.5,55.25,1.302,11.75,3.75,3.0,14.5,21.25,0.75,0.071,0.176,0.128,0.4
8583,2025-09-27T19:05:00.000Z,9847,Paris Saint-Germain,0,2,False,34.0,0.71,12.0,3.0,1.0,1.0,256 (77%),10.0,5.0,66.0,1.77,15.0,8.0,5.0,3.0,607 (90%),17.0,5.0,,4.0,5.0,1.0,7.0,5.0,,4.0,3.0,0.0,10.0,5.0,0.62,0.10,0.71,0.38,1.08,0.68,1.77,2.48,333.0,118.0,138.0,19 (40%),4 (36%),15.0,20.0,4.0,672.0,312.0,295.0,20 (51%),5 (71%),16.0,24.0,1.0,,25.0,11.0,3.0,8.0,6.0,,21.0,7.0,6.0,23.0,2.0,,62.0,51 (55%),11 (50%),9 (41%),,52.0,41 (45%),11 (50%),12 (52%),,2.0,0.0,,1.0,0.0,0,0.8,1.2,43.8,1.01,9.6,3.6,2.2,56.2,1.508,12.0,3.6,3.0,14.6,23.4,1.2,0.083,0.222,0.1,0.333
8583,2025-10-04T19:05:00.000Z,8588,Lens,1,2,True,57.0,1.71,18.0,2.0,2.0,1.0,420 (82%),10.0,2.0,43.0,0.41,7.0,4.0,0.0,0.0,324 (82%),21.0,2.0,,7.0,9.0,1.0,9.0,9.0,,1.0,2.0,1.0,5.0,2.0,0.48,1.23,1.71,1.27,0.33,0.08,0.41,1.42,514.0,207.0,213.0,28 (41%),7 (37%),25.0,16.0,0.0,397.0,196.0,128.0,22 (43%),2 (50%),11.0,12.0,2.0,,20.0,6.0,2.0,10.0,2.0,,16.0,13.0,8.0,29.0,1.0,,59.0,45 (58%),14 (41%),8 (47%),,53.0,33 (42%),20 (59%),8 (44%),,3.0,0.0,,5.0,1.0,0,0.6,1.6,41.8,0.864,10.6,3.6,2.0,58.2,1.588,12.2,4.6,3.4,16.6,23.6,0.6,0.057,0.167,0.131,0.348
8583,2025-10-19T15:15:00.000Z,9851,Rennes,2,2,False,48.0,1.51,7.0,4.0,3.0,1.0,308 (78%),15.0,2.0,52.0,2.03,19.0,7.0,3.0,1.0,338 (81%),11.0,6.0,,2.0,1.0,0.0,3.0,4.0,,6.0,6.0,0.0,14.0,5.0,0.72,0.00,0.72,1.92,1.60,0.42,2.03,2.69,395.0,184.0,124.0,20 (31%),1 (9%),25.0,11.0,2.0,418.0,143.0,195.0,15 (42%),9 (53%),25.0,22.0,2.0,,20.0,9.0,6.0,21.0,5.0,,23.0,10.0,1.0,15.0,2.0,,50.0,38 (46%),12 (44%),7 (47%),,60.0,45 (54%),15 (56%),7 (44%),,3.0,0.0,,1.0,0.0,1,0.6,1.4,44.2,0.904,11.8,2.4,1.4,55.8,1.282,10.4,4.2,2.4,17.2,21.6,0.6,0.051,0.25,0.135,0.333
8583,2025-10-26T16:15:00.000Z,9746,Le Havre,0,1,True,50.0,0.61,14.0,3.0,0.0,0.0,280 (82%),21.0,13.0,50.0,0.94,9.0,4.0,4.0,3.0,287 (82%),12.0,5.0,,4.0,7.0,1.0,8.0,6.0,,4.0,1.0,1.0,6.0,3.0,0.44,0.16,0.61,1.17,0.84,0.10,0.94,0.93,341.0,139.0,141.0,26 (51%),7 (21%),29.0,23.0,0.0,349.0,193.0,94.0,32 (54%),2 (14%),9.0,16.0,2.0,,8.0,3.0,1.0,22.0,3.0,,18.0,9.0,7.0,38.0,3.0,,45.0,31 (41%),14 (47%),11 (46%),,61.0,45 (59%),16 (53%),9 (69%),,2.0,0.0,,3.0,0.0,0,1.0,1.6,42.4,1.07,10.4,2.4,1.6,57.6,1.592,13.4,5.0,2.8,14.6,24.8,0.8,0.096,0.417,0.119,0.32
8583,2025-10-29T20:05:00.000Z,9848,Strasbourg,0,3,False,36.0,0.43,6.0,1.0,1.0,1.0,318 (84%),16.0,3.0,64.0,4.06,18.0,9.0,8.0,6.0,626 (91%),11.0,4.0,,4.0,1.0,0.0,5.0,1.0,,8.0,1.0,0.0,14.0,4.0,0.34,0.09,0.43,0.21,3.86,0.21,4.06,3.50,380.0,169.0,149.0,17 (40%),3 (25%),15.0,11.0,1.0,690.0,404.0,222.0,8 (38%),1 (7%),19.0,25.0,1.0,,15.0,15.0,1.0,18.0,6.0,,19.0,7.0,1.0,14.0,1.0,,35.0,29 (43%),6 (33%),4 (44%),,50.0,38 (57%),12 (67%),3 (27%),,1.0,0.0,,1.0,0.0,0,0.8,1.4,45.8,1.058,11.4,2.6,1.4,54.2,1.496,12.6,5.2,3.0,17.0,21.2,0.8,0.07,0.308,0.111,0.269
