team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8588,2025-08-16T15:00:00.000Z,9748,Lyon,0,1,True,55.0,1.38,18.0,5.0,4.0,4.0,377 (85%),13.0,12.0,45.0,1.41,11.0,3.0,2.0,1.0,298 (80%),20.0,8.0,,9.0,4.0,0.0,11.0,7.0,,7.0,1.0,0.0,8.0,3.0,1.25,0.13,1.38,1.64,1.21,0.20,1.41,1.64,444.0,196.0,181.0,30 (70%),6 (16%),21.0,49.0,5.0,371.0,181.0,117.0,17 (40%),4 (27%),9.0,21.0,1.0,,12.0,11.0,1.0,17.0,2.0,,17.0,7.0,5.0,34.0,4.0,,53.0,43 (54%),10 (59%),12 (60%),,43.0,36 (46%),7 (41%),6 (55%),,2.0,0.0,,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8588,2025-08-24T15:15:00.000Z,9746,Le Havre,2,1,False,43.0,1.07,6.0,3.0,2.0,0.0,348 (86%),16.0,0.0,57.0,1.89,18.0,6.0,4.0,4.0,438 (83%),17.0,7.0,,2.0,1.0,0.0,4.0,2.0,,7.0,5.0,1.0,11.0,7.0,0.29,0.00,0.29,1.55,1.63,0.25,1.89,0.93,407.0,206.0,142.0,23 (61%),4 (33%),8.0,11.0,0.0,526.0,230.0,208.0,21 (49%),8 (26%),28.0,35.0,2.0,,19.0,17.0,4.0,36.0,5.0,,14.0,10.0,1.0,9.0,1.0,,55.0,41 (55%),14 (48%),6 (40%),,49.0,34 (45%),15 (52%),5 (31%),,1.0,0.0,,3.0,0.0,3,0.0,1.0,55.0,1.38,18.0,5.0,4.0,45.0,1.41,11.0,3.0,2.0,49.0,21.0,0.0,0.0,0.0,0.091,0.333
8588,2025-08-29T18:45:00.000Z,8521,Brest,3,1,True,68.0,3.99,30.0,10.0,8.0,6.0,495 (85%),7.0,15.0,32.0,1.08,9.0,2.0,1.0,0.0,207 (73%),12.0,1.0,,9.0,11.0,0.0,26.0,4.0,,2.0,5.0,0.0,7.0,2.0,1.97,1.23,3.20,5.01,0.98,0.10,1.08,1.06,581.0,239.0,256.0,22 (50%),10 (29%),12.0,55.0,2.0,284.0,107.0,100.0,29 (49%),2 (25%),16.0,17.0,0.0,,15.0,6.0,5.0,19.0,1.0,,15.0,8.0,11.0,30.0,7.0,,54.0,34 (53%),20 (36%),9 (64%),,65.0,30 (47%),35 (64%),9 (60%),,1.0,0.0,,3.0,1.0,3,1.0,1.0,49.0,1.225,12.0,4.0,3.0,51.0,1.65,14.5,4.5,3.0,30.0,28.0,1.5,0.083,0.25,0.069,0.222
8588,2025-09-14T15:15:00.000Z,9847,Paris Saint-Germain,0,2,False,32.0,1.16,11.0,3.0,2.0,2.0,293 (83%),8.0,3.0,68.0,1.07,14.0,6.0,1.0,1.0,713 (92%),10.0,4.0,,7.0,1.0,0.0,6.0,5.0,,3.0,5.0,0.0,6.0,8.0,0.60,0.57,1.16,0.40,1.01,0.06,1.07,1.75,352.0,193.0,100.0,13 (46%),2 (20%),10.0,17.0,0.0,771.0,397.0,316.0,20 (65%),3 (38%),20.0,27.0,0.0,,25.0,11.0,5.0,15.0,4.0,,14.0,4.0,1.0,11.0,3.0,,41.0,37 (55%),4 (57%),5 (42%),,33.0,30 (45%),3 (43%),8 (35%),,2.0,0.0,,1.0,0.0,0,1.667,1.0,55.333,2.147,18.0,6.0,4.667,44.667,1.46,12.667,3.667,2.333,38.333,24.333,2.0,0.093,0.278,0.079,0.273
8588,2025-09-20T19:05:00.000Z,8639,Lille,3,0,True,38.0,3.54,15.0,6.0,7.0,4.0,256 (79%),17.0,4.0,62.0,1.90,17.0,3.0,3.0,3.0,453 (84%),11.0,10.0,,7.0,2.0,0.0,10.0,5.0,,6.0,8.0,1.0,13.0,4.0,2.72,0.82,3.54,3.74,1.70,0.20,1.90,0.88,326.0,150.0,106.0,21 (45%),4 (27%),18.0,22.0,4.0,539.0,242.0,211.0,25 (52%),3 (15%),21.0,44.0,1.0,,19.0,17.0,8.0,30.0,3.0,,15.0,9.0,2.0,21.0,3.0,,48.0,37 (50%),11 (42%),7 (50%),,52.0,37 (50%),15 (58%),5 (31%),,1.0,0.0,,3.0,0.0,3,1.25,1.25,49.5,1.9,16.25,5.25,4.0,50.5,1.363,13.0,4.25,2.0,33.0,25.0,1.5,0.077,0.238,0.096,0.294
8588,2025-09-28T18:45:00.000Z,9851,Rennes,0,0,False,33.0,1.04,13.0,2.0,4.0,4.0,181 (70%),9.0,4.0,67.0,1.19,14.0,2.0,3.0,3.0,464 (88%),16.0,8.0,,8.0,3.0,1.0,11.0,2.0,,6.0,6.0,1.0,10.0,4.0,0.73,0.31,1.04,0.50,0.80,0.38,1.19,0.11,257.0,99.0,82.0,25 (41%),6 (43%),22.0,26.0,0.0,529.0,138.0,326.0,18 (51%),7 (29%),17.0,24.0,1.0,,29.0,8.0,6.0,29.0,2.0,,17.0,6.0,3.0,17.0,2.0,,68.0,54 (59%),14 (56%),9 (53%),,49.0,38 (41%),11 (44%),12 (44%),,3.0,1.0,,3.0,0.0,1,1.6,1.0,47.2,2.228,16.0,5.4,4.6,52.8,1.47,13.8,4.0,2.2,30.8,28.8,1.8,0.1,0.296,0.072,0.25
8588,2025-10-04T19:05:00.000Z,8583,Auxerre,2,1,False,43.0,0.41,7.0,4.0,0.0,0.0,324 (82%),21.0,2.0,57.0,1.71,18.0,2.0,2.0,1.0,420 (82%),10.0,2.0,,1.0,2.0,1.0,5.0,2.0,,7.0,9.0,1.0,9.0,9.0,0.33,0.08,0.41,1.42,0.48,1.23,1.71,1.27,397.0,196.0,128.0,22 (43%),2 (50%),11.0,12.0,2.0,514.0,207.0,213.0,28 (41%),7 (37%),25.0,16.0,0.0,,16.0,13.0,8.0,29.0,1.0,,20.0,6.0,2.0,10.0,2.0,,53.0,33 (42%),20 (59%),8 (44%),,59.0,45 (58%),14 (41%),8 (47%),,5.0,1.0,,3.0,0.0,3,1.6,0.8,42.8,2.16,15.0,4.8,4.6,57.2,1.426,14.4,3.8,2.4,26.2,29.4,2.0,0.107,0.333,0.056,0.211
8588,2025-10-19T13:00:00.000Z,6379,Paris FC,2,1,True,43.0,1.63,11.0,3.0,3.0,2.0,327 (81%),11.0,11.0,57.0,0.52,9.0,3.0,0.0,0.0,479 (84%),8.0,3.0,,4.0,4.0,0.0,10.0,1.0,,2.0,4.0,0.0,7.0,2.0,0.36,0.48,0.84,1.78,0.44,0.07,0.52,1.00,402.0,136.0,191.0,27 (61%),10 (30%),18.0,45.0,2.0,567.0,331.0,148.0,29 (55%),4 (33%),19.0,14.0,2.0,,24.0,7.0,4.0,18.0,2.0,,13.0,8.0,2.0,35.0,1.0,,52.0,37 (58%),15 (48%),5 (45%),,43.0,27 (42%),16 (52%),6 (32%),,2.0,0.0,,2.0,0.0,3,1.6,0.8,42.8,2.028,15.2,5.0,4.2,57.2,1.39,14.4,3.0,2.0,26.4,25.6,2.0,0.105,0.32,0.056,0.267
8588,2025-10-25T19:05:00.000Z,8592,Marseille,2,1,True,31.0,1.80,8.0,5.0,3.0,2.0,271 (80%),12.0,4.0,69.0,0.66,17.0,3.0,0.0,0.0,690 (91%),9.0,8.0,,3.0,0.0,0.0,6.0,2.0,,6.0,8.0,0.0,9.0,8.0,0.97,0.04,1.01,2.15,0.38,0.28,0.66,0.73,339.0,169.0,102.0,18 (46%),3 (18%),13.0,15.0,3.0,762.0,302.0,388.0,14 (42%),6 (27%),13.0,27.0,1.0,,19.0,6.0,8.0,36.0,2.0,,16.0,7.0,0.0,17.0,4.0,,50.0,34 (48%),16 (67%),7 (44%),,45.0,37 (52%),8 (33%),9 (43%),,3.0,0.0,,3.0,0.0,3,1.4,0.8,37.8,1.556,11.4,3.6,3.2,62.2,1.278,14.4,3.2,1.8,24.4,25.0,2.0,0.123,0.389,0.056,0.25
8588,2025-10-29T18:00:00.000Z,8550,Metz,0,2,False,54.0,1.32,10.0,2.0,2.0,2.0,459 (88%),15.0,5.0,46.0,3.42,16.0,7.0,6.0,4.0,392 (86%),15.0,2.0,,5.0,3.0,0.0,6.0,4.0,,8.0,1.0,1.0,10.0,6.0,0.94,0.37,1.32,0.29,2.29,0.34,2.63,2.91,524.0,205.0,254.0,26 (50%),4 (19%),17.0,24.0,3.0,456.0,231.0,161.0,20 (33%),4 (33%),18.0,24.0,0.0,,14.0,3.0,2.0,13.0,4.0,,18.0,10.0,3.0,26.0,2.0,,39.0,29 (41%),10 (53%),2 (20%),,50.0,41 (59%),9 (47%),9 (64%),,2.0,0.0,,1.0,1.0,0,1.8,0.6,37.6,1.684,10.8,4.0,3.4,62.4,1.196,15.0,2.6,1.6,24.0,25.0,2.6,0.167,0.45,0.04,0.231
