team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9830,2025-08-17T18:45:00.000Z,9847,Paris Saint-Germain,0,1,True,29.0,0.14,5.0,0.0,0.0,0.0,224 (74%),6.0,2.0,71.0,1.43,18.0,4.0,1.0,1.0,680 (91%),6.0,7.0,,5.0,0.0,0.0,2.0,3.0,,7.0,7.0,1.0,12.0,6.0,0.09,0.05,0.14,0.00,1.23,0.19,1.43,0.19,304.0,173.0,51.0,21 (40%),1 (17%),12.0,12.0,0.0,744.0,173.0,507.0,35 (74%),4 (19%),17.0,44.0,1.0,,23.0,8.0,6.0,18.0,3.0,,14.0,6.0,0.0,9.0,0.0,,40.0,32 (55%),8 (40%),3 (25%),,38.0,26 (45%),12 (60%),6 (26%),,1.0,0.0,,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9830,2025-08-24T15:15:00.000Z,9848,Strasbourg,0,1,False,51.0,0.44,9.0,2.0,0.0,0.0,394 (83%),9.0,6.0,49.0,1.78,15.0,4.0,2.0,1.0,394 (88%),11.0,7.0,,2.0,5.0,0.0,7.0,2.0,,6.0,5.0,0.0,9.0,6.0,0.39,0.05,0.44,0.28,1.64,0.14,1.78,1.54,474.0,284.0,110.0,29 (55%),3 (21%),25.0,20.0,2.0,448.0,210.0,184.0,20 (56%),5 (22%),19.0,19.0,4.0,,21.0,6.0,4.0,24.0,3.0,,19.0,7.0,5.0,21.0,2.0,,63.0,45 (56%),18 (62%),15 (65%),,46.0,35 (44%),11 (38%),7 (30%),,2.0,0.0,,2.0,0.0,0,0.0,1.0,29.0,0.14,5.0,0.0,0.0,71.0,1.43,18.0,4.0,1.0,12.0,44.0,0.0,0.0,0.0,0.056,0.25
9830,2025-08-30T17:00:00.000Z,8583,Auxerre,1,0,True,43.0,0.48,4.0,3.0,1.0,0.0,270 (78%),13.0,3.0,57.0,0.68,14.0,4.0,2.0,2.0,365 (83%),11.0,9.0,,0.0,1.0,1.0,1.0,3.0,,3.0,7.0,0.0,8.0,6.0,0.46,0.02,0.48,0.54,0.62,0.06,0.68,0.53,345.0,212.0,58.0,14 (33%),0 (0%),11.0,6.0,1.0,439.0,181.0,184.0,31 (53%),7 (25%),28.0,24.0,6.0,,14.0,8.0,7.0,41.0,4.0,,9.0,9.0,1.0,24.0,2.0,,49.0,35 (57%),14 (48%),12 (80%),,41.0,26 (43%),15 (52%),6 (50%),,1.0,0.0,,3.0,0.0,3,0.0,1.0,40.0,0.29,7.0,1.0,0.0,60.0,1.605,16.5,4.0,1.5,16.0,31.5,0.0,0.0,0.0,0.061,0.25
9830,2025-09-13T15:00:00.000Z,9831,Nice,0,1,False,41.0,0.75,14.0,3.0,1.0,1.0,275 (79%),14.0,4.0,59.0,1.75,19.0,8.0,6.0,5.0,421 (86%),16.0,7.0,,7.0,4.0,0.0,7.0,7.0,,8.0,3.0,1.0,13.0,6.0,0.51,0.24,0.75,0.45,1.68,0.06,1.75,0.72,348.0,150.0,125.0,26 (55%),5 (33%),12.0,21.0,0.0,489.0,208.0,213.0,17 (38%),11 (41%),16.0,24.0,7.0,,12.0,6.0,3.0,22.0,7.0,,16.0,7.0,4.0,23.0,3.0,,45.0,31 (48%),14 (61%),4 (31%),,43.0,34 (52%),9 (39%),6 (50%),,0.0,0.0,,2.0,0.0,0,0.333,0.667,41.0,0.353,6.0,1.667,0.333,59.0,1.297,15.667,4.0,1.667,12.667,29.0,1.0,0.056,0.2,0.043,0.167
9830,2025-09-20T15:00:00.000Z,9851,Rennes,2,2,True,43.0,2.11,16.0,4.0,5.0,3.0,290 (80%),14.0,4.0,57.0,1.37,8.0,4.0,2.0,0.0,429 (87%),18.0,4.0,,6.0,6.0,0.0,10.0,6.0,,4.0,0.0,0.0,5.0,3.0,0.63,0.70,1.32,1.72,0.53,0.06,0.58,1.37,361.0,189.0,101.0,21 (47%),4 (21%),18.0,28.0,1.0,495.0,221.0,208.0,22 (43%),0 (0%),24.0,20.0,3.0,,13.0,11.0,0.0,14.0,2.0,,10.0,6.0,6.0,22.0,2.0,,43.0,34 (57%),9 (47%),6 (60%),,36.0,26 (43%),10 (53%),5 (56%),,2.0,0.0,,2.0,0.0,1,0.25,0.75,41.0,0.453,8.0,2.0,0.5,59.0,1.41,16.5,5.0,2.75,14.75,27.75,0.75,0.031,0.125,0.045,0.15
9830,2025-09-27T17:00:00.000Z,9941,Toulouse,2,2,False,54.0,1.46,12.0,2.0,4.0,2.0,427 (86%),12.0,4.0,46.0,2.15,20.0,7.0,2.0,0.0,335 (83%),18.0,1.0,,4.0,6.0,0.0,7.0,5.0,,8.0,5.0,0.0,15.0,5.0,1.11,0.35,1.46,1.18,0.90,0.46,1.36,1.57,498.0,308.0,119.0,24 (48%),2 (18%),28.0,18.0,1.0,404.0,179.0,156.0,19 (41%),7 (32%),9.0,40.0,2.0,,17.0,6.0,5.0,23.0,5.0,,15.0,7.0,6.0,21.0,0.0,,46.0,37 (52%),9 (33%),6 (43%),,52.0,34 (48%),18 (67%),8 (57%),,3.0,0.0,,2.0,0.0,1,0.6,1.0,41.4,0.784,9.6,2.4,1.4,58.6,1.402,14.8,4.8,2.6,17.4,26.2,0.8,0.062,0.25,0.068,0.208
9830,2025-10-04T17:00:00.000Z,8521,Brest,0,0,False,49.0,0.15,6.0,0.0,0.0,0.0,328 (84%),12.0,3.0,51.0,1.51,17.0,5.0,2.0,2.0,318 (82%),11.0,12.0,,4.0,2.0,0.0,5.0,1.0,,5.0,7.0,0.0,9.0,8.0,0.13,0.02,0.15,0.00,1.36,0.15,1.51,1.77,390.0,206.0,122.0,19 (44%),3 (25%),17.0,22.0,3.0,388.0,187.0,131.0,42 (60%),8 (28%),20.0,29.0,1.0,,13.0,7.0,7.0,41.0,5.0,,24.0,3.0,2.0,17.0,0.0,,56.0,38 (49%),18 (69%),16 (64%),,48.0,40 (51%),8 (31%),5 (56%),,1.0,0.0,,2.0,0.0,1,1.0,1.2,46.4,1.048,11.0,2.8,2.2,53.6,1.546,15.2,5.4,2.8,18.6,25.4,1.0,0.091,0.357,0.079,0.222
9830,2025-10-19T18:45:00.000Z,8639,Lille,0,2,True,36.0,0.45,8.0,3.0,1.0,1.0,220 (75%),12.0,5.0,64.0,2.60,23.0,5.0,4.0,3.0,460 (87%),15.0,9.0,,3.0,2.0,2.0,4.0,4.0,,10.0,8.0,1.0,19.0,4.0,0.33,0.12,0.45,0.21,1.74,0.86,2.60,2.24,295.0,149.0,71.0,20 (37%),5 (24%),19.0,20.0,0.0,531.0,231.0,229.0,17 (44%),9 (38%),23.0,48.0,0.0,,17.0,5.0,7.0,33.0,3.0,,14.0,9.0,3.0,38.0,2.0,,39.0,31 (49%),8 (35%),2 (15%),,47.0,32 (51%),15 (65%),6 (33%),,1.0,0.0,,4.0,0.0,0,1.0,1.0,46.0,0.99,10.4,2.4,2.2,54.0,1.492,15.6,5.6,2.8,19.0,27.4,1.2,0.096,0.417,0.064,0.179
9830,2025-10-24T18:45:00.000Z,6379,Paris FC,2,1,False,32.0,0.90,11.0,3.0,1.0,1.0,205 (76%),13.0,2.0,68.0,1.19,14.0,3.0,2.0,1.0,487 (89%),10.0,8.0,,5.0,3.0,1.0,5.0,6.0,,7.0,4.0,0.0,10.0,4.0,0.70,0.20,0.90,0.27,0.66,0.52,1.19,1.20,270.0,128.0,77.0,20 (36%),1 (13%),13.0,11.0,1.0,548.0,244.0,243.0,20 (41%),3 (10%),17.0,31.0,9.0,,12.0,4.0,4.0,43.0,2.0,,18.0,6.0,3.0,11.0,1.0,,46.0,29 (48%),17 (59%),9 (50%),,44.0,32 (52%),12 (41%),3 (43%),,2.0,0.0,,3.0,0.0,3,0.8,1.4,44.6,0.984,11.2,2.4,2.2,55.4,1.876,17.4,5.8,3.2,21.8,32.2,0.6,0.071,0.333,0.08,0.241
9830,2025-10-29T20:05:00.000Z,9829,Monaco,3,5,True,48.0,1.62,18.0,5.0,5.0,3.0,286 (77%),13.0,1.0,52.0,4.31,19.0,9.0,9.0,4.0,328 (83%),17.0,3.0,,8.0,5.0,2.0,12.0,6.0,,7.0,3.0,1.0,19.0,0.0,1.45,0.17,1.62,3.25,3.23,1.07,4.31,4.27,370.0,172.0,114.0,27 (45%),3 (23%),33.0,24.0,0.0,396.0,178.0,150.0,21 (58%),2 (14%),11.0,37.0,2.0,,16.0,11.0,2.0,17.0,4.0,,23.0,12.0,5.0,33.0,2.0,,51.0,44 (50%),7 (41%),12 (44%),,54.0,44 (50%),10 (59%),8 (67%),,3.0,0.0,,7.0,0.0,0,1.2,1.4,42.8,1.014,10.6,2.4,2.2,57.2,1.764,16.4,4.8,2.4,19.8,33.6,1.2,0.113,0.5,0.085,0.292
