team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
6379,2025-08-17T15:15:00.000Z,8121,Angers,0,1,False,68.0,0.92,17.0,7.0,1.0,1.0,531 (90%),10.0,7.0,32.0,0.97,8.0,2.0,1.0,0.0,206 (74%),14.0,3.0,,6.0,4.0,0.0,5.0,12.0,,3.0,3.0,0.0,5.0,3.0,0.67,0.25,0.92,1.73,0.93,0.04,0.97,0.40,589.0,248.0,283.0,34 (72%),2 (8%),18.0,20.0,3.0,277.0,132.0,74.0,24 (39%),0 (0%),16.0,11.0,0.0,,12.0,5.0,3.0,12.0,1.0,,20.0,4.0,3.0,28.0,7.0,,38.0,30 (49%),8 (38%),7 (37%),,44.0,31 (51%),13 (62%),1 (14%),,1.0,0.0,,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6379,2025-08-23T15:00:00.000Z,8592,Marseille,2,5,False,39.0,1.09,8.0,4.0,3.0,2.0,333 (88%),12.0,2.0,61.0,2.83,11.0,7.0,7.0,4.0,539 (91%),9.0,5.0,,4.0,0.0,1.0,6.0,2.0,,4.0,0.0,1.0,9.0,2.0,1.09,0.00,1.09,1.35,1.02,0.23,1.25,2.46,380.0,245.0,88.0,15 (38%),2 (25%),19.0,9.0,1.0,590.0,278.0,261.0,18 (53%),5 (42%),15.0,26.0,1.0,,10.0,11.0,0.0,28.0,2.0,,12.0,2.0,0.0,19.0,2.0,,24.0,21 (42%),3 (33%),4 (50%),,35.0,29 (58%),6 (67%),5 (50%),,0.0,0.0,,1.0,0.0,0,0.0,1.0,68.0,0.92,17.0,7.0,1.0,32.0,0.97,8.0,2.0,1.0,20.0,11.0,0.0,0.0,0.0,0.125,0.5
6379,2025-08-31T15:15:00.000Z,8550,Metz,3,2,True,51.0,3.21,24.0,9.0,5.0,2.0,426 (88%),4.0,14.0,49.0,1.84,14.0,2.0,2.0,1.0,414 (88%),8.0,6.0,,12.0,3.0,1.0,19.0,5.0,,7.0,5.0,0.0,10.0,4.0,2.02,0.40,2.42,3.93,0.85,0.98,1.84,1.50,485.0,226.0,200.0,19 (50%),5 (19%),16.0,44.0,0.0,472.0,287.0,127.0,23 (48%),4 (22%),12.0,25.0,1.0,,7.0,7.0,5.0,26.0,0.0,,16.0,5.0,3.0,35.0,6.0,,31.0,22 (45%),9 (38%),7 (54%),,42.0,27 (55%),15 (63%),7 (78%),,1.0,0.0,,1.0,1.0,3,1.0,3.0,53.5,1.005,12.5,5.5,2.0,46.5,1.9,9.5,4.5,4.0,14.5,18.5,0.0,0.08,0.182,0.316,0.667
6379,2025-09-14T15:15:00.000Z,8521,Brest,2,1,False,54.0,1.55,7.0,4.0,3.0,1.0,405 (83%),10.0,1.0,46.0,2.57,23.0,8.0,2.0,1.0,316 (79%),11.0,6.0,,1.0,2.0,0.0,5.0,2.0,,7.0,8.0,0.0,14.0,9.0,1.55,0.00,1.55,1.77,0.86,0.92,1.78,1.80,487.0,271.0,134.0,25 (35%),2 (25%),19.0,13.0,1.0,401.0,173.0,143.0,31 (53%),6 (25%),27.0,29.0,3.0,,21.0,8.0,9.0,40.0,6.0,,15.0,8.0,2.0,19.0,2.0,,57.0,40 (61%),17 (52%),8 (50%),,42.0,26 (39%),16 (48%),3 (27%),,3.0,1.0,,0.0,0.0,3,1.667,2.667,52.667,1.74,16.333,6.667,3.0,47.333,1.88,11.0,3.667,3.333,24.333,20.667,1.0,0.102,0.25,0.242,0.727
6379,2025-09-21T13:00:00.000Z,9848,Strasbourg,2,3,True,61.0,1.60,18.0,6.0,4.0,2.0,576 (91%),11.0,4.0,39.0,2.38,8.0,4.0,6.0,3.0,344 (83%),10.0,2.0,,10.0,2.0,0.0,12.0,6.0,,2.0,2.0,0.0,7.0,1.0,1.47,0.13,1.60,1.02,1.75,0.63,2.38,2.76,634.0,297.0,279.0,23 (72%),8 (27%),19.0,37.0,2.0,414.0,236.0,108.0,18 (41%),4 (50%),15.0,25.0,1.0,,19.0,4.0,2.0,17.0,0.0,,14.0,2.0,2.0,34.0,4.0,,43.0,37 (57%),6 (38%),9 (56%),,38.0,28 (43%),10 (63%),4 (44%),,1.0,0.0,,5.0,0.0,0,1.75,2.25,53.0,1.693,14.0,6.0,3.0,47.0,2.053,14.0,4.75,3.0,21.5,22.75,1.5,0.125,0.292,0.161,0.474
6379,2025-09-28T13:00:00.000Z,9831,Nice,1,1,False,56.0,1.84,13.0,3.0,2.0,1.0,437 (85%),14.0,5.0,44.0,0.96,11.0,5.0,3.0,2.0,319 (81%),14.0,5.0,,3.0,7.0,0.0,8.0,5.0,,2.0,4.0,0.0,8.0,3.0,0.86,0.19,1.05,1.20,0.89,0.06,0.96,1.20,512.0,279.0,158.0,26 (46%),4 (25%),17.0,24.0,1.0,392.0,191.0,128.0,12 (38%),4 (27%),14.0,19.0,1.0,,16.0,7.0,4.0,20.0,4.0,,15.0,12.0,6.0,17.0,2.0,,44.0,30 (49%),14 (50%),3 (50%),,45.0,31 (51%),14 (50%),3 (27%),,1.0,0.0,,1.0,0.0,1,1.8,2.4,54.6,1.674,14.8,6.0,3.2,45.4,2.118,12.8,4.6,3.6,24.6,23.2,1.2,0.122,0.3,0.187,0.522
6379,2025-10-03T18:45:00.000Z,8689,Lorient,2,0,True,59.0,1.02,10.0,2.0,3.0,1.0,597 (91%),19.0,1.0,41.0,0.97,8.0,3.0,2.0,2.0,382 (85%),10.0,5.0,,6.0,2.0,0.0,7.0,3.0,,4.0,1.0,0.0,4.0,4.0,1.02,0.00,1.02,1.36,0.60,0.37,0.97,0.30,653.0,334.0,263.0,35 (67%),2 (15%),11.0,26.0,3.0,452.0,230.0,152.0,16 (36%),6 (30%),20.0,18.0,2.0,,17.0,5.0,1.0,28.0,3.0,,13.0,9.0,2.0,11.0,0.0,,44.0,29 (43%),15 (47%),2 (20%),,55.0,38 (57%),17 (53%),7 (50%),,0.0,0.0,,3.0,0.0,3,2.0,2.4,52.2,1.858,14.0,5.2,3.4,47.8,2.116,13.4,5.2,4.0,25.4,24.8,1.4,0.143,0.385,0.179,0.462
6379,2025-10-19T13:00:00.000Z,8588,Lens,1,2,False,57.0,0.52,9.0,3.0,0.0,0.0,479 (84%),8.0,3.0,43.0,1.63,11.0,3.0,3.0,2.0,327 (81%),11.0,11.0,,2.0,4.0,0.0,7.0,2.0,,4.0,4.0,0.0,10.0,1.0,0.44,0.07,0.52,1.00,0.36,0.48,0.84,1.78,567.0,331.0,148.0,29 (55%),4 (33%),19.0,14.0,2.0,402.0,136.0,191.0,27 (61%),10 (30%),18.0,45.0,2.0,,13.0,8.0,2.0,35.0,1.0,,24.0,7.0,4.0,18.0,2.0,,43.0,27 (42%),16 (52%),6 (32%),,52.0,37 (58%),15 (48%),5 (45%),,2.0,0.0,,2.0,0.0,0,2.0,1.4,56.2,1.844,14.4,4.8,3.4,43.8,1.744,12.8,4.4,3.0,28.8,23.2,2.0,0.139,0.417,0.109,0.318
6379,2025-10-24T18:45:00.000Z,9830,Nantes,1,2,True,68.0,1.19,14.0,3.0,2.0,1.0,487 (89%),10.0,8.0,32.0,0.90,11.0,3.0,1.0,1.0,205 (76%),13.0,2.0,,7.0,4.0,0.0,10.0,4.0,,5.0,3.0,1.0,5.0,6.0,0.66,0.52,1.19,1.20,0.70,0.20,0.90,0.27,548.0,244.0,243.0,20 (41%),3 (10%),17.0,31.0,9.0,270.0,128.0,77.0,20 (36%),1 (13%),13.0,11.0,1.0,,18.0,6.0,3.0,11.0,1.0,,12.0,4.0,4.0,43.0,2.0,,44.0,32 (52%),12 (41%),3 (43%),,46.0,29 (48%),17 (59%),9 (50%),,3.0,0.0,,2.0,0.0,0,1.6,1.4,57.4,1.306,11.4,3.6,2.4,42.6,1.702,12.2,4.6,3.2,22.8,27.2,1.4,0.14,0.444,0.115,0.304
6379,2025-10-29T20:05:00.000Z,9748,Lyon,3,3,True,52.0,0.62,11.0,3.0,2.0,1.0,389 (85%),18.0,4.0,48.0,1.25,7.0,4.0,1.0,0.0,368 (85%),16.0,2.0,,3.0,5.0,0.0,5.0,6.0,,1.0,2.0,0.0,4.0,3.0,0.24,0.38,0.62,1.93,1.17,0.08,1.25,2.60,457.0,201.0,188.0,25 (54%),8 (35%),15.0,23.0,1.0,431.0,254.0,114.0,24 (47%),2 (25%),15.0,9.0,5.0,,18.0,6.0,2.0,12.0,1.0,,20.0,5.0,4.0,29.0,0.0,,55.0,37 (47%),18 (55%),4 (31%),,56.0,41 (53%),15 (45%),4 (29%),,4.0,1.0,,2.0,1.0,1,1.4,1.6,60.2,1.234,12.8,3.4,2.2,39.8,1.368,9.8,3.6,3.0,26.4,23.6,0.8,0.109,0.412,0.163,0.444
