team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9941,2025-08-16T19:05:00.000Z,9831,Nice,1,0,False,43.0,0.61,10.0,2.0,0.0,0.0,306 (85%),13.0,4.0,57.0,0.79,13.0,2.0,1.0,1.0,403 (85%),12.0,9.0,,6.0,2.0,0.0,7.0,3.0,,5.0,6.0,0.0,4.0,9.0,0.50,0.10,0.61,0.38,0.42,0.37,0.79,0.23,362.0,175.0,131.0,23 (46%),5 (29%),8.0,33.0,0.0,472.0,221.0,182.0,12 (43%),7 (29%),19.0,31.0,0.0,,18.0,2.0,6.0,41.0,2.0,,17.0,5.0,2.0,27.0,1.0,,53.0,42 (52%),11 (50%),12 (71%),,50.0,39 (48%),11 (50%),10 (45%),,3.0,0.0,,2.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9941,2025-08-24T15:15:00.000Z,8521,Brest,2,0,True,47.0,1.28,6.0,3.0,1.0,0.0,314 (81%),14.0,3.0,53.0,0.97,16.0,2.0,0.0,0.0,344 (82%),10.0,9.0,,3.0,0.0,1.0,6.0,0.0,,6.0,8.0,0.0,10.0,6.0,1.22,0.06,1.28,1.28,0.35,0.62,0.97,0.07,387.0,189.0,125.0,20 (47%),3 (30%),18.0,17.0,3.0,417.0,191.0,153.0,23 (40%),9 (41%),16.0,25.0,2.0,,18.0,5.0,8.0,30.0,2.0,,25.0,9.0,0.0,20.0,1.0,,55.0,40 (49%),15 (47%),15 (44%),,59.0,42 (51%),17 (53%),5 (33%),,0.0,0.0,,1.0,0.0,3,1.0,0.0,43.0,0.61,10.0,2.0,0.0,57.0,0.79,13.0,2.0,1.0,33.0,31.0,3.0,0.1,0.5,0.0,0.0
9941,2025-08-30T19:05:00.000Z,9847,Paris Saint-Germain,3,6,True,24.0,2.22,14.0,6.0,4.0,2.0,207 (77%),7.0,5.0,76.0,2.62,13.0,8.0,3.0,0.0,805 (94%),11.0,7.0,,3.0,5.0,0.0,8.0,6.0,,3.0,2.0,1.0,9.0,4.0,0.95,0.49,1.44,2.66,0.50,0.54,1.04,4.64,268.0,119.0,88.0,25 (66%),2 (18%),9.0,20.0,1.0,860.0,446.0,359.0,26 (70%),0 (0%),9.0,34.0,0.0,,17.0,13.0,2.0,18.0,2.0,,14.0,7.0,5.0,15.0,3.0,,49.0,39 (59%),10 (71%),11 (52%),,31.0,27 (41%),4 (29%),6 (32%),,1.0,0.0,,0.0,0.0,0,1.5,0.0,45.0,0.945,8.0,2.5,0.5,55.0,0.88,14.5,2.0,0.5,25.0,28.0,3.0,0.188,0.6,0.0,0.0
9941,2025-09-14T13:00:00.000Z,8639,Lille,1,2,False,30.0,0.81,9.0,4.0,2.0,1.0,171 (74%),10.0,6.0,70.0,2.21,20.0,5.0,3.0,1.0,479 (87%),12.0,7.0,,3.0,2.0,1.0,5.0,4.0,,7.0,8.0,0.0,14.0,6.0,0.78,0.04,0.81,1.42,1.33,0.09,1.42,2.25,231.0,88.0,83.0,17 (35%),2 (13%),13.0,15.0,2.0,553.0,246.0,233.0,21 (54%),9 (33%),17.0,31.0,1.0,,15.0,16.0,7.0,34.0,3.0,,18.0,8.0,1.0,20.0,3.0,,50.0,33 (51%),17 (55%),8 (44%),,46.0,32 (49%),14 (45%),5 (42%),,4.0,1.0,,2.0,0.0,0,2.0,2.0,38.0,1.37,10.0,3.667,1.667,62.0,1.46,14.0,4.0,1.333,23.333,30.0,2.0,0.2,0.545,0.143,0.5
9941,2025-09-21T15:15:00.000Z,8583,Auxerre,0,1,False,60.0,2.33,13.0,3.0,3.0,3.0,392 (87%),20.0,4.0,40.0,0.75,6.0,1.0,1.0,0.0,231 (77%),12.0,3.0,,6.0,4.0,0.0,12.0,1.0,,3.0,2.0,0.0,5.0,1.0,1.08,0.47,1.54,1.17,0.70,0.04,0.75,0.52,450.0,206.0,186.0,18 (49%),6 (33%),12.0,32.0,0.0,300.0,132.0,99.0,28 (42%),3 (23%),21.0,15.0,0.0,,25.0,5.0,2.0,27.0,0.0,,26.0,7.0,4.0,31.0,3.0,,53.0,36 (42%),17 (47%),3 (21%),,69.0,50 (58%),19 (53%),6 (33%),,6.0,0.0,,1.0,1.0,0,1.75,2.0,36.0,1.23,9.75,3.75,1.75,64.0,1.647,15.5,4.25,1.75,21.25,30.25,1.5,0.179,0.467,0.129,0.471
9941,2025-09-27T17:00:00.000Z,9830,Nantes,2,2,True,46.0,2.15,20.0,7.0,2.0,0.0,335 (83%),18.0,1.0,54.0,1.46,12.0,2.0,4.0,2.0,427 (86%),12.0,4.0,,8.0,5.0,0.0,15.0,5.0,,4.0,6.0,0.0,7.0,5.0,0.90,0.46,1.36,1.57,1.11,0.35,1.46,1.18,404.0,179.0,156.0,19 (41%),7 (32%),9.0,40.0,2.0,498.0,308.0,119.0,24 (48%),2 (18%),28.0,18.0,1.0,,15.0,7.0,6.0,21.0,0.0,,17.0,6.0,5.0,23.0,5.0,,52.0,34 (48%),18 (67%),8 (57%),,46.0,37 (52%),9 (33%),6 (43%),,2.0,0.0,,3.0,0.0,1,1.4,1.8,40.8,1.45,10.4,3.6,2.0,59.2,1.468,13.6,3.6,1.6,23.4,27.2,1.2,0.135,0.389,0.132,0.5
9941,2025-10-05T13:00:00.000Z,9748,Lyon,2,1,False,31.0,1.18,14.0,3.0,2.0,1.0,183 (71%),17.0,5.0,69.0,1.17,13.0,3.0,3.0,2.0,504 (86%),13.0,8.0,,5.0,6.0,0.0,10.0,4.0,,7.0,3.0,0.0,10.0,3.0,0.52,0.66,1.18,0.93,0.97,0.20,1.17,1.27,257.0,81.0,102.0,18 (46%),3 (25%),16.0,23.0,0.0,583.0,375.0,129.0,26 (50%),3 (14%),18.0,20.0,2.0,,12.0,15.0,3.0,34.0,2.0,,11.0,7.0,6.0,12.0,2.0,,54.0,29 (45%),25 (66%),6 (55%),,48.0,35 (55%),13 (34%),7 (54%),,3.0,0.0,,1.0,0.0,3,1.6,2.2,41.4,1.758,12.4,4.6,2.4,58.6,1.602,13.4,3.6,2.2,24.8,24.6,0.8,0.129,0.348,0.164,0.611
9941,2025-10-19T15:15:00.000Z,8550,Metz,4,0,True,36.0,2.54,16.0,7.0,3.0,1.0,272 (84%),14.0,5.0,64.0,0.08,2.0,2.0,0.0,0.0,545 (90%),11.0,1.0,,6.0,3.0,0.0,13.0,3.0,,0.0,0.0,0.0,1.0,1.0,1.37,0.39,1.76,3.79,0.08,0.00,0.08,0.55,325.0,144.0,128.0,11 (48%),7 (47%),19.0,34.0,1.0,608.0,407.0,138.0,29 (48%),0 (0%),18.0,6.0,1.0,,13.0,4.0,0.0,16.0,2.0,,19.0,5.0,3.0,17.0,3.0,,43.0,32 (46%),11 (55%),9 (50%),,46.0,37 (54%),9 (45%),5 (42%),,2.0,0.0,,1.0,1.0,3,1.6,2.4,38.2,1.738,14.0,4.6,2.6,61.8,1.642,12.8,3.8,2.8,26.0,23.6,0.8,0.114,0.348,0.187,0.632
9941,2025-10-25T17:00:00.000Z,9829,Monaco,0,1,False,46.0,0.68,10.0,2.0,0.0,0.0,246 (70%),18.0,5.0,54.0,3.08,14.0,5.0,6.0,5.0,322 (77%),15.0,2.0,,5.0,3.0,0.0,7.0,3.0,,4.0,5.0,1.0,13.0,1.0,0.46,0.22,0.68,0.33,2.52,0.55,3.08,2.97,350.0,110.0,136.0,20 (37%),5 (28%),24.0,21.0,0.0,418.0,214.0,108.0,26 (38%),6 (67%),19.0,21.0,0.0,,14.0,9.0,5.0,12.0,4.0,,23.0,12.0,3.0,39.0,2.0,,63.0,41 (48%),22 (51%),12 (46%),,66.0,45 (52%),21 (49%),5 (45%),,4.0,0.0,,3.0,0.0,0,1.8,1.2,40.6,1.802,14.4,4.8,2.4,59.4,1.134,10.6,2.6,2.2,28.8,18.0,1.4,0.125,0.375,0.113,0.462
9941,2025-10-29T20:05:00.000Z,9851,Rennes,2,2,True,55.0,1.55,15.0,4.0,1.0,0.0,354 (82%),9.0,5.0,45.0,1.58,11.0,5.0,2.0,1.0,277 (78%),12.0,8.0,,7.0,4.0,1.0,9.0,6.0,,4.0,2.0,0.0,7.0,4.0,0.38,0.38,0.76,1.42,1.29,0.28,1.58,1.26,431.0,200.0,154.0,9 (28%),4 (19%),27.0,42.0,0.0,356.0,195.0,82.0,15 (29%),2 (13%),16.0,12.0,2.0,,14.0,11.0,2.0,20.0,3.0,,15.0,8.0,4.0,36.0,2.0,,44.0,32 (52%),12 (41%),7 (47%),,46.0,29 (48%),17 (59%),6 (46%),,2.0,0.0,,3.0,0.0,1,1.6,1.0,43.8,1.776,14.6,4.4,2.0,56.2,1.308,9.4,2.6,2.8,30.0,16.0,1.4,0.11,0.364,0.106,0.385
