team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9905,2025-08-24T13:30:00.000Z,8722,1. FC Köln,0,1,True,51.0,1.52,19.0,2.0,1.0,1.0,302 (78%),7.0,8.0,49.0,1.36,12.0,2.0,3.0,2.0,323 (81%),9.0,3.0,,5.0,12.0,0.0,14.0,5.0,,8.0,2.0,0.0,8.0,4.0,1.30,0.22,1.52,0.20,0.89,0.46,1.36,0.96,389.0,150.0,152.0,37 (53%),13 (38%),29.0,44.0,5.0,401.0,137.0,186.0,27 (40%),4 (36%),22.0,21.0,0.0,,10.0,3.0,2.0,23.0,1.0,,10.0,4.0,12.0,68.0,2.0,,60.0,23 (52%),37 (64%),4 (44%),,42.0,21 (48%),21 (36%),4 (50%),,0.0,1.0,,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9905,2025-08-31T13:30:00.000Z,8721,Wolfsburg,1,1,False,60.0,1.95,17.0,3.0,4.0,3.0,384 (84%),14.0,10.0,40.0,0.62,11.0,3.0,0.0,0.0,224 (72%),15.0,3.0,,8.0,6.0,2.0,14.0,3.0,,5.0,3.0,0.0,7.0,4.0,0.83,0.33,1.16,1.08,0.39,0.23,0.62,0.35,458.0,142.0,242.0,29 (50%),10 (23%),25.0,41.0,0.0,310.0,133.0,91.0,23 (36%),1 (10%),27.0,12.0,0.0,,13.0,13.0,3.0,22.0,2.0,,13.0,12.0,6.0,54.0,2.0,,54.0,29 (49%),25 (52%),3 (43%),,53.0,30 (51%),23 (48%),3 (33%),,5.0,0.0,,1.0,1.0,1,0.0,1.0,51.0,1.52,19.0,2.0,1.0,49.0,1.36,12.0,2.0,3.0,44.0,21.0,0.0,0.0,0.0,0.083,0.5
9905,2025-09-13T13:30:00.000Z,178475,RB Leipzig,0,1,True,56.0,0.90,13.0,2.0,0.0,0.0,335 (74%),12.0,3.0,44.0,1.79,19.0,3.0,2.0,2.0,259 (72%),11.0,5.0,,7.0,4.0,1.0,10.0,3.0,,10.0,6.0,2.0,11.0,8.0,0.88,0.02,0.90,0.49,1.45,0.34,1.79,0.45,451.0,141.0,194.0,34 (44%),1 (4%),23.0,36.0,4.0,361.0,152.0,107.0,20 (34%),2 (20%),20.0,23.0,1.0,,14.0,13.0,5.0,19.0,2.0,,16.0,16.0,4.0,60.0,2.0,,53.0,32 (46%),21 (43%),8 (67%),,65.0,37 (54%),28 (57%),9 (60%),,1.0,0.0,,0.0,0.0,0,0.5,1.0,55.5,1.735,18.0,2.5,2.5,44.5,0.99,11.5,2.5,1.5,42.5,16.5,0.5,0.028,0.2,0.087,0.4
9905,2025-09-20T13:30:00.000Z,8406,Augsburg,4,1,False,39.0,2.52,12.0,4.0,4.0,1.0,234 (72%),10.0,6.0,61.0,1.12,18.0,5.0,0.0,0.0,414 (85%),13.0,6.0,,4.0,4.0,0.0,11.0,1.0,,9.0,4.0,1.0,11.0,7.0,2.24,0.28,2.52,2.21,0.57,0.55,1.12,0.97,327.0,96.0,138.0,22 (37%),1 (9%),26.0,27.0,2.0,485.0,142.0,272.0,21 (51%),11 (31%),27.0,27.0,2.0,,12.0,10.0,4.0,34.0,4.0,,15.0,12.0,4.0,25.0,0.0,,55.0,37 (56%),18 (53%),13 (54%),,45.0,29 (44%),16 (47%),4 (44%),,0.0,1.0,,1.0,0.0,3,0.333,1.0,55.667,1.457,16.333,2.333,1.667,44.333,1.257,14.0,2.667,1.667,40.333,18.667,0.333,0.02,0.143,0.071,0.375
9905,2025-09-27T13:30:00.000Z,9789,Borussia Dortmund,0,2,True,49.0,0.48,8.0,2.0,1.0,1.0,275 (75%),12.0,7.0,51.0,1.44,10.0,4.0,2.0,0.0,300 (77%),14.0,5.0,,5.0,1.0,1.0,6.0,2.0,,3.0,3.0,0.0,8.0,2.0,0.21,0.27,0.48,0.19,1.21,0.23,1.44,2.04,369.0,130.0,145.0,19 (32%),4 (19%),15.0,15.0,5.0,389.0,156.0,144.0,24 (41%),3 (43%),29.0,17.0,2.0,,17.0,8.0,3.0,27.0,2.0,,8.0,7.0,1.0,36.0,2.0,,62.0,36 (59%),26 (57%),6 (67%),,45.0,25 (41%),20 (43%),7 (54%),,2.0,1.0,,1.0,0.0,0,1.25,1.0,51.5,1.722,15.25,2.75,2.25,48.5,1.223,15.0,3.25,1.25,37.0,20.75,1.0,0.082,0.455,0.067,0.308
9905,2025-10-05T15:30:00.000Z,9790,Hamburger SV,0,4,False,65.0,0.67,11.0,4.0,0.0,0.0,428 (83%),13.0,4.0,35.0,1.91,15.0,9.0,2.0,0.0,194 (68%),14.0,1.0,,4.0,3.0,0.0,7.0,4.0,,5.0,1.0,1.0,10.0,5.0,0.36,0.31,0.67,1.23,1.82,0.09,1.91,2.49,514.0,215.0,213.0,23 (45%),8 (38%),32.0,23.0,3.0,285.0,124.0,70.0,24 (37%),1 (20%),25.0,15.0,3.0,,10.0,16.0,1.0,31.0,5.0,,20.0,14.0,3.0,37.0,4.0,,56.0,32 (45%),24 (56%),8 (53%),,58.0,39 (55%),19 (44%),6 (55%),,3.0,0.0,,2.0,0.0,0,1.0,1.2,51.0,1.474,13.8,2.6,2.0,49.0,1.266,14.0,3.4,1.4,32.6,20.0,0.8,0.072,0.385,0.086,0.353
9905,2025-10-18T13:30:00.000Z,8178,Bayer Leverkusen,3,4,True,42.0,1.66,12.0,4.0,2.0,0.0,289 (72%),20.0,2.0,58.0,3.48,20.0,8.0,7.0,4.0,457 (82%),12.0,3.0,,4.0,4.0,2.0,6.0,6.0,,6.0,6.0,0.0,18.0,2.0,0.33,0.54,0.87,2.34,2.55,0.14,2.69,3.28,400.0,138.0,151.0,16 (26%),2 (22%),22.0,28.0,2.0,559.0,254.0,203.0,38 (50%),2 (29%),17.0,38.0,0.0,,10.0,10.0,7.0,37.0,3.0,,16.0,6.0,4.0,36.0,1.0,,48.0,27 (39%),21 (55%),5 (63%),,60.0,43 (61%),17 (45%),11 (79%),,4.0,0.0,,4.0,0.0,0,1.0,1.8,53.8,1.304,12.2,3.0,1.8,46.2,1.376,14.6,4.8,1.2,28.4,18.8,0.8,0.082,0.333,0.123,0.375
9905,2025-10-26T16:30:00.000Z,10269,VfB Stuttgart,1,2,False,41.0,1.45,13.0,2.0,2.0,1.0,229 (70%),12.0,5.0,59.0,1.94,19.0,8.0,2.0,1.0,390 (81%),11.0,7.0,,7.0,4.0,0.0,11.0,2.0,,6.0,5.0,0.0,12.0,7.0,0.38,0.29,0.67,1.00,1.58,0.36,1.94,2.25,326.0,138.0,91.0,21 (27%),5 (24%),21.0,24.0,5.0,479.0,154.0,236.0,28 (48%),5 (29%),17.0,24.0,5.0,,10.0,7.0,5.0,23.0,6.0,,15.0,10.0,4.0,31.0,1.0,,39.0,27 (47%),12 (36%),7 (58%),,52.0,31 (53%),21 (64%),5 (45%),,3.0,0.0,,4.0,0.0,0,1.4,2.4,50.2,1.246,11.2,3.2,1.4,49.8,1.948,16.4,5.8,2.6,25.8,24.0,0.6,0.125,0.437,0.146,0.414
9905,2025-11-01T14:30:00.000Z,8697,Werder Bremen,1,1,True,47.0,1.42,10.0,5.0,3.0,2.0,311 (77%),19.0,2.0,53.0,1.04,5.0,3.0,2.0,2.0,376 (80%),11.0,0.0,,3.0,2.0,1.0,7.0,3.0,,2.0,0.0,0.0,5.0,0.0,1.23,0.20,1.42,1.57,0.83,0.21,1.04,1.02,404.0,127.0,184.0,36 (54%),7 (28%),24.0,30.0,4.0,469.0,194.0,182.0,28 (47%),2 (17%),27.0,17.0,1.0,,11.0,17.0,0.0,13.0,2.0,,14.0,10.0,3.0,47.0,3.0,,43.0,27 (45%),16 (43%),6 (35%),,54.0,33 (55%),21 (57%),2 (22%),,1.0,0.0,,3.0,0.0,1,1.6,2.6,47.2,1.356,11.2,3.2,1.8,52.8,1.978,16.4,6.8,2.6,23.4,24.2,0.6,0.143,0.5,0.159,0.382
9905,2025-11-09T18:30:00.000Z,9810,Eintracht Frankfurt,0,1,False,44.0,0.16,3.0,0.0,0.0,0.0,268 (69%),14.0,3.0,56.0,1.21,14.0,4.0,5.0,4.0,391 (81%),8.0,4.0,,1.0,2.0,0.0,1.0,2.0,,5.0,5.0,0.0,8.0,6.0,0.06,0.10,0.16,0.00,1.04,0.17,1.21,0.81,391.0,115.0,153.0,27 (36%),1 (8%),20.0,18.0,1.0,484.0,181.0,210.0,23 (37%),3 (19%),22.0,22.0,1.0,,26.0,9.0,5.0,37.0,3.0,,19.0,9.0,2.0,50.0,0.0,,66.0,37 (49%),29 (57%),4 (50%),,61.0,39 (51%),22 (43%),7 (44%),,5.0,0.0,,0.0,0.0,0,1.0,2.6,48.8,1.136,10.8,3.4,1.6,51.2,1.962,13.8,6.4,3.0,24.0,22.2,0.2,0.093,0.294,0.188,0.406
