team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8152,2025-08-23T16:30:00.000Z,9789,Borussia Dortmund,3,3,True,51.0,1.29,11.0,7.0,2.0,1.0,397 (82%),13.0,5.0,49.0,1.56,8.0,7.0,4.0,2.0,413 (86%),12.0,2.0,,3.0,1.0,0.0,8.0,3.0,,1.0,0.0,0.0,7.0,1.0,0.50,0.00,0.50,2.26,0.71,0.06,0.77,2.72,484.0,193.0,204.0,25 (42%),6 (21%),23.0,27.0,4.0,481.0,271.0,142.0,20 (44%),5 (63%),17.0,19.0,3.0,,20.0,7.0,0.0,13.0,4.0,,10.0,8.0,1.0,45.0,4.0,,45.0,39 (60%),6 (25%),7 (64%),,44.0,26 (40%),18 (75%),3 (21%),,2.0,0.0,,3.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8152,2025-08-29T18:30:00.000Z,9790,Hamburger SV,2,0,False,52.0,1.44,17.0,6.0,2.0,1.0,390 (81%),19.0,5.0,48.0,0.35,5.0,2.0,1.0,1.0,367 (82%),13.0,2.0,,5.0,6.0,0.0,11.0,6.0,,2.0,1.0,0.0,2.0,3.0,1.33,0.11,1.44,1.39,0.20,0.15,0.35,0.17,481.0,204.0,186.0,27 (44%),2 (13%),26.0,24.0,2.0,445.0,239.0,128.0,24 (41%),2 (20%),16.0,11.0,1.0,,26.0,7.0,1.0,24.0,2.0,,14.0,9.0,6.0,34.0,4.0,,52.0,44 (53%),8 (29%),6 (40%),,59.0,39 (47%),20 (71%),8 (40%),,3.0,0.0,,1.0,1.0,3,3.0,3.0,51.0,1.29,11.0,7.0,2.0,49.0,1.56,8.0,7.0,4.0,27.0,19.0,1.0,0.273,0.429,0.375,0.429
8152,2025-09-14T13:30:00.000Z,8406,Augsburg,2,1,True,57.0,1.90,13.0,7.0,3.0,2.0,438 (80%),10.0,3.0,43.0,0.78,10.0,5.0,1.0,0.0,336 (80%),12.0,1.0,,3.0,3.0,0.0,8.0,5.0,,4.0,1.0,0.0,6.0,4.0,0.82,0.29,1.11,2.39,0.68,0.09,0.78,1.11,546.0,207.0,231.0,19 (32%),6 (35%),20.0,32.0,0.0,419.0,209.0,127.0,16 (33%),2 (20%),22.0,19.0,3.0,,21.0,6.0,1.0,25.0,4.0,,17.0,11.0,2.0,38.0,5.0,,56.0,35 (50%),21 (50%),2 (20%),,56.0,35 (50%),21 (50%),8 (40%),,1.0,0.0,,4.0,0.0,3,2.5,1.5,51.5,1.365,14.0,6.5,2.0,48.5,0.955,6.5,4.5,2.5,25.5,15.0,2.0,0.179,0.385,0.231,0.333
8152,2025-09-19T18:30:00.000Z,10269,VfB Stuttgart,0,2,False,46.0,0.95,9.0,2.0,2.0,2.0,338 (77%),15.0,4.0,54.0,2.11,17.0,8.0,5.0,4.0,462 (88%),13.0,8.0,,2.0,5.0,1.0,7.0,2.0,,3.0,6.0,0.0,11.0,6.0,0.95,0.00,0.95,0.74,1.25,0.07,1.33,3.49,439.0,213.0,125.0,18 (31%),2 (11%),24.0,14.0,0.0,528.0,240.0,222.0,20 (45%),3 (23%),23.0,24.0,2.0,,15.0,7.0,6.0,19.0,6.0,,14.0,17.0,5.0,23.0,3.0,,41.0,30 (45%),11 (33%),3 (38%),,58.0,36 (55%),22 (67%),9 (56%),,2.0,0.0,,0.0,0.0,0,2.333,1.333,53.333,1.543,13.667,6.667,2.333,46.667,0.897,7.667,4.667,2.0,27.667,16.333,2.333,0.171,0.35,0.174,0.286
8152,2025-09-27T13:30:00.000Z,8178,Bayer Leverkusen,1,2,True,49.0,0.82,13.0,6.0,1.0,1.0,372 (83%),13.0,13.0,51.0,0.69,5.0,4.0,3.0,1.0,414 (84%),11.0,1.0,,6.0,1.0,0.0,7.0,6.0,,0.0,1.0,0.0,4.0,1.0,0.38,0.45,0.82,1.10,0.52,0.17,0.69,0.90,447.0,204.0,168.0,16 (38%),4 (13%),25.0,19.0,2.0,490.0,277.0,137.0,22 (43%),1 (25%),16.0,9.0,0.0,,13.0,10.0,1.0,7.0,2.0,,14.0,6.0,2.0,28.0,4.0,,41.0,30 (48%),11 (46%),6 (55%),,45.0,32 (52%),13 (54%),5 (38%),,3.0,0.0,,5.0,0.0,0,1.75,1.5,51.5,1.395,12.5,5.5,2.25,48.5,1.2,10.0,5.5,2.75,24.25,18.25,1.75,0.14,0.318,0.15,0.273
8152,2025-10-04T13:30:00.000Z,8697,Werder Bremen,0,1,False,59.0,0.76,13.0,3.0,1.0,1.0,539 (83%),9.0,0.0,41.0,1.86,15.0,5.0,2.0,2.0,359 (78%),8.0,4.0,,6.0,4.0,0.0,6.0,7.0,,3.0,7.0,0.0,8.0,7.0,0.73,0.03,0.76,0.29,1.57,0.28,1.86,1.50,652.0,222.0,317.0,21 (39%),2 (13%),31.0,13.0,1.0,463.0,257.0,102.0,28 (45%),1 (20%),11.0,21.0,3.0,,16.0,10.0,7.0,15.0,4.0,,22.0,13.0,4.0,35.0,3.0,,45.0,32 (47%),13 (39%),8 (50%),,56.0,36 (53%),20 (61%),7 (37%),,1.0,0.0,,3.0,0.0,0,1.6,1.6,51.0,1.28,12.6,5.6,2.0,49.0,1.098,9.0,5.2,2.8,23.2,16.4,1.4,0.127,0.286,0.178,0.308
8152,2025-10-19T15:30:00.000Z,8226,Hoffenheim,0,3,True,49.0,0.99,10.0,2.0,1.0,1.0,317 (76%),10.0,9.0,51.0,2.34,14.0,5.0,5.0,2.0,354 (80%),17.0,7.0,,2.0,6.0,0.0,4.0,6.0,,6.0,3.0,1.0,10.0,4.0,0.98,0.01,0.99,0.33,2.08,0.25,2.34,2.57,416.0,151.0,166.0,27 (44%),1 (4%),27.0,15.0,4.0,443.0,233.0,121.0,24 (41%),4 (33%),13.0,27.0,2.0,,20.0,9.0,2.0,21.0,3.0,,14.0,11.0,6.0,41.0,2.0,,50.0,38 (58%),12 (48%),4 (36%),,40.0,27 (42%),13 (52%),3 (25%),,1.0,0.0,,3.0,0.0,0,1.0,1.2,52.6,1.174,13.0,4.8,1.8,47.4,1.158,10.4,4.8,2.4,20.4,16.8,1.2,0.077,0.208,0.115,0.25
8152,2025-10-25T13:30:00.000Z,9810,Eintracht Frankfurt,0,2,False,49.0,0.39,9.0,1.0,2.0,2.0,440 (85%),6.0,3.0,51.0,2.26,10.0,6.0,4.0,2.0,473 (86%),11.0,1.0,,6.0,2.0,0.0,3.0,6.0,,2.0,2.0,0.0,8.0,2.0,0.34,0.05,0.39,0.09,2.24,0.02,2.26,1.87,520.0,214.0,226.0,18 (42%),2 (10%),17.0,14.0,4.0,552.0,300.0,173.0,23 (43%),2 (33%),17.0,22.0,2.0,,17.0,7.0,2.0,17.0,4.0,,16.0,9.0,1.0,22.0,1.0,,47.0,35 (54%),12 (48%),7 (47%),,43.0,30 (46%),13 (52%),8 (67%),,1.0,0.0,,0.0,0.0,0,0.6,1.8,52.0,1.084,11.6,4.0,1.6,48.0,1.556,12.2,5.4,3.2,18.6,20.0,0.6,0.052,0.15,0.148,0.333
8152,2025-11-01T14:30:00.000Z,9788,Borussia Mönchengladbach,0,4,True,56.0,0.88,16.0,4.0,1.0,1.0,517 (86%),11.0,8.0,44.0,2.32,15.0,11.0,4.0,2.0,411 (87%),8.0,1.0,,6.0,6.0,0.0,8.0,8.0,,4.0,0.0,2.0,9.0,6.0,0.67,0.21,0.88,0.51,1.64,0.68,2.32,4.14,598.0,203.0,314.0,20 (43%),2 (8%),26.0,18.0,2.0,472.0,279.0,132.0,30 (57%),3 (33%),9.0,17.0,1.0,,9.0,5.0,0.0,14.0,7.0,,13.0,11.0,6.0,40.0,4.0,,28.0,22 (40%),6 (29%),5 (38%),,48.0,33 (60%),15 (71%),9 (64%),,4.0,0.0,,0.0,0.0,0,0.2,2.0,50.4,0.782,10.8,2.8,1.4,49.6,1.852,12.2,5.6,3.8,15.0,20.6,0.0,0.019,0.071,0.164,0.357
8152,2025-11-09T14:30:00.000Z,8358,Freiburg,1,2,False,40.0,0.53,7.0,2.0,2.0,1.0,282 (75%),12.0,3.0,60.0,1.02,8.0,4.0,3.0,2.0,503 (87%),8.0,9.0,,3.0,2.0,0.0,5.0,2.0,,1.0,3.0,0.0,6.0,2.0,0.33,0.20,0.53,0.82,0.69,0.34,1.02,2.13,375.0,164.0,118.0,12 (27%),3 (21%),23.0,14.0,4.0,579.0,244.0,259.0,24 (42%),2 (13%),17.0,13.0,2.0,,12.0,10.0,3.0,24.0,2.0,,8.0,9.0,1.0,21.0,1.0,,39.0,24 (53%),15 (38%),4 (67%),,46.0,21 (47%),25 (63%),1 (14%),,2.0,0.0,,2.0,0.0,0,0.2,2.4,52.4,0.768,12.2,3.2,1.2,47.6,1.894,11.8,6.2,3.6,15.8,19.2,0.0,0.016,0.062,0.203,0.387
