team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9857,2025-08-23T18:45:00.000Z,8686,Roma,0,1,False,49.0,0.58,10.0,2.0,0.0,0.0,301 (78%),13.0,4.0,51.0,1.56,14.0,4.0,2.0,1.0,338 (82%),15.0,2.0,,7.0,1.0,1.0,6.0,4.0,,9.0,1.0,1.0,8.0,6.0,0.43,0.15,0.58,0.63,1.46,0.10,1.56,1.19,388.0,219.0,82.0,36 (51%),4 (29%),23.0,10.0,1.0,414.0,187.0,151.0,26 (44%),3 (38%),16.0,24.0,1.0,,14.0,5.0,1.0,16.0,3.0,,13.0,9.0,1.0,17.0,2.0,,48.0,34 (52%),14 (54%),5 (50%),,43.0,31 (48%),12 (46%),5 (42%),,1.0,0.0,,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9857,2025-08-30T16:30:00.000Z,10171,Como,1,0,True,36.0,1.10,15.0,2.0,1.0,1.0,169 (70%),13.0,7.0,64.0,0.69,13.0,2.0,0.0,0.0,379 (83%),19.0,4.0,,6.0,7.0,0.0,10.0,5.0,,5.0,6.0,0.0,8.0,5.0,0.48,0.62,1.10,0.76,0.61,0.09,0.69,0.02,242.0,115.0,54.0,21 (38%),5 (29%),28.0,17.0,3.0,459.0,249.0,130.0,18 (44%),4 (36%),21.0,30.0,0.0,,16.0,9.0,6.0,26.0,2.0,,16.0,7.0,7.0,25.0,1.0,,53.0,41 (54%),12 (48%),7 (47%),,48.0,35 (46%),13 (52%),6 (55%),,4.0,0.0,,4.0,0.0,3,0.0,1.0,49.0,0.58,10.0,2.0,0.0,51.0,1.56,14.0,4.0,2.0,10.0,24.0,0.0,0.0,0.0,0.071,0.25
9857,2025-09-14T18:45:00.000Z,8564,Milan,0,1,False,61.0,0.17,5.0,0.0,0.0,0.0,453 (87%),16.0,4.0,39.0,1.00,14.0,3.0,3.0,3.0,286 (85%),17.0,7.0,,2.0,3.0,1.0,3.0,2.0,,7.0,4.0,4.0,10.0,4.0,0.17,0.00,0.17,0.00,0.76,0.23,1.00,1.11,521.0,268.0,185.0,31 (60%),5 (26%),12.0,9.0,1.0,336.0,157.0,129.0,17 (50%),3 (21%),18.0,23.0,2.0,,13.0,5.0,3.0,19.0,2.0,,14.0,5.0,3.0,24.0,0.0,,47.0,35 (49%),12 (52%),6 (60%),,48.0,37 (51%),11 (48%),9 (45%),,2.0,0.0,,3.0,0.0,0,0.5,0.5,42.5,0.84,12.5,2.0,0.5,57.5,1.125,13.5,3.0,1.0,13.5,27.0,1.5,0.04,0.25,0.037,0.167
9857,2025-09-20T13:00:00.000Z,10233,Genoa,2,1,True,59.0,1.59,14.0,6.0,2.0,1.0,320 (79%),12.0,8.0,41.0,0.53,7.0,4.0,2.0,1.0,196 (68%),15.0,2.0,,5.0,3.0,1.0,12.0,2.0,,2.0,1.0,0.0,5.0,2.0,0.51,0.29,0.80,2.57,0.33,0.20,0.53,0.96,406.0,156.0,164.0,36 (48%),5 (26%),26.0,25.0,4.0,290.0,122.0,74.0,33 (40%),2 (22%),28.0,11.0,1.0,,13.0,9.0,1.0,22.0,3.0,,20.0,8.0,3.0,25.0,4.0,,58.0,34 (51%),24 (53%),7 (41%),,54.0,33 (49%),21 (47%),2 (22%),,1.0,0.0,,5.0,0.0,3,0.333,0.667,48.667,0.617,10.0,1.333,0.333,51.333,1.083,13.667,3.0,1.667,12.0,25.667,1.0,0.033,0.25,0.049,0.222
9857,2025-09-28T16:00:00.000Z,9888,Lecce,2,2,False,67.0,1.37,14.0,5.0,2.0,1.0,442 (85%),13.0,9.0,33.0,1.80,12.0,4.0,4.0,2.0,166 (66%),13.0,3.0,,3.0,6.0,0.0,9.0,5.0,,5.0,3.0,3.0,10.0,2.0,0.31,0.27,0.58,1.66,1.29,0.51,1.80,1.48,517.0,246.0,196.0,23 (42%),4 (21%),18.0,25.0,4.0,252.0,100.0,66.0,26 (37%),5 (38%),16.0,23.0,1.0,,14.0,5.0,3.0,21.0,2.0,,21.0,5.0,6.0,18.0,3.0,,53.0,36 (49%),17 (43%),11 (58%),,60.0,37 (51%),23 (58%),7 (58%),,2.0,0.0,,4.0,0.0,1,0.75,0.75,51.25,0.86,11.0,2.5,0.75,48.75,0.945,12.0,3.25,1.75,15.25,22.0,1.5,0.068,0.3,0.062,0.231
9857,2025-10-05T13:00:00.000Z,6479,Pisa,4,0,True,71.0,3.62,24.0,7.0,6.0,4.0,485 (89%),16.0,2.0,29.0,0.04,2.0,0.0,0.0,0.0,147 (70%),12.0,2.0,,12.0,5.0,1.0,15.0,9.0,,2.0,0.0,0.0,2.0,0.0,2.02,1.60,3.62,2.70,0.00,0.04,0.04,0.00,547.0,196.0,289.0,37 (67%),4 (24%),23.0,35.0,1.0,211.0,89.0,58.0,20 (38%),4 (29%),17.0,5.0,2.0,,17.0,4.0,0.0,15.0,0.0,,19.0,10.0,5.0,13.0,3.0,,46.0,36 (47%),10 (50%),7 (44%),,51.0,41 (53%),10 (50%),6 (38%),,0.0,0.0,,1.0,1.0,3,1.0,1.0,54.4,0.962,11.6,3.0,1.0,45.6,1.116,12.0,3.4,2.2,17.2,22.2,1.4,0.086,0.333,0.083,0.294
9857,2025-10-19T13:00:00.000Z,8529,Cagliari,2,0,False,58.0,1.11,10.0,7.0,2.0,1.0,368 (84%),22.0,7.0,42.0,0.22,4.0,3.0,1.0,1.0,242 (78%),15.0,2.0,,2.0,1.0,0.0,4.0,6.0,,1.0,0.0,0.0,1.0,3.0,0.49,0.62,1.11,1.60,0.08,0.13,0.22,0.22,436.0,216.0,152.0,35 (48%),5 (26%),17.0,18.0,1.0,311.0,169.0,73.0,21 (49%),1 (7%),24.0,8.0,5.0,,16.0,10.0,0.0,26.0,3.0,,12.0,7.0,1.0,26.0,5.0,,45.0,36 (47%),9 (47%),5 (63%),,51.0,41 (53%),10 (53%),8 (42%),,3.0,0.0,,1.0,0.0,3,1.8,0.8,58.8,1.57,14.4,4.0,2.2,41.2,0.812,9.6,2.6,1.8,22.2,18.4,2.0,0.125,0.45,0.083,0.308
9857,2025-10-26T17:00:00.000Z,8535,Fiorentina,2,2,False,50.0,0.55,6.0,3.0,2.0,0.0,252 (76%),20.0,6.0,50.0,3.72,19.0,7.0,6.0,4.0,256 (79%),13.0,5.0,,2.0,1.0,0.0,4.0,2.0,,7.0,5.0,0.0,15.0,4.0,0.48,0.07,0.55,1.86,0.39,1.75,2.14,2.53,330.0,155.0,97.0,17 (32%),3 (21%),21.0,17.0,3.0,326.0,164.0,92.0,19 (37%),5 (23%),17.0,21.0,5.0,,12.0,8.0,4.0,30.0,4.0,,10.0,6.0,1.0,18.0,1.0,,40.0,28 (49%),12 (48%),4 (40%),,42.0,29 (51%),13 (52%),2 (29%),,3.0,1.0,,3.0,0.0,1,2.0,0.8,63.2,1.572,13.4,5.0,2.4,36.8,0.718,7.8,2.8,2.0,22.4,14.0,2.0,0.149,0.4,0.103,0.286
9857,2025-10-29T19:45:00.000Z,9804,Torino,0,0,True,71.0,0.43,11.0,2.0,0.0,0.0,570 (89%),11.0,3.0,29.0,0.54,8.0,2.0,1.0,1.0,178 (70%),20.0,3.0,,7.0,2.0,0.0,4.0,7.0,,4.0,2.0,1.0,4.0,4.0,0.21,0.21,0.43,0.86,0.49,0.05,0.54,0.11,641.0,269.0,301.0,50 (66%),5 (24%),32.0,23.0,0.0,254.0,107.0,71.0,24 (42%),2 (18%),12.0,14.0,2.0,,18.0,1.0,2.0,16.0,2.0,,18.0,9.0,2.0,29.0,2.0,,56.0,44 (56%),12 (36%),7 (50%),,55.0,34 (44%),21 (64%),6 (60%),,2.0,0.0,,3.0,0.0,1,2.4,1.0,61.0,1.648,13.6,5.6,2.8,39.0,1.262,8.8,3.6,2.6,24.0,13.6,2.2,0.176,0.429,0.114,0.278
9857,2025-11-02T17:00:00.000Z,10167,Parma,3,1,False,65.0,2.72,22.0,6.0,7.0,5.0,367 (87%),15.0,5.0,35.0,0.51,7.0,1.0,1.0,0.0,148 (63%),16.0,1.0,,13.0,3.0,0.0,16.0,6.0,,3.0,3.0,1.0,5.0,2.0,2.63,0.09,2.72,1.47,0.49,0.02,0.51,0.82,424.0,122.0,245.0,29 (63%),7 (28%),20.0,36.0,6.0,235.0,80.0,68.0,34 (49%),0 (0%),13.0,12.0,1.0,,11.0,5.0,3.0,30.0,0.0,,14.0,5.0,3.0,28.0,3.0,,50.0,35 (54%),15 (41%),9 (53%),,52.0,30 (46%),22 (59%),2 (25%),,2.0,0.0,,2.0,1.0,3,2.0,0.8,63.4,1.416,13.0,4.8,2.4,36.6,1.264,9.0,3.2,2.4,23.6,14.2,1.8,0.154,0.417,0.089,0.25
