team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10171,2025-08-24T16:30:00.000Z,8543,Lazio,2,0,True,63.0,1.32,19.0,6.0,2.0,1.0,484 (90%),15.0,6.0,37.0,0.25,5.0,1.0,0.0,0.0,260 (84%),12.0,0.0,,12.0,1.0,1.0,12.0,7.0,,3.0,1.0,0.0,3.0,2.0,0.97,0.35,1.32,1.88,0.17,0.08,0.25,0.29,537.0,280.0,204.0,21 (66%),4 (27%),24.0,32.0,0.0,309.0,185.0,75.0,20 (61%),3 (50%),26.0,14.0,1.0,,25.0,10.0,1.0,8.0,1.0,,24.0,11.0,1.0,19.0,4.0,,59.0,51 (54%),8 (57%),14 (50%),,50.0,44 (46%),6 (43%),5 (33%),,2.0,0.0,,3.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10171,2025-08-30T16:30:00.000Z,9857,Bologna,0,1,False,64.0,0.69,13.0,2.0,0.0,0.0,379 (83%),19.0,4.0,36.0,1.10,15.0,2.0,1.0,1.0,169 (70%),13.0,7.0,,5.0,6.0,0.0,8.0,5.0,,6.0,7.0,0.0,10.0,5.0,0.61,0.09,0.69,0.02,0.48,0.62,1.10,0.76,459.0,249.0,130.0,18 (44%),4 (36%),21.0,30.0,0.0,242.0,115.0,54.0,21 (38%),5 (29%),28.0,17.0,3.0,,16.0,7.0,7.0,25.0,1.0,,16.0,9.0,6.0,26.0,2.0,,48.0,35 (46%),13 (52%),6 (55%),,53.0,41 (54%),12 (48%),7 (47%),,4.0,0.0,,4.0,0.0,0,2.0,0.0,63.0,1.32,19.0,6.0,2.0,37.0,0.25,5.0,1.0,0.0,32.0,14.0,3.0,0.105,0.333,0.0,0.0
10171,2025-09-15T18:45:00.000Z,10233,Genoa,1,1,True,53.0,1.83,13.0,4.0,2.0,2.0,379 (84%),13.0,0.0,47.0,2.34,12.0,6.0,5.0,4.0,323 (82%),17.0,8.0,,3.0,6.0,0.0,7.0,6.0,,0.0,6.0,1.0,9.0,3.0,1.83,0.00,1.83,1.03,1.52,0.82,2.34,1.32,452.0,245.0,134.0,25 (56%),0 (0%),32.0,16.0,0.0,396.0,200.0,123.0,24 (56%),2 (11%),22.0,23.0,0.0,,15.0,6.0,7.0,24.0,4.0,,30.0,10.0,6.0,17.0,3.0,,55.0,39 (40%),16 (59%),8 (31%),,69.0,58 (60%),11 (41%),16 (76%),,2.0,1.0,,2.0,0.0,1,1.0,0.5,63.5,1.005,16.0,4.0,1.0,36.5,0.675,10.0,1.5,0.5,31.0,15.5,1.5,0.062,0.25,0.05,0.333
10171,2025-09-21T16:00:00.000Z,8535,Fiorentina,2,1,False,61.0,1.25,19.0,7.0,4.0,2.0,426 (85%),19.0,6.0,39.0,0.49,8.0,1.0,0.0,0.0,241 (77%),16.0,2.0,,9.0,3.0,0.0,10.0,9.0,,4.0,3.0,0.0,4.0,4.0,0.99,0.26,1.25,1.14,0.15,0.34,0.49,0.44,502.0,228.0,198.0,24 (56%),5 (26%),17.0,24.0,2.0,313.0,147.0,94.0,22 (42%),3 (19%),10.0,14.0,2.0,,18.0,5.0,3.0,33.0,0.0,,22.0,11.0,3.0,17.0,5.0,,58.0,41 (46%),17 (59%),7 (41%),,60.0,48 (54%),12 (41%),7 (41%),,3.0,0.0,,4.0,0.0,3,1.0,0.667,60.0,1.28,15.0,4.0,1.333,40.0,1.23,10.667,3.0,2.0,26.0,18.0,1.333,0.067,0.25,0.063,0.222
10171,2025-09-27T13:00:00.000Z,7801,Cremonese,1,1,True,58.0,1.30,14.0,6.0,3.0,2.0,377 (84%),16.0,4.0,42.0,0.45,9.0,2.0,1.0,0.0,241 (76%),17.0,3.0,,5.0,3.0,0.0,7.0,7.0,,7.0,0.0,0.0,6.0,3.0,1.19,0.11,1.30,1.31,0.22,0.23,0.45,0.82,451.0,222.0,155.0,25 (47%),3 (33%),23.0,14.0,0.0,316.0,136.0,105.0,19 (35%),5 (33%),22.0,13.0,4.0,,15.0,4.0,0.0,21.0,1.0,,17.0,8.0,3.0,13.0,5.0,,47.0,32 (48%),15 (54%),2 (20%),,48.0,35 (52%),13 (46%),7 (50%),,3.0,1.0,,4.0,0.0,1,1.25,0.75,60.25,1.272,16.0,4.75,2.0,39.75,1.045,10.0,2.5,1.5,25.5,17.0,1.75,0.078,0.263,0.075,0.3
10171,2025-10-04T18:45:00.000Z,8524,Atalanta,1,1,False,50.0,1.32,12.0,4.0,1.0,1.0,389 (85%),19.0,3.0,50.0,1.40,16.0,4.0,3.0,3.0,391 (86%),10.0,8.0,,4.0,4.0,0.0,8.0,4.0,,5.0,7.0,0.0,8.0,8.0,1.23,0.09,1.32,1.14,1.09,0.30,1.40,0.61,460.0,223.0,166.0,13 (42%),3 (30%),7.0,21.0,1.0,457.0,238.0,153.0,24 (55%),2 (10%),12.0,37.0,2.0,,18.0,10.0,8.0,38.0,2.0,,19.0,9.0,4.0,15.0,3.0,,49.0,32 (40%),17 (77%),6 (50%),,53.0,48 (60%),5 (23%),11 (73%),,3.0,0.0,,1.0,0.0,1,1.2,0.8,59.8,1.278,15.6,5.0,2.2,40.2,0.926,9.8,2.4,1.4,23.2,16.2,1.6,0.077,0.24,0.082,0.333
10171,2025-10-19T10:30:00.000Z,9885,Juventus,2,0,True,45.0,1.46,12.0,6.0,2.0,1.0,293 (81%),17.0,4.0,55.0,0.88,15.0,3.0,1.0,1.0,373 (83%),15.0,1.0,,3.0,3.0,0.0,9.0,3.0,,8.0,4.0,0.0,9.0,6.0,0.89,0.57,1.46,2.03,0.72,0.17,0.88,0.58,361.0,182.0,111.0,22 (51%),6 (46%),22.0,26.0,1.0,447.0,235.0,138.0,14 (45%),2 (25%),21.0,35.0,2.0,,23.0,5.0,4.0,21.0,4.0,,10.0,9.0,3.0,8.0,4.0,,47.0,36 (47%),11 (55%),3 (60%),,49.0,40 (53%),9 (45%),13 (62%),,3.0,0.0,,1.0,0.0,3,1.0,1.0,57.2,1.278,14.2,4.6,2.0,42.8,1.156,12.0,3.0,2.0,21.0,20.8,1.2,0.07,0.217,0.083,0.333
10171,2025-10-25T13:00:00.000Z,10167,Parma,0,0,False,71.0,0.43,6.0,2.0,0.0,0.0,525 (90%),14.0,3.0,29.0,0.57,10.0,3.0,4.0,4.0,177 (76%),7.0,3.0,,3.0,1.0,0.0,4.0,2.0,,4.0,3.0,1.0,6.0,4.0,0.43,0.00,0.43,0.28,0.13,0.44,0.57,0.49,584.0,291.0,234.0,10 (40%),6 (32%),25.0,22.0,3.0,234.0,85.0,92.0,22 (47%),4 (33%),17.0,21.0,3.0,,19.0,6.0,3.0,26.0,3.0,,16.0,9.0,1.0,15.0,2.0,,42.0,35 (51%),7 (33%),9 (50%),,48.0,34 (49%),14 (67%),4 (36%),,1.0,0.0,,0.0,0.0,1,1.4,0.8,53.4,1.432,14.0,5.4,2.4,46.6,1.112,12.0,3.2,2.0,20.2,24.4,1.8,0.1,0.259,0.067,0.25
10171,2025-10-29T17:30:00.000Z,9876,Hellas Verona,3,1,True,71.0,1.50,15.0,5.0,3.0,0.0,517 (88%),11.0,1.0,29.0,1.52,13.0,9.0,3.0,2.0,150 (62%),21.0,3.0,,6.0,4.0,1.0,7.0,8.0,,2.0,2.0,0.0,11.0,2.0,1.15,0.35,1.50,1.62,1.24,0.28,1.52,1.38,587.0,210.0,307.0,18 (46%),4 (20%),18.0,21.0,1.0,241.0,73.0,77.0,23 (37%),4 (50%),25.0,24.0,1.0,,14.0,11.0,3.0,27.0,7.0,,21.0,9.0,4.0,22.0,2.0,,67.0,42 (55%),25 (61%),10 (59%),,50.0,34 (45%),16 (39%),3 (27%),,1.0,0.0,,4.0,0.0,3,1.2,0.6,57.0,1.152,12.6,5.0,2.0,43.0,0.758,11.6,2.6,1.8,21.4,24.0,1.8,0.095,0.24,0.052,0.231
10171,2025-11-01T17:00:00.000Z,9875,Napoli,0,0,False,55.0,1.07,13.0,2.0,1.0,1.0,414 (86%),16.0,2.0,45.0,0.78,13.0,8.0,2.0,2.0,320 (82%),15.0,4.0,,5.0,6.0,0.0,4.0,9.0,,4.0,1.0,0.0,6.0,7.0,0.21,0.07,0.28,0.77,0.64,0.15,0.78,1.06,484.0,199.0,215.0,17 (43%),3 (30%),7.0,18.0,0.0,392.0,181.0,139.0,15 (34%),4 (33%),21.0,19.0,0.0,,25.0,9.0,1.0,18.0,8.0,,24.0,6.0,6.0,15.0,2.0,,64.0,44 (46%),20 (61%),5 (31%),,64.0,51 (54%),13 (39%),11 (46%),,2.0,0.0,,3.0,0.0,1,1.4,0.6,59.0,1.202,11.8,4.6,1.8,41.0,0.964,12.6,4.2,2.4,20.8,26.0,1.8,0.119,0.304,0.048,0.143
