team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
7801,2025-08-23T18:45:00.000Z,8564,Milan,2,1,False,36.0,0.21,4.0,3.0,1.0,0.0,278 (82%),14.0,2.0,64.0,1.92,24.0,6.0,2.0,1.0,551 (91%),10.0,9.0,,1.0,0.0,0.0,4.0,0.0,,9.0,9.0,2.0,16.0,8.0,0.15,0.05,0.21,1.22,1.38,0.54,1.92,1.51,340.0,198.0,80.0,18 (36%),4 (25%),14.0,5.0,1.0,608.0,210.0,341.0,25 (68%),9 (41%),28.0,49.0,1.0,,17.0,6.0,10.0,37.0,4.0,,8.0,4.0,0.0,20.0,1.0,,40.0,30 (47%),10 (43%),5 (56%),,47.0,34 (53%),13 (57%),12 (48%),,4.0,0.0,,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7801,2025-08-29T16:30:00.000Z,7943,Sassuolo,3,2,True,42.0,3.32,11.0,6.0,6.0,3.0,271 (75%),12.0,5.0,58.0,1.32,9.0,6.0,2.0,0.0,428 (84%),17.0,4.0,,2.0,3.0,0.0,8.0,3.0,,2.0,1.0,1.0,6.0,3.0,2.31,0.22,2.53,3.20,0.41,0.13,0.53,1.96,359.0,169.0,102.0,21 (36%),2 (13%),30.0,17.0,0.0,507.0,228.0,200.0,28 (47%),4 (29%),14.0,22.0,2.0,,19.0,5.0,1.0,17.0,4.0,,11.0,3.0,3.0,27.0,3.0,,55.0,40 (60%),15 (50%),6 (67%),,42.0,27 (40%),15 (50%),5 (33%),,2.0,0.0,,2.0,0.0,3,2.0,1.0,36.0,0.21,4.0,3.0,1.0,64.0,1.92,24.0,6.0,2.0,5.0,49.0,3.0,0.5,0.667,0.042,0.167
7801,2025-09-15T16:30:00.000Z,9876,Hellas Verona,0,0,False,54.0,0.24,6.0,2.0,0.0,0.0,401 (82%),3.0,1.0,46.0,1.46,20.0,9.0,3.0,3.0,332 (81%),18.0,10.0,,2.0,2.0,0.0,2.0,4.0,,6.0,5.0,0.0,12.0,8.0,0.15,0.09,0.24,0.33,1.42,0.04,1.46,1.37,492.0,280.0,121.0,21 (36%),3 (43%),19.0,5.0,1.0,412.0,135.0,197.0,20 (40%),4 (17%),15.0,27.0,4.0,,8.0,4.0,4.0,33.0,9.0,,11.0,9.0,2.0,21.0,3.0,,48.0,30 (57%),18 (51%),6 (55%),,40.0,23 (43%),17 (49%),9 (56%),,1.0,0.0,,2.0,0.0,1,2.5,1.5,39.0,1.765,7.5,4.5,3.5,61.0,1.62,16.5,6.0,2.0,11.0,35.5,3.0,0.333,0.556,0.091,0.25
7801,2025-09-21T13:00:00.000Z,10167,Parma,0,0,True,52.0,0.12,3.0,1.0,0.0,0.0,343 (82%),16.0,3.0,48.0,0.84,15.0,3.0,0.0,0.0,307 (81%),8.0,3.0,,1.0,1.0,0.0,2.0,1.0,,6.0,6.0,1.0,10.0,5.0,0.01,0.11,0.12,0.49,0.60,0.25,0.84,0.17,416.0,176.0,167.0,24 (41%),3 (21%),18.0,12.0,6.0,377.0,166.0,141.0,20 (40%),5 (26%),20.0,14.0,0.0,,10.0,3.0,6.0,41.0,3.0,,16.0,7.0,0.0,20.0,1.0,,38.0,20 (38%),18 (62%),3 (38%),,44.0,33 (62%),11 (38%),1 (20%),,1.0,0.0,,0.0,0.0,1,1.667,1.0,44.0,1.257,7.0,3.667,2.333,56.0,1.567,17.667,7.0,2.333,9.0,32.667,2.333,0.238,0.455,0.057,0.143
7801,2025-09-27T13:00:00.000Z,10171,Como,1,1,False,42.0,0.45,9.0,2.0,1.0,0.0,241 (76%),17.0,3.0,58.0,1.30,14.0,6.0,3.0,2.0,377 (84%),16.0,4.0,,7.0,0.0,0.0,6.0,3.0,,5.0,3.0,0.0,7.0,7.0,0.22,0.23,0.45,0.82,1.19,0.11,1.30,1.31,316.0,136.0,105.0,19 (35%),5 (33%),22.0,13.0,4.0,451.0,222.0,155.0,25 (47%),3 (33%),23.0,14.0,0.0,,17.0,8.0,3.0,13.0,5.0,,15.0,4.0,0.0,21.0,1.0,,48.0,35 (52%),13 (46%),7 (50%),,47.0,32 (48%),15 (54%),2 (20%),,4.0,0.0,,3.0,1.0,1,1.25,0.75,46.0,0.972,6.0,3.0,1.75,54.0,1.385,17.0,6.0,1.75,9.75,28.0,2.0,0.208,0.417,0.044,0.125
7801,2025-10-04T16:00:00.000Z,8636,Inter,1,4,False,34.0,0.64,3.0,2.0,1.0,0.0,243 (77%),8.0,1.0,66.0,3.57,27.0,9.0,11.0,8.0,525 (88%),9.0,13.0,,1.0,0.0,0.0,2.0,1.0,,12.0,6.0,0.0,16.0,11.0,0.64,0.00,0.64,0.38,2.78,0.80,3.57,3.79,316.0,168.0,75.0,17 (35%),2 (20%),11.0,8.0,2.0,595.0,213.0,312.0,25 (58%),14 (40%),20.0,44.0,4.0,,10.0,8.0,6.0,36.0,5.0,,12.0,10.0,0.0,17.0,1.0,,34.0,23 (50%),11 (52%),4 (67%),,33.0,23 (50%),10 (48%),3 (75%),,1.0,0.0,,1.0,0.0,0,1.2,0.8,45.2,0.868,6.6,2.8,1.6,54.8,1.368,16.4,6.0,2.0,10.4,25.2,1.8,0.182,0.429,0.049,0.133
7801,2025-10-20T18:45:00.000Z,8600,Udinese,1,1,True,52.0,1.07,11.0,4.0,2.0,1.0,283 (77%),15.0,5.0,48.0,0.55,8.0,1.0,2.0,1.0,275 (81%),14.0,4.0,,5.0,2.0,2.0,6.0,5.0,,5.0,2.0,0.0,6.0,2.0,0.67,0.40,1.07,0.94,0.47,0.08,0.55,0.60,367.0,174.0,109.0,34 (49%),3 (20%),22.0,11.0,1.0,340.0,130.0,145.0,43 (72%),5 (31%),18.0,28.0,2.0,,16.0,2.0,2.0,24.0,0.0,,22.0,6.0,3.0,34.0,2.0,,46.0,35 (45%),11 (34%),5 (31%),,64.0,43 (55%),21 (66%),6 (33%),,4.0,0.0,,2.0,0.0,1,1.0,1.4,44.8,0.954,6.4,2.6,1.6,55.2,1.698,17.0,6.6,3.8,11.0,24.2,1.2,0.156,0.385,0.082,0.212
7801,2025-10-25T18:45:00.000Z,8524,Atalanta,1,1,True,35.0,1.12,9.0,5.0,3.0,2.0,189 (68%),6.0,2.0,65.0,1.15,20.0,6.0,1.0,1.0,441 (84%),8.0,10.0,,4.0,0.0,0.0,4.0,5.0,,6.0,8.0,0.0,12.0,8.0,0.88,0.24,1.12,1.01,1.00,0.15,1.15,1.30,277.0,95.0,94.0,20 (30%),3 (21%),10.0,10.0,3.0,523.0,216.0,225.0,26 (52%),6 (23%),22.0,30.0,2.0,,21.0,4.0,8.0,35.0,5.0,,10.0,0.0,0.0,23.0,4.0,,53.0,30 (59%),23 (52%),2 (33%),,42.0,21 (41%),21 (48%),6 (40%),,3.0,0.0,,1.0,0.0,1,0.6,1.2,46.8,0.504,6.4,2.2,0.8,53.2,1.544,16.8,5.6,3.8,9.8,25.4,0.8,0.094,0.273,0.071,0.214
7801,2025-10-29T19:45:00.000Z,10233,Genoa,2,0,False,46.0,1.39,11.0,4.0,2.0,1.0,206 (65%),13.0,3.0,54.0,1.31,16.0,1.0,1.0,1.0,265 (72%),16.0,7.0,,7.0,0.0,0.0,7.0,4.0,,8.0,7.0,0.0,10.0,6.0,0.63,0.76,1.39,1.14,0.43,0.88,1.31,0.08,318.0,104.0,102.0,22 (28%),2 (20%),27.0,12.0,0.0,366.0,139.0,126.0,25 (46%),5 (24%),27.0,20.0,3.0,,22.0,10.0,5.0,34.0,1.0,,18.0,16.0,0.0,21.0,2.0,,64.0,40 (54%),24 (47%),4 (31%),,61.0,34 (46%),27 (53%),4 (36%),,1.0,0.0,,3.0,0.0,3,0.8,1.4,43.0,0.68,7.0,2.8,1.4,57.0,1.482,16.8,5.0,3.4,10.8,26.0,0.8,0.114,0.286,0.083,0.28
7801,2025-11-01T19:45:00.000Z,9885,Juventus,1,2,True,51.0,0.54,9.0,2.0,1.0,0.0,399 (85%),10.0,2.0,49.0,2.03,15.0,5.0,4.0,2.0,381 (83%),14.0,3.0,,2.0,5.0,0.0,5.0,4.0,,7.0,3.0,1.0,9.0,6.0,0.45,0.09,0.54,1.04,1.96,0.08,2.03,1.62,470.0,243.0,156.0,27 (47%),3 (14%),19.0,16.0,0.0,458.0,205.0,176.0,33 (56%),1 (7%),21.0,30.0,2.0,,18.0,9.0,3.0,28.0,3.0,,14.0,5.0,4.0,19.0,1.0,,50.0,33 (52%),17 (63%),2 (33%),,40.0,30 (48%),10 (37%),7 (50%),,1.0,0.0,,0.0,0.0,0,1.2,1.4,41.8,0.934,8.6,3.4,1.8,58.2,1.576,17.0,4.6,3.6,10.8,27.2,1.2,0.14,0.353,0.082,0.304
