team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10233,2025-08-23T16:30:00.000Z,9888,Lecce,0,0,True,59.0,0.50,5.0,2.0,0.0,0.0,327 (75%),16.0,3.0,41.0,0.37,7.0,0.0,1.0,1.0,207 (70%),13.0,7.0,,2.0,1.0,0.0,2.0,3.0,,3.0,4.0,0.0,5.0,2.0,0.45,0.05,0.50,0.70,0.28,0.09,0.37,0.00,435.0,242.0,85.0,16 (30%),0 (0%),19.0,6.0,0.0,294.0,92.0,115.0,21 (38%),3 (14%),28.0,16.0,2.0,,23.0,6.0,4.0,24.0,0.0,,15.0,12.0,1.0,18.0,2.0,,60.0,44 (59%),16 (46%),9 (56%),,49.0,30 (41%),19 (54%),2 (15%),,2.0,0.0,,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10233,2025-08-31T16:30:00.000Z,9885,Juventus,0,1,True,44.0,0.55,10.0,1.0,0.0,0.0,264 (75%),14.0,3.0,56.0,1.03,13.0,3.0,2.0,1.0,358 (80%),15.0,4.0,,6.0,3.0,1.0,6.0,4.0,,4.0,6.0,0.0,8.0,5.0,0.50,0.05,0.55,0.12,0.90,0.13,1.03,1.35,350.0,164.0,100.0,12 (27%),3 (18%),23.0,14.0,0.0,449.0,228.0,130.0,21 (46%),5 (36%),31.0,20.0,2.0,,21.0,6.0,5.0,20.0,2.0,,26.0,6.0,3.0,21.0,1.0,,60.0,43 (49%),17 (53%),7 (39%),,59.0,44 (51%),15 (47%),5 (36%),,1.0,0.0,,2.0,0.0,0,0.0,0.0,59.0,0.5,5.0,2.0,0.0,41.0,0.37,7.0,0.0,1.0,6.0,16.0,1.0,0.0,0.0,0.0,0.0
10233,2025-09-15T18:45:00.000Z,10171,Como,1,1,False,47.0,2.34,12.0,6.0,5.0,4.0,323 (82%),17.0,8.0,53.0,1.83,13.0,4.0,2.0,2.0,379 (84%),13.0,0.0,,0.0,6.0,1.0,9.0,3.0,,3.0,6.0,0.0,7.0,6.0,1.52,0.82,2.34,1.32,1.83,0.00,1.83,1.03,396.0,200.0,123.0,24 (56%),2 (11%),22.0,23.0,0.0,452.0,245.0,134.0,25 (56%),0 (0%),32.0,16.0,0.0,,30.0,10.0,6.0,17.0,3.0,,15.0,6.0,7.0,24.0,4.0,,69.0,58 (60%),11 (41%),16 (76%),,55.0,39 (40%),16 (59%),8 (31%),,2.0,0.0,,2.0,1.0,1,0.0,0.5,51.5,0.525,7.5,1.5,0.0,48.5,0.7,10.0,1.5,1.5,10.0,18.0,0.5,0.0,0.0,0.05,0.333
10233,2025-09-20T13:00:00.000Z,9857,Bologna,1,2,False,41.0,0.53,7.0,4.0,2.0,1.0,196 (68%),15.0,2.0,59.0,1.59,14.0,6.0,2.0,1.0,320 (79%),12.0,8.0,,2.0,1.0,0.0,5.0,2.0,,5.0,3.0,1.0,12.0,2.0,0.33,0.20,0.53,0.96,0.51,0.29,0.80,2.57,290.0,122.0,74.0,33 (40%),2 (22%),28.0,11.0,1.0,406.0,156.0,164.0,36 (48%),5 (26%),26.0,25.0,4.0,,20.0,8.0,3.0,25.0,4.0,,13.0,9.0,1.0,22.0,3.0,,54.0,33 (49%),21 (47%),2 (22%),,58.0,34 (51%),24 (53%),7 (41%),,5.0,0.0,,1.0,0.0,0,0.333,0.667,50.0,1.13,9.0,3.0,1.667,50.0,1.077,11.0,2.333,1.667,14.333,17.333,0.667,0.037,0.111,0.061,0.286
10233,2025-09-29T18:45:00.000Z,8543,Lazio,0,3,True,65.0,1.63,17.0,5.0,3.0,3.0,431 (86%),18.0,6.0,35.0,1.07,9.0,6.0,6.0,3.0,194 (69%),16.0,0.0,,8.0,4.0,0.0,10.0,7.0,,3.0,0.0,1.0,8.0,1.0,1.14,0.50,1.63,1.30,1.05,0.02,1.07,1.25,503.0,266.0,165.0,22 (48%),7 (25%),27.0,24.0,1.0,280.0,121.0,73.0,17 (33%),2 (50%),13.0,16.0,2.0,,12.0,5.0,1.0,10.0,2.0,,16.0,5.0,4.0,36.0,5.0,,55.0,34 (51%),21 (45%),9 (64%),,59.0,33 (49%),26 (55%),1 (14%),,5.0,0.0,,1.0,0.0,0,0.5,1.0,47.75,0.98,8.5,3.25,1.75,52.25,1.205,11.75,3.25,1.75,13.5,19.25,0.5,0.059,0.154,0.085,0.308
10233,2025-10-05T16:00:00.000Z,9875,Napoli,1,2,False,31.0,0.44,6.0,1.0,1.0,0.0,168 (69%),15.0,5.0,69.0,1.31,12.0,5.0,4.0,2.0,462 (83%),16.0,7.0,,3.0,2.0,0.0,1.0,5.0,,4.0,3.0,1.0,10.0,2.0,0.44,0.01,0.44,0.46,1.23,0.08,1.31,2.01,245.0,98.0,70.0,14 (28%),3 (25%),17.0,8.0,2.0,554.0,279.0,183.0,26 (46%),8 (38%),26.0,28.0,2.0,,15.0,10.0,3.0,34.0,3.0,,13.0,4.0,2.0,22.0,0.0,,46.0,35 (53%),11 (37%),5 (42%),,50.0,31 (47%),19 (63%),6 (50%),,3.0,0.0,,1.0,0.0,0,0.4,1.4,51.2,1.11,10.2,3.6,2.0,48.8,1.178,11.2,3.8,2.6,15.6,18.6,0.4,0.039,0.111,0.125,0.368
10233,2025-10-19T13:00:00.000Z,10167,Parma,0,0,True,68.0,2.20,23.0,7.0,3.0,3.0,477 (88%),15.0,3.0,32.0,0.05,1.0,0.0,0.0,0.0,172 (67%),13.0,0.0,,9.0,7.0,0.0,10.0,13.0,,1.0,0.0,0.0,0.0,1.0,0.92,0.49,1.41,1.96,0.05,0.00,0.05,0.00,543.0,174.0,303.0,18 (50%),7 (26%),20.0,32.0,2.0,257.0,111.0,61.0,17 (30%),1 (25%),22.0,6.0,1.0,,11.0,5.0,0.0,23.0,0.0,,15.0,7.0,7.0,30.0,7.0,,41.0,32 (50%),9 (43%),9 (47%),,44.0,32 (50%),12 (57%),3 (43%),,2.0,0.0,,3.0,1.0,1,0.6,1.8,45.6,1.098,10.4,3.4,2.2,54.4,1.366,12.2,4.8,3.2,16.0,21.0,0.2,0.058,0.176,0.148,0.375
10233,2025-10-26T11:30:00.000Z,9804,Torino,1,2,False,41.0,1.90,11.0,3.0,4.0,3.0,269 (78%),9.0,1.0,59.0,1.35,13.0,6.0,3.0,2.0,392 (81%),14.0,9.0,,5.0,3.0,0.0,8.0,3.0,,3.0,4.0,0.0,9.0,4.0,1.75,0.15,1.90,0.81,0.82,0.52,1.35,1.94,344.0,125.0,144.0,21 (39%),4 (27%),22.0,18.0,0.0,484.0,175.0,217.0,25 (45%),8 (24%),31.0,28.0,1.0,,14.0,4.0,4.0,47.0,5.0,,16.0,3.0,3.0,21.0,2.0,,48.0,34 (51%),14 (39%),7 (64%),,55.0,33 (49%),22 (61%),8 (53%),,2.0,0.0,,2.0,0.0,0,0.6,1.6,50.4,1.428,13.0,4.6,2.8,49.6,1.17,9.8,4.2,2.8,19.6,18.2,0.4,0.046,0.13,0.163,0.381
10233,2025-10-29T19:45:00.000Z,7801,Cremonese,0,2,True,54.0,1.31,16.0,1.0,1.0,1.0,265 (72%),16.0,7.0,46.0,1.39,11.0,4.0,2.0,1.0,206 (65%),13.0,3.0,,8.0,7.0,0.0,10.0,6.0,,7.0,0.0,0.0,7.0,4.0,0.43,0.88,1.31,0.08,0.63,0.76,1.39,1.14,366.0,139.0,126.0,25 (46%),5 (24%),27.0,20.0,3.0,318.0,104.0,102.0,22 (28%),2 (20%),27.0,12.0,0.0,,18.0,16.0,0.0,21.0,2.0,,22.0,10.0,5.0,34.0,1.0,,61.0,34 (46%),27 (53%),4 (36%),,64.0,40 (54%),24 (47%),4 (31%),,3.0,0.0,,1.0,0.0,0,0.6,1.8,49.2,1.34,12.8,4.0,2.6,50.8,1.074,9.8,4.6,3.0,18.6,20.6,0.2,0.047,0.15,0.184,0.391
10233,2025-11-03T17:30:00.000Z,7943,Sassuolo,2,1,False,39.0,1.76,16.0,5.0,3.0,2.0,247 (76%),13.0,7.0,61.0,1.15,13.0,4.0,2.0,1.0,438 (84%),13.0,3.0,,9.0,2.0,0.0,11.0,5.0,,7.0,2.0,0.0,8.0,5.0,1.11,0.65,1.76,1.90,0.57,0.58,1.15,1.04,324.0,145.0,102.0,28 (42%),10 (48%),13.0,15.0,2.0,520.0,236.0,202.0,19 (41%),5 (33%),21.0,17.0,3.0,,18.0,12.0,2.0,15.0,3.0,,14.0,3.0,3.0,18.0,2.0,,52.0,34 (53%),18 (56%),5 (31%),,44.0,30 (47%),14 (44%),4 (31%),,3.0,0.0,,1.0,0.0,3,0.4,1.8,51.8,1.496,14.6,3.4,2.4,48.2,1.034,9.2,4.2,3.0,20.4,18.0,0.2,0.027,0.118,0.196,0.429
