team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9875,2025-08-23T16:30:00.000Z,7943,Sassuolo,2,0,False,62.0,1.19,13.0,4.0,2.0,1.0,545 (90%),17.0,2.0,38.0,0.38,7.0,2.0,0.0,0.0,311 (85%),17.0,1.0,,4.0,5.0,2.0,7.0,6.0,,4.0,1.0,0.0,3.0,4.0,0.92,0.27,1.19,1.24,0.38,0.00,0.38,0.04,606.0,333.0,212.0,17 (53%),2 (20%),18.0,12.0,0.0,368.0,162.0,149.0,12 (31%),0 (0%),10.0,9.0,0.0,,14.0,5.0,1.0,10.0,2.0,,16.0,12.0,4.0,14.0,2.0,,54.0,37 (49%),17 (74%),8 (47%),,45.0,39 (51%),6 (26%),8 (53%),,1.0,0.0,,1.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9875,2025-08-30T18:45:00.000Z,8529,Cagliari,1,0,True,67.0,1.58,20.0,6.0,2.0,2.0,554 (90%),16.0,13.0,33.0,0.53,10.0,1.0,1.0,1.0,252 (81%),12.0,0.0,,8.0,6.0,1.0,15.0,5.0,,8.0,1.0,0.0,3.0,7.0,0.88,0.70,1.58,0.85,0.49,0.04,0.53,0.01,615.0,210.0,344.0,16 (80%),7 (17%),23.0,37.0,3.0,310.0,157.0,95.0,16 (36%),3 (50%),5.0,9.0,1.0,,4.0,7.0,1.0,6.0,1.0,,16.0,4.0,6.0,42.0,5.0,,32.0,22 (40%),10 (40%),6 (67%),,48.0,33 (60%),15 (60%),2 (67%),,2.0,0.0,,1.0,0.0,3,2.0,0.0,62.0,1.19,13.0,4.0,2.0,38.0,0.38,7.0,2.0,0.0,12.0,9.0,3.0,0.154,0.5,0.0,0.0
9875,2025-09-13T18:45:00.000Z,8535,Fiorentina,3,1,False,47.0,3.29,14.0,9.0,6.0,3.0,346 (83%),14.0,5.0,53.0,1.65,19.0,3.0,2.0,2.0,373 (82%),14.0,8.0,,2.0,3.0,1.0,11.0,3.0,,8.0,8.0,0.0,14.0,5.0,1.00,1.51,2.50,3.53,1.33,0.32,1.65,0.43,419.0,182.0,164.0,16 (34%),1 (8%),11.0,27.0,0.0,456.0,210.0,163.0,18 (38%),7 (30%),14.0,32.0,0.0,,14.0,6.0,7.0,32.0,2.0,,13.0,6.0,4.0,15.0,5.0,,53.0,34 (49%),19 (53%),8 (57%),,52.0,35 (51%),17 (47%),9 (60%),,0.0,0.0,,0.0,0.0,3,1.5,0.0,64.5,1.385,16.5,5.0,2.0,35.5,0.455,8.5,1.5,0.5,24.5,9.0,3.0,0.091,0.3,0.0,0.0
9875,2025-09-22T18:45:00.000Z,6479,Pisa,3,2,True,64.0,1.08,18.0,6.0,0.0,0.0,533 (90%),10.0,5.0,36.0,2.61,15.0,6.0,4.0,2.0,267 (81%),18.0,3.0,,4.0,8.0,0.0,12.0,6.0,,3.0,6.0,0.0,11.0,4.0,0.57,0.52,1.08,2.16,1.52,0.30,1.82,3.18,594.0,254.0,279.0,15 (52%),2 (13%),17.0,29.0,1.0,331.0,154.0,113.0,20 (45%),3 (20%),11.0,17.0,0.0,,16.0,8.0,4.0,14.0,4.0,,19.0,8.0,8.0,20.0,3.0,,46.0,39 (55%),7 (41%),6 (46%),,42.0,32 (45%),10 (59%),6 (40%),,1.0,0.0,,2.0,0.0,3,2.0,0.333,58.667,2.02,15.667,6.333,3.333,41.333,0.853,12.0,2.0,1.0,25.333,16.667,3.0,0.128,0.316,0.028,0.167
9875,2025-09-28T18:45:00.000Z,8564,Milan,1,2,False,64.0,2.96,19.0,7.0,2.0,1.0,551 (91%),7.0,7.0,36.0,0.75,6.0,3.0,1.0,0.0,298 (83%),7.0,1.0,,6.0,6.0,1.0,12.0,7.0,,2.0,1.0,0.0,5.0,1.0,2.09,0.08,2.17,2.89,0.50,0.25,0.75,0.68,604.0,181.0,370.0,17 (77%),8 (25%),13.0,21.0,0.0,359.0,192.0,106.0,20 (39%),0 (0%),9.0,12.0,1.0,,12.0,3.0,1.0,7.0,1.0,,11.0,10.0,6.0,24.0,6.0,,34.0,23 (55%),11 (52%),4 (44%),,29.0,19 (45%),10 (48%),3 (25%),,0.0,0.0,,1.0,1.0,0,2.25,0.75,60.0,1.785,16.25,6.25,2.5,40.0,1.292,12.75,3.0,1.75,26.25,16.75,3.0,0.138,0.36,0.059,0.25
9875,2025-10-05T16:00:00.000Z,10233,Genoa,2,1,True,69.0,1.31,12.0,5.0,4.0,2.0,462 (83%),16.0,7.0,31.0,0.44,6.0,1.0,1.0,0.0,168 (69%),15.0,5.0,,4.0,3.0,1.0,10.0,2.0,,3.0,2.0,0.0,1.0,5.0,1.23,0.08,1.31,2.01,0.44,0.01,0.44,0.46,554.0,279.0,183.0,26 (46%),8 (38%),26.0,28.0,2.0,245.0,98.0,70.0,14 (28%),3 (25%),17.0,8.0,2.0,,13.0,4.0,2.0,22.0,0.0,,15.0,10.0,3.0,34.0,3.0,,50.0,31 (47%),19 (63%),6 (50%),,46.0,35 (53%),11 (37%),5 (42%),,1.0,0.0,,3.0,0.0,3,2.0,1.0,60.8,2.02,16.8,6.4,2.4,39.2,1.184,11.4,3.0,1.6,25.2,15.8,2.4,0.119,0.312,0.088,0.333
9875,2025-10-18T16:00:00.000Z,9804,Torino,0,1,False,69.0,2.06,22.0,5.0,1.0,1.0,545 (89%),9.0,11.0,31.0,2.00,12.0,2.0,3.0,2.0,214 (76%),9.0,3.0,,13.0,4.0,2.0,14.0,8.0,,8.0,2.0,1.0,8.0,4.0,1.77,0.29,2.06,0.56,1.66,0.33,2.00,1.31,615.0,234.0,311.0,25 (63%),9 (26%),14.0,45.0,2.0,281.0,110.0,104.0,26 (40%),2 (15%),17.0,17.0,2.0,,9.0,7.0,2.0,21.0,1.0,,13.0,11.0,4.0,48.0,5.0,,47.0,25 (46%),22 (61%),7 (47%),,43.0,29 (54%),14 (39%),7 (64%),,2.0,0.0,,1.0,0.0,0,2.0,1.2,62.2,2.044,16.6,6.6,2.8,37.8,1.196,11.2,2.8,1.8,28.4,15.6,2.4,0.12,0.303,0.107,0.429
9875,2025-10-25T16:00:00.000Z,8636,Inter,3,1,True,43.0,1.25,7.0,3.0,1.0,0.0,336 (80%),15.0,1.0,57.0,1.89,15.0,3.0,2.0,1.0,461 (86%),10.0,4.0,,1.0,3.0,0.0,4.0,3.0,,9.0,3.0,2.0,9.0,6.0,0.45,0.01,0.47,1.63,0.95,0.15,1.10,1.63,419.0,169.0,167.0,23 (45%),1 (17%),15.0,15.0,1.0,536.0,232.0,229.0,22 (45%),11 (50%),21.0,25.0,1.0,,12.0,12.0,2.0,23.0,2.0,,9.0,9.0,3.0,16.0,0.0,,38.0,24 (50%),14 (50%),3 (30%),,38.0,24 (50%),14 (50%),1 (20%),,2.0,0.0,,1.0,0.0,3,1.8,1.4,62.6,2.14,17.0,6.4,2.6,37.4,1.49,11.6,3.0,2.2,30.0,17.2,1.8,0.106,0.281,0.121,0.467
9875,2025-10-28T17:30:00.000Z,9888,Lecce,1,0,False,59.0,0.83,14.0,3.0,1.0,1.0,452 (87%),14.0,5.0,41.0,1.16,7.0,2.0,1.0,1.0,291 (80%),10.0,3.0,,5.0,6.0,0.0,9.0,5.0,,3.0,2.0,0.0,5.0,2.0,0.52,0.31,0.83,1.09,0.12,0.26,0.37,0.95,522.0,256.0,196.0,18 (46%),4 (29%),28.0,26.0,0.0,363.0,128.0,163.0,19 (35%),4 (31%),20.0,13.0,1.0,,23.0,11.0,1.0,14.0,2.0,,29.0,9.0,5.0,27.0,2.0,,52.0,40 (50%),12 (50%),10 (53%),,52.0,40 (50%),12 (50%),2 (20%),,1.0,0.0,,2.0,0.0,3,1.8,1.4,61.8,1.732,15.6,5.2,1.6,38.2,1.538,10.8,3.0,2.2,27.6,15.8,1.8,0.115,0.346,0.13,0.467
9875,2025-11-01T17:00:00.000Z,10171,Como,0,0,True,45.0,0.78,13.0,8.0,2.0,2.0,320 (82%),15.0,4.0,55.0,1.07,13.0,2.0,1.0,1.0,414 (86%),16.0,2.0,,4.0,1.0,0.0,6.0,7.0,,5.0,6.0,0.0,4.0,9.0,0.64,0.15,0.78,1.06,0.21,0.07,0.28,0.77,392.0,181.0,139.0,15 (34%),4 (33%),21.0,19.0,0.0,484.0,199.0,215.0,17 (43%),3 (30%),7.0,18.0,0.0,,24.0,6.0,6.0,15.0,2.0,,25.0,9.0,1.0,18.0,8.0,,64.0,51 (54%),13 (39%),11 (46%),,64.0,44 (46%),20 (61%),5 (31%),,3.0,0.0,,2.0,0.0,1,1.4,1.0,60.8,1.682,14.8,4.6,1.8,39.2,1.248,9.2,2.2,1.6,27.0,15.0,1.8,0.095,0.304,0.109,0.455
