team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
6479,2025-08-24T18:45:00.000Z,8524,Atalanta,1,1,False,34.0,0.63,11.0,2.0,1.0,1.0,218 (75%),10.0,4.0,66.0,1.91,21.0,6.0,3.0,3.0,477 (86%),9.0,10.0,,6.0,3.0,0.0,7.0,4.0,,12.0,3.0,1.0,14.0,7.0,0.42,0.22,0.63,0.67,1.62,0.29,1.91,2.04,289.0,124.0,94.0,37 (53%),6 (40%),13.0,13.0,2.0,552.0,204.0,273.0,33 (62%),10 (31%),22.0,44.0,0.0,,17.0,8.0,3.0,32.0,5.0,,12.0,5.0,3.0,23.0,2.0,,62.0,28 (41%),34 (67%),4 (50%),,57.0,40 (59%),17 (33%),18 (69%),,0.0,0.0,,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6479,2025-08-30T18:45:00.000Z,8686,Roma,0,1,True,31.0,0.56,7.0,3.0,2.0,2.0,176 (66%),14.0,1.0,69.0,0.78,10.0,5.0,1.0,1.0,485 (83%),10.0,7.0,,4.0,0.0,0.0,2.0,5.0,,2.0,3.0,0.0,6.0,4.0,0.56,0.00,0.56,0.40,0.65,0.14,0.78,0.81,266.0,98.0,78.0,18 (33%),2 (18%),19.0,8.0,2.0,581.0,186.0,299.0,30 (48%),5 (19%),26.0,35.0,1.0,,22.0,11.0,3.0,37.0,4.0,,16.0,7.0,0.0,23.0,3.0,,53.0,36 (45%),17 (44%),5 (36%),,66.0,44 (55%),22 (56%),15 (63%),,2.0,0.0,,1.0,0.0,0,1.0,1.0,34.0,0.63,11.0,2.0,1.0,66.0,1.91,21.0,6.0,3.0,13.0,44.0,1.0,0.091,0.5,0.048,0.167
6479,2025-09-14T13:00:00.000Z,8600,Udinese,0,1,True,51.0,0.53,12.0,2.0,2.0,2.0,318 (83%),13.0,8.0,49.0,1.00,13.0,3.0,4.0,3.0,301 (80%),15.0,6.0,,6.0,4.0,0.0,9.0,3.0,,4.0,6.0,0.0,7.0,6.0,0.38,0.15,0.53,0.06,0.62,0.38,1.00,0.87,382.0,171.0,147.0,21 (51%),5 (17%),16.0,22.0,1.0,375.0,158.0,143.0,21 (38%),1 (6%),20.0,23.0,1.0,,14.0,4.0,6.0,23.0,2.0,,13.0,5.0,4.0,34.0,2.0,,57.0,37 (56%),20 (59%),8 (50%),,43.0,29 (44%),14 (41%),5 (42%),,1.0,0.0,,2.0,0.0,0,0.5,1.0,32.5,0.595,9.0,2.5,1.5,67.5,1.345,15.5,5.5,2.0,10.5,39.5,0.5,0.056,0.2,0.065,0.182
6479,2025-09-22T18:45:00.000Z,9875,Napoli,2,3,False,36.0,2.61,15.0,6.0,4.0,2.0,267 (81%),18.0,3.0,64.0,1.08,18.0,6.0,0.0,0.0,533 (90%),10.0,5.0,,3.0,6.0,0.0,11.0,4.0,,4.0,8.0,0.0,12.0,6.0,1.52,0.30,1.82,3.18,0.57,0.52,1.08,2.16,331.0,154.0,113.0,20 (45%),3 (20%),11.0,17.0,0.0,594.0,254.0,279.0,15 (52%),2 (13%),17.0,29.0,1.0,,19.0,8.0,8.0,20.0,3.0,,16.0,8.0,4.0,14.0,4.0,,42.0,32 (45%),10 (59%),6 (40%),,46.0,39 (55%),7 (41%),6 (46%),,2.0,0.0,,1.0,0.0,0,0.333,1.0,38.667,0.573,10.0,2.333,1.667,61.333,1.23,14.667,4.667,2.667,14.333,34.0,0.333,0.033,0.143,0.068,0.214
6479,2025-09-28T13:00:00.000Z,8535,Fiorentina,0,0,True,38.0,0.80,11.0,1.0,0.0,0.0,162 (70%),15.0,4.0,62.0,0.89,14.0,2.0,0.0,0.0,315 (82%),15.0,6.0,,7.0,3.0,2.0,9.0,2.0,,7.0,5.0,0.0,8.0,6.0,0.28,0.52,0.80,0.04,0.65,0.25,0.89,0.29,230.0,91.0,71.0,16 (35%),4 (24%),16.0,19.0,1.0,385.0,193.0,122.0,25 (54%),3 (23%),19.0,27.0,5.0,,29.0,7.0,5.0,29.0,2.0,,26.0,5.0,3.0,20.0,1.0,,66.0,50 (53%),16 (48%),6 (33%),,62.0,45 (47%),17 (52%),6 (43%),,0.0,0.0,,1.0,0.0,1,0.75,1.5,38.0,1.083,11.25,3.25,2.25,62.0,1.192,15.5,5.0,2.0,15.0,32.75,0.25,0.067,0.231,0.097,0.3
6479,2025-10-05T13:00:00.000Z,9857,Bologna,0,4,False,29.0,0.04,2.0,0.0,0.0,0.0,147 (70%),12.0,2.0,71.0,3.62,24.0,7.0,6.0,4.0,485 (89%),16.0,2.0,,2.0,0.0,0.0,2.0,0.0,,12.0,5.0,1.0,15.0,9.0,0.00,0.04,0.04,0.00,2.02,1.60,3.62,2.70,211.0,89.0,58.0,20 (38%),4 (29%),17.0,5.0,2.0,547.0,196.0,289.0,37 (67%),4 (24%),23.0,35.0,1.0,,19.0,10.0,5.0,13.0,3.0,,17.0,4.0,0.0,15.0,0.0,,51.0,41 (53%),10 (50%),6 (38%),,46.0,36 (47%),10 (50%),7 (44%),,1.0,1.0,,0.0,0.0,0,0.6,1.2,38.0,1.026,11.2,2.8,1.8,62.0,1.132,15.2,4.4,1.6,15.8,31.6,0.4,0.054,0.214,0.079,0.273
6479,2025-10-18T13:00:00.000Z,9876,Hellas Verona,0,0,True,60.0,0.65,7.0,0.0,0.0,0.0,377 (82%),8.0,3.0,40.0,1.54,15.0,3.0,2.0,2.0,197 (68%),14.0,8.0,,5.0,2.0,0.0,5.0,2.0,,8.0,4.0,0.0,12.0,3.0,0.31,0.34,0.65,0.00,1.36,0.18,1.54,0.31,459.0,222.0,155.0,41 (56%),3 (23%),22.0,17.0,0.0,290.0,86.0,111.0,22 (37%),7 (26%),41.0,27.0,2.0,,11.0,5.0,4.0,56.0,3.0,,22.0,4.0,2.0,24.0,0.0,,58.0,27 (44%),31 (60%),3 (23%),,55.0,34 (56%),21 (40%),6 (60%),,4.0,0.0,,2.0,0.0,1,0.4,1.8,37.0,0.908,9.4,2.4,1.6,63.0,1.474,15.8,4.6,2.2,14.2,29.8,0.2,0.043,0.167,0.114,0.391
6479,2025-10-24T18:45:00.000Z,8564,Milan,2,2,False,32.0,1.42,8.0,2.0,2.0,0.0,231 (79%),21.0,2.0,68.0,1.54,20.0,7.0,3.0,3.0,556 (90%),8.0,6.0,,3.0,3.0,0.0,3.0,5.0,,8.0,5.0,1.0,9.0,11.0,0.61,0.03,0.64,1.02,1.35,0.19,1.54,1.34,291.0,115.0,116.0,18 (38%),2 (18%),10.0,12.0,1.0,620.0,221.0,335.0,28 (68%),5 (24%),20.0,41.0,2.0,,20.0,11.0,5.0,31.0,5.0,,14.0,5.0,2.0,10.0,0.0,,40.0,32 (41%),8 (35%),6 (43%),,62.0,47 (59%),15 (65%),14 (58%),,3.0,0.0,,1.0,0.0,1,0.4,1.6,42.8,0.926,9.4,1.8,1.2,57.2,1.626,16.8,4.2,2.4,16.0,28.2,0.4,0.043,0.222,0.095,0.381
6479,2025-10-30T19:45:00.000Z,8543,Lazio,0,0,True,39.0,0.93,10.0,2.0,2.0,2.0,291 (79%),16.0,3.0,61.0,0.48,11.0,6.0,1.0,1.0,509 (88%),12.0,1.0,,5.0,3.0,0.0,7.0,3.0,,5.0,0.0,1.0,5.0,6.0,0.71,0.22,0.93,0.25,0.41,0.07,0.48,0.28,367.0,203.0,88.0,22 (37%),6 (40%),22.0,14.0,1.0,579.0,302.0,207.0,25 (48%),1 (14%),22.0,12.0,0.0,,17.0,9.0,0.0,14.0,6.0,,9.0,6.0,3.0,14.0,2.0,,49.0,31 (53%),18 (72%),2 (29%),,35.0,28 (47%),7 (28%),4 (33%),,2.0,0.0,,2.0,0.0,1,0.8,1.8,39.0,1.104,8.6,1.8,1.2,61.0,1.734,18.2,5.0,2.2,14.0,31.8,0.6,0.093,0.444,0.099,0.36
6479,2025-11-02T14:00:00.000Z,9804,Torino,2,2,False,36.0,1.53,11.0,3.0,3.0,1.0,215 (72%),8.0,2.0,64.0,0.91,15.0,3.0,2.0,1.0,447 (83%),14.0,4.0,,6.0,2.0,1.0,8.0,3.0,,6.0,6.0,1.0,11.0,4.0,0.72,0.02,0.74,1.93,0.72,0.19,0.91,1.42,300.0,119.0,96.0,23 (37%),4 (40%),17.0,19.0,1.0,541.0,216.0,231.0,27 (50%),4 (21%),19.0,33.0,1.0,,12.0,8.0,6.0,39.0,1.0,,8.0,5.0,2.0,16.0,1.0,,56.0,32 (57%),24 (53%),8 (67%),,45.0,24 (43%),21 (47%),10 (91%),,1.0,0.0,,2.0,0.0,1,0.4,1.2,39.6,0.768,7.6,1.0,0.8,60.4,1.614,16.8,5.0,2.4,13.4,28.4,0.8,0.053,0.4,0.071,0.24
