wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
14.0,6.0,18.0,48.0,34.0,50.0,51.08,38.16,1874.0,508.0,158.0,364.0,148.0,-16.0,8315
23.222,8.444,6.333,78.111,69.667,33.778,62.383,44.376,2033.0,494.0,215.333,394.778,103.444,35.889,9906
32.0,2.0,4.0,98.0,106.0,40.0,87.44,50.44,2600.0,746.0,284.0,362.0,140.0,66.0,8634
12.667,16.889,8.444,54.889,50.667,42.222,48.577,53.073,1891.556,394.778,143.556,483.444,171.0,8.445,9910
11.176,6.706,20.118,40.235,31.294,44.706,41.018,42.381,1884.353,409.059,125.176,438.118,138.588,-13.412,9866
10.556,14.778,12.667,46.444,50.667,48.556,44.544,54.277,2248.333,441.222,147.778,496.111,173.111,2.111,10268
21.111,6.333,10.556,69.667,46.444,40.111,55.923,44.017,1530.556,481.333,175.222,504.556,164.667,6.333,8558
12.667,6.333,19.0,44.333,29.556,48.556,27.17,40.28,1585.444,371.556,101.333,407.444,171.0,-19.0,8305
6.706,13.412,17.882,33.529,33.529,73.765,41.129,67.126,1799.412,364.353,136.353,634.824,214.588,-40.236,7732
5.067,7.6,25.333,22.8,40.533,70.933,50.641,66.5,1575.733,392.667,131.733,651.067,210.267,-30.4,8581
8.941,13.412,15.647,40.235,42.471,53.647,38.536,61.515,1658.588,395.647,154.235,538.706,163.176,-11.176,8661
10.556,8.444,19.0,40.111,38.0,44.333,42.37,51.807,1707.889,399.0,137.222,502.444,190.0,-6.333,8371
8.444,14.778,14.778,40.111,29.556,44.333,51.321,49.484,2083.667,515.111,171.0,460.222,156.222,-14.777,8370
15.647,15.647,6.706,62.588,64.824,42.471,59.548,44.304,1888.824,570.0,190.0,467.176,152.0,22.353,8603
27.444,6.333,4.222,88.667,76.0,33.778,89.363,43.257,2233.556,736.778,270.222,382.111,126.667,42.222,8633
4.471,11.176,22.353,24.588,15.647,58.118,31.629,65.584,1723.412,335.294,102.824,587.882,243.647,-42.471,8670
8.941,11.176,17.882,38.0,46.941,55.882,50.428,50.473,1980.471,518.588,181.059,471.647,138.588,-8.941,8560
13.412,4.471,20.118,44.706,53.647,58.118,39.9,63.371,2047.529,418.0,134.118,422.471,176.588,-4.471,8302
6.333,14.778,16.889,33.778,35.889,63.333,42.982,52.757,1883.111,434.889,111.889,466.556,177.333,-27.444,10267
27.867,5.067,5.067,88.667,78.533,32.933,64.22,41.876,1775.867,504.133,192.533,463.6,124.133,45.6,10205
