team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9906,2025-08-17T19:30:00.000Z,8558,Espanyol,1,2,False,60.0,1.10,15.0,4.0,1.0,1.0,551 (89%),11.0,3.0,40.0,1.26,9.0,5.0,2.0,1.0,323 (82%),14.0,1.0,,7.0,4.0,1.0,9.0,6.0,,4.0,0.0,0.0,6.0,3.0,0.97,0.13,1.10,1.26,0.25,1.01,1.26,1.45,618.0,298.0,253.0,36 (63%),4 (27%),10.0,25.0,1.0,394.0,187.0,136.0,22 (47%),8 (33%),13.0,16.0,0.0,,11.0,5.0,0.0,22.0,3.0,,10.0,5.0,4.0,21.0,3.0,,48.0,34 (57%),14 (40%),10 (63%),,47.0,26 (43%),21 (60%),7 (58%),,3.0,0.0,,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9906,2025-08-23T17:30:00.000Z,10268,Elche,1,1,True,58.0,1.74,13.0,6.0,3.0,2.0,465 (85%),14.0,10.0,42.0,0.57,6.0,2.0,1.0,0.0,335 (81%),7.0,2.0,,4.0,3.0,0.0,7.0,6.0,,3.0,1.0,0.0,5.0,1.0,1.74,0.00,1.74,0.93,0.38,0.19,0.57,0.41,545.0,199.0,266.0,26 (49%),9 (24%),20.0,38.0,3.0,413.0,194.0,141.0,21 (35%),1 (25%),14.0,11.0,0.0,,20.0,9.0,1.0,11.0,1.0,,19.0,12.0,3.0,28.0,5.0,,46.0,33 (46%),13 (50%),6 (32%),,52.0,39 (54%),13 (50%),8 (40%),,0.0,0.0,,3.0,0.0,1,1.0,2.0,60.0,1.1,15.0,4.0,1.0,40.0,1.26,9.0,5.0,2.0,25.0,16.0,0.0,0.067,0.25,0.222,0.4
9906,2025-08-30T15:00:00.000Z,9866,Deportivo Alaves,1,1,False,60.0,1.06,15.0,6.0,1.0,1.0,464 (84%),17.0,6.0,40.0,0.91,5.0,2.0,1.0,0.0,299 (79%),10.0,1.0,,6.0,3.0,1.0,11.0,4.0,,2.0,1.0,0.0,3.0,2.0,0.67,0.40,1.06,2.33,0.12,0.00,0.12,0.76,550.0,201.0,263.0,28 (58%),7 (27%),18.0,35.0,1.0,377.0,126.0,173.0,20 (34%),4 (57%),13.0,12.0,0.0,,19.0,7.0,1.0,9.0,1.0,,14.0,5.0,3.0,35.0,5.0,,60.0,38 (51%),22 (51%),10 (56%),,57.0,36 (49%),21 (49%),6 (38%),,3.0,0.0,,2.0,0.0,1,1.0,1.5,59.0,1.42,14.0,5.0,2.0,41.0,0.915,7.5,3.5,1.5,31.5,13.5,0.5,0.071,0.2,0.2,0.429
9906,2025-09-13T19:00:00.000Z,10205,Villarreal,2,0,True,61.0,1.01,8.0,3.0,3.0,1.0,559 (90%),12.0,8.0,39.0,1.03,8.0,1.0,1.0,1.0,340 (86%),15.0,3.0,,3.0,2.0,0.0,5.0,3.0,,4.0,3.0,1.0,5.0,3.0,0.91,0.09,1.01,1.42,0.70,0.33,1.03,0.12,623.0,283.0,276.0,34 (67%),4 (24%),13.0,16.0,1.0,395.0,138.0,202.0,22 (56%),4 (22%),15.0,16.0,0.0,,11.0,5.0,3.0,17.0,1.0,,12.0,9.0,1.0,15.0,1.0,,41.0,30 (49%),11 (50%),5 (36%),,42.0,31 (51%),11 (50%),7 (50%),,2.0,0.0,,4.0,0.0,3,1.0,1.333,59.333,1.3,14.333,5.333,1.667,40.667,0.913,6.667,3.0,1.333,32.667,13.0,0.667,0.07,0.188,0.2,0.444
9906,2025-09-21T14:15:00.000Z,8661,Mallorca,1,1,False,58.0,2.26,12.0,7.0,4.0,3.0,485 (88%),6.0,6.0,42.0,0.60,8.0,3.0,1.0,0.0,328 (83%),14.0,3.0,,4.0,1.0,1.0,9.0,3.0,,3.0,2.0,0.0,3.0,5.0,1.40,0.07,1.47,3.17,0.59,0.01,0.60,1.01,550.0,167.0,318.0,22 (46%),4 (18%),24.0,31.0,1.0,396.0,145.0,183.0,25 (53%),5 (23%),14.0,15.0,0.0,,10.0,8.0,1.0,19.0,2.0,,13.0,11.0,0.0,29.0,6.0,,40.0,28 (53%),12 (36%),7 (47%),,46.0,25 (47%),21 (64%),8 (67%),,0.0,1.0,,0.0,0.0,1,1.25,1.0,59.75,1.228,12.75,4.75,2.0,40.25,0.943,7.0,2.5,1.25,28.5,13.75,1.25,0.098,0.263,0.143,0.4
9906,2025-09-24T19:30:00.000Z,8370,Rayo Vallecano,3,2,True,61.0,3.61,20.0,8.0,7.0,5.0,506 (87%),6.0,8.0,39.0,1.60,9.0,3.0,3.0,2.0,299 (81%),12.0,6.0,,8.0,4.0,1.0,17.0,3.0,,6.0,0.0,0.0,5.0,4.0,3.42,0.19,3.61,3.04,1.52,0.08,1.60,1.39,579.0,233.0,273.0,19 (45%),12 (50%),22.0,46.0,3.0,370.0,182.0,117.0,27 (48%),1 (6%),21.0,15.0,2.0,,12.0,12.0,0.0,15.0,1.0,,21.0,7.0,4.0,20.0,5.0,,44.0,34 (49%),10 (67%),10 (48%),,40.0,35 (51%),5 (33%),8 (57%),,3.0,0.0,,5.0,0.0,3,1.2,1.0,59.4,1.434,12.6,5.2,2.4,40.6,0.874,7.2,2.6,1.2,29.0,14.0,1.2,0.095,0.231,0.139,0.385
9906,2025-09-27T14:15:00.000Z,8633,Real Madrid,5,2,True,37.0,2.34,13.0,7.0,6.0,2.0,241 (79%),17.0,7.0,63.0,0.66,6.0,2.0,2.0,0.0,471 (88%),14.0,2.0,,4.0,2.0,1.0,8.0,5.0,,2.0,2.0,0.0,3.0,3.0,0.88,0.68,1.55,2.02,0.60,0.07,0.66,0.70,306.0,120.0,121.0,18 (38%),6 (26%),15.0,21.0,1.0,538.0,178.0,293.0,25 (52%),4 (22%),13.0,13.0,1.0,,14.0,7.0,2.0,23.0,0.0,,11.0,7.0,2.0,22.0,2.0,,42.0,32 (48%),10 (42%),5 (50%),,49.0,35 (52%),14 (58%),8 (44%),,5.0,0.0,,4.0,0.0,3,1.6,1.0,59.6,1.936,13.6,6.0,3.6,40.4,0.942,7.2,2.2,1.4,33.2,13.8,1.8,0.118,0.267,0.139,0.455
9906,2025-10-05T19:00:00.000Z,9910,Celta Vigo,1,1,False,41.0,0.30,6.0,1.0,1.0,1.0,436 (87%),10.0,3.0,59.0,1.92,18.0,4.0,3.0,2.0,659 (91%),7.0,6.0,,4.0,1.0,0.0,4.0,2.0,,11.0,3.0,0.0,9.0,9.0,0.17,0.13,0.30,0.16,1.84,0.08,1.92,1.56,501.0,225.0,211.0,29 (62%),1 (13%),11.0,17.0,0.0,726.0,204.0,455.0,18 (55%),6 (27%),24.0,29.0,2.0,,14.0,11.0,3.0,24.0,3.0,,18.0,7.0,1.0,15.0,1.0,,38.0,25 (46%),13 (72%),4 (36%),,34.0,29 (54%),5 (28%),5 (36%),,1.0,1.0,,1.0,0.0,1,2.4,1.2,55.4,2.056,13.6,6.2,4.2,44.6,0.96,7.2,2.2,1.6,29.8,14.2,2.2,0.176,0.387,0.167,0.545
9906,2025-10-18T19:00:00.000Z,8371,Osasuna,1,0,True,59.0,2.58,18.0,9.0,5.0,4.0,465 (88%),10.0,4.0,41.0,1.14,9.0,2.0,1.0,1.0,296 (81%),11.0,2.0,,9.0,0.0,0.0,11.0,7.0,,5.0,2.0,0.0,6.0,3.0,1.91,0.67,2.58,2.66,1.04,0.10,1.14,0.66,529.0,221.0,244.0,35 (71%),2 (11%),15.0,29.0,6.0,366.0,157.0,139.0,29 (56%),1 (7%),18.0,20.0,1.0,,16.0,10.0,2.0,22.0,2.0,,18.0,7.0,0.0,32.0,8.0,,50.0,30 (46%),20 (54%),5 (33%),,52.0,35 (54%),17 (46%),8 (47%),,1.0,0.0,,3.0,0.0,3,2.4,1.2,51.6,1.904,11.8,5.2,4.2,48.4,1.162,9.8,2.6,2.0,26.2,17.6,2.2,0.203,0.462,0.122,0.462
9906,2025-10-27T20:00:00.000Z,8603,Real Betis,2,0,False,43.0,0.60,9.0,4.0,1.0,1.0,341 (81%),18.0,5.0,57.0,1.07,17.0,5.0,2.0,2.0,474 (87%),9.0,2.0,,4.0,1.0,0.0,5.0,4.0,,7.0,5.0,1.0,7.0,10.0,0.51,0.09,0.60,1.51,1.03,0.05,1.07,1.28,421.0,228.0,113.0,19 (38%),1 (17%),17.0,23.0,4.0,545.0,173.0,301.0,23 (48%),4 (15%),22.0,22.0,4.0,,29.0,6.0,5.0,32.0,5.0,,20.0,3.0,1.0,23.0,2.0,,54.0,45 (47%),9 (43%),8 (53%),,63.0,51 (53%),12 (57%),14 (56%),,1.0,0.0,,2.0,0.0,3,2.2,1.2,51.2,2.218,13.8,6.4,4.6,48.8,1.184,10.0,2.8,2.0,28.8,18.4,2.2,0.159,0.344,0.12,0.429
9906,2025-11-01T15:15:00.000Z,8302,Sevilla,3,0,True,47.0,3.53,15.0,6.0,6.0,4.0,392 (85%),9.0,9.0,53.0,0.46,10.0,2.0,0.0,0.0,453 (85%),12.0,4.0,,6.0,3.0,1.0,12.0,3.0,,7.0,1.0,0.0,5.0,5.0,2.30,0.44,2.75,3.63,0.37,0.09,0.46,0.31,459.0,226.0,166.0,30 (58%),4 (16%),21.0,27.0,0.0,531.0,253.0,200.0,21 (50%),4 (50%),18.0,10.0,0.0,,15.0,10.0,1.0,10.0,2.0,,24.0,4.0,3.0,29.0,3.0,,54.0,34 (46%),20 (56%),7 (41%),,56.0,40 (54%),16 (44%),7 (54%),,0.0,0.0,,3.0,0.0,3,2.4,1.0,48.2,1.886,13.2,5.8,4.0,51.8,1.278,11.8,3.2,2.2,27.2,19.8,2.6,0.182,0.414,0.085,0.312
