team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9910,2025-08-17T15:00:00.000Z,8305,Getafe,0,2,True,69.0,0.73,11.0,3.0,1.0,1.0,501 (88%),15.0,9.0,31.0,1.43,10.0,3.0,2.0,0.0,187 (73%),17.0,3.0,,3.0,5.0,0.0,6.0,5.0,,3.0,4.0,0.0,6.0,4.0,0.66,0.07,0.73,0.44,1.28,0.15,1.43,1.72,571.0,214.0,287.0,26 (57%),5 (23%),22.0,28.0,2.0,257.0,82.0,105.0,26 (38%),0 (0%),14.0,19.0,0.0,,23.0,2.0,4.0,22.0,1.0,,21.0,10.0,5.0,24.0,4.0,,51.0,42 (47%),9 (56%),4 (27%),,54.0,47 (53%),7 (44%),11 (48%),,3.0,0.0,,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9910,2025-08-23T15:00:00.000Z,8661,Mallorca,1,1,False,50.0,0.74,8.0,2.0,2.0,1.0,385 (87%),12.0,4.0,50.0,0.68,12.0,4.0,1.0,1.0,372 (86%),12.0,3.0,,4.0,2.0,0.0,3.0,5.0,,7.0,1.0,0.0,8.0,4.0,0.73,0.01,0.74,0.35,0.48,0.20,0.68,1.04,445.0,245.0,140.0,23 (51%),1 (9%),16.0,9.0,1.0,433.0,189.0,183.0,27 (59%),7 (33%),16.0,19.0,1.0,,11.0,7.0,1.0,25.0,3.0,,9.0,3.0,2.0,8.0,1.0,,35.0,27 (53%),8 (53%),5 (45%),,31.0,24 (47%),7 (47%),5 (50%),,3.0,0.0,,3.0,0.0,1,0.0,2.0,69.0,0.73,11.0,3.0,1.0,31.0,1.43,10.0,3.0,2.0,28.0,19.0,0.0,0.0,0.0,0.2,0.667
9910,2025-08-27T19:00:00.000Z,8603,Real Betis,1,1,True,47.0,0.83,14.0,5.0,2.0,2.0,441 (89%),13.0,10.0,53.0,0.33,7.0,2.0,2.0,1.0,513 (90%),11.0,4.0,,6.0,3.0,0.0,10.0,4.0,,2.0,3.0,0.0,3.0,4.0,0.42,0.42,0.83,0.50,0.26,0.08,0.33,0.44,496.0,237.0,204.0,17 (50%),4 (20%),14.0,32.0,5.0,568.0,222.0,291.0,31 (66%),4 (33%),16.0,11.0,2.0,,17.0,7.0,4.0,23.0,0.0,,15.0,4.0,3.0,35.0,4.0,,37.0,33 (51%),4 (33%),6 (46%),,40.0,32 (49%),8 (67%),4 (40%),,1.0,0.0,,2.0,0.0,1,0.5,1.5,59.5,0.735,9.5,2.5,1.5,40.5,1.055,11.0,3.5,1.5,18.5,19.0,0.5,0.053,0.2,0.136,0.429
9910,2025-08-31T15:00:00.000Z,10205,Villarreal,1,1,True,65.0,0.96,10.0,2.0,2.0,1.0,656 (88%),11.0,1.0,35.0,1.04,8.0,3.0,1.0,0.0,320 (81%),8.0,5.0,,4.0,4.0,0.0,6.0,4.0,,4.0,1.0,0.0,5.0,3.0,0.88,0.08,0.96,0.70,0.90,0.14,1.04,0.90,742.0,291.0,365.0,25 (50%),1 (8%),17.0,25.0,0.0,394.0,184.0,136.0,16 (36%),3 (25%),23.0,20.0,0.0,,19.0,7.0,1.0,14.0,2.0,,28.0,13.0,4.0,22.0,2.0,,37.0,33 (47%),4 (40%),9 (32%),,43.0,37 (53%),6 (60%),1 (11%),,1.0,0.0,,1.0,0.0,1,0.667,1.333,55.333,0.767,11.0,3.333,1.667,44.667,0.813,9.667,3.0,1.667,23.0,16.333,0.667,0.061,0.2,0.138,0.444
9910,2025-09-14T12:00:00.000Z,7732,Girona,1,1,True,60.0,2.50,21.0,7.0,2.0,1.0,556 (88%),7.0,10.0,40.0,0.64,13.0,8.0,2.0,2.0,362 (82%),9.0,3.0,,9.0,5.0,0.0,14.0,7.0,,2.0,3.0,0.0,10.0,3.0,1.35,0.37,1.72,2.75,0.63,0.01,0.64,1.24,630.0,223.0,333.0,25 (61%),11 (41%),19.0,40.0,0.0,439.0,234.0,128.0,13 (26%),2 (50%),14.0,29.0,3.0,,15.0,8.0,3.0,12.0,7.0,,16.0,17.0,5.0,23.0,6.0,,40.0,28 (46%),12 (57%),4 (44%),,42.0,33 (54%),9 (43%),10 (56%),,0.0,0.0,,3.0,0.0,1,0.75,1.25,57.75,0.815,10.75,3.0,1.75,42.25,0.87,9.25,3.0,1.5,23.5,17.25,0.75,0.07,0.25,0.135,0.417
9910,2025-09-21T12:00:00.000Z,8370,Rayo Vallecano,1,1,False,41.0,0.81,9.0,5.0,3.0,2.0,295 (80%),10.0,7.0,59.0,1.08,15.0,5.0,3.0,2.0,461 (86%),8.0,5.0,,1.0,3.0,0.0,6.0,3.0,,8.0,2.0,1.0,8.0,7.0,0.49,0.32,0.81,1.61,0.98,0.10,1.08,0.83,370.0,167.0,128.0,24 (39%),2 (11%),26.0,21.0,0.0,533.0,216.0,245.0,33 (50%),2 (7%),18.0,23.0,1.0,,13.0,9.0,2.0,29.0,4.0,,11.0,8.0,3.0,22.0,4.0,,34.0,27 (52%),7 (39%),7 (54%),,36.0,25 (48%),11 (61%),5 (42%),,1.0,0.0,,1.0,0.0,1,0.8,1.2,58.2,1.152,12.8,3.8,1.8,41.8,0.824,10.0,4.0,1.6,26.8,19.6,0.8,0.062,0.211,0.12,0.3
9910,2025-09-28T14:15:00.000Z,10268,Elche,1,2,False,38.0,0.77,8.0,2.0,2.0,1.0,298 (83%),20.0,2.0,62.0,3.58,17.0,8.0,7.0,5.0,523 (91%),12.0,7.0,,3.0,3.0,0.0,7.0,1.0,,4.0,5.0,0.0,15.0,2.0,0.70,0.07,0.77,0.27,2.60,0.20,2.79,2.87,358.0,171.0,127.0,13 (38%),2 (20%),18.0,11.0,3.0,574.0,236.0,287.0,22 (46%),7 (28%),9.0,36.0,3.0,,23.0,1.0,5.0,31.0,6.0,,16.0,6.0,3.0,20.0,1.0,,45.0,37 (46%),8 (73%),3 (20%),,46.0,43 (54%),3 (27%),9 (45%),,3.0,0.0,,3.0,0.0,0,1.0,1.0,52.6,1.168,12.4,4.2,2.2,47.4,0.754,11.0,4.4,1.8,25.4,20.4,1.0,0.081,0.238,0.091,0.227
9910,2025-10-05T19:00:00.000Z,9906,Atletico Madrid,1,1,True,59.0,1.92,18.0,4.0,3.0,2.0,659 (91%),7.0,6.0,41.0,0.30,6.0,1.0,1.0,1.0,436 (87%),10.0,3.0,,11.0,3.0,0.0,9.0,9.0,,4.0,1.0,0.0,4.0,2.0,1.84,0.08,1.92,1.56,0.17,0.13,0.30,0.16,726.0,204.0,455.0,18 (55%),6 (27%),24.0,29.0,2.0,501.0,225.0,211.0,29 (62%),1 (13%),11.0,17.0,0.0,,18.0,7.0,1.0,15.0,1.0,,14.0,11.0,3.0,24.0,3.0,,34.0,29 (54%),5 (28%),5 (36%),,38.0,25 (46%),13 (72%),4 (36%),,1.0,0.0,,1.0,1.0,1,1.0,1.2,50.2,1.174,12.4,4.2,2.2,49.8,1.334,12.0,5.2,3.0,25.8,23.8,0.8,0.081,0.238,0.1,0.231
9910,2025-10-19T14:15:00.000Z,8560,Real Sociedad,1,1,True,41.0,0.95,4.0,1.0,2.0,1.0,290 (76%),10.0,1.0,59.0,1.55,17.0,7.0,4.0,4.0,455 (88%),20.0,10.0,,3.0,0.0,0.0,2.0,2.0,,4.0,6.0,0.0,10.0,7.0,0.95,0.00,0.95,0.63,0.83,0.72,1.55,0.98,380.0,215.0,75.0,25 (40%),0 (0%),23.0,8.0,1.0,518.0,168.0,287.0,20 (45%),8 (23%),14.0,32.0,8.0,,15.0,8.0,5.0,29.0,6.0,,8.0,9.0,0.0,16.0,0.0,,58.0,42 (63%),16 (59%),7 (64%),,36.0,25 (37%),11 (41%),8 (40%),,2.0,1.0,,3.0,0.0,1,1.0,1.2,52.6,1.392,13.2,4.0,2.4,47.4,1.328,11.8,5.0,2.8,25.2,25.0,0.8,0.076,0.25,0.102,0.24
9910,2025-10-26T17:30:00.000Z,8371,Osasuna,3,2,False,39.0,1.96,11.0,5.0,2.0,0.0,291 (82%),13.0,2.0,61.0,2.31,17.0,7.0,3.0,2.0,469 (85%),10.0,5.0,,4.0,2.0,0.0,5.0,6.0,,7.0,3.0,1.0,10.0,7.0,1.03,0.93,1.96,2.75,0.40,0.34,0.73,2.42,357.0,193.0,98.0,19 (38%),1 (20%),19.0,8.0,5.0,555.0,211.0,258.0,22 (42%),6 (23%),26.0,42.0,0.0,,9.0,14.0,3.0,48.0,5.0,,14.0,5.0,2.0,5.0,2.0,,41.0,26 (45%),15 (54%),8 (53%),,45.0,32 (55%),13 (46%),5 (50%),,4.0,0.0,,3.0,0.0,3,1.0,1.2,47.8,1.39,12.0,3.8,2.4,52.2,1.43,13.6,5.8,3.4,21.8,27.4,0.8,0.083,0.263,0.088,0.207
