team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8581,2025-08-16T19:30:00.000Z,9866,Deportivo Alaves,1,2,False,38.0,0.87,7.0,3.0,1.0,0.0,199 (67%),13.0,1.0,62.0,1.29,15.0,4.0,2.0,0.0,382 (81%),15.0,10.0,,1.0,3.0,0.0,4.0,3.0,,7.0,4.0,0.0,10.0,5.0,0.85,0.02,0.87,1.34,0.67,0.62,1.29,2.22,296.0,108.0,91.0,23 (34%),4 (31%),21.0,9.0,3.0,471.0,153.0,229.0,31 (47%),9 (24%),26.0,24.0,1.0,,16.0,4.0,4.0,33.0,2.0,,15.0,10.0,3.0,22.0,2.0,,54.0,33 (52%),21 (48%),3 (38%),,53.0,30 (48%),23 (52%),3 (23%),,1.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8581,2025-08-23T19:30:00.000Z,8634,Barcelona,2,3,True,18.0,2.14,8.0,5.0,6.0,4.0,93 (58%),10.0,0.0,82.0,1.93,26.0,10.0,3.0,2.0,699 (92%),8.0,11.0,,1.0,2.0,0.0,8.0,0.0,,8.0,8.0,1.0,16.0,10.0,1.30,0.05,1.35,2.69,1.49,0.44,1.93,2.53,160.0,56.0,37.0,18 (33%),1 (20%),15.0,17.0,6.0,761.0,169.0,530.0,10 (43%),8 (27%),18.0,60.0,0.0,,31.0,8.0,8.0,44.0,9.0,,11.0,5.0,1.0,12.0,3.0,,53.0,45 (58%),8 (38%),8 (57%),,46.0,33 (42%),13 (62%),12 (41%),,3.0,0.0,,1.0,0.0,0,1.0,2.0,38.0,0.87,7.0,3.0,1.0,62.0,1.29,15.0,4.0,2.0,9.0,24.0,0.0,0.143,0.333,0.133,0.5
8581,2025-08-29T17:30:00.000Z,10268,Elche,0,2,False,33.0,0.71,11.0,1.0,1.0,1.0,217 (80%),17.0,2.0,67.0,1.12,16.0,5.0,1.0,0.0,504 (89%),14.0,4.0,,8.0,2.0,1.0,5.0,6.0,,7.0,4.0,0.0,13.0,3.0,0.56,0.15,0.71,0.23,0.94,0.18,1.12,1.63,272.0,95.0,122.0,17 (44%),4 (33%),12.0,14.0,1.0,569.0,203.0,301.0,39 (65%),6 (29%),15.0,19.0,1.0,,13.0,5.0,4.0,24.0,3.0,,13.0,10.0,2.0,17.0,1.0,,36.0,29 (46%),7 (39%),2 (29%),,45.0,34 (54%),11 (61%),6 (60%),,2.0,0.0,,1.0,0.0,0,1.5,2.5,28.0,1.505,7.5,4.0,3.5,72.0,1.61,20.5,7.0,2.5,13.0,42.0,0.0,0.2,0.375,0.122,0.357
8581,2025-09-14T14:15:00.000Z,8603,Real Betis,2,2,True,33.0,0.73,5.0,2.0,2.0,0.0,196 (73%),16.0,4.0,67.0,2.12,28.0,9.0,3.0,2.0,482 (89%),11.0,12.0,,2.0,1.0,0.0,4.0,1.0,,8.0,11.0,1.0,21.0,7.0,0.73,0.00,0.73,1.27,1.75,0.38,2.12,1.72,268.0,108.0,88.0,17 (40%),2 (18%),13.0,17.0,2.0,544.0,224.0,258.0,25 (69%),11 (29%),23.0,51.0,1.0,,13.0,9.0,10.0,37.0,7.0,,17.0,6.0,1.0,27.0,0.0,,50.0,34 (43%),16 (46%),11 (55%),,65.0,46 (58%),19 (54%),12 (67%),,4.0,0.0,,2.0,0.0,1,1.0,2.333,29.667,1.24,8.667,3.0,2.667,70.333,1.447,19.0,6.333,2.0,13.333,34.333,0.0,0.115,0.333,0.123,0.368
8581,2025-09-20T12:00:00.000Z,7732,Girona,4,0,False,65.0,2.88,14.0,7.0,8.0,5.0,529 (92%),17.0,4.0,35.0,0.50,7.0,1.0,0.0,0.0,248 (84%),11.0,5.0,,6.0,1.0,3.0,11.0,3.0,,3.0,3.0,0.0,5.0,2.0,2.02,0.86,2.88,3.56,0.39,0.12,0.50,0.76,575.0,225.0,304.0,23 (68%),7 (47%),16.0,31.0,1.0,295.0,172.0,76.0,17 (40%),3 (19%),15.0,10.0,0.0,,15.0,1.0,3.0,16.0,1.0,,16.0,8.0,2.0,20.0,2.0,,40.0,32 (46%),8 (80%),7 (47%),,39.0,37 (54%),2 (20%),5 (38%),,3.0,0.0,,2.0,2.0,3,1.25,2.25,30.5,1.113,7.75,2.75,2.5,69.5,1.615,21.25,7.0,2.25,14.25,38.5,0.25,0.161,0.455,0.106,0.321
8581,2025-09-23T19:30:00.000Z,8633,Real Madrid,1,4,True,37.0,1.60,11.0,2.0,3.0,2.0,365 (88%),17.0,1.0,63.0,3.94,24.0,10.0,6.0,4.0,636 (91%),9.0,7.0,,3.0,6.0,0.0,8.0,3.0,,11.0,3.0,1.0,16.0,8.0,1.35,0.25,1.60,1.09,3.05,0.11,3.15,4.12,416.0,216.0,149.0,33 (61%),3 (43%),13.0,17.0,0.0,696.0,267.0,369.0,21 (45%),2 (18%),12.0,45.0,1.0,,19.0,8.0,3.0,17.0,6.0,,22.0,6.0,6.0,8.0,1.0,,39.0,30 (38%),9 (82%),3 (33%),,52.0,50 (63%),2 (18%),11 (44%),,1.0,0.0,,1.0,0.0,0,1.8,1.8,37.4,1.466,9.0,3.6,3.6,62.6,1.392,18.4,5.8,1.8,17.6,32.8,0.8,0.2,0.5,0.098,0.31
8581,2025-09-27T12:00:00.000Z,8305,Getafe,1,1,False,46.0,1.24,11.0,3.0,3.0,2.0,169 (59%),16.0,2.0,54.0,0.55,11.0,4.0,2.0,1.0,211 (64%),15.0,6.0,,6.0,2.0,0.0,7.0,4.0,,6.0,1.0,0.0,3.0,8.0,1.04,0.20,1.24,0.52,0.24,0.32,0.55,1.02,288.0,88.0,81.0,20 (23%),7 (64%),29.0,15.0,2.0,328.0,113.0,98.0,32 (41%),7 (30%),27.0,15.0,2.0,,18.0,5.0,0.0,39.0,3.0,,19.0,5.0,1.0,51.0,2.0,,56.0,33 (43%),23 (49%),3 (30%),,67.0,43 (57%),24 (51%),10 (56%),,3.0,0.0,,4.0,0.0,1,1.8,2.2,37.2,1.612,9.8,3.4,4.0,62.8,1.922,20.2,7.0,2.6,19.2,37.0,0.8,0.184,0.529,0.109,0.314
8581,2025-10-04T12:00:00.000Z,8670,Real Oviedo,2,0,False,43.0,1.94,14.0,5.0,1.0,0.0,298 (81%),10.0,3.0,57.0,1.31,13.0,2.0,3.0,3.0,418 (86%),10.0,9.0,,1.0,8.0,1.0,9.0,5.0,,6.0,5.0,1.0,9.0,4.0,0.96,0.98,1.94,2.20,0.27,1.04,1.31,0.54,370.0,169.0,129.0,32 (46%),3 (30%),21.0,25.0,2.0,484.0,253.0,165.0,31 (55%),6 (20%),25.0,23.0,1.0,,14.0,11.0,5.0,36.0,2.0,,15.0,7.0,8.0,26.0,3.0,,39.0,26 (46%),13 (34%),3 (27%),,56.0,31 (54%),25 (66%),6 (40%),,2.0,0.0,,2.0,0.0,3,1.6,1.8,42.8,1.432,10.4,3.0,3.4,57.2,1.646,17.2,5.8,2.4,18.8,28.0,1.0,0.154,0.533,0.105,0.31
8581,2025-10-19T16:30:00.000Z,8370,Rayo Vallecano,0,3,True,54.0,0.91,17.0,4.0,1.0,1.0,340 (81%),6.0,11.0,46.0,1.55,10.0,5.0,5.0,2.0,300 (82%),18.0,4.0,,5.0,8.0,0.0,9.0,8.0,,3.0,2.0,0.0,7.0,3.0,0.40,0.51,0.91,0.31,1.23,0.32,1.55,1.66,419.0,155.0,185.0,19 (51%),7 (23%),26.0,41.0,1.0,365.0,191.0,109.0,21 (45%),2 (17%),16.0,10.0,0.0,,16.0,6.0,3.0,12.0,1.0,,27.0,9.0,8.0,59.0,4.0,,54.0,45 (55%),9 (64%),12 (46%),,42.0,37 (45%),5 (36%),4 (36%),,0.0,0.0,,1.0,0.0,0,2.0,1.4,44.8,1.678,11.0,3.8,3.4,55.2,1.684,16.6,5.2,2.8,21.0,28.8,1.6,0.182,0.526,0.084,0.269
8581,2025-10-26T13:00:00.000Z,8661,Mallorca,1,1,False,37.0,2.08,13.0,5.0,4.0,3.0,233 (70%),13.0,4.0,63.0,1.58,20.0,4.0,5.0,5.0,470 (85%),8.0,5.0,,3.0,5.0,0.0,10.0,3.0,,11.0,5.0,0.0,13.0,7.0,2.06,0.02,2.08,1.57,1.38,0.20,1.58,0.92,331.0,120.0,113.0,23 (34%),5 (36%),14.0,29.0,3.0,551.0,236.0,234.0,24 (47%),12 (39%),20.0,28.0,3.0,,22.0,12.0,5.0,26.0,4.0,,10.0,13.0,3.0,20.0,4.0,,56.0,43 (57%),13 (42%),14 (70%),,50.0,32 (43%),18 (58%),11 (55%),,2.0,0.0,,3.0,0.0,1,1.6,1.6,49.0,1.714,13.4,4.2,3.2,51.0,1.57,13.0,4.4,3.2,25.8,20.6,1.4,0.119,0.381,0.123,0.364
8581,2025-11-02T13:00:00.000Z,9910,Celta Vigo,1,2,True,36.0,1.20,9.0,3.0,2.0,2.0,256 (78%),10.0,4.0,64.0,2.00,20.0,6.0,1.0,1.0,544 (89%),12.0,4.0,,5.0,1.0,1.0,8.0,1.0,,9.0,5.0,0.0,15.0,5.0,0.16,0.25,0.42,0.49,1.94,0.06,2.00,2.02,328.0,150.0,106.0,25 (41%),3 (21%),17.0,14.0,0.0,609.0,221.0,323.0,25 (57%),3 (18%),17.0,43.0,0.0,,17.0,12.0,4.0,26.0,5.0,,15.0,10.0,1.0,24.0,2.0,,44.0,32 (52%),12 (52%),4 (44%),,40.0,29 (48%),11 (48%),5 (26%),,2.0,1.0,,3.0,0.0,0,1.0,1.8,43.4,1.554,13.2,3.8,2.4,56.6,1.786,15.6,5.0,4.2,25.4,24.2,1.0,0.076,0.263,0.115,0.36
8581,2025-11-08T17:30:00.000Z,9906,Atletico Madrid,1,3,False,26.0,1.19,6.0,3.0,3.0,2.0,151 (71%),6.0,4.0,74.0,2.92,25.0,10.0,4.0,2.0,559 (89%),5.0,21.0,,2.0,1.0,0.0,5.0,1.0,,9.0,6.0,0.0,16.0,9.0,0.44,0.75,1.19,0.72,2.63,0.29,2.92,4.60,212.0,69.0,82.0,21 (47%),3 (30%),13.0,13.0,4.0,630.0,260.0,299.0,28 (64%),12 (30%),29.0,60.0,1.0,,17.0,9.0,6.0,46.0,8.0,,19.0,3.0,1.0,17.0,2.0,,40.0,27 (48%),13 (54%),6 (40%),,40.0,29 (52%),11 (46%),4 (24%),,1.0,0.0,,3.0,0.0,0,1.0,1.4,43.2,1.474,12.8,4.0,2.2,56.8,1.398,14.8,4.2,3.2,24.8,23.8,1.0,0.078,0.25,0.095,0.333
8581,2025-11-21T20:00:00.000Z,10267,Valencia,0,1,False,41.0,0.72,7.0,0.0,2.0,2.0,294 (79%),15.0,0.0,59.0,1.49,14.0,3.0,3.0,2.0,456 (87%),16.0,7.0,,6.0,1.0,0.0,4.0,3.0,,5.0,6.0,1.0,10.0,4.0,0.52,0.20,0.72,0.00,1.28,0.21,1.49,0.90,372.0,163.0,131.0,19 (40%),2 (22%),14.0,16.0,0.0,525.0,216.0,240.0,30 (53%),6 (20%),21.0,31.0,2.0,,14.0,8.0,6.0,36.0,2.0,,17.0,12.0,1.0,18.0,0.0,,52.0,35 (47%),17 (59%),5 (38%),,51.0,39 (53%),12 (41%),7 (58%),,4.0,0.0,,4.0,0.0,0,1.0,1.8,39.2,1.464,11.8,4.0,2.2,60.8,1.872,17.6,5.4,3.6,24.4,32.8,0.8,0.085,0.25,0.102,0.333
8581,2025-11-29T17:30:00.000Z,8315,Athletic Club,0,2,True,56.0,1.30,11.0,4.0,1.0,1.0,311 (75%),11.0,4.0,44.0,2.90,14.0,4.0,4.0,2.0,227 (71%),19.0,2.0,,5.0,2.0,0.0,8.0,3.0,,8.0,2.0,1.0,10.0,4.0,0.99,0.31,1.30,1.13,2.76,0.14,2.90,1.76,413.0,204.0,107.0,26 (40%),8 (42%),22.0,13.0,4.0,319.0,111.0,116.0,24 (41%),4 (21%),24.0,29.0,2.0,,17.0,14.0,3.0,24.0,1.0,,24.0,11.0,2.0,34.0,4.0,,58.0,39 (49%),19 (68%),5 (31%),,50.0,41 (51%),9 (32%),6 (29%),,3.0,0.0,,2.0,0.0,0,0.6,2.0,38.8,1.22,10.4,3.0,2.4,61.2,1.908,17.8,5.6,3.6,22.6,34.4,0.2,0.058,0.2,0.112,0.357
8581,2025-12-08T20:00:00.000Z,8371,Osasuna,0,2,False,59.0,0.48,11.0,5.0,0.0,0.0,448 (84%),7.0,3.0,41.0,1.05,14.0,6.0,1.0,0.0,268 (72%),15.0,3.0,,2.0,4.0,0.0,4.0,7.0,,2.0,6.0,0.0,12.0,2.0,0.43,0.05,0.48,0.53,0.81,0.25,1.05,1.45,535.0,234.0,214.0,31 (50%),2 (11%),22.0,15.0,1.0,370.0,113.0,155.0,30 (45%),3 (19%),20.0,24.0,0.0,,9.0,9.0,6.0,32.0,4.0,,17.0,10.0,5.0,28.0,4.0,,50.0,33 (49%),17 (44%),9 (60%),,57.0,35 (51%),22 (56%),11 (65%),,2.0,0.0,,2.0,0.0,0,0.6,1.8,39.2,1.298,9.2,3.0,2.4,60.8,2.178,18.6,5.4,3.4,17.0,38.2,0.2,0.065,0.2,0.097,0.333
8581,2025-12-20T15:15:00.000Z,8560,Real Sociedad,1,1,True,44.0,1.29,13.0,3.0,1.0,0.0,277 (79%),16.0,7.0,56.0,1.38,18.0,6.0,4.0,3.0,388 (85%),13.0,10.0,,5.0,5.0,0.0,9.0,4.0,,7.0,5.0,0.0,9.0,9.0,0.24,0.27,0.50,1.03,0.75,0.63,1.38,1.24,349.0,122.0,155.0,26 (46%),4 (14%),14.0,24.0,3.0,455.0,201.0,187.0,21 (48%),5 (22%),18.0,19.0,3.0,,14.0,12.0,5.0,27.0,5.0,,18.0,4.0,5.0,47.0,2.0,,46.0,32 (43%),14 (58%),5 (36%),,52.0,42 (57%),10 (42%),8 (62%),,6.0,0.0,,2.0,0.0,1,0.4,2.0,43.6,0.978,8.8,3.0,1.6,56.4,2.072,17.4,5.8,2.6,14.2,37.4,0.0,0.045,0.133,0.115,0.345
8581,2026-01-04T13:00:00.000Z,8302,Sevilla,3,0,False,36.0,1.03,6.0,4.0,4.0,1.0,203 (71%),10.0,1.0,64.0,1.70,15.0,7.0,3.0,3.0,439 (86%),16.0,5.0,,1.0,1.0,0.0,4.0,2.0,,3.0,5.0,0.0,12.0,3.0,1.00,0.04,1.03,1.79,0.77,0.15,0.91,2.89,285.0,131.0,72.0,19 (29%),3 (38%),14.0,7.0,0.0,509.0,211.0,228.0,26 (47%),6 (21%),21.0,32.0,2.0,,18.0,6.0,5.0,31.0,7.0,,11.0,12.0,1.0,19.0,1.0,,45.0,34 (58%),11 (41%),3 (30%),,41.0,25 (42%),16 (59%),5 (26%),,4.0,0.0,,3.0,0.0,3,0.4,1.8,45.2,0.996,9.6,3.0,1.4,54.8,1.948,17.0,5.8,3.2,16.2,32.6,0.2,0.042,0.133,0.106,0.31
8581,2026-01-11T15:15:00.000Z,8558,Espanyol,1,1,True,49.0,1.11,8.0,2.0,2.0,1.0,350 (83%),10.0,4.0,51.0,1.36,19.0,3.0,2.0,2.0,364 (84%),9.0,3.0,,3.0,3.0,0.0,6.0,2.0,,10.0,6.0,0.0,13.0,6.0,0.92,0.19,1.11,0.31,1.18,0.18,1.36,0.83,423.0,236.0,114.0,32 (56%),1 (13%),21.0,18.0,2.0,431.0,180.0,184.0,18 (44%),4 (21%),16.0,29.0,2.0,,17.0,11.0,6.0,20.0,2.0,,27.0,9.0,3.0,26.0,1.0,,42.0,30 (40%),12 (44%),5 (36%),,60.0,45 (60%),15 (56%),8 (53%),,0.0,0.0,,1.0,0.0,1,0.8,1.2,47.2,0.964,9.6,3.2,1.6,52.8,1.704,15.0,5.2,3.0,15.0,27.0,0.8,0.083,0.25,0.08,0.231
