team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8371,2025-08-19T19:00:00.000Z,8633,Real Madrid,0,1,False,29.0,0.36,2.0,0.0,0.0,0.0,228 (76%),12.0,0.0,71.0,1.64,18.0,5.0,1.0,0.0,659 (91%),10.0,7.0,,2.0,0.0,0.0,2.0,0.0,,7.0,6.0,0.0,11.0,7.0,0.06,0.30,0.36,0.00,0.70,0.15,0.86,1.31,299.0,137.0,91.0,24 (45%),2 (22%),16.0,8.0,0.0,721.0,160.0,499.0,32 (63%),8 (42%),20.0,35.0,0.0,,20.0,7.0,6.0,40.0,4.0,,16.0,6.0,0.0,17.0,0.0,,48.0,33 (46%),15 (56%),4 (40%),,50.0,38 (54%),12 (44%),10 (43%),,0.0,1.0,,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8371,2025-08-24T15:00:00.000Z,10267,Valencia,1,0,True,56.0,0.83,16.0,4.0,1.0,0.0,382 (82%),14.0,3.0,44.0,0.41,4.0,1.0,1.0,1.0,296 (80%),13.0,4.0,,6.0,6.0,0.0,9.0,7.0,,2.0,1.0,0.0,1.0,3.0,0.72,0.11,0.83,0.66,0.41,0.00,0.41,0.02,464.0,161.0,221.0,38 (58%),2 (11%),15.0,25.0,2.0,370.0,183.0,113.0,21 (36%),0 (0%),21.0,7.0,1.0,,13.0,8.0,1.0,18.0,1.0,,12.0,5.0,6.0,32.0,3.0,,48.0,29 (53%),19 (76%),3 (38%),,32.0,26 (47%),6 (24%),2 (25%),,2.0,0.0,,1.0,1.0,3,0.0,1.0,29.0,0.36,2.0,0.0,0.0,71.0,1.64,18.0,5.0,1.0,8.0,35.0,0.0,0.0,0.0,0.056,0.2
8371,2025-08-31T17:30:00.000Z,8558,Espanyol,0,1,False,55.0,1.37,10.0,3.0,3.0,3.0,404 (82%),14.0,3.0,45.0,1.21,10.0,4.0,2.0,2.0,320 (78%),13.0,2.0,,5.0,2.0,1.0,6.0,4.0,,5.0,1.0,0.0,7.0,3.0,1.15,0.22,1.37,0.57,1.11,0.10,1.21,1.41,493.0,225.0,179.0,30 (50%),6 (35%),14.0,24.0,1.0,408.0,178.0,142.0,11 (23%),4 (22%),16.0,14.0,2.0,,14.0,10.0,1.0,15.0,3.0,,16.0,2.0,2.0,34.0,3.0,,56.0,34 (52%),22 (59%),8 (57%),,46.0,31 (48%),15 (41%),2 (50%),,3.0,0.0,,2.0,0.0,0,0.5,0.5,42.5,0.595,9.0,2.0,0.5,57.5,1.025,11.0,3.0,1.0,16.5,21.0,1.5,0.056,0.25,0.045,0.167
8371,2025-09-14T16:30:00.000Z,8370,Rayo Vallecano,2,0,True,36.0,1.59,9.0,7.0,3.0,1.0,231 (75%),13.0,3.0,64.0,1.09,19.0,6.0,0.0,0.0,471 (87%),7.0,6.0,,1.0,1.0,0.0,6.0,3.0,,7.0,6.0,1.0,12.0,7.0,1.52,0.06,1.59,2.03,0.73,0.36,1.09,1.28,306.0,116.0,115.0,28 (50%),2 (18%),18.0,14.0,0.0,539.0,198.0,273.0,35 (61%),7 (22%),20.0,32.0,1.0,,9.0,12.0,6.0,30.0,6.0,,13.0,11.0,2.0,18.0,4.0,,35.0,22 (44%),13 (72%),6 (67%),,33.0,28 (56%),5 (28%),4 (36%),,3.0,0.0,,2.0,0.0,3,0.333,0.667,46.667,0.853,9.333,2.333,1.333,53.333,1.087,10.667,3.333,1.333,19.0,18.667,1.0,0.036,0.143,0.063,0.2
8371,2025-09-20T16:30:00.000Z,10205,Villarreal,1,2,False,34.0,1.80,6.0,3.0,4.0,3.0,212 (78%),11.0,0.0,66.0,2.55,26.0,8.0,6.0,5.0,444 (88%),10.0,7.0,,3.0,0.0,0.0,6.0,0.0,,12.0,6.0,0.0,14.0,12.0,0.16,0.85,1.01,1.86,2.15,0.40,2.55,3.40,273.0,131.0,81.0,27 (47%),3 (100%),11.0,16.0,1.0,504.0,202.0,242.0,17 (49%),9 (29%),17.0,41.0,2.0,,21.0,10.0,5.0,50.0,6.0,,14.0,4.0,0.0,13.0,2.0,,55.0,32 (47%),23 (68%),3 (21%),,47.0,36 (53%),11 (32%),11 (46%),,1.0,1.0,,2.0,0.0,0,0.75,0.5,44.0,1.038,9.25,3.5,1.75,56.0,1.087,12.75,4.0,1.0,17.75,22.0,1.5,0.081,0.214,0.039,0.125
8371,2025-09-25T17:30:00.000Z,10268,Elche,1,1,True,40.0,0.90,9.0,2.0,1.0,1.0,290 (77%),19.0,2.0,60.0,0.82,12.0,4.0,3.0,2.0,504 (86%),13.0,3.0,,4.0,3.0,0.0,7.0,2.0,,2.0,6.0,1.0,7.0,5.0,0.52,0.38,0.90,0.25,0.74,0.08,0.82,1.20,375.0,135.0,155.0,31 (47%),5 (29%),19.0,18.0,0.0,588.0,288.0,216.0,26 (43%),2 (17%),20.0,15.0,0.0,,21.0,7.0,6.0,26.0,3.0,,15.0,7.0,3.0,25.0,1.0,,62.0,36 (44%),26 (72%),4 (29%),,55.0,45 (56%),10 (28%),12 (46%),,2.0,0.0,,2.0,0.0,1,0.8,0.8,42.0,1.19,8.6,3.4,2.2,58.0,1.38,15.4,4.8,2.0,17.4,25.8,1.2,0.093,0.235,0.052,0.167
8371,2025-09-28T19:00:00.000Z,8603,Real Betis,0,2,False,49.0,0.70,12.0,1.0,0.0,0.0,420 (85%),7.0,5.0,51.0,0.76,12.0,6.0,1.0,0.0,435 (84%),6.0,5.0,,8.0,3.0,0.0,9.0,3.0,,3.0,3.0,0.0,6.0,6.0,0.59,0.10,0.70,0.09,0.75,0.01,0.76,1.38,493.0,253.0,167.0,22 (49%),5 (20%),16.0,25.0,2.0,519.0,219.0,216.0,25 (42%),2 (13%),11.0,22.0,2.0,,12.0,12.0,3.0,27.0,4.0,,13.0,4.0,3.0,38.0,1.0,,44.0,29 (54%),15 (48%),12 (67%),,41.0,25 (46%),16 (52%),5 (63%),,1.0,0.0,,0.0,0.0,0,1.0,0.8,44.2,1.298,10.0,3.8,2.4,55.8,1.216,14.2,4.6,2.4,19.4,21.8,1.4,0.1,0.263,0.056,0.174
8371,2025-10-03T19:00:00.000Z,8305,Getafe,2,1,True,58.0,0.43,7.0,3.0,1.0,0.0,316 (73%),11.0,1.0,42.0,0.82,6.0,2.0,2.0,1.0,226 (71%),14.0,6.0,,4.0,0.0,0.0,6.0,1.0,,3.0,1.0,0.0,5.0,1.0,0.14,0.29,0.43,1.49,0.52,0.30,0.82,0.43,435.0,196.0,120.0,10 (20%),5 (31%),32.0,16.0,3.0,319.0,83.0,143.0,29 (38%),6 (27%),26.0,16.0,6.0,,10.0,1.0,1.0,34.0,1.0,,16.0,9.0,0.0,35.0,2.0,,57.0,31 (51%),26 (63%),9 (53%),,45.0,30 (49%),15 (37%),5 (50%),,1.0,0.0,,4.0,0.0,3,0.8,1.2,42.8,1.272,9.2,3.2,2.2,57.2,1.286,15.8,5.6,2.4,19.4,24.8,0.8,0.087,0.25,0.076,0.214
8371,2025-10-18T19:00:00.000Z,9906,Atletico Madrid,0,1,False,41.0,1.14,9.0,2.0,1.0,1.0,296 (81%),11.0,2.0,59.0,2.58,18.0,9.0,5.0,4.0,465 (88%),10.0,4.0,,5.0,2.0,0.0,6.0,3.0,,9.0,0.0,0.0,11.0,7.0,1.04,0.10,1.14,0.66,1.91,0.67,2.58,2.66,366.0,157.0,139.0,29 (56%),1 (7%),18.0,20.0,1.0,529.0,221.0,244.0,35 (71%),2 (11%),15.0,29.0,6.0,,18.0,7.0,0.0,32.0,8.0,,16.0,10.0,2.0,22.0,2.0,,52.0,35 (54%),17 (46%),8 (47%),,50.0,30 (46%),20 (54%),5 (33%),,3.0,0.0,,1.0,0.0,0,1.2,1.2,43.4,1.084,8.6,3.2,1.8,56.6,1.208,15.0,5.2,2.4,17.8,25.2,1.4,0.14,0.375,0.08,0.231
8371,2025-10-26T17:30:00.000Z,9910,Celta Vigo,2,3,True,61.0,2.31,17.0,7.0,3.0,2.0,469 (85%),10.0,5.0,39.0,1.96,11.0,5.0,2.0,0.0,291 (82%),13.0,2.0,,7.0,3.0,1.0,10.0,7.0,,4.0,2.0,0.0,5.0,6.0,0.40,0.34,0.73,2.42,1.03,0.93,1.96,2.75,555.0,211.0,258.0,22 (42%),6 (23%),26.0,42.0,0.0,357.0,193.0,98.0,19 (38%),1 (20%),19.0,8.0,5.0,,14.0,5.0,2.0,5.0,2.0,,9.0,14.0,3.0,48.0,5.0,,45.0,32 (55%),13 (46%),5 (50%),,41.0,26 (45%),15 (54%),8 (53%),,3.0,0.0,,4.0,0.0,0,0.8,1.4,44.4,0.994,8.6,2.2,1.4,55.6,1.506,14.8,5.8,3.4,19.0,24.6,0.8,0.093,0.364,0.095,0.241
