team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8370,2025-08-15T17:00:00.000Z,7732,Girona,3,1,False,56.0,3.43,16.0,5.0,4.0,1.0,415 (86%),17.0,4.0,44.0,0.56,7.0,2.0,1.0,0.0,296 (77%),8.0,2.0,,10.0,1.0,0.0,12.0,4.0,,2.0,3.0,0.0,3.0,4.0,2.28,0.36,2.64,3.20,0.39,0.17,0.56,0.72,481.0,219.0,196.0,21 (42%),9 (60%),19.0,26.0,1.0,382.0,179.0,117.0,20 (34%),2 (17%),25.0,9.0,1.0,,27.0,8.0,3.0,18.0,1.0,,13.0,3.0,2.0,18.0,2.0,,58.0,42 (53%),16 (52%),7 (58%),,53.0,38 (48%),15 (48%),9 (45%),,1.0,0.0,,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8370,2025-08-25T17:30:00.000Z,8315,Athletic Club,0,1,False,60.0,0.29,6.0,1.0,1.0,1.0,413 (83%),13.0,6.0,40.0,1.51,11.0,4.0,2.0,1.0,253 (76%),13.0,3.0,,2.0,3.0,0.0,2.0,4.0,,3.0,4.0,0.0,5.0,6.0,0.27,0.02,0.29,0.17,0.64,0.08,0.72,1.26,498.0,261.0,152.0,33 (48%),3 (17%),21.0,12.0,7.0,334.0,137.0,116.0,20 (47%),4 (25%),12.0,29.0,0.0,,16.0,13.0,4.0,20.0,3.0,,14.0,5.0,3.0,25.0,1.0,,43.0,33 (49%),10 (37%),7 (47%),,51.0,34 (51%),17 (63%),9 (56%),,4.0,0.0,,0.0,0.0,0,3.0,1.0,56.0,3.43,16.0,5.0,4.0,44.0,0.56,7.0,2.0,1.0,26.0,9.0,3.0,0.188,0.6,0.143,0.5
8370,2025-08-31T19:30:00.000Z,8634,Barcelona,1,1,True,43.0,1.85,12.0,6.0,5.0,4.0,252 (75%),16.0,9.0,57.0,1.83,12.0,3.0,4.0,3.0,364 (82%),8.0,4.0,,3.0,3.0,0.0,9.0,3.0,,6.0,3.0,0.0,8.0,4.0,1.59,0.26,1.85,1.77,0.84,0.20,1.04,0.90,338.0,141.0,111.0,34 (45%),4 (22%),18.0,13.0,7.0,444.0,192.0,172.0,12 (39%),4 (50%),16.0,23.0,2.0,,17.0,8.0,3.0,12.0,2.0,,18.0,8.0,3.0,24.0,5.0,,37.0,31 (41%),6 (27%),6 (46%),,61.0,45 (59%),16 (73%),11 (50%),,4.0,0.0,,1.0,0.0,1,1.5,1.0,58.0,1.86,11.0,3.0,2.5,42.0,1.035,9.0,3.0,1.5,19.0,19.0,1.5,0.136,0.5,0.111,0.333
8370,2025-09-14T16:30:00.000Z,8371,Osasuna,0,2,False,64.0,1.09,19.0,6.0,0.0,0.0,471 (87%),7.0,6.0,36.0,1.59,9.0,7.0,3.0,1.0,231 (75%),13.0,3.0,,7.0,6.0,1.0,12.0,7.0,,1.0,1.0,0.0,6.0,3.0,0.73,0.36,1.09,1.28,1.52,0.06,1.59,2.03,539.0,198.0,273.0,35 (61%),7 (22%),20.0,32.0,1.0,306.0,116.0,115.0,28 (50%),2 (18%),18.0,14.0,0.0,,13.0,11.0,2.0,18.0,4.0,,9.0,12.0,6.0,30.0,6.0,,33.0,28 (56%),5 (28%),4 (36%),,35.0,22 (44%),13 (72%),6 (67%),,2.0,0.0,,3.0,0.0,0,1.333,1.0,53.0,1.857,11.333,4.0,3.333,47.0,1.3,10.0,3.0,2.333,17.0,20.333,1.333,0.118,0.333,0.1,0.333
8370,2025-09-21T12:00:00.000Z,9910,Celta Vigo,1,1,True,59.0,1.08,15.0,5.0,3.0,2.0,461 (86%),8.0,5.0,41.0,0.81,9.0,5.0,3.0,2.0,295 (80%),10.0,7.0,,8.0,2.0,1.0,8.0,7.0,,1.0,3.0,0.0,6.0,3.0,0.98,0.10,1.08,0.83,0.49,0.32,0.81,1.61,533.0,216.0,245.0,33 (50%),2 (7%),18.0,23.0,1.0,370.0,167.0,128.0,24 (39%),2 (11%),26.0,21.0,0.0,,11.0,8.0,3.0,22.0,4.0,,13.0,9.0,2.0,29.0,4.0,,36.0,25 (48%),11 (61%),5 (42%),,34.0,27 (52%),7 (39%),7 (54%),,1.0,0.0,,1.0,0.0,1,1.0,1.25,55.75,1.665,13.25,4.5,2.5,44.25,1.373,9.75,4.0,2.5,20.75,18.75,1.0,0.075,0.222,0.128,0.312
8370,2025-09-24T19:30:00.000Z,9906,Atletico Madrid,2,3,False,39.0,1.60,9.0,3.0,3.0,2.0,299 (81%),12.0,6.0,61.0,3.61,20.0,8.0,7.0,5.0,506 (87%),6.0,8.0,,6.0,0.0,0.0,5.0,4.0,,8.0,4.0,1.0,17.0,3.0,1.52,0.08,1.60,1.39,3.42,0.19,3.61,3.04,370.0,182.0,117.0,27 (48%),1 (6%),21.0,15.0,2.0,579.0,233.0,273.0,19 (45%),12 (50%),22.0,46.0,3.0,,21.0,7.0,4.0,20.0,5.0,,12.0,12.0,0.0,15.0,1.0,,40.0,35 (51%),5 (33%),8 (57%),,44.0,34 (49%),10 (67%),10 (48%),,5.0,0.0,,3.0,0.0,0,1.0,1.2,56.4,1.548,13.6,4.6,2.6,43.6,1.26,9.6,4.2,2.6,21.2,19.2,1.0,0.074,0.217,0.125,0.286
8370,2025-09-28T12:00:00.000Z,8302,Sevilla,0,1,True,64.0,1.89,18.0,6.0,2.0,2.0,401 (83%),12.0,12.0,36.0,0.63,4.0,1.0,1.0,0.0,193 (69%),15.0,4.0,,7.0,5.0,0.0,13.0,5.0,,1.0,2.0,0.0,2.0,2.0,1.32,0.56,1.89,1.65,0.48,0.15,0.63,0.97,486.0,229.0,172.0,30 (51%),6 (18%),25.0,26.0,0.0,280.0,112.0,81.0,22 (37%),0 (0%),21.0,15.0,1.0,,14.0,6.0,2.0,20.0,0.0,,15.0,8.0,5.0,35.0,6.0,,45.0,35 (57%),10 (43%),7 (47%),,39.0,26 (43%),13 (57%),2 (22%),,3.0,1.0,,2.0,0.0,0,0.8,1.6,53.0,1.182,12.2,4.2,2.4,47.0,1.87,12.2,5.4,3.8,19.0,26.6,0.4,0.066,0.19,0.131,0.296
8370,2025-10-05T16:30:00.000Z,8560,Real Sociedad,1,0,False,49.0,0.80,7.0,2.0,3.0,2.0,328 (79%),21.0,5.0,51.0,0.79,10.0,3.0,1.0,1.0,338 (80%),13.0,7.0,,3.0,2.0,0.0,5.0,2.0,,1.0,6.0,0.0,7.0,3.0,0.73,0.08,0.80,0.62,0.60,0.19,0.79,1.02,414.0,226.0,102.0,26 (35%),2 (18%),19.0,10.0,1.0,421.0,197.0,141.0,35 (63%),0 (0%),14.0,23.0,0.0,,13.0,11.0,6.0,28.0,3.0,,11.0,8.0,2.0,13.0,1.0,,40.0,28 (40%),12 (39%),5 (56%),,61.0,42 (60%),19 (61%),13 (62%),,2.0,0.0,,1.0,0.0,3,0.8,1.6,53.8,1.502,14.6,5.2,2.6,46.2,1.694,10.8,4.8,3.6,21.8,23.8,0.4,0.055,0.154,0.148,0.333
8370,2025-10-19T16:30:00.000Z,8581,Levante,3,0,False,46.0,1.55,10.0,5.0,5.0,2.0,300 (82%),18.0,4.0,54.0,0.91,17.0,4.0,1.0,1.0,340 (81%),6.0,11.0,,3.0,2.0,0.0,7.0,3.0,,5.0,8.0,0.0,9.0,8.0,1.23,0.32,1.55,1.66,0.40,0.51,0.91,0.31,365.0,191.0,109.0,21 (45%),2 (17%),16.0,10.0,0.0,419.0,155.0,185.0,19 (51%),7 (23%),26.0,41.0,1.0,,27.0,9.0,8.0,59.0,4.0,,16.0,6.0,3.0,12.0,1.0,,42.0,37 (45%),5 (36%),4 (36%),,54.0,45 (55%),9 (64%),12 (46%),,1.0,0.0,,0.0,0.0,3,0.8,1.4,55.0,1.292,13.6,4.4,2.2,45.0,1.486,10.4,4.8,3.0,21.2,23.8,0.8,0.059,0.182,0.135,0.292
8370,2025-10-26T20:00:00.000Z,9866,Deportivo Alaves,1,0,True,54.0,1.18,15.0,5.0,2.0,1.0,340 (81%),13.0,7.0,46.0,0.84,12.0,2.0,1.0,1.0,266 (74%),11.0,5.0,,8.0,2.0,1.0,8.0,7.0,,3.0,7.0,0.0,6.0,6.0,1.01,0.17,1.18,0.70,0.79,0.05,0.84,0.55,419.0,186.0,154.0,27 (41%),7 (30%),22.0,26.0,2.0,358.0,137.0,129.0,20 (38%),4 (21%),19.0,20.0,0.0,,18.0,8.0,7.0,30.0,2.0,,27.0,1.0,2.0,24.0,4.0,,50.0,37 (43%),13 (46%),9 (32%),,64.0,49 (57%),15 (54%),9 (64%),,1.0,0.0,,3.0,0.0,3,1.4,1.0,51.4,1.384,11.8,4.2,3.2,48.6,1.35,12.0,4.2,2.6,16.8,29.2,1.4,0.119,0.333,0.083,0.238
