team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8633,2025-08-19T19:00:00.000Z,8371,Osasuna,1,0,True,71.0,1.64,18.0,5.0,1.0,0.0,659 (91%),10.0,7.0,29.0,0.36,2.0,0.0,0.0,0.0,228 (76%),12.0,0.0,,7.0,6.0,0.0,11.0,7.0,,2.0,0.0,0.0,2.0,0.0,0.70,0.15,0.86,1.31,0.06,0.30,0.36,0.00,721.0,160.0,499.0,32 (63%),8 (42%),20.0,35.0,0.0,299.0,137.0,91.0,24 (45%),2 (22%),16.0,8.0,0.0,,16.0,6.0,0.0,17.0,0.0,,20.0,7.0,6.0,40.0,4.0,,50.0,38 (54%),12 (44%),10 (43%),,48.0,33 (46%),15 (56%),4 (40%),,1.0,0.0,,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8633,2025-08-24T19:30:00.000Z,8670,Real Oviedo,3,0,False,65.0,2.68,26.0,10.0,4.0,3.0,644 (92%),7.0,9.0,35.0,0.50,6.0,3.0,0.0,0.0,314 (84%),8.0,1.0,,6.0,10.0,0.0,14.0,12.0,,3.0,0.0,1.0,3.0,3.0,2.36,0.32,2.68,2.91,0.50,0.00,0.50,0.29,699.0,161.0,483.0,16 (70%),1 (7%),17.0,34.0,2.0,376.0,193.0,121.0,22 (42%),2 (22%),17.0,16.0,2.0,,23.0,9.0,0.0,12.0,3.0,,20.0,10.0,10.0,25.0,8.0,,47.0,37 (55%),10 (56%),7 (28%),,38.0,30 (45%),8 (44%),5 (24%),,1.0,0.0,,2.0,0.0,3,1.0,0.0,71.0,1.64,18.0,5.0,1.0,29.0,0.36,2.0,0.0,0.0,35.0,8.0,3.0,0.056,0.2,0.0,0.0
8633,2025-08-30T19:30:00.000Z,8661,Mallorca,2,1,True,58.0,1.82,17.0,7.0,2.0,1.0,481 (89%),12.0,4.0,42.0,0.72,9.0,5.0,1.0,1.0,302 (79%),7.0,5.0,,6.0,4.0,0.0,7.0,10.0,,2.0,2.0,0.0,8.0,1.0,1.02,0.80,1.82,2.25,0.57,0.15,0.72,0.71,538.0,123.0,358.0,24 (63%),1 (7%),18.0,46.0,3.0,382.0,181.0,121.0,29 (39%),3 (19%),8.0,14.0,1.0,,13.0,7.0,4.0,19.0,2.0,,14.0,7.0,4.0,24.0,5.0,,38.0,25 (48%),13 (54%),6 (46%),,38.0,27 (52%),11 (46%),3 (38%),,2.0,0.0,,0.0,0.0,3,2.0,0.0,68.0,2.16,22.0,7.5,2.5,32.0,0.43,4.0,1.5,0.0,34.5,12.0,3.0,0.091,0.267,0.0,0.0
8633,2025-09-13T14:15:00.000Z,8560,Real Sociedad,2,1,False,36.0,2.42,16.0,6.0,3.0,1.0,241 (77%),7.0,4.0,64.0,2.23,23.0,4.0,5.0,4.0,447 (86%),17.0,12.0,,7.0,3.0,2.0,14.0,2.0,,7.0,12.0,1.0,15.0,8.0,1.65,0.78,2.42,2.42,0.75,0.69,1.44,0.98,314.0,116.0,125.0,35 (48%),4 (50%),11.0,29.0,2.0,521.0,153.0,294.0,16 (47%),14 (33%),16.0,37.0,0.0,,9.0,10.0,11.0,35.0,3.0,,13.0,6.0,3.0,13.0,4.0,,60.0,39 (59%),21 (62%),14 (70%),,40.0,27 (41%),13 (38%),9 (75%),,1.0,1.0,,2.0,0.0,3,2.0,0.333,64.667,2.047,20.333,7.333,2.333,35.333,0.527,5.667,2.667,0.333,38.333,12.667,3.0,0.098,0.273,0.059,0.125
8633,2025-09-20T14:15:00.000Z,8558,Espanyol,2,0,True,72.0,1.18,16.0,5.0,3.0,3.0,700 (93%),10.0,5.0,28.0,0.96,8.0,1.0,1.0,1.0,229 (84%),20.0,3.0,,6.0,5.0,1.0,11.0,5.0,,2.0,5.0,0.0,5.0,3.0,1.15,0.03,1.18,1.06,0.29,0.67,0.96,0.18,753.0,307.0,393.0,26 (59%),2 (22%),22.0,37.0,2.0,274.0,137.0,92.0,16 (41%),4 (25%),10.0,13.0,0.0,,18.0,4.0,5.0,11.0,1.0,,21.0,9.0,5.0,11.0,3.0,,58.0,51 (58%),7 (64%),13 (48%),,41.0,37 (42%),4 (36%),7 (39%),,2.0,0.0,,0.0,0.0,3,2.0,0.5,57.5,2.14,19.25,7.0,2.5,42.5,0.953,10.0,3.0,1.5,36.0,18.75,3.0,0.104,0.286,0.05,0.167
8633,2025-09-23T19:30:00.000Z,8581,Levante,4,1,False,63.0,3.94,24.0,10.0,6.0,4.0,636 (91%),9.0,7.0,37.0,1.60,11.0,2.0,3.0,2.0,365 (88%),17.0,1.0,,11.0,3.0,1.0,16.0,8.0,,3.0,6.0,0.0,8.0,3.0,3.05,0.11,3.15,4.12,1.35,0.25,1.60,1.09,696.0,267.0,369.0,21 (45%),2 (18%),12.0,45.0,1.0,416.0,216.0,149.0,33 (61%),3 (43%),13.0,17.0,0.0,,22.0,6.0,6.0,8.0,1.0,,19.0,8.0,3.0,17.0,6.0,,52.0,50 (63%),2 (18%),11 (44%),,39.0,30 (38%),9 (82%),3 (33%),,1.0,0.0,,1.0,0.0,3,2.0,0.4,60.4,1.948,18.6,6.6,2.6,39.6,0.954,9.6,2.6,1.4,36.2,17.6,3.0,0.108,0.303,0.042,0.154
8633,2025-09-27T14:15:00.000Z,9906,Atletico Madrid,2,5,False,63.0,0.66,6.0,2.0,2.0,0.0,471 (88%),14.0,2.0,37.0,2.34,13.0,7.0,6.0,2.0,241 (79%),17.0,7.0,,2.0,2.0,0.0,3.0,3.0,,4.0,2.0,1.0,8.0,5.0,0.60,0.07,0.66,0.70,0.88,0.68,1.55,2.02,538.0,178.0,293.0,25 (52%),4 (22%),13.0,13.0,1.0,306.0,120.0,121.0,18 (38%),6 (26%),15.0,21.0,1.0,,11.0,7.0,2.0,22.0,2.0,,14.0,7.0,2.0,23.0,0.0,,49.0,35 (52%),14 (58%),8 (44%),,42.0,32 (48%),10 (42%),5 (50%),,4.0,0.0,,5.0,0.0,0,2.6,0.6,58.8,2.408,19.8,7.6,3.6,41.2,1.202,11.4,3.0,2.0,38.2,19.4,3.0,0.131,0.342,0.053,0.2
8633,2025-10-04T19:00:00.000Z,10205,Villarreal,3,1,True,70.0,3.52,26.0,7.0,7.0,5.0,653 (92%),9.0,4.0,30.0,1.00,9.0,2.0,2.0,2.0,256 (81%),14.0,0.0,,10.0,9.0,0.0,16.0,10.0,,3.0,4.0,0.0,3.0,6.0,2.29,0.43,2.73,2.66,1.00,0.00,1.00,0.95,711.0,220.0,433.0,17 (55%),8 (50%),19.0,57.0,0.0,317.0,140.0,116.0,16 (39%),0 (0%),15.0,11.0,0.0,,26.0,4.0,4.0,16.0,1.0,,29.0,6.0,9.0,18.0,4.0,,62.0,52 (53%),10 (83%),13 (41%),,48.0,46 (47%),2 (17%),8 (44%),,2.0,0.0,,2.0,1.0,3,2.4,1.6,58.4,2.004,15.8,6.0,3.2,41.6,1.57,12.8,3.8,3.2,34.0,20.4,2.4,0.152,0.4,0.125,0.421
8633,2025-10-19T19:00:00.000Z,8305,Getafe,1,0,False,76.0,2.30,23.0,10.0,3.0,2.0,552 (87%),11.0,4.0,24.0,0.52,7.0,1.0,1.0,1.0,103 (53%),27.0,1.0,,9.0,4.0,0.0,12.0,11.0,,5.0,1.0,0.0,2.0,5.0,1.91,0.40,2.30,2.34,0.36,0.16,0.52,0.21,636.0,225.0,327.0,38 (52%),2 (20%),24.0,35.0,3.0,194.0,57.0,46.0,13 (23%),2 (25%),13.0,5.0,2.0,,17.0,6.0,1.0,19.0,1.0,,19.0,15.0,3.0,25.0,9.0,,75.0,53 (64%),22 (63%),11 (50%),,43.0,30 (36%),13 (37%),2 (17%),,1.0,0.0,,2.0,2.0,3,2.6,1.6,60.8,2.344,17.6,6.0,4.2,39.2,1.626,12.8,3.2,3.4,36.2,19.8,2.4,0.148,0.433,0.125,0.5
8633,2025-10-26T15:15:00.000Z,8634,Barcelona,2,1,True,32.0,3.63,23.0,10.0,4.0,2.0,223 (81%),12.0,12.0,68.0,1.03,15.0,6.0,2.0,1.0,574 (90%),9.0,4.0,,6.0,7.0,0.0,17.0,6.0,,5.0,4.0,0.0,6.0,9.0,1.44,1.41,2.84,4.34,0.79,0.24,1.03,0.64,275.0,106.0,117.0,21 (48%),4 (33%),14.0,34.0,5.0,640.0,258.0,316.0,13 (46%),3 (38%),20.0,17.0,2.0,,24.0,6.0,5.0,17.0,4.0,,20.0,7.0,7.0,12.0,9.0,,52.0,45 (53%),7 (54%),13 (57%),,46.0,40 (47%),6 (46%),9 (43%),,5.0,1.0,,3.0,1.0,3,2.4,1.4,68.8,2.32,19.0,6.8,4.2,31.2,1.284,9.6,2.6,2.6,37.4,13.4,2.4,0.126,0.353,0.146,0.538
