team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8670,2025-08-15T19:30:00.000Z,10205,Villarreal,0,2,False,32.0,0.93,5.0,4.0,1.0,1.0,267 (82%),8.0,1.0,68.0,2.44,25.0,10.0,3.0,3.0,612 (92%),10.0,10.0,,1.0,0.0,0.0,3.0,2.0,,11.0,4.0,0.0,17.0,8.0,0.08,0.06,0.14,1.09,1.62,0.82,2.44,2.20,326.0,204.0,63.0,33 (61%),2 (50%),11.0,7.0,1.0,668.0,161.0,451.0,23 (64%),10 (31%),24.0,53.0,0.0,,11.0,5.0,3.0,29.0,8.0,,11.0,14.0,0.0,6.0,4.0,,38.0,26 (53%),12 (63%),8 (47%),,30.0,23 (47%),7 (37%),4 (33%),,0.0,1.0,,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8670,2025-08-24T19:30:00.000Z,8633,Real Madrid,0,3,True,35.0,0.50,6.0,3.0,0.0,0.0,314 (84%),8.0,1.0,65.0,2.68,26.0,10.0,4.0,3.0,644 (92%),7.0,9.0,,3.0,0.0,1.0,3.0,3.0,,6.0,10.0,0.0,14.0,12.0,0.50,0.00,0.50,0.29,2.36,0.32,2.68,2.91,376.0,193.0,121.0,22 (42%),2 (22%),17.0,16.0,2.0,699.0,161.0,483.0,16 (70%),1 (7%),17.0,34.0,2.0,,20.0,10.0,10.0,25.0,8.0,,23.0,9.0,0.0,12.0,3.0,,38.0,30 (45%),8 (44%),5 (24%),,47.0,37 (55%),10 (56%),7 (28%),,2.0,0.0,,1.0,0.0,0,0.0,2.0,32.0,0.93,5.0,4.0,1.0,68.0,2.44,25.0,10.0,3.0,7.0,53.0,0.0,0.0,0.0,0.08,0.2
8670,2025-08-30T17:00:00.000Z,8560,Real Sociedad,1,0,True,43.0,0.50,8.0,1.0,0.0,0.0,337 (82%),7.0,1.0,57.0,1.07,18.0,6.0,0.0,0.0,449 (85%),18.0,10.0,,7.0,0.0,1.0,4.0,4.0,,9.0,3.0,0.0,9.0,9.0,0.46,0.04,0.50,0.80,0.47,0.60,1.07,2.10,409.0,204.0,133.0,28 (48%),3 (27%),12.0,12.0,2.0,528.0,230.0,219.0,17 (43%),5 (21%),31.0,24.0,1.0,,14.0,7.0,3.0,43.0,6.0,,15.0,4.0,0.0,12.0,0.0,,57.0,37 (56%),20 (50%),6 (40%),,49.0,29 (44%),20 (50%),10 (53%),,2.0,0.0,,1.0,0.0,3,0.0,2.5,33.5,0.715,5.5,3.5,0.5,66.5,2.56,25.5,10.0,3.5,11.5,43.5,0.0,0.0,0.0,0.098,0.25
8670,2025-09-13T12:00:00.000Z,8305,Getafe,0,2,False,52.0,0.46,5.0,1.0,1.0,1.0,303 (81%),18.0,3.0,48.0,0.75,10.0,3.0,2.0,0.0,268 (78%),12.0,4.0,,2.0,2.0,1.0,1.0,4.0,,4.0,3.0,0.0,6.0,4.0,0.44,0.02,0.46,0.06,0.39,0.35,0.75,1.68,373.0,197.0,106.0,27 (45%),1 (7%),34.0,7.0,1.0,342.0,128.0,140.0,21 (40%),6 (27%),24.0,16.0,1.0,,20.0,5.0,3.0,44.0,1.0,,16.0,8.0,2.0,25.0,1.0,,53.0,40 (53%),13 (54%),8 (36%),,46.0,35 (47%),11 (46%),2 (22%),,5.0,1.0,,2.0,0.0,0,0.333,1.667,36.667,0.643,6.333,2.667,0.333,63.333,2.063,23.0,8.667,2.333,11.667,37.0,1.0,0.053,0.125,0.072,0.192
8670,2025-09-21T16:30:00.000Z,10268,Elche,0,1,False,39.0,1.09,12.0,4.0,2.0,2.0,306 (82%),18.0,3.0,61.0,1.55,15.0,5.0,1.0,0.0,538 (90%),9.0,3.0,,5.0,3.0,0.0,8.0,4.0,,4.0,6.0,1.0,10.0,5.0,1.01,0.07,1.09,0.54,1.55,0.00,1.55,1.44,372.0,144.0,162.0,27 (47%),3 (17%),24.0,18.0,1.0,601.0,254.0,284.0,25 (51%),3 (20%),13.0,28.0,1.0,,16.0,5.0,6.0,19.0,4.0,,18.0,11.0,3.0,17.0,4.0,,46.0,34 (45%),12 (67%),10 (56%),,48.0,42 (55%),6 (33%),7 (50%),,2.0,0.0,,2.0,0.0,0,0.25,1.75,40.5,0.598,6.0,2.25,0.5,59.5,1.735,19.75,7.25,2.25,10.5,31.75,0.75,0.042,0.111,0.089,0.241
8670,2025-09-25T19:30:00.000Z,8634,Barcelona,1,3,True,20.0,1.04,7.0,3.0,2.0,2.0,124 (64%),10.0,6.0,80.0,2.07,22.0,10.0,2.0,0.0,717 (91%),6.0,9.0,,1.0,3.0,0.0,5.0,2.0,,4.0,8.0,2.0,13.0,9.0,0.54,0.50,1.04,1.00,0.86,1.21,2.07,2.49,194.0,79.0,45.0,20 (39%),3 (33%),19.0,17.0,7.0,787.0,227.0,490.0,17 (52%),3 (19%),24.0,43.0,1.0,,21.0,4.0,8.0,32.0,7.0,,18.0,6.0,3.0,15.0,2.0,,45.0,31 (47%),14 (50%),5 (45%),,49.0,35 (53%),14 (50%),8 (44%),,1.0,0.0,,0.0,0.0,0,0.2,1.6,40.2,0.696,7.2,2.6,0.8,59.8,1.698,18.8,6.8,2.0,12.0,31.0,0.6,0.028,0.077,0.085,0.235
8670,2025-09-30T18:00:00.000Z,10267,Valencia,2,1,False,43.0,0.77,10.0,4.0,1.0,0.0,338 (82%),12.0,4.0,57.0,1.51,16.0,5.0,3.0,3.0,473 (87%),14.0,5.0,,3.0,3.0,0.0,5.0,5.0,,8.0,3.0,1.0,12.0,4.0,0.48,0.29,0.77,1.46,0.70,0.02,0.72,1.60,414.0,209.0,129.0,26 (53%),3 (33%),17.0,23.0,4.0,541.0,251.0,222.0,21 (53%),6 (29%),11.0,28.0,1.0,,17.0,8.0,3.0,31.0,4.0,,10.0,10.0,3.0,18.0,2.0,,45.0,37 (55%),8 (50%),7 (64%),,38.0,30 (45%),8 (50%),9 (45%),,2.0,1.0,,1.0,0.0,3,0.4,1.8,37.8,0.718,7.6,2.4,1.0,62.2,1.624,18.2,6.8,1.8,14.0,29.0,0.6,0.053,0.167,0.099,0.265
8670,2025-10-04T12:00:00.000Z,8581,Levante,0,2,True,57.0,1.31,13.0,2.0,3.0,3.0,418 (86%),10.0,9.0,43.0,1.94,14.0,5.0,1.0,0.0,298 (81%),10.0,3.0,,6.0,5.0,1.0,9.0,4.0,,1.0,8.0,1.0,9.0,5.0,0.27,1.04,1.31,0.54,0.96,0.98,1.94,2.20,484.0,253.0,165.0,31 (55%),6 (20%),25.0,23.0,1.0,370.0,169.0,129.0,32 (46%),3 (30%),21.0,25.0,2.0,,15.0,7.0,8.0,26.0,3.0,,14.0,11.0,5.0,36.0,2.0,,56.0,31 (54%),25 (66%),6 (40%),,39.0,26 (46%),13 (34%),3 (27%),,2.0,0.0,,2.0,0.0,0,0.8,1.4,39.4,0.772,8.4,2.6,1.2,60.6,1.39,16.2,5.8,1.6,15.4,27.8,1.2,0.095,0.308,0.086,0.241
8670,2025-10-17T19:00:00.000Z,8558,Espanyol,0,2,True,61.0,0.77,13.0,4.0,1.0,1.0,467 (88%),9.0,3.0,39.0,3.74,19.0,10.0,6.0,4.0,263 (82%),8.0,5.0,,5.0,4.0,1.0,7.0,6.0,,5.0,4.0,0.0,15.0,4.0,0.69,0.08,0.77,0.16,3.08,0.66,3.74,4.60,528.0,277.0,190.0,25 (52%),4 (20%),20.0,27.0,0.0,321.0,119.0,144.0,18 (42%),9 (27%),24.0,34.0,2.0,,13.0,11.0,3.0,26.0,8.0,,11.0,7.0,4.0,25.0,4.0,,47.0,29 (51%),18 (50%),10 (71%),,46.0,28 (49%),18 (50%),9 (64%),,2.0,0.0,,1.0,0.0,0,0.6,1.8,42.2,0.934,9.4,2.8,1.8,57.8,1.564,15.4,5.6,1.8,17.6,28.0,0.6,0.064,0.214,0.117,0.321
8670,2025-10-25T12:00:00.000Z,7732,Girona,3,3,False,35.0,1.79,10.0,5.0,4.0,1.0,234 (79%),16.0,4.0,65.0,2.03,8.0,6.0,4.0,2.0,489 (89%),13.0,11.0,,3.0,2.0,0.0,8.0,2.0,,1.0,1.0,0.0,4.0,4.0,0.78,0.22,1.00,3.24,0.45,0.00,0.45,2.68,296.0,148.0,86.0,22 (43%),8 (47%),11.0,15.0,2.0,551.0,277.0,212.0,24 (60%),4 (15%),18.0,24.0,2.0,,20.0,5.0,1.0,42.0,3.0,,12.0,4.0,1.0,19.0,2.0,,51.0,39 (48%),12 (43%),7 (54%),,58.0,42 (52%),16 (57%),14 (61%),,3.0,0.0,,4.0,0.0,1,0.6,1.8,44.0,0.996,11.0,3.4,1.8,56.0,2.162,17.2,7.0,2.6,21.6,31.6,0.6,0.055,0.176,0.105,0.257
