team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8560,2025-08-16T19:30:00.000Z,10267,Valencia,1,1,False,46.0,0.81,13.0,3.0,1.0,1.0,294 (86%),11.0,7.0,54.0,2.04,18.0,2.0,2.0,1.0,341 (86%),5.0,8.0,,7.0,3.0,0.0,6.0,7.0,,7.0,9.0,0.0,11.0,7.0,0.53,0.28,0.81,0.56,1.08,0.96,2.04,0.52,340.0,153.0,141.0,22 (63%),2 (15%),19.0,24.0,2.0,395.0,203.0,138.0,31 (63%),5 (21%),17.0,31.0,1.0,,19.0,4.0,8.0,36.0,1.0,,12.0,5.0,3.0,26.0,2.0,,37.0,29 (50%),8 (47%),5 (36%),,38.0,29 (50%),9 (53%),7 (33%),,2.0,0.0,,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8560,2025-08-24T17:30:00.000Z,8558,Espanyol,2,2,True,62.0,1.10,15.0,7.0,3.0,2.0,433 (87%),16.0,5.0,38.0,1.81,14.0,3.0,2.0,0.0,215 (70%),18.0,2.0,,4.0,4.0,0.0,11.0,4.0,,7.0,4.0,0.0,5.0,9.0,0.92,0.17,1.10,2.07,0.89,0.13,1.03,1.73,498.0,230.0,203.0,25 (57%),6 (25%),19.0,26.0,1.0,305.0,121.0,94.0,14 (26%),3 (38%),21.0,14.0,1.0,,16.0,5.0,4.0,27.0,1.0,,21.0,6.0,3.0,19.0,5.0,,60.0,34 (43%),26 (70%),3 (20%),,56.0,45 (57%),11 (30%),10 (56%),,2.0,0.0,,2.0,0.0,1,1.0,1.0,46.0,0.81,13.0,3.0,1.0,54.0,2.04,18.0,2.0,2.0,24.0,31.0,1.0,0.077,0.333,0.056,0.5
8560,2025-08-30T17:00:00.000Z,8670,Real Oviedo,0,1,False,57.0,1.07,18.0,6.0,0.0,0.0,449 (85%),18.0,10.0,43.0,0.50,8.0,1.0,0.0,0.0,337 (82%),7.0,1.0,,9.0,3.0,0.0,9.0,9.0,,7.0,0.0,1.0,4.0,4.0,0.47,0.60,1.07,2.10,0.46,0.04,0.50,0.80,528.0,230.0,219.0,17 (43%),5 (21%),31.0,24.0,1.0,409.0,204.0,133.0,28 (48%),3 (27%),12.0,12.0,2.0,,15.0,4.0,0.0,12.0,0.0,,14.0,7.0,3.0,43.0,6.0,,49.0,29 (44%),20 (50%),10 (53%),,57.0,37 (56%),20 (50%),6 (40%),,1.0,0.0,,2.0,0.0,0,1.5,1.5,54.0,0.955,14.0,5.0,2.0,46.0,1.925,16.0,2.5,2.0,25.0,22.5,1.0,0.107,0.3,0.094,0.6
8560,2025-09-13T14:15:00.000Z,8633,Real Madrid,1,2,True,64.0,2.23,23.0,4.0,5.0,4.0,447 (86%),17.0,12.0,36.0,2.42,16.0,6.0,3.0,1.0,241 (77%),7.0,4.0,,7.0,12.0,1.0,15.0,8.0,,7.0,3.0,2.0,14.0,2.0,0.75,0.69,1.44,0.98,1.65,0.78,2.42,2.42,521.0,153.0,294.0,16 (47%),14 (33%),16.0,37.0,0.0,314.0,116.0,125.0,35 (48%),4 (50%),11.0,29.0,2.0,,13.0,6.0,3.0,13.0,4.0,,9.0,10.0,11.0,35.0,3.0,,40.0,27 (41%),13 (38%),9 (75%),,60.0,39 (59%),21 (62%),14 (70%),,2.0,0.0,,1.0,1.0,0,1.0,1.333,55.0,0.993,15.333,5.333,1.333,45.0,1.45,13.333,2.0,1.333,24.667,19.0,0.667,0.065,0.188,0.1,0.666
8560,2025-09-19T19:00:00.000Z,8603,Real Betis,1,3,False,50.0,0.67,11.0,5.0,1.0,1.0,385 (80%),20.0,5.0,50.0,2.25,21.0,6.0,3.0,2.0,400 (81%),7.0,3.0,,2.0,4.0,0.0,8.0,3.0,,8.0,7.0,2.0,12.0,9.0,0.55,0.13,0.67,0.79,2.06,0.19,2.25,3.06,481.0,209.0,176.0,13 (33%),4 (27%),20.0,21.0,3.0,491.0,238.0,162.0,31 (51%),1 (17%),20.0,30.0,0.0,,25.0,14.0,6.0,7.0,4.0,,26.0,17.0,4.0,30.0,4.0,,54.0,42 (43%),12 (55%),11 (38%),,65.0,55 (57%),10 (45%),9 (38%),,6.0,0.0,,3.0,0.0,0,1.0,1.5,57.25,1.302,17.25,5.0,2.25,42.75,1.692,14.0,3.0,1.75,27.75,21.5,0.5,0.058,0.2,0.107,0.5
8560,2025-09-24T19:30:00.000Z,8661,Mallorca,1,0,True,64.0,2.76,17.0,4.0,4.0,3.0,449 (82%),13.0,11.0,36.0,0.76,7.0,3.0,1.0,1.0,224 (72%),15.0,2.0,,10.0,3.0,0.0,12.0,5.0,,3.0,1.0,0.0,6.0,1.0,1.94,0.83,2.76,1.85,0.66,0.10,0.76,0.15,548.0,208.0,241.0,34 (55%),6 (24%),22.0,30.0,2.0,310.0,136.0,88.0,31 (45%),4 (33%),20.0,9.0,0.0,,13.0,2.0,1.0,26.0,3.0,,15.0,8.0,4.0,49.0,3.0,,52.0,36 (51%),16 (47%),10 (59%),,52.0,34 (49%),18 (53%),6 (67%),,2.0,0.0,,2.0,0.0,3,1.0,1.8,55.8,1.176,16.0,5.0,2.0,44.2,1.804,15.4,3.6,2.0,26.4,23.2,0.4,0.062,0.2,0.117,0.5
8560,2025-09-28T16:30:00.000Z,8634,Barcelona,1,2,False,26.0,0.97,7.0,2.0,2.0,1.0,195 (78%),12.0,1.0,74.0,2.22,22.0,12.0,5.0,4.0,684 (92%),6.0,12.0,,3.0,2.0,1.0,5.0,2.0,,5.0,5.0,1.0,14.0,8.0,0.94,0.04,0.97,0.95,1.85,0.36,2.22,1.59,250.0,120.0,75.0,17 (36%),3 (33%),14.0,14.0,5.0,744.0,209.0,475.0,15 (44%),5 (23%),24.0,47.0,3.0,,25.0,3.0,6.0,41.0,8.0,,12.0,2.0,2.0,15.0,1.0,,41.0,38 (46%),3 (17%),7 (64%),,59.0,44 (54%),15 (83%),20 (61%),,2.0,0.0,,1.0,0.0,0,1.0,1.6,59.4,1.566,16.8,5.2,2.6,40.6,1.548,13.2,3.8,1.8,27.6,18.8,0.8,0.06,0.192,0.121,0.421
8560,2025-10-05T16:30:00.000Z,8370,Rayo Vallecano,0,1,True,51.0,0.79,10.0,3.0,1.0,1.0,338 (80%),13.0,7.0,49.0,0.80,7.0,2.0,3.0,2.0,328 (79%),21.0,5.0,,1.0,6.0,0.0,7.0,3.0,,3.0,2.0,0.0,5.0,2.0,0.60,0.19,0.79,1.02,0.73,0.08,0.80,0.62,421.0,197.0,141.0,35 (63%),0 (0%),14.0,23.0,0.0,414.0,226.0,102.0,26 (35%),2 (18%),19.0,10.0,1.0,,11.0,8.0,2.0,13.0,1.0,,13.0,11.0,6.0,28.0,3.0,,61.0,42 (60%),19 (61%),13 (62%),,40.0,28 (40%),12 (39%),5 (56%),,1.0,0.0,,2.0,0.0,0,0.8,1.6,52.2,1.54,15.2,4.2,2.4,47.8,1.63,14.8,5.6,2.4,25.2,25.4,0.6,0.053,0.19,0.108,0.286
8560,2025-10-19T14:15:00.000Z,9910,Celta Vigo,1,1,False,59.0,1.55,17.0,7.0,4.0,4.0,455 (88%),20.0,10.0,41.0,0.95,4.0,1.0,2.0,1.0,290 (76%),10.0,1.0,,4.0,6.0,0.0,10.0,7.0,,3.0,0.0,0.0,2.0,2.0,0.83,0.72,1.55,0.98,0.95,0.00,0.95,0.63,518.0,168.0,287.0,20 (45%),8 (23%),14.0,32.0,8.0,380.0,215.0,75.0,25 (40%),0 (0%),23.0,8.0,1.0,,8.0,9.0,0.0,16.0,0.0,,15.0,8.0,5.0,29.0,6.0,,36.0,25 (37%),11 (41%),8 (40%),,58.0,42 (63%),16 (59%),7 (64%),,3.0,0.0,,2.0,1.0,1,0.8,1.6,51.0,1.484,13.6,3.6,2.6,49.0,1.69,14.6,5.8,3.0,25.0,25.0,0.6,0.059,0.222,0.11,0.276
8560,2025-10-24T19:00:00.000Z,8302,Sevilla,2,1,True,40.0,1.61,5.0,3.0,3.0,2.0,209 (69%),19.0,1.0,60.0,0.23,6.0,1.0,0.0,0.0,358 (77%),14.0,9.0,,2.0,0.0,0.0,4.0,1.0,,3.0,2.0,0.0,2.0,4.0,0.82,0.00,0.82,1.61,0.12,0.10,0.23,0.52,303.0,124.0,85.0,17 (34%),4 (31%),18.0,19.0,2.0,464.0,186.0,172.0,34 (44%),2 (13%),27.0,16.0,1.0,,22.0,12.0,2.0,28.0,0.0,,13.0,8.0,0.0,19.0,1.0,,59.0,38 (48%),21 (62%),3 (38%),,55.0,42 (53%),13 (38%),10 (50%),,1.0,0.0,,3.0,0.0,3,0.8,1.4,50.0,1.348,12.4,4.2,2.4,50.0,1.396,12.2,4.8,2.8,24.0,20.8,0.8,0.065,0.19,0.115,0.292
