team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8302,2025-08-17T17:30:00.000Z,8315,Athletic Club,2,3,False,54.0,1.01,12.0,6.0,0.0,0.0,396 (83%),12.0,1.0,46.0,2.89,14.0,3.0,3.0,1.0,302 (78%),8.0,10.0,,4.0,2.0,1.0,10.0,2.0,,3.0,8.0,1.0,11.0,3.0,0.92,0.08,1.01,1.74,1.22,0.88,2.10,2.59,477.0,239.0,157.0,21 (39%),2 (20%),17.0,22.0,8.0,387.0,148.0,154.0,18 (28%),4 (19%),21.0,29.0,0.0,,18.0,12.0,8.0,31.0,0.0,,11.0,6.0,2.0,12.0,4.0,,41.0,32 (48%),9 (60%),6 (50%),,40.0,34 (52%),6 (40%),12 (50%),,2.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8302,2025-08-25T19:30:00.000Z,8305,Getafe,1,2,True,71.0,0.51,12.0,3.0,1.0,1.0,453 (85%),10.0,5.0,29.0,0.71,9.0,6.0,3.0,2.0,132 (60%),24.0,3.0,,8.0,1.0,1.0,8.0,4.0,,1.0,2.0,0.0,3.0,6.0,0.33,0.18,0.51,0.16,0.67,0.04,0.71,0.90,533.0,217.0,236.0,30 (51%),7 (23%),21.0,26.0,4.0,221.0,65.0,67.0,12 (19%),2 (33%),24.0,17.0,1.0,,24.0,5.0,2.0,22.0,4.0,,16.0,2.0,1.0,31.0,3.0,,75.0,52 (60%),23 (64%),5 (33%),,47.0,34 (40%),13 (36%),8 (42%),,2.0,0.0,,2.0,0.0,0,2.0,3.0,54.0,1.01,12.0,6.0,0.0,46.0,2.89,14.0,3.0,3.0,22.0,29.0,0.0,0.167,0.333,0.214,1.0
8302,2025-08-30T17:30:00.000Z,7732,Girona,2,0,False,41.0,1.32,13.0,4.0,2.0,1.0,254 (79%),14.0,3.0,59.0,2.13,20.0,5.0,3.0,3.0,358 (84%),5.0,11.0,,6.0,3.0,1.0,10.0,3.0,,6.0,9.0,0.0,12.0,8.0,1.28,0.05,1.32,1.26,1.03,1.10,2.13,1.96,322.0,158.0,96.0,27 (46%),3 (60%),13.0,24.0,0.0,427.0,198.0,160.0,19 (45%),6 (17%),23.0,43.0,2.0,,17.0,3.0,7.0,47.0,5.0,,15.0,2.0,3.0,16.0,2.0,,34.0,26 (40%),8 (36%),4 (44%),,53.0,39 (60%),14 (64%),11 (50%),,2.0,0.0,,0.0,0.0,3,1.5,2.5,62.5,0.76,12.0,4.5,0.5,37.5,1.8,11.5,4.5,3.0,24.0,23.0,0.0,0.125,0.333,0.217,0.556
8302,2025-09-12T19:00:00.000Z,10268,Elche,2,2,True,53.0,0.40,7.0,3.0,0.0,0.0,339 (86%),23.0,2.0,47.0,0.95,5.0,2.0,3.0,2.0,296 (82%),19.0,2.0,,2.0,2.0,0.0,4.0,3.0,,3.0,0.0,0.0,2.0,3.0,0.34,0.06,0.40,1.09,0.81,0.15,0.95,0.86,392.0,116.0,223.0,14 (44%),6 (32%),21.0,16.0,1.0,362.0,178.0,118.0,21 (44%),3 (33%),13.0,15.0,0.0,,22.0,9.0,0.0,25.0,0.0,,25.0,9.0,2.0,26.0,1.0,,63.0,45 (46%),18 (69%),4 (29%),,60.0,52 (54%),8 (31%),4 (29%),,4.0,0.0,,3.0,0.0,1,1.667,1.667,55.333,0.947,12.333,4.333,1.0,44.667,1.91,14.333,4.667,3.0,24.0,29.667,1.0,0.135,0.385,0.116,0.357
8302,2025-09-20T16:30:00.000Z,9866,Deportivo Alaves,2,1,False,52.0,0.48,9.0,3.0,2.0,2.0,340 (80%),19.0,4.0,48.0,0.95,8.0,5.0,1.0,0.0,307 (78%),20.0,4.0,,4.0,2.0,0.0,5.0,4.0,,2.0,1.0,0.0,4.0,4.0,0.39,0.09,0.48,1.52,0.15,0.01,0.17,1.00,423.0,205.0,135.0,29 (59%),5 (42%),23.0,20.0,4.0,394.0,121.0,186.0,25 (42%),4 (22%),29.0,13.0,3.0,,20.0,8.0,1.0,19.0,4.0,,21.0,7.0,2.0,17.0,1.0,,69.0,47 (51%),22 (59%),9 (53%),,61.0,46 (49%),15 (41%),8 (36%),,7.0,0.0,,1.0,0.0,3,1.75,1.75,54.75,0.81,11.0,4.0,0.75,45.25,1.67,12.0,4.0,3.0,22.0,26.0,1.0,0.159,0.438,0.146,0.438
8302,2025-09-23T19:30:00.000Z,10205,Villarreal,1,2,True,65.0,0.97,16.0,2.0,1.0,1.0,523 (87%),17.0,3.0,35.0,1.95,12.0,5.0,6.0,4.0,264 (81%),14.0,3.0,,6.0,8.0,0.0,10.0,6.0,,4.0,3.0,0.0,11.0,1.0,0.80,0.17,0.97,0.45,1.83,0.11,1.95,1.73,599.0,285.0,238.0,19 (48%),9 (36%),24.0,33.0,0.0,324.0,135.0,129.0,19 (39%),1 (17%),20.0,26.0,3.0,,23.0,10.0,3.0,22.0,3.0,,18.0,10.0,8.0,28.0,1.0,,65.0,49 (52%),16 (70%),14 (52%),,52.0,45 (48%),7 (30%),10 (43%),,2.0,0.0,,3.0,0.0,0,1.8,1.6,54.2,0.744,10.6,3.8,1.0,45.8,1.526,11.2,4.2,2.6,21.6,23.4,1.4,0.17,0.474,0.143,0.381
8302,2025-09-28T12:00:00.000Z,8370,Rayo Vallecano,1,0,False,36.0,0.63,4.0,1.0,1.0,0.0,193 (69%),15.0,4.0,64.0,1.89,18.0,6.0,2.0,2.0,401 (83%),12.0,12.0,,1.0,2.0,0.0,2.0,2.0,,7.0,5.0,0.0,13.0,5.0,0.48,0.15,0.63,0.97,1.32,0.56,1.89,1.65,280.0,112.0,81.0,22 (37%),0 (0%),21.0,15.0,1.0,486.0,229.0,172.0,30 (51%),6 (18%),25.0,26.0,0.0,,15.0,8.0,5.0,35.0,6.0,,14.0,6.0,2.0,20.0,0.0,,39.0,26 (43%),13 (57%),2 (22%),,45.0,35 (57%),10 (43%),7 (47%),,2.0,0.0,,3.0,1.0,3,1.6,1.4,56.4,0.736,11.4,3.0,1.2,43.6,1.338,10.8,4.6,3.2,23.8,22.8,1.4,0.14,0.533,0.13,0.304
8302,2025-10-05T14:15:00.000Z,8634,Barcelona,4,1,True,39.0,2.80,13.0,5.0,5.0,2.0,205 (77%),18.0,7.0,61.0,2.25,17.0,8.0,5.0,4.0,363 (85%),9.0,6.0,,6.0,2.0,0.0,12.0,1.0,,4.0,5.0,0.0,14.0,3.0,1.87,0.14,2.01,3.46,1.35,0.11,1.46,2.41,266.0,130.0,75.0,27 (51%),6 (43%),14.0,34.0,10.0,427.0,189.0,174.0,7 (27%),5 (36%),19.0,30.0,0.0,,18.0,8.0,5.0,20.0,7.0,,19.0,4.0,2.0,15.0,1.0,,41.0,30 (40%),11 (50%),3 (27%),,56.0,45 (60%),11 (50%),9 (60%),,7.0,0.0,,5.0,0.0,3,1.6,1.0,49.4,0.76,9.8,2.6,1.2,50.6,1.574,12.6,4.6,3.0,21.6,24.6,2.0,0.163,0.615,0.079,0.217
8302,2025-10-18T12:00:00.000Z,8661,Mallorca,1,3,True,58.0,1.26,13.0,4.0,1.0,0.0,341 (83%),16.0,9.0,42.0,1.85,7.0,6.0,3.0,0.0,226 (76%),13.0,2.0,,2.0,7.0,0.0,11.0,2.0,,1.0,0.0,0.0,6.0,1.0,0.76,0.50,1.26,0.97,1.81,0.05,1.85,2.14,413.0,188.0,153.0,32 (54%),11 (46%),15.0,28.0,3.0,299.0,112.0,114.0,22 (38%),2 (17%),21.0,12.0,0.0,,15.0,9.0,0.0,21.0,3.0,,16.0,5.0,7.0,33.0,3.0,,57.0,37 (48%),20 (63%),9 (47%),,52.0,40 (52%),12 (38%),9 (53%),,2.0,0.0,,1.0,0.0,0,2.0,1.2,49.0,1.056,9.8,2.8,1.8,51.0,1.598,12.0,5.2,3.4,23.6,22.0,2.0,0.204,0.714,0.1,0.231
8302,2025-10-24T19:00:00.000Z,8560,Real Sociedad,1,2,False,60.0,0.23,6.0,1.0,0.0,0.0,358 (77%),14.0,9.0,40.0,1.61,5.0,3.0,3.0,2.0,209 (69%),19.0,1.0,,3.0,2.0,0.0,2.0,4.0,,2.0,0.0,0.0,4.0,1.0,0.12,0.10,0.23,0.52,0.82,0.00,0.82,1.61,464.0,186.0,172.0,34 (44%),2 (13%),27.0,16.0,1.0,303.0,124.0,85.0,17 (34%),4 (31%),18.0,19.0,2.0,,13.0,8.0,0.0,19.0,1.0,,22.0,12.0,2.0,28.0,0.0,,55.0,42 (53%),13 (38%),10 (50%),,59.0,38 (48%),21 (62%),3 (38%),,3.0,0.0,,1.0,0.0,0,1.8,1.4,50.0,1.228,11.0,3.0,2.0,50.0,1.778,12.4,6.0,3.4,26.0,21.4,1.8,0.164,0.6,0.113,0.233
